Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,211.49,214.55,210.68,214.42,591524.0,0.0,1.0,211.49,214.55,210.68,214.42,591524.0
2017-08-03,216.16,217.76,210.54,210.83,760169.0,0.0,1.0,216.16,217.76,210.54,210.83,760169.0
2017-08-02,209.31,218.17,209.31,216.23,1721754.0,0.0,1.0,209.31,218.17,209.31,216.23,1721754.0
2017-08-01,223.9,231.0,205.01,211.97,2233467.0,0.0,1.0,223.9,231.0,205.01,211.97,2233467.0
2017-07-31,226.82,230.37,225.885,226.43,878040.0,0.0,1.0,226.82,230.37,225.885,226.43,878040.0
2017-07-28,224.83,226.825,222.95,226.5,444926.0,0.0,1.0,224.83,226.825,222.95,226.5,444926.0
2017-07-27,227.54,229.14,224.0701,225.75,576364.0,0.0,1.0,227.54,229.14,224.0701,225.75,576364.0
2017-07-26,227.95,228.38,224.39,227.55,525643.0,0.0,1.0,227.95,228.38,224.39,227.55,525643.0
2017-07-25,228.1,230.0,227.235,228.1,583449.0,0.0,1.0,228.1,230.0,227.235,228.1,583449.0
2017-07-24,224.33,227.09,223.35,227.0,524618.0,0.0,1.0,224.33,227.09,223.35,227.0,524618.0
2017-07-21,224.03,225.31,223.52,224.67,283713.0,0.0,1.0,224.03,225.31,223.52,224.67,283713.0
2017-07-20,223.93,225.2,222.075,224.78,317174.0,0.0,1.0,223.93,225.2,222.075,224.78,317174.0
2017-07-19,220.75,224.0,220.23,223.95,238321.0,0.0,1.0,220.75,224.0,220.23,223.95,238321.0
2017-07-18,222.0,222.27,220.195,220.6,325005.0,0.0,1.0,222.0,222.27,220.195,220.6,325005.0
2017-07-17,222.96,225.2399,222.18,223.78,312641.0,0.0,1.0,222.96,225.2399,222.18,223.78,312641.0
2017-07-14,225.01,226.29,222.86,223.27,326594.0,0.0,1.0,225.01,226.29,222.86,223.27,326594.0
2017-07-13,225.78,229.0,224.12,224.34,534183.0,0.0,1.0,225.78,229.0,224.12,224.34,534183.0
2017-07-12,222.8,225.62,221.56,225.09,423502.0,0.0,1.0,222.8,225.62,221.56,225.09,423502.0
2017-07-11,224.95,224.95,219.2,220.72,490181.0,0.0,1.0,224.95,224.95,219.2,220.72,490181.0
2017-07-10,227.15,227.305,224.73,224.74,382847.0,0.0,1.0,227.15,227.305,224.73,224.74,382847.0
