Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,12.51,12.96,12.45,12.9,21773594.0,0.0,1.0,12.51,12.96,12.45,12.9,21773594.0
2017-08-03,12.28,13.11,12.17,12.51,32546789.0,0.0,1.0,12.28,13.11,12.17,12.51,32546789.0
2017-08-02,11.82,12.28,11.75,12.04,23072698.0,0.0,1.0,11.82,12.28,11.75,12.04,23072698.0
2017-08-01,12.23,12.25,11.84,11.91,13883796.0,0.0,1.0,12.23,12.25,11.84,11.91,13883796.0
2017-07-31,12.33,12.39,12.07,12.23,10798345.0,0.0,1.0,12.33,12.39,12.07,12.23,10798345.0
2017-07-28,12.2,12.66,12.2,12.36,15975308.0,0.0,1.0,12.2,12.66,12.2,12.36,15975308.0
2017-07-27,12.17,12.27,11.99,12.23,15910213.0,0.0,1.0,12.17,12.27,11.99,12.23,15910213.0
2017-07-26,12.52,12.62,12.15,12.18,14425313.0,0.0,1.0,12.52,12.62,12.15,12.18,14425313.0
2017-07-25,12.09,12.49,12.08,12.34,19405743.0,0.0,1.0,12.09,12.49,12.08,12.34,19405743.0
2017-07-24,11.87,11.95,11.76,11.88,9086090.0,0.0,1.0,11.87,11.95,11.76,11.88,9086090.0
2017-07-21,12.05,12.08,11.77,11.85,12368309.0,0.0,1.0,12.05,12.08,11.77,11.85,12368309.0
2017-07-20,12.41,12.44,12.07,12.1,18313409.0,0.0,1.0,12.41,12.44,12.07,12.1,18313409.0
2017-07-19,11.66,12.28,11.6,12.25,19457909.0,0.0,1.0,11.66,12.28,11.6,12.25,19457909.0
2017-07-18,11.73,11.7786,11.48,11.68,14961552.0,0.0,1.0,11.73,11.7786,11.48,11.68,14961552.0
2017-07-17,11.63,11.87,11.58,11.59,14067363.0,0.0,1.0,11.63,11.87,11.58,11.59,14067363.0
2017-07-14,11.53,11.665,11.425,11.65,15234914.0,0.0,1.0,11.53,11.665,11.425,11.65,15234914.0
2017-07-13,11.43,11.49,11.22,11.45,18171571.0,0.0,1.0,11.43,11.49,11.22,11.45,18171571.0
2017-07-12,11.72,11.865,11.415,11.43,17744826.0,0.0,1.0,11.72,11.865,11.415,11.43,17744826.0
2017-07-11,11.53,11.73,11.414,11.59,10407678.0,0.0,1.0,11.53,11.73,11.414,11.59,10407678.0
2017-07-10,11.41,11.59,11.34,11.52,10970423.0,0.0,1.0,11.41,11.59,11.34,11.52,10970423.0
2017-07-07,11.54,11.55,11.22,11.47,15445947.0,0.0,1.0,11.54,11.55,11.22,11.47,15445947.0
2017-07-06,11.89,11.96,11.53,11.59,17909368.0,0.0,1.0,11.89,11.96,11.53,11.59,17909368.0
2017-07-05,12.03,12.05,11.5701,11.74,18979809.0,0.0,1.0,12.03,12.05,11.5701,11.74,18979809.0
2017-07-03,11.97,12.227,11.94,12.14,8812112.0,0.0,1.0,11.97,12.227,11.94,12.14,8812112.0
2017-06-30,11.78,11.97,11.6,11.85,15088231.0,0.0,1.0,11.78,11.97,11.6,11.85,15088231.0
2017-06-29,11.51,12.01,11.5,11.71,19772484.0,0.0,1.0,11.51,12.01,11.5,11.71,19772484.0
2017-06-28,11.32,11.57,11.2,11.45,23207374.0,0.0,1.0,11.32,11.57,11.2,11.45,23207374.0
2017-06-27,11.55,11.62,11.315,11.35,24909384.0,0.0,1.0,11.55,11.62,11.315,11.35,24909384.0
2017-06-26,11.56,11.68,11.4,11.53,9819888.0,0.0,1.0,11.56,11.68,11.4,11.53,9819888.0
2017-06-23,11.62,11.7357,11.41,11.53,14252811.0,0.0,1.0,11.62,11.7357,11.41,11.53,14252811.0
2017-06-22,11.72,11.82,11.5,11.59,12304566.0,0.0,1.0,11.72,11.82,11.5,11.59,12304566.0
2017-06-21,11.99,12.13,11.55,11.61,19904441.0,0.0,1.0,11.99,12.13,11.55,11.61,19904441.0
2017-06-20,12.23,12.23,11.85,12.06,18851783.0,0.0,1.0,12.23,12.23,11.85,12.06,18851783.0
2017-06-19,12.54,12.6,12.42,12.49,10139671.0,0.0,1.0,12.54,12.6,12.42,12.49,10139671.0
2017-06-16,12.47,12.59,12.32,12.52,16457424.0,0.0,1.0,12.47,12.59,12.32,12.52,16457424.0
2017-06-15,12.57,12.755,12.26,12.37,12857856.0,0.0,1.0,12.57,12.755,12.26,12.37,12857856.0
2017-06-14,12.87,13.0,12.47,12.64,14260098.0,0.0,1.0,12.87,13.0,12.47,12.64,14260098.0
2017-06-13,12.61,13.06,12.57,13.01,13933733.0,0.0,1.0,12.61,13.06,12.57,13.01,13933733.0
2017-06-12,12.75,12.96,12.55,12.62,13352437.0,0.0,1.0,12.75,12.96,12.55,12.62,13352437.0
2017-06-09,12.15,12.67,12.04,12.54,17448833.0,0.0,1.0,12.15,12.67,12.04,12.54,17448833.0
2017-06-08,12.12,12.36,12.04,12.09,15665919.0,0.0,1.0,12.12,12.36,12.04,12.09,15665919.0
2017-06-07,12.8,12.92,12.125,12.21,24171618.0,0.0,1.0,12.8,12.92,12.125,12.21,24171618.0
2017-06-06,12.76,12.96,12.64,12.88,10660289.0,0.0,1.0,12.76,12.96,12.64,12.88,10660289.0
2017-06-05,12.61,12.86,12.54,12.78,10988549.0,0.0,1.0,12.61,12.86,12.54,12.78,10988549.0
2017-06-02,12.96,12.99,12.56,12.72,13848425.0,0.0,1.0,12.96,12.99,12.56,12.72,13848425.0
2017-06-01,13.05,13.41,12.95,13.1,11590959.0,0.0,1.0,13.05,13.41,12.95,13.1,11590959.0
2017-05-31,12.92,13.1,12.75,13.02,14886131.0,0.0,1.0,12.92,13.1,12.75,13.02,14886131.0
2017-05-30,13.42,13.43,13.11,13.12,10953983.0,0.0,1.0,13.42,13.43,13.11,13.12,10953983.0
2017-05-26,13.52,13.62,13.3,13.52,11294538.0,0.0,1.0,13.52,13.62,13.3,13.52,11294538.0
2017-05-25,14.42,14.7,13.43,13.5,26991915.0,0.0,1.0,14.42,14.7,13.43,13.5,26991915.0
2017-05-24,14.55,14.67,14.36,14.53,13015223.0,0.0,1.0,14.55,14.67,14.36,14.53,13015223.0
2017-05-23,14.49,14.59,14.365,14.56,10507179.0,0.0,1.0,14.49,14.59,14.365,14.56,10507179.0
2017-05-22,14.61,14.7,14.4,14.44,9994552.0,0.0,1.0,14.61,14.7,14.4,14.44,9994552.0
2017-05-19,14.25,14.67,14.21,14.53,12773472.0,0.0,1.0,14.25,14.67,14.21,14.53,12773472.0
2017-05-18,14.22,14.47,14.02,14.12,10776468.0,0.0,1.0,14.22,14.47,14.02,14.12,10776468.0
2017-05-17,14.23,14.61,14.18,14.35,14647038.0,0.0,1.0,14.23,14.61,14.18,14.35,14647038.0
2017-05-16,14.65,14.7,14.32,14.43,12764906.0,0.0,1.0,14.65,14.7,14.32,14.43,12764906.0
2017-05-15,14.93,15.12,14.43,14.54,15973820.0,0.05,1.0,14.93,15.12,14.43,14.54,15973820.0
2017-05-12,14.535,14.559,14.1517,14.33,17497995.0,0.0,1.0,14.4851884853,14.5091062371,14.1032020562,14.2808910212,17497995.0
2017-05-11,14.66,14.84,14.47,14.48,12619308.0,0.0,1.0,14.6097601097,14.7891432488,14.4204112406,14.4303769705,12619308.0
2017-05-10,14.57,14.94,14.52,14.7,14454263.0,0.0,1.0,14.5200685401,14.8888005483,14.4702398903,14.6496230295,14454263.0
2017-05-09,14.63,14.63,14.28,14.4,10126082.0,0.0,1.0,14.5798629198,14.5798629198,14.2310623715,14.3506511309,10126082.0
2017-05-08,14.29,14.65,14.22,14.59,11747584.0,0.0,1.0,14.2410281014,14.5997943797,14.1712679918,14.54,11747584.0
2017-05-05,14.1,14.34,13.65,14.29,21878546.0,0.0,1.0,14.0516792324,14.2908567512,13.6032213845,14.2410281014,21878546.0
2017-05-04,14.65,14.67,13.97,14.17,18854457.0,0.0,1.0,14.5997943797,14.6197258396,13.922124743,14.121439342,18854457.0
2017-05-03,14.56,14.95,14.52,14.85,12224669.0,0.0,1.0,14.5101028101,14.8987662783,14.4702398903,14.7991089788,12224669.0
2017-05-02,14.84,14.95,14.465,14.64,11147998.0,0.0,1.0,14.7891432488,14.8987662783,14.4154283756,14.5898286498,11147998.0
2017-05-01,14.87,14.95,14.74,14.82,7810750.0,0.0,1.0,14.8190404387,14.8987662783,14.6894859493,14.7692117889,7810750.0
2017-04-28,14.99,15.17,14.82,14.87,12815391.0,0.0,1.0,14.9386291981,15.1180123372,14.7692117889,14.8190404387,12815391.0
2017-04-27,15.1,15.18,14.63,14.88,21618281.0,0.0,1.0,15.0482522276,15.1279780672,14.5798629198,14.8290061686,21618281.0
2017-04-26,15.49,15.86,15.31,15.31,14794164.0,0.0,1.0,15.4369156957,15.8056477039,15.2575325565,15.2575325565,14794164.0
2017-04-25,15.17,15.63,15.05,15.61,10929393.0,0.0,1.0,15.1180123372,15.576435915,14.9984235778,15.5565044551,10929393.0
2017-04-24,15.31,15.36,14.99,15.15,12722638.0,0.0,1.0,15.2575325565,15.3073612063,14.9386291981,15.0980808773,12722638.0
2017-04-21,15.02,15.24,14.89,15.16,14072858.0,0.0,1.0,14.9685263879,15.1877724469,14.8389718986,15.1080466073,14072858.0
2017-04-20,15.16,15.3,15.04,15.09,10314227.0,0.0,1.0,15.1080466073,15.2475668266,14.9884578478,15.0382864976,10314227.0
2017-04-19,15.76,15.82,14.96,15.06,13678193.0,0.0,1.0,15.7059904044,15.7657847841,14.9087320082,15.0083893077,13678193.0
2017-04-18,15.83,16.05,15.51,15.74,14014903.0,0.0,1.0,15.7757505141,15.994996573,15.4568471556,15.6860589445,14014903.0
2017-04-17,15.91,16.11,15.7,16.02,11375158.0,0.0,1.0,15.8554763537,16.0547909527,15.6461960247,15.9650993831,11375158.0
2017-04-13,16.35,16.4,15.82,15.91,15490945.0,0.0,1.0,16.2939684716,16.3437971213,15.7657847841,15.8554763537,15490945.0
2017-04-12,16.64,16.9,16.29,16.41,16372093.0,0.0,1.0,16.5829746402,16.8420836189,16.2341740918,16.3537628513,16372093.0
2017-04-11,16.56,16.615,16.265,16.6,9673589.0,0.0,1.0,16.5032488005,16.5580603153,16.209259767,16.5431117204,9673589.0
2017-04-10,16.38,16.68,16.35,16.56,11566712.0,0.0,1.0,16.3238656614,16.62283756,16.2939684716,16.5032488005,11566712.0
2017-04-07,16.31,16.47,16.25,16.26,12551113.0,0.0,1.0,16.2541055517,16.413557231,16.194311172,16.204276902,12551113.0
