Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,47.79,48.45,47.52,48.08,8906804.0,0.0,1.0,47.79,48.45,47.52,48.08,8906804.0
2017-08-03,47.24,47.55,47.11,47.26,6479288.0,0.0,1.0,47.24,47.55,47.11,47.26,6479288.0
2017-08-02,47.14,47.46,46.825,47.33,6020026.0,0.0,1.0,47.14,47.46,46.825,47.33,6020026.0
2017-08-01,47.25,47.53,47.055,47.21,6329976.0,0.0,1.0,47.25,47.53,47.055,47.21,6329976.0
2017-07-31,46.94,47.15,46.6,46.9,6764635.0,0.0,1.0,46.94,47.15,46.6,46.9,6764635.0
2017-07-28,46.98,47.2,46.455,46.66,7959560.0,0.0,1.0,46.98,47.2,46.455,46.66,7959560.0
2017-07-27,47.14,47.595,46.6311,47.09,9439318.0,0.25,1.0,47.14,47.595,46.6311,47.09,9439318.0
2017-07-26,47.72,47.85,47.12,47.21,9034543.0,0.0,1.0,47.4679932404,47.5973067174,46.8711618082,46.960686523,9034543.0
2017-07-25,47.23,48.04,47.23,47.61,11885032.0,0.0,1.0,46.9805809041,47.7863033376,46.9805809041,47.3585741445,11885032.0
2017-07-24,46.5,46.97,46.46,46.71,7443591.0,0.0,1.0,46.2544359949,46.7219539501,46.2146472328,46.4633269962,7443591.0
2017-07-21,46.12,46.79,46.1,46.59,9021263.0,0.0,1.0,45.8764427545,46.5429045205,45.8565483735,46.3439607098,9021263.0
2017-07-20,46.35,47.1899,46.35,46.51,10652159.0,0.0,1.0,46.1052281369,46.94069267,46.1052281369,46.2643831855,10652159.0
2017-07-19,46.95,47.0,45.98,46.62,17586286.0,0.0,1.0,46.7020595691,46.7517955218,45.737182087,46.3738022814,17586286.0
2017-07-18,44.93,45.25,44.69,45.14,9594086.0,0.0,1.0,44.6927270807,45.0110371779,44.4539945078,44.901618082,9594086.0
2017-07-17,45.15,45.53,44.93,45.33,5141360.0,0.0,1.0,44.9115652725,45.2895585129,44.6927270807,45.0906147022,5141360.0
2017-07-14,44.88,45.395,44.32,45.2,8219102.0,0.0,1.0,44.642991128,45.1552714406,44.085948458,44.9613012252,8219102.0
2017-07-13,45.17,45.725,44.991,45.52,6204171.0,0.0,1.0,44.9314596536,45.4835287283,44.753404943,45.2796113223,6204171.0
2017-07-12,45.33,45.33,44.73,44.96,10234418.0,0.0,1.0,45.0906147022,45.0906147022,44.49378327,44.7225686523,10234418.0
2017-07-11,45.83,45.93,45.38,45.48,8454339.0,0.0,1.0,45.587974229,45.6874461343,45.1403506548,45.2398225602,8454339.0
2017-07-10,45.95,46.235,45.8,45.99,5321495.0,0.0,1.0,45.7073405154,45.9908354457,45.5581326574,45.7471292776,5321495.0
2017-07-07,46.32,46.4,45.96,46.05,6441951.0,0.0,1.0,46.0753865653,46.1549640896,45.717287706,45.8068124208,6441951.0
2017-07-06,46.1,46.64,45.7729,46.13,10417339.0,0.0,1.0,45.8565483735,46.3936966624,45.531175771,45.8863899451,10417339.0
2017-07-05,45.89,46.25,45.54,46.16,9843234.0,0.0,1.0,45.6476573722,46.0057562315,45.2995057034,45.9162315167,9843234.0
2017-07-03,45.0,46.02,44.98,45.61,7486908.0,0.0,1.0,44.7623574144,45.7769708492,44.7424630334,45.3691360372,7486908.0
2017-06-30,45.33,45.43,44.44,44.56,8379347.0,0.0,1.0,45.0906147022,45.1900866075,44.2053147444,44.3246810308,8379347.0
2017-06-29,45.44,45.61,44.27,44.75,15728164.0,0.0,1.0,45.2000337981,45.3691360372,44.0362125053,44.513677651,15728164.0
2017-06-28,44.46,44.795,44.2,44.32,15843055.0,0.0,1.0,44.2252091255,44.5584400084,43.9665821715,44.085948458,15843055.0
2017-06-27,44.34,44.76,44.16,44.22,8318762.0,0.0,1.0,44.105842839,44.5236248416,43.9267934094,43.9864765526,8318762.0
2017-06-26,43.96,44.33,43.48,44.0,5780382.0,0.0,1.0,43.7278495986,44.0958956485,43.2503844529,43.7676383608,5780382.0
2017-06-23,44.7,44.73,43.51,43.69,15915082.0,0.0,1.0,44.4639416984,44.49378327,43.2802260245,43.4592754542,15915082.0
2017-06-22,44.7,44.87,44.38,44.61,7750503.0,0.0,1.0,44.4639416984,44.6330439375,44.1456316012,44.3744169835,7750503.0
2017-06-21,45.45,45.525,44.81,44.91,7257621.0,0.0,1.0,45.2099809886,45.2845849176,44.5733607943,44.6728326996,7257621.0
2017-06-20,45.48,45.72,45.28,45.5,6680509.0,0.0,1.0,45.2398225602,45.4785551331,45.0408787495,45.2597169413,6680509.0
2017-06-19,44.88,45.91,44.83,45.72,9153742.0,0.0,1.0,44.642991128,45.6675517533,44.5932551753,45.4785551331,9153742.0
2017-06-16,44.769,44.84,44.24,44.48,9483171.0,0.0,1.0,44.5325773131,44.6032023659,44.0063709337,44.2451035065,9483171.0
2017-06-15,44.48,45.08,44.42,44.69,6905109.0,0.0,1.0,44.2451035065,44.8419349387,44.1854203633,44.4539945078,6905109.0
2017-06-14,44.57,45.12,44.22,44.91,11796250.0,0.0,1.0,44.3346282214,44.8817237009,43.9864765526,44.6728326996,11796250.0
2017-06-13,45.07,45.98,45.05,45.15,9857826.0,0.0,1.0,44.8319877482,45.737182087,44.8120933671,44.9115652725,9857826.0
2017-06-12,45.04,45.5,44.38,44.85,10384231.0,0.0,1.0,44.8021461766,45.2597169413,44.1456316012,44.6131495564,10384231.0
2017-06-09,44.36,45.35,44.36,44.91,13489901.0,0.0,1.0,44.1257372201,45.1105090832,44.1257372201,44.6728326996,13489901.0
2017-06-08,43.26,44.72,43.15,44.1,11032458.0,0.0,1.0,43.0315462611,44.4838360794,42.9221271652,43.8671102662,11032458.0
2017-06-07,43.14,43.45,42.92,43.28,6378506.0,0.0,1.0,42.9121799747,43.2205428813,42.6933417828,43.0514406422,6378506.0
2017-06-06,42.45,43.07,42.21,42.94,7863199.0,0.0,1.0,42.2258238276,42.8425496409,41.9870912548,42.7132361639,7863199.0
2017-06-05,42.55,43.4,42.45,42.89,6892826.0,0.0,1.0,42.325295733,43.1708069286,42.2258238276,42.6635002112,6892826.0
2017-06-02,42.15,42.935,41.9,42.52,10016390.0,0.0,1.0,41.9274081115,42.7082625687,41.6787283481,42.2954541614,10016390.0
2017-06-01,41.98,42.73,41.75,42.61,9654328.0,0.0,1.0,41.7583058724,42.5043451627,41.5295204901,42.3849788762,9654328.0
2017-05-31,42.19,42.19,41.07,41.74,13637891.0,0.0,1.0,41.9671968737,41.9671968737,40.8531115336,41.5195732995,13637891.0
2017-05-30,42.58,42.72,42.05,42.28,6377888.0,0.0,1.0,42.3551373046,42.4943979721,41.8279362062,42.0567215885,6377888.0
2017-05-26,42.45,42.97,42.44,42.84,5346476.0,0.0,1.0,42.2258238276,42.7430777355,42.2158766371,42.6137642586,5346476.0
2017-05-25,42.83,42.97,42.49,42.63,5062794.0,0.0,1.0,42.603817068,42.7430777355,42.2656125898,42.4048732573,5062794.0
2017-05-24,42.36,42.74,42.3,42.63,6583889.0,0.0,1.0,42.1362991128,42.5142923532,42.0766159696,42.4048732573,6583889.0
2017-05-23,41.51,42.645,41.33,42.42,10761346.0,0.0,1.0,41.2907879172,42.4197940431,41.1117384875,42.195982256,10761346.0
2017-05-22,42.05,42.17,41.495,41.66,6752554.0,0.0,1.0,41.8279362062,41.9473024926,41.2758671314,41.4399957752,6752554.0
2017-05-19,41.59,42.22,41.36,41.8,10486745.0,0.0,1.0,41.3703654415,41.9970384453,41.1415800591,41.5792564428,10486745.0
2017-05-18,41.0,41.875,40.92,41.31,14498372.0,0.0,1.0,40.7834811998,41.6538603718,40.7039036755,41.0918441065,14498372.0
2017-05-17,42.4,42.5,40.43,40.97,22899920.0,0.0,1.0,42.1760878749,42.2755597803,40.2164913392,40.7536396282,22899920.0
2017-05-16,43.54,43.64,43.29,43.38,6888917.0,0.0,1.0,43.3100675961,43.4095395015,43.0613878327,43.1509125475,6888917.0
2017-05-15,42.82,43.62,42.8042,43.43,9922130.0,0.0,1.0,42.5938698775,43.3896451204,42.5781533164,43.2006485002,9922130.0
2017-05-12,42.61,42.76,42.36,42.73,5836319.0,0.0,1.0,42.3849788762,42.5341867343,42.1362991128,42.5043451627,5836319.0
2017-05-11,42.98,43.2,42.44,42.87,6339987.0,0.0,1.0,42.7530249261,42.9718631179,42.2158766371,42.6436058302,6339987.0
2017-05-10,42.8,43.195,42.67,43.1,7368296.0,0.0,1.0,42.5739754964,42.9668895226,42.4446620194,42.8723912125,7368296.0
2017-05-09,43.05,43.34,42.67,42.83,6068704.0,0.0,1.0,42.8226552598,43.1111237854,42.4446620194,42.603817068,6068704.0
2017-05-08,43.15,43.31,42.93,43.02,7172056.0,0.0,1.0,42.9221271652,43.0812822138,42.7032889734,42.7928136882,7172056.0
2017-05-05,43.36,43.56,42.87,43.08,6893434.0,0.0,1.0,43.1310181665,43.3299619772,42.6436058302,42.8524968314,6893434.0
2017-05-04,43.85,43.97,43.22,43.28,7367767.0,0.0,1.0,43.6184305027,43.7377967892,42.9917574989,43.0514406422,7367767.0
2017-05-03,43.15,43.77,43.116,43.48,5578267.0,0.0,1.0,42.9221271652,43.5388529785,42.8883067174,43.2503844529,5578267.0
2017-05-02,43.67,43.78,43.0,43.35,8126417.0,0.0,1.0,43.4393810731,43.548800169,42.7729193071,43.1210709759,8126417.0
2017-05-01,43.76,44.06,43.49,43.74,7552203.0,0.0,1.0,43.5289057879,43.827321504,43.2603316434,43.5090114068,7552203.0
2017-04-28,43.6,43.81,43.34,43.37,9049132.0,0.0,1.0,43.3697507393,43.5786417406,43.1111237854,43.140965357,9049132.0
2017-04-27,44.16,44.21,43.39,43.54,9041320.0,0.2,1.0,43.9267934094,43.9765293621,43.1608597381,43.3100675961,9041320.0
2017-04-26,44.17,44.86,44.14,44.37,12938395.0,0.0,1.0,43.7358410087,44.4190588103,43.7061358869,43.9338751541,12938395.0
2017-04-25,43.98,44.45,43.92,44.27,13857588.0,0.0,1.0,43.5477085706,44.0130888122,43.488298327,43.8348580814,13857588.0
2017-04-24,43.39,43.73,43.19,43.56,16188120.0,0.0,1.0,42.9635078417,43.3001658888,42.7654736963,43.1318368653,16188120.0
2017-04-21,42.21,42.61,41.705,41.8,12951314.0,0.0,1.0,41.7951063839,42.1911746747,41.2950701668,41.3891363859,12951314.0
2017-04-20,42.61,42.76,42.1,42.5,13813420.0,0.0,1.0,42.1911746747,42.3397002837,41.6861876039,42.0822558947,13813420.0
2017-04-19,42.31,42.94,41.96,42.04,19850262.0,0.0,1.0,41.8941234566,42.5179310146,41.5475637022,41.6267773603,19850262.0
2017-04-18,40.99,41.55,40.75,41.21,13872360.0,0.0,1.0,40.587098097,41.1415937041,40.3494571226,40.804935657,13872360.0
2017-04-17,40.78,41.545,40.58,41.49,7959724.0,0.0,1.0,40.3791622444,41.1366428505,40.181128099,41.0821834605,7959724.0
2017-04-13,40.83,41.68,40.5,40.69,10516537.0,0.0,1.0,40.4286707807,41.2703158986,40.1019144408,40.290046879,10516537.0
2017-04-12,41.5,41.52,41.005,41.07,10440641.0,0.0,1.0,41.0920851678,41.1118885823,40.6019506579,40.6663117552,10440641.0
2017-04-11,41.56,41.775,40.99,41.58,10318445.0,0.0,1.0,41.1514954114,41.3643821177,40.587098097,41.1712988259,10318445.0
2017-04-10,41.9,42.15,41.39,41.91,8677226.0,0.0,1.0,41.4881534586,41.7356961403,40.9831663878,41.4980551658,8677226.0
2017-04-07,41.62,42.25,41.42,41.95,9319543.0,0.0,1.0,41.210905655,41.834713213,41.0128715096,41.5376619949,9319543.0
2017-04-06,41.63,42.3654,41.43,42.09,9520900.0,0.0,1.0,41.2208073623,41.9489789149,41.0227732169,41.6762858967,9520900.0
2017-04-05,43.01,43.1,41.61,41.74,12455149.0,0.0,1.0,42.5872429655,42.6763583309,41.2010039477,41.3297261422,12455149.0
2017-04-04,42.54,42.84,42.3501,42.51,7836906.0,0.0,1.0,42.1218627238,42.4189139419,41.9338293027,42.092157602,7836906.0
2017-04-03,42.81,42.99,42.08,42.71,12531806.0,0.0,1.0,42.3892088201,42.5674395509,41.6663841894,42.2901917474,12531806.0
2017-03-31,43.25,43.25,42.665,42.84,11203334.0,0.0,1.0,42.8248839399,42.8248839399,42.2456340647,42.4189139419,11203334.0
2017-03-30,42.85,43.71,42.8,43.43,11264835.0,0.0,1.0,42.4288156491,43.2803624743,42.3793071128,43.0031146708,11264835.0
