Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,163.99,165.21,163.12,163.58,678962.0,0.0,1.0,163.99,165.21,163.12,163.58,678962.0
2017-08-03,164.64,164.88,163.1,163.79,608353.0,0.0,1.0,164.64,164.88,163.1,163.79,608353.0
2017-08-02,164.19,164.94,163.59,164.92,436983.0,0.0,1.0,164.19,164.94,163.59,164.92,436983.0
2017-08-01,163.88,165.14,163.44,164.66,947770.0,0.0,1.0,163.88,165.14,163.44,164.66,947770.0
2017-07-31,160.82,164.23,160.44,163.15,691892.0,0.0,1.0,160.82,164.23,160.44,163.15,691892.0
2017-07-28,159.0,161.67,158.42,160.59,724808.0,0.0,1.0,159.0,161.67,158.42,160.59,724808.0
2017-07-27,158.06,159.07,157.26,159.01,836831.0,0.0,1.0,158.06,159.07,157.26,159.01,836831.0
2017-07-26,161.97,161.97,157.55,157.98,930232.0,0.0,1.0,161.97,161.97,157.55,157.98,930232.0
2017-07-25,163.12,163.91,161.08,161.5,1316788.0,0.0,1.0,163.12,163.91,161.08,161.5,1316788.0
2017-07-24,158.21,161.36,158.21,160.34,956265.0,0.0,1.0,158.21,161.36,158.21,160.34,956265.0
2017-07-21,159.56,160.565,157.63,158.11,679783.0,0.0,1.0,159.56,160.565,157.63,158.11,679783.0
2017-07-20,162.62,162.95,159.07,160.34,792515.0,0.0,1.0,162.62,162.95,159.07,160.34,792515.0
2017-07-19,166.82,166.85,160.9,162.48,1550866.0,0.0,1.0,166.82,166.85,160.9,162.48,1550866.0
2017-07-18,164.83,165.9,164.34,165.48,1051489.0,0.0,1.0,164.83,165.9,164.34,165.48,1051489.0
2017-07-17,165.55,166.35,164.18,165.99,596735.0,0.0,1.0,165.55,166.35,164.18,165.99,596735.0
2017-07-14,165.16,166.45,164.3,165.77,488030.0,0.0,1.0,165.16,166.45,164.3,165.77,488030.0
2017-07-13,165.58,166.81,164.925,166.54,443441.0,0.0,1.0,165.58,166.81,164.925,166.54,443441.0
2017-07-12,164.88,165.5,163.71,165.24,630608.0,0.0,1.0,164.88,165.5,163.71,165.24,630608.0
2017-07-11,164.91,166.18,163.36,165.17,987167.0,0.0,1.0,164.91,166.18,163.36,165.17,987167.0
2017-07-10,164.7,165.395,163.99,164.36,579412.0,0.0,1.0,164.7,165.395,163.99,164.36,579412.0
2017-07-07,164.72,165.385,163.62,165.11,549560.0,0.0,1.0,164.72,165.385,163.62,165.11,549560.0
2017-07-06,164.38,165.53,163.44,163.59,700075.0,0.0,1.0,164.38,165.53,163.44,163.59,700075.0
2017-07-05,164.44,165.33,163.16,164.44,533587.0,0.0,1.0,164.44,165.33,163.16,164.44,533587.0
2017-07-03,162.98,165.26,162.345,164.31,386266.0,0.0,1.0,162.98,165.26,162.345,164.31,386266.0
2017-06-30,162.27,162.62,159.73,161.95,747013.0,0.0,1.0,162.27,162.62,159.73,161.95,747013.0
2017-06-29,163.11,163.9,159.29,161.18,1347716.0,0.0,1.0,163.11,163.9,159.29,161.18,1347716.0
2017-06-28,160.57,161.94,160.1864,161.65,622943.0,0.0,1.0,160.57,161.94,160.1864,161.65,622943.0
2017-06-27,159.93,161.33,159.1,159.16,419656.0,0.0,1.0,159.93,161.33,159.1,159.16,419656.0
