Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,14.29,14.4,14.09,14.27,3011441.0,0.0,1.0,14.29,14.4,14.09,14.27,3011441.0
2017-08-03,14.31,14.59,14.195,14.22,1958582.0,0.0,1.0,14.31,14.59,14.195,14.22,1958582.0
2017-08-02,14.79,14.88,14.32,14.32,2661391.0,0.0,1.0,14.79,14.88,14.32,14.32,2661391.0
2017-08-01,14.75,14.95,14.7,14.85,1919376.0,0.0,1.0,14.75,14.95,14.7,14.85,1919376.0
2017-07-31,14.73,14.955,14.69,14.75,1641807.0,0.0,1.0,14.73,14.955,14.69,14.75,1641807.0
2017-07-28,14.59,14.735,14.56,14.68,1227775.0,0.0,1.0,14.59,14.735,14.56,14.68,1227775.0
2017-07-27,14.63,14.73,14.46,14.59,1549952.0,0.0,1.0,14.63,14.73,14.46,14.59,1549952.0
2017-07-26,14.95,14.99,14.61,14.65,2018285.0,0.0,1.0,14.95,14.99,14.61,14.65,2018285.0
2017-07-25,14.96,15.235,14.84,15.0,2814894.0,0.0,1.0,14.96,15.235,14.84,15.0,2814894.0
2017-07-24,14.9,15.07,14.82,14.86,1815929.0,0.0,1.0,14.9,15.07,14.82,14.86,1815929.0
2017-07-21,14.94,15.09,14.8,14.95,2394169.0,0.0,1.0,14.94,15.09,14.8,14.95,2394169.0
2017-07-20,15.2,15.29,14.89,14.93,3467698.0,0.0,1.0,15.2,15.29,14.89,14.93,3467698.0
2017-07-19,16.92,16.92,15.27,15.29,4403694.0,0.0,1.0,16.92,16.92,15.27,15.29,4403694.0
2017-07-18,16.43,16.48,16.242,16.4,2104417.0,0.0,1.0,16.43,16.48,16.242,16.4,2104417.0
2017-07-17,16.52,16.68,16.4,16.49,1882670.0,0.0,1.0,16.52,16.68,16.4,16.49,1882670.0
2017-07-14,16.5,16.685,16.37,16.57,1199666.0,0.0,1.0,16.5,16.685,16.37,16.57,1199666.0
2017-07-13,16.6,16.72,16.29,16.63,1836068.0,0.0,1.0,16.6,16.72,16.29,16.63,1836068.0
2017-07-12,16.34,16.665,16.29,16.57,1365244.0,0.0,1.0,16.34,16.665,16.29,16.57,1365244.0
2017-07-11,16.35,16.4,16.16,16.32,1293392.0,0.0,1.0,16.35,16.4,16.16,16.32,1293392.0
2017-07-10,16.19,16.53,16.05,16.39,2297732.0,0.0,1.0,16.19,16.53,16.05,16.39,2297732.0
2017-07-07,16.13,16.25,15.95,16.18,2868555.0,0.0,1.0,16.13,16.25,15.95,16.18,2868555.0
2017-07-06,16.62,16.7,16.035,16.05,4329252.0,0.0,1.0,16.62,16.7,16.035,16.05,4329252.0
2017-07-05,16.82,16.89,16.46,16.68,3164605.0,0.0,1.0,16.82,16.89,16.46,16.68,3164605.0
2017-07-03,16.8,16.93,16.65,16.81,1557748.0,0.0,1.0,16.8,16.93,16.65,16.81,1557748.0
2017-06-30,16.72,16.8,16.59,16.65,2313677.0,0.0,1.0,16.72,16.8,16.59,16.65,2313677.0
2017-06-29,16.75,16.97,16.46,16.64,1967763.0,0.0,1.0,16.75,16.97,16.46,16.64,1967763.0
2017-06-28,16.59,16.71,16.41,16.65,2583497.0,0.0,1.0,16.59,16.71,16.41,16.65,2583497.0
2017-06-27,16.33,16.56,16.3,16.49,2000069.0,0.0,1.0,16.33,16.56,16.3,16.49,2000069.0
2017-06-26,16.05,16.43,15.99,16.29,1930354.0,0.0,1.0,16.05,16.43,15.99,16.29,1930354.0
2017-06-23,15.95,16.165,15.82,15.96,3278486.0,0.0,1.0,15.95,16.165,15.82,15.96,3278486.0
2017-06-22,15.97,16.02,15.72,15.87,2330617.0,0.0,1.0,15.97,16.02,15.72,15.87,2330617.0
2017-06-21,16.4,16.43,15.78,15.98,3294706.0,0.0,1.0,16.4,16.43,15.78,15.98,3294706.0
