Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,36.29,36.55,35.9,36.15,4072469.0,0.0,1.0,36.29,36.55,35.9,36.15,4072469.0
2017-08-03,36.79,37.07,36.56,36.59,4406323.0,0.0,1.0,36.79,37.07,36.56,36.59,4406323.0
2017-08-02,36.71,37.14,36.49,36.87,3854166.0,0.0,1.0,36.71,37.14,36.49,36.87,3854166.0
2017-08-01,37.1,37.25,36.7801,36.98,5270622.0,0.0,1.0,37.1,37.25,36.7801,36.98,5270622.0
2017-07-31,37.07,37.33,36.81,37.17,5299798.0,0.0,1.0,37.07,37.33,36.81,37.17,5299798.0
2017-07-28,36.64,37.13,36.36,37.06,4348114.0,0.0,1.0,36.64,37.13,36.36,37.06,4348114.0
2017-07-27,37.27,37.35,36.35,36.44,7528286.0,0.0,1.0,37.27,37.35,36.35,36.44,7528286.0
2017-07-26,35.93,37.3,35.82,36.96,7671387.0,0.0,1.0,35.93,37.3,35.82,36.96,7671387.0
2017-07-25,34.58,36.6352,34.5,36.24,8897520.0,0.0,1.0,34.58,36.6352,34.5,36.24,8897520.0
2017-07-24,34.39,34.47,33.89,33.9,4849125.0,0.0,1.0,34.39,34.47,33.89,33.9,4849125.0
2017-07-21,34.15,34.46,34.03,34.39,4465755.0,0.0,1.0,34.15,34.46,34.03,34.39,4465755.0
2017-07-20,33.82,34.315,33.71,33.92,5921184.0,0.0,1.0,33.82,34.315,33.71,33.92,5921184.0
2017-07-19,33.66,34.06,33.62,33.88,4668379.0,0.0,1.0,33.66,34.06,33.62,33.88,4668379.0
2017-07-18,33.88,33.96,33.49,33.71,5626230.0,0.0,1.0,33.88,33.96,33.49,33.71,5626230.0
2017-07-17,33.47,33.991,33.42,33.73,3600043.0,0.0,1.0,33.47,33.991,33.42,33.73,3600043.0
2017-07-14,33.42,33.64,33.24,33.3,4396683.0,0.0,1.0,33.42,33.64,33.24,33.3,4396683.0
2017-07-13,33.15,33.45,32.9,32.94,3917331.0,0.0,1.0,33.15,33.45,32.9,32.94,3917331.0
2017-07-12,33.35,33.48,33.07,33.17,3979512.0,0.0,1.0,33.35,33.48,33.07,33.17,3979512.0
2017-07-11,32.53,33.01,32.185,32.95,3962313.0,0.0,1.0,32.53,33.01,32.185,32.95,3962313.0
2017-07-10,31.94,32.665,31.7,32.53,4399604.0,0.0,1.0,31.94,32.665,31.7,32.53,4399604.0
2017-07-07,32.15,32.35,31.86,32.03,4185450.0,0.0,1.0,32.15,32.35,31.86,32.03,4185450.0
2017-07-06,32.56,32.72,32.21,32.28,3853384.0,0.0,1.0,32.56,32.72,32.21,32.28,3853384.0
2017-07-05,32.13,32.9901,32.0045,32.68,8030808.0,0.0,1.0,32.13,32.9901,32.0045,32.68,8030808.0
2017-07-03,31.78,31.97,31.42,31.89,4024563.0,0.0,1.0,31.78,31.97,31.42,31.89,4024563.0
2017-06-30,32.23,32.53,32.12,32.39,4588491.0,0.0,1.0,32.23,32.53,32.12,32.39,4588491.0
2017-06-29,32.82,32.82,32.2,32.23,5850830.0,0.0,1.0,32.82,32.82,32.2,32.23,5850830.0
2017-06-28,33.18,33.43,32.665,33.04,3800730.0,0.0,1.0,33.18,33.43,32.665,33.04,3800730.0
2017-06-27,34.02,34.02,32.99,33.07,5678891.0,0.0,1.0,34.02,34.02,32.99,33.07,5678891.0
2017-06-26,33.49,34.085,33.4302,33.77,3289184.0,0.0,1.0,33.49,34.085,33.4302,33.77,3289184.0
2017-06-23,33.84,33.94,33.64,33.81,4271428.0,0.0,1.0,33.84,33.94,33.64,33.81,4271428.0
2017-06-22,33.38,33.67,33.15,33.5,3545833.0,0.0,1.0,33.38,33.67,33.15,33.5,3545833.0
2017-06-21,32.88,33.225,32.68,33.15,2643786.0,0.0,1.0,32.88,33.225,32.68,33.15,2643786.0
2017-06-20,32.83,32.9957,32.55,32.84,3273581.0,0.0,1.0,32.83,32.9957,32.55,32.84,3273581.0
2017-06-19,32.77,33.1153,32.555,32.88,4365301.0,0.0,1.0,32.77,33.1153,32.555,32.88,4365301.0
2017-06-16,33.15,33.25,32.71,32.84,7180921.0,0.0,1.0,33.15,33.25,32.71,32.84,7180921.0
2017-06-15,33.45,33.8,32.92,33.04,6799857.0,0.0,1.0,33.45,33.8,32.92,33.04,6799857.0
2017-06-14,35.07,35.11,33.5,33.72,6679647.0,0.0,1.0,35.07,35.11,33.5,33.72,6679647.0
