Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,26.41,26.53,26.3,26.4,1360123.0,0.0,1.0,26.41,26.53,26.3,26.4,1360123.0
2017-08-03,26.68,26.69,26.19,26.5,3082153.0,0.0,1.0,26.68,26.69,26.19,26.5,3082153.0
2017-08-02,25.9,26.67,25.75,26.67,2791394.0,0.0,1.0,25.9,26.67,25.75,26.67,2791394.0
2017-08-01,26.16,26.455,26.09,26.24,2842358.0,0.0,1.0,26.16,26.455,26.09,26.24,2842358.0
2017-07-31,26.09,26.185,26.01,26.06,1727037.0,0.0,1.0,26.09,26.185,26.01,26.06,1727037.0
2017-07-28,26.26,26.34,25.935,26.07,1665035.0,0.0,1.0,26.26,26.34,25.935,26.07,1665035.0
2017-07-27,26.3,26.39,26.22,26.29,2275134.0,0.175,1.0,26.3,26.39,26.22,26.29,2275134.0
2017-07-26,26.02,26.56,25.93,26.51,3763598.0,0.0,1.0,25.8479425657,26.3843718118,25.7585376913,26.3347024372,3763598.0
2017-07-25,26.12,26.16,25.925,26.02,2334405.0,0.0,1.0,25.9472813149,25.9870168147,25.7535707538,25.8479425657,2334405.0
2017-07-24,25.99,26.24,25.875,26.09,1813577.0,0.0,1.0,25.8181409409,26.0664878141,25.7039013792,25.9174796902,1813577.0
2017-07-21,25.81,26.02,25.72,25.98,4424431.0,0.0,1.0,25.6393311921,25.8479425657,25.5499263178,25.8082070659,4424431.0
2017-07-20,25.77,25.91,25.64,25.82,2309030.0,0.0,1.0,25.5995956924,25.7386699414,25.4704553183,25.6492650671,2309030.0
2017-07-19,25.72,25.78,25.625,25.65,1534783.0,0.0,1.0,25.5499263178,25.6095295674,25.455554506,25.4803891933,1534783.0
2017-07-18,25.86,25.88,25.67,25.69,2131716.0,0.0,1.0,25.6890005668,25.7088683166,25.5002569431,25.520124693,2131716.0
2017-07-17,25.75,25.81,25.66,25.81,899763.0,0.0,1.0,25.5797279426,25.6393311921,25.4903230682,25.6393311921,899763.0
2017-07-14,25.57,25.82,25.55,25.75,1707108.0,0.0,1.0,25.4009181938,25.6492650671,25.381050444,25.5797279426,1707108.0
2017-07-13,25.51,25.5399,25.24,25.35,1231286.0,0.0,1.0,25.3413149443,25.3710172303,25.0731003212,25.1823729454,1231286.0
2017-07-12,25.39,25.65,25.34,25.57,2107846.0,0.0,1.0,25.2221084451,25.4803891933,25.1724390705,25.4009181938,2107846.0
2017-07-11,25.22,25.27,24.96,25.17,3813399.0,0.0,1.0,25.0532325713,25.102901946,24.7949518232,25.0035631967,3813399.0
2017-07-10,25.35,25.51,25.2,25.21,1080339.0,0.0,1.0,25.1823729454,25.3413149443,25.0333648215,25.0432986964,1080339.0
2017-07-07,25.22,25.46,25.22,25.32,1074828.0,0.0,1.0,25.0532325713,25.2916455696,25.0532325713,25.1525713206,1074828.0
2017-07-06,25.27,25.34,25.105,25.2,1706984.0,0.0,1.0,25.102901946,25.1724390705,24.9389930096,25.0333648215,1706984.0
2017-07-05,25.31,25.425,25.24,25.35,2750809.0,0.0,1.0,25.1426374457,25.2568770074,25.0731003212,25.1823729454,2750809.0
2017-07-03,25.44,25.53,25.23,25.32,976025.0,0.0,1.0,25.2717778198,25.3611826941,25.0631664462,25.1525713206,976025.0
2017-06-30,25.44,25.64,25.36,25.36,2124724.0,0.0,1.0,25.2717778198,25.4704553183,25.1923068203,25.1923068203,2124724.0
2017-06-29,25.26,25.46,25.19,25.39,1971154.0,0.0,1.0,25.092968071,25.2916455696,25.0234309465,25.2221084451,1971154.0
2017-06-28,26.0,26.05,25.49,25.49,2109211.0,0.0,1.0,25.8280748158,25.8777441904,25.3214471944,25.3214471944,2109211.0
