Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,60.17,60.34,59.63,59.76,4105953.0,0.0,1.0,60.17,60.34,59.63,59.76,4105953.0
2017-08-03,59.8,60.53,59.64,60.14,5677162.0,0.0,1.0,59.8,60.53,59.64,60.14,5677162.0
2017-08-02,59.55,59.95,59.27,59.79,4468121.0,0.0,1.0,59.55,59.95,59.27,59.79,4468121.0
2017-08-01,59.0,59.94,58.9,59.84,9051700.0,0.0,1.0,59.0,59.94,58.9,59.84,9051700.0
2017-07-31,58.71,59.12,58.33,59.05,6225907.0,0.0,1.0,58.71,59.12,58.33,59.05,6225907.0
2017-07-28,58.15,58.735,57.97,58.67,5112825.0,0.0,1.0,58.15,58.735,57.97,58.67,5112825.0
2017-07-27,58.6,58.68,57.985,58.15,8259947.0,0.0,1.0,58.6,58.68,57.985,58.15,8259947.0
2017-07-26,59.09,59.13,58.32,58.36,5529498.0,0.0,1.0,59.09,59.13,58.32,58.36,5529498.0
2017-07-25,59.32,59.52,58.92,59.39,5157123.0,0.0,1.0,59.32,59.52,58.92,59.39,5157123.0
2017-07-24,59.69,59.7701,58.761,58.95,7498300.0,0.0,1.0,59.69,59.7701,58.761,58.95,7498300.0
2017-07-21,59.0,60.0,58.91,59.95,11048297.0,0.0,1.0,59.0,60.0,58.91,59.95,11048297.0
2017-07-20,59.12,59.59,58.8,59.1,11915496.0,0.0,1.0,59.12,59.59,58.8,59.1,11915496.0
2017-07-19,57.6,57.875,57.3925,57.77,4451101.0,0.0,1.0,57.6,57.875,57.3925,57.77,4451101.0
2017-07-18,57.74,58.08,57.47,57.65,4922455.0,0.0,1.0,57.74,58.08,57.47,57.65,4922455.0
2017-07-17,58.0,58.35,57.755,57.79,6883975.0,0.0,1.0,58.0,58.35,57.755,57.79,6883975.0
2017-07-14,57.95,58.21,57.64,58.0,6344849.0,0.0,1.0,57.95,58.21,57.64,58.0,6344849.0
2017-07-13,58.22,58.58,57.93,57.94,8108634.0,0.0,1.0,58.22,58.58,57.93,57.94,8108634.0
2017-07-12,58.31,58.75,58.1,58.22,7243119.0,0.0,1.0,58.31,58.75,58.1,58.22,7243119.0
2017-07-11,58.54,58.93,58.04,58.18,7222319.0,0.0,1.0,58.54,58.93,58.04,58.18,7222319.0
2017-07-10,57.89,58.81,57.68,58.73,8942398.0,0.0,1.0,57.89,58.81,57.68,58.73,8942398.0
2017-07-07,57.4,58.08,57.03,57.98,8145436.0,0.0,1.0,57.4,58.08,57.03,57.98,8145436.0
2017-07-06,57.45,57.72,57.0,57.16,9035661.0,0.0,1.0,57.45,57.72,57.0,57.16,9035661.0
2017-07-05,58.24,58.29,57.51,57.56,16166954.0,0.0,1.0,58.24,58.29,57.51,57.56,16166954.0
2017-07-03,58.37,59.01,58.33,58.65,9908761.0,0.0,1.0,58.37,59.01,58.33,58.65,9908761.0
2017-06-30,56.6,59.71,56.5,59.0,46537229.0,0.0,1.0,56.6,59.71,56.5,59.0,46537229.0
2017-06-29,53.33,53.63,52.99,53.17,14801866.0,0.0,1.0,53.33,53.63,52.99,53.17,14801866.0
2017-06-28,53.17,53.61,52.96,53.36,7525146.0,0.0,1.0,53.17,53.61,52.96,53.36,7525146.0
2017-06-27,53.19,53.26,52.64,52.95,7873136.0,0.0,1.0,53.19,53.26,52.64,52.95,7873136.0
2017-06-26,52.95,53.57,52.67,53.28,7966219.0,0.0,1.0,52.95,53.57,52.67,53.28,7966219.0
2017-06-23,52.15,52.915,51.67,52.85,8522404.0,0.0,1.0,52.15,52.915,51.67,52.85,8522404.0
2017-06-22,52.6,52.62,52.09,52.4,10660744.0,0.0,1.0,52.6,52.62,52.09,52.4,10660744.0
2017-06-21,51.9,52.685,51.9,52.59,13021697.0,0.0,1.0,51.9,52.685,51.9,52.59,13021697.0
2017-06-20,52.05,52.13,51.1,51.56,10676464.0,0.0,1.0,52.05,52.13,51.1,51.56,10676464.0
2017-06-19,51.42,52.22,51.4,52.02,11265164.0,0.0,1.0,51.42,52.22,51.4,52.02,11265164.0
2017-06-16,51.75,51.84,50.79,51.1,25725453.0,0.0,1.0,51.75,51.84,50.79,51.1,25725453.0
2017-06-15,54.0,54.05,52.73,52.9,16041068.0,0.0,1.0,54.0,54.05,52.73,52.9,16041068.0
2017-06-14,54.48,54.67,53.95,54.66,6783148.0,0.0,1.0,54.48,54.67,53.95,54.66,6783148.0
2017-06-13,54.03,54.66,53.84,54.31,8720065.0,0.0,1.0,54.03,54.66,53.84,54.31,8720065.0
2017-06-12,53.51,54.25,53.5,54.03,9180088.0,0.0,1.0,53.51,54.25,53.5,54.03,9180088.0
