Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,43.13,43.3,42.295,42.37,2932720.0,0.0,1.0,43.13,43.3,42.295,42.37,2932720.0
2017-08-03,43.27,43.43,42.885,42.99,2138387.0,0.0,1.0,43.27,43.43,42.885,42.99,2138387.0
2017-08-02,42.91,43.27,42.66,43.25,3514488.0,0.0,1.0,42.91,43.27,42.66,43.25,3514488.0
2017-08-01,43.22,43.61,42.89,42.96,4835969.0,0.0,1.0,43.22,43.61,42.89,42.96,4835969.0
2017-07-31,41.99,43.305,41.91,43.01,5989535.0,0.0,1.0,41.99,43.305,41.91,43.01,5989535.0
2017-07-28,41.28,41.965,40.89,41.8,5656213.0,0.0,1.0,41.28,41.965,40.89,41.8,5656213.0
2017-07-27,39.39,41.275,39.34,41.21,6365180.0,0.0,1.0,39.39,41.275,39.34,41.21,6365180.0
2017-07-26,38.8,40.21,38.71,39.89,5207074.0,0.0,1.0,38.8,40.21,38.71,39.89,5207074.0
2017-07-25,39.88,39.88,38.54,38.62,4120348.0,0.0,1.0,39.88,39.88,38.54,38.62,4120348.0
2017-07-24,39.39,39.96,39.1,39.83,3005858.0,0.0,1.0,39.39,39.96,39.1,39.83,3005858.0
2017-07-21,38.87,39.49,38.825,39.42,1787536.0,0.0,1.0,38.87,39.49,38.825,39.42,1787536.0
2017-07-20,38.52,39.12,38.36,38.91,2480781.0,0.0,1.0,38.52,39.12,38.36,38.91,2480781.0
2017-07-19,38.95,39.04,38.58,38.59,3040897.0,0.0,1.0,38.95,39.04,38.58,38.59,3040897.0
2017-07-18,39.07,39.19,38.74,38.99,2285893.0,0.0,1.0,39.07,39.19,38.74,38.99,2285893.0
2017-07-17,38.59,39.17,38.54,39.01,2146332.0,0.0,1.0,38.59,39.17,38.54,39.01,2146332.0
2017-07-14,38.29,38.92,38.18,38.65,1607293.0,0.0,1.0,38.29,38.92,38.18,38.65,1607293.0
2017-07-13,37.85,38.34,37.74,38.27,2253889.0,0.0,1.0,37.85,38.34,37.74,38.27,2253889.0
2017-07-12,37.49,37.9198,37.38,37.87,2848920.0,0.0,1.0,37.49,37.9198,37.38,37.87,2848920.0
2017-07-11,37.45,37.73,36.98,37.16,1975870.0,0.0,1.0,37.45,37.73,36.98,37.16,1975870.0
2017-07-10,37.5,37.65,37.27,37.5,1831930.0,0.0,1.0,37.5,37.65,37.27,37.5,1831930.0
2017-07-07,37.6,37.67,37.13,37.5,2099246.0,0.0,1.0,37.6,37.67,37.13,37.5,2099246.0
2017-07-06,37.85,37.93,37.44,37.49,2283664.0,0.0,1.0,37.85,37.93,37.44,37.49,2283664.0
2017-07-05,38.37,38.6,37.9,37.97,2343949.0,0.0,1.0,38.37,38.6,37.9,37.97,2343949.0
2017-07-03,38.68,38.9,38.36,38.45,1173960.0,0.0,1.0,38.68,38.9,38.36,38.45,1173960.0
2017-06-30,38.73,38.82,38.47,38.66,1701509.0,0.0,1.0,38.73,38.82,38.47,38.66,1701509.0
2017-06-29,38.98,39.04,38.31,38.57,1597864.0,0.0,1.0,38.98,39.04,38.31,38.57,1597864.0
2017-06-28,39.21,39.45,38.79,38.98,1989771.0,0.0,1.0,39.21,39.45,38.79,38.98,1989771.0
2017-06-27,38.64,39.07,38.47,38.94,3563655.0,0.0,1.0,38.64,39.07,38.47,38.94,3563655.0
2017-06-26,37.63,38.98,37.33,38.76,4652933.0,0.0,1.0,37.63,38.98,37.33,38.76,4652933.0
2017-06-23,37.15,37.485,37.0,37.46,7114160.0,0.0,1.0,37.15,37.485,37.0,37.46,7114160.0
2017-06-22,37.25,37.45,36.96,37.14,2478825.0,0.0,1.0,37.25,37.45,36.96,37.14,2478825.0
2017-06-21,38.25,38.33,37.11,37.23,3876524.0,0.0,1.0,38.25,38.33,37.11,37.23,3876524.0
