Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,88.42,89.5,88.15,88.99,1056823.0,0.0,1.0,88.42,89.5,88.15,88.99,1056823.0
2017-08-03,88.1,88.37,87.82,87.98,1197510.0,0.0,1.0,88.1,88.37,87.82,87.98,1197510.0
2017-08-02,88.11,88.399,87.34,88.11,1053490.0,0.0,1.0,88.11,88.399,87.34,88.11,1053490.0
2017-08-01,88.16,88.2,87.12,88.11,1282306.0,0.0,1.0,88.16,88.2,87.12,88.11,1282306.0
2017-07-31,87.33,87.81,86.96,87.51,981797.0,0.0,1.0,87.33,87.81,86.96,87.51,981797.0
2017-07-28,87.65,87.89,87.07,87.26,946510.0,0.0,1.0,87.65,87.89,87.07,87.26,946510.0
2017-07-27,87.92,88.4325,86.97,87.66,1213169.0,0.0,1.0,87.92,88.4325,86.97,87.66,1213169.0
2017-07-26,88.08,88.37,87.58,87.9,1307869.0,0.0,1.0,88.08,88.37,87.58,87.9,1307869.0
2017-07-25,88.96,89.44,87.865,88.15,1553709.0,0.0,1.0,88.96,89.44,87.865,88.15,1553709.0
2017-07-24,87.78,88.475,87.75,87.9,1760489.0,0.0,1.0,87.78,88.475,87.75,87.9,1760489.0
2017-07-21,87.59,87.96,86.57,87.84,2705755.0,0.0,1.0,87.59,87.96,86.57,87.84,2705755.0
2017-07-20,89.23,89.53,87.0,87.5,4028543.0,0.0,1.0,89.23,89.53,87.0,87.5,4028543.0
2017-07-19,91.5,92.5,87.355,89.21,5279941.0,0.0,1.0,91.5,92.5,87.355,89.21,5279941.0
2017-07-18,97.17,97.94,96.66,97.37,1340459.0,0.0,1.0,97.17,97.94,96.66,97.37,1340459.0
2017-07-17,98.02,98.935,97.226,98.03,623686.0,0.0,1.0,98.02,98.935,97.226,98.03,623686.0
2017-07-14,97.53,98.44,96.63,98.11,545479.0,0.0,1.0,97.53,98.44,96.63,98.11,545479.0
2017-07-13,98.21,98.24,97.5,98.19,940108.0,0.0,1.0,98.21,98.24,97.5,98.19,940108.0
2017-07-12,97.99,98.08,97.165,97.98,828016.0,0.0,1.0,97.99,98.08,97.165,97.98,828016.0
2017-07-11,98.41,98.63,97.61,97.9,718322.0,0.0,1.0,98.41,98.63,97.61,97.9,718322.0
2017-07-10,97.86,99.049,97.7,98.55,863461.0,0.0,1.0,97.86,99.049,97.7,98.55,863461.0
2017-07-07,98.08,98.71,97.41,98.13,994060.0,0.0,1.0,98.08,98.71,97.41,98.13,994060.0
2017-07-06,98.99,99.05,97.27,97.54,1403671.0,0.0,1.0,98.99,99.05,97.27,97.54,1403671.0
2017-07-05,98.88,99.29,97.95,98.98,1175000.0,0.0,1.0,98.88,99.29,97.95,98.98,1175000.0
2017-07-03,97.67,99.3,97.63,98.39,614772.0,0.0,1.0,97.67,99.3,97.63,98.39,614772.0
2017-06-30,98.12,98.12,96.98,97.21,1137962.0,0.0,1.0,98.12,98.12,96.98,97.21,1137962.0
2017-06-29,98.03,98.72,95.85,97.0,1440071.0,0.0,1.0,98.03,98.72,95.85,97.0,1440071.0
2017-06-28,96.0,97.7,95.71,96.66,1363887.0,0.0,1.0,96.0,97.7,95.71,96.66,1363887.0
2017-06-27,94.57,95.75,94.155,95.42,1189081.0,0.0,1.0,94.57,95.75,94.155,95.42,1189081.0
2017-06-26,94.21,94.77,93.601,94.2,625637.0,0.0,1.0,94.21,94.77,93.601,94.2,625637.0
2017-06-23,94.79,95.02,93.64,94.01,1143908.0,0.0,1.0,94.79,95.02,93.64,94.01,1143908.0
2017-06-22,94.03,94.74,93.8,94.34,801314.0,0.0,1.0,94.03,94.74,93.8,94.34,801314.0
2017-06-21,94.75,94.78,94.11,94.39,838625.0,0.0,1.0,94.75,94.78,94.11,94.39,838625.0
2017-06-20,94.76,95.39,94.58,94.64,593446.0,0.0,1.0,94.76,95.39,94.58,94.64,593446.0
2017-06-19,94.99,95.63,94.75,95.3,907522.0,0.0,1.0,94.99,95.63,94.75,95.3,907522.0
2017-06-16,94.12,94.59,93.52,94.55,1525832.0,0.0,1.0,94.12,94.59,93.52,94.55,1525832.0
2017-06-15,93.19,94.27,92.76,93.89,882850.0,0.0,1.0,93.19,94.27,92.76,93.89,882850.0
2017-06-14,91.57,93.72,91.25,93.36,1263892.0,0.0,1.0,91.57,93.72,91.25,93.36,1263892.0
