Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,57.46,57.54,56.9,57.48,1259303.0,0.0,1.0,57.46,57.54,56.9,57.48,1259303.0
2017-08-03,56.77,57.42,56.65,57.11,1333976.0,0.0,1.0,56.77,57.42,56.65,57.11,1333976.0
2017-08-02,56.71,57.01,56.0,56.88,2401470.0,0.0,1.0,56.71,57.01,56.0,56.88,2401470.0
2017-08-01,57.87,57.95,56.76,57.15,1862803.0,0.0,1.0,57.87,57.95,56.76,57.15,1862803.0
2017-07-31,57.96,58.07,57.21,57.67,2395713.0,0.0,1.0,57.96,58.07,57.21,57.67,2395713.0
2017-07-28,58.28,58.29,57.05,57.46,2966060.0,0.0,1.0,58.28,58.29,57.05,57.46,2966060.0
2017-07-27,58.24,59.0699,57.76,58.67,2939770.0,0.0,1.0,58.24,59.0699,57.76,58.67,2939770.0
2017-07-26,61.05,61.28,58.01,58.12,4601262.0,0.0,1.0,61.05,61.28,58.01,58.12,4601262.0
2017-07-25,61.28,62.26,60.83,60.92,3223555.0,0.0,1.0,61.28,62.26,60.83,60.92,3223555.0
2017-07-24,60.21,60.63,59.7602,60.51,2591650.0,0.0,1.0,60.21,60.63,59.7602,60.51,2591650.0
2017-07-21,59.76,60.56,59.68,60.23,3382780.0,0.0,1.0,59.76,60.56,59.68,60.23,3382780.0
2017-07-20,59.62,60.94,58.75,59.92,4061577.0,0.0,1.0,59.62,60.94,58.75,59.92,4061577.0
2017-07-19,59.56,60.79,59.36,60.66,4081864.0,0.0,1.0,59.56,60.79,59.36,60.66,4081864.0
2017-07-18,59.89,60.0,58.66,59.35,3079795.0,0.0,1.0,59.89,60.0,58.66,59.35,3079795.0
2017-07-17,59.86,60.27,59.53,60.12,1689461.0,0.0,1.0,59.86,60.27,59.53,60.12,1689461.0
2017-07-14,60.52,60.54,59.64,59.72,2001511.0,0.0,1.0,60.52,60.54,59.64,59.72,2001511.0
2017-07-13,59.21,60.87,58.72,60.5,3822773.0,0.0,1.0,59.21,60.87,58.72,60.5,3822773.0
2017-07-12,58.84,59.14,58.41,58.94,1751422.0,0.0,1.0,58.84,59.14,58.41,58.94,1751422.0
2017-07-11,58.87,59.26,58.21,58.6,2220224.0,0.0,1.0,58.87,59.26,58.21,58.6,2220224.0
2017-07-10,57.93,59.48,57.56,58.71,1958787.0,0.0,1.0,57.93,59.48,57.56,58.71,1958787.0
2017-07-07,59.33,59.4,57.43,58.2,2530724.0,0.0,1.0,59.33,59.4,57.43,58.2,2530724.0
2017-07-06,58.9,59.9,58.64,59.19,2290367.0,0.0,1.0,58.9,59.9,58.64,59.19,2290367.0
2017-07-05,58.93,59.43,58.045,59.16,2776811.0,0.0,1.0,58.93,59.43,58.045,59.16,2776811.0
2017-07-03,58.15,59.12,58.11,58.87,1794329.0,0.0,1.0,58.15,59.12,58.11,58.87,1794329.0
2017-06-30,58.55,59.12,57.85,57.87,2605000.0,0.0,1.0,58.55,59.12,57.85,57.87,2605000.0
2017-06-29,58.47,58.8,57.78,58.17,1793250.0,0.0,1.0,58.47,58.8,57.78,58.17,1793250.0
2017-06-28,57.15,58.51,57.15,58.17,2050545.0,0.377,1.0,57.15,58.51,57.15,58.17,2050545.0
2017-06-27,57.83,58.41,56.86,56.86,2143192.0,0.0,1.0,57.4576169573,58.0338821801,56.4938630502,56.4938630502,2143192.0
