Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,51.08,51.77,50.15,50.69,8935741.0,0.0,1.0,51.08,51.77,50.15,50.69,8935741.0
2017-08-03,52.35,53.09,52.18,52.56,4496232.0,0.0,1.0,52.35,53.09,52.18,52.56,4496232.0
2017-08-02,52.65,52.98,52.22,52.46,2322136.0,0.0,1.0,52.65,52.98,52.22,52.46,2322136.0
2017-08-01,53.03,53.1,52.285,52.67,3292818.0,0.0,1.0,53.03,53.1,52.285,52.67,3292818.0
2017-07-31,52.29,52.92,52.14,52.72,2108797.0,0.0,1.0,52.29,52.92,52.14,52.72,2108797.0
2017-07-28,52.0,52.46,51.91,52.07,2010606.0,0.0,1.0,52.0,52.46,51.91,52.07,2010606.0
2017-07-27,52.73,52.84,51.99,52.14,3061316.0,0.0,1.0,52.73,52.84,51.99,52.14,3061316.0
2017-07-26,53.08,53.09,52.69,52.75,1671476.0,0.0,1.0,53.08,53.09,52.69,52.75,1671476.0
2017-07-25,52.83,53.105,52.61,52.95,2741114.0,0.0,1.0,52.83,53.105,52.61,52.95,2741114.0
2017-07-24,52.87,52.95,52.49,52.6,3167866.0,0.0,1.0,52.87,52.95,52.49,52.6,3167866.0
2017-07-21,53.0,53.205,52.82,52.9,2587656.0,0.0,1.0,53.0,53.205,52.82,52.9,2587656.0
2017-07-20,53.89,53.91,52.99,53.1,2133284.0,0.0,1.0,53.89,53.91,52.99,53.1,2133284.0
2017-07-19,53.93,54.06,53.73,53.76,2605107.0,0.0,1.0,53.93,54.06,53.73,53.76,2605107.0
2017-07-18,53.86,54.105,53.75,53.85,1551283.0,0.0,1.0,53.86,54.105,53.75,53.85,1551283.0
2017-07-17,53.96,54.19,53.8701,53.9,2352923.0,0.0,1.0,53.96,54.19,53.8701,53.9,2352923.0
2017-07-14,53.51,53.84,53.4222,53.81,2098050.0,0.0,1.0,53.51,53.84,53.4222,53.81,2098050.0
2017-07-13,53.08,53.56,53.0,53.45,2615153.0,0.0,1.0,53.08,53.56,53.0,53.45,2615153.0
2017-07-12,53.22,53.62,52.97,53.02,2162434.0,0.0,1.0,53.22,53.62,52.97,53.02,2162434.0
2017-07-11,53.36,53.36,52.92,52.98,1569754.0,0.0,1.0,53.36,53.36,52.92,52.98,1569754.0
2017-07-10,53.27,53.6,53.25,53.4,2699739.0,0.0,1.0,53.27,53.6,53.25,53.4,2699739.0
2017-07-07,53.3,53.75,53.2,53.27,2538062.0,0.0,1.0,53.3,53.75,53.2,53.27,2538062.0
2017-07-06,53.5,53.77,52.99,53.05,2708300.0,0.0,1.0,53.5,53.77,52.99,53.05,2708300.0
2017-07-05,53.42,53.85,53.22,53.7,1681574.0,0.0,1.0,53.42,53.85,53.22,53.7,1681574.0
2017-07-03,53.86,54.06,53.45,53.45,1021695.0,0.0,1.0,53.86,54.06,53.45,53.45,1021695.0
2017-06-30,53.27,54.11,53.26,53.62,2672858.0,0.0,1.0,53.27,54.11,53.26,53.62,2672858.0
2017-06-29,53.2,53.24,52.48,53.02,2660274.0,0.0,1.0,53.2,53.24,52.48,53.02,2660274.0
2017-06-28,53.45,53.6,53.0,53.37,3645649.0,0.0,1.0,53.45,53.6,53.0,53.37,3645649.0
2017-06-27,53.4,54.08,52.97,53.1,2814534.0,0.0,1.0,53.4,54.08,52.97,53.1,2814534.0
2017-06-26,53.12,53.73,53.12,53.34,2525995.0,0.0,1.0,53.12,53.73,53.12,53.34,2525995.0
2017-06-23,52.3,53.13,52.0,53.1,13304156.0,0.0,1.0,52.3,53.13,52.0,53.1,13304156.0
2017-06-22,52.62,52.62,52.01,52.19,3441915.0,0.0,1.0,52.62,52.62,52.01,52.19,3441915.0
2017-06-21,53.17,53.49,52.385,52.57,3327923.0,0.0,1.0,53.17,53.49,52.385,52.57,3327923.0
2017-06-20,54.45,54.55,53.21,53.35,4112363.0,0.0,1.0,54.45,54.55,53.21,53.35,4112363.0
2017-06-19,54.91,55.08,54.36,54.54,3667452.0,0.0,1.0,54.91,55.08,54.36,54.54,3667452.0
2017-06-16,54.48,55.06,54.249,54.85,4564369.0,0.0,1.0,54.48,55.06,54.249,54.85,4564369.0
2017-06-15,54.55,54.96,54.05,54.59,6286155.0,0.0,1.0,54.55,54.96,54.05,54.59,6286155.0
2017-06-14,54.0,55.055,53.8,54.78,4718799.0,0.0,1.0,54.0,55.055,53.8,54.78,4718799.0
2017-06-13,52.9,53.79,52.775,53.78,2230319.0,0.0,1.0,52.9,53.79,52.775,53.78,2230319.0
2017-06-12,53.2,53.49,52.56,52.75,3429693.0,0.0,1.0,53.2,53.49,52.56,52.75,3429693.0
2017-06-09,53.03,53.43,52.86,53.24,2602751.0,0.0,1.0,53.03,53.43,52.86,53.24,2602751.0
2017-06-08,53.2,53.43,52.62,53.03,3274998.0,0.0,1.0,53.2,53.43,52.62,53.03,3274998.0
2017-06-07,52.91,53.08,52.68,52.95,1891310.0,0.0,1.0,52.91,53.08,52.68,52.95,1891310.0
2017-06-06,53.0,53.26,52.66,52.73,2220644.0,0.0,1.0,53.0,53.26,52.66,52.73,2220644.0
2017-06-05,53.16,53.26,52.85,53.09,1869824.0,0.0,1.0,53.16,53.26,52.85,53.09,1869824.0
2017-06-02,53.02,53.55,52.76,53.35,2809363.0,0.0,1.0,53.02,53.55,52.76,53.35,2809363.0
2017-06-01,53.0,53.33,52.64,53.01,2135777.0,0.0,1.0,53.0,53.33,52.64,53.01,2135777.0
2017-05-31,53.43,53.63,52.68,52.95,5790187.0,0.0,1.0,53.43,53.63,52.68,52.95,5790187.0
2017-05-30,53.26,53.48,53.1489,53.34,3288101.0,0.0,1.0,53.26,53.48,53.1489,53.34,3288101.0
2017-05-26,52.88,53.305,52.78,53.19,2140299.0,0.23,1.0,52.88,53.305,52.78,53.19,2140299.0
2017-05-25,53.0,53.355,52.86,53.28,2019033.0,0.0,1.0,52.7718083115,53.1252798577,52.632411082,53.0506027705,2019033.0
2017-05-24,52.81,52.935,52.32,52.81,2727690.0,0.0,1.0,52.5826263572,52.7070881692,52.0947360539,52.5826263572,2727690.0
2017-05-23,52.4,53.3,52.4,52.84,3335239.0,0.0,1.0,52.1743916136,53.0705166604,52.1743916136,52.6124971921,3335239.0
2017-05-22,53.1,53.21,52.62,52.79,2351323.0,0.0,1.0,52.8713777611,52.9809041557,52.3934444028,52.5627124672,2351323.0
2017-05-19,51.92,53.17,51.63,52.8,4858315.0,0.0,1.0,51.6964582553,52.9410763759,51.4077068514,52.5726694122,4858315.0
2017-05-18,52.1,52.1,51.17,51.87,2841127.0,0.0,1.0,51.8756832647,51.8756832647,50.949687383,51.6466735305,2841127.0
2017-05-17,52.73,52.96,52.11,52.17,3907149.0,0.0,1.0,52.5029707975,52.7319805316,51.8856402097,51.9453818794,3907149.0
2017-05-16,53.0,53.26,52.83,53.07,2912352.0,0.0,1.0,52.7718083115,53.0306888806,52.6025402471,52.8415069262,2912352.0
2017-05-15,52.75,53.12,52.73,53.0,6989750.0,0.0,1.0,52.5228846874,52.8912916511,52.5029707975,52.7718083115,6989750.0
2017-05-12,53.44,53.46,52.59,52.69,3465201.0,0.0,1.0,53.2099138899,53.2298277799,52.363573568,52.4631430176,3465201.0
2017-05-11,53.0,53.54,52.73,53.46,4589969.0,0.0,1.0,52.7718083115,53.3094833396,52.5029707975,53.2298277799,4589969.0
2017-05-10,52.82,53.18,52.5,53.08,3853934.0,0.0,1.0,52.5925833021,52.9510333209,52.2739610633,52.8514638712,3853934.0
2017-05-09,52.41,53.05,51.8,52.88,6462834.0,0.0,1.0,52.1843485586,52.8215930363,51.5769749158,52.6523249719,6462834.0
2017-05-08,51.2,52.87,50.85,51.93,14281099.0,0.0,1.0,50.9795582179,52.642368027,50.6310651441,51.7064152003,14281099.0
2017-05-05,45.99,46.46,45.85,46.39,4944169.0,0.0,1.0,45.7919898914,46.2599663048,45.6525926619,46.19026769,4944169.0
2017-05-04,45.55,46.06,45.19,45.85,4256555.0,0.0,1.0,45.353884313,45.8616885062,44.9954342943,45.6525926619,4256555.0
2017-05-03,46.0,46.19,45.25,45.48,3477459.0,0.0,1.0,45.8019468364,45.9911287907,45.0551759641,45.2841856982,3477459.0
2017-05-02,45.94,46.365,45.72,45.97,6790833.0,0.0,1.0,45.7422051666,46.1653753276,45.5231523774,45.7720760015,6790833.0
2017-05-01,47.18,47.69,45.62,46.0,9927019.0,0.0,1.0,46.9768663422,47.4846705354,45.4235829277,45.8019468364,9927019.0
2017-04-28,48.47,48.53,47.52,47.74,3617094.0,0.0,1.0,48.2613122426,48.3210539124,47.315402471,47.5344552602,3617094.0
2017-04-27,49.08,49.19,48.58,48.65,2857429.0,0.0,1.0,48.8686858854,48.97821228,48.3708386372,48.440537252,2857429.0
2017-04-26,48.64,49.27,48.42,49.06,3693838.0,0.0,1.0,48.430580307,49.0578678398,48.2115275178,48.8487719955,3693838.0
2017-04-25,48.17,48.675,48.02,48.52,2214882.0,0.0,1.0,47.9626038937,48.4654296144,47.8132497192,48.3110969674,2214882.0
2017-04-24,47.74,48.275,47.74,48.0,4527010.0,0.0,1.0,47.5344552602,48.0671518158,47.5344552602,47.7933358293,4527010.0
2017-04-21,47.0,47.78,46.85,47.35,3996636.0,0.0,1.0,46.7976413328,47.5742830401,46.6482871584,47.1461344066,3996636.0
2017-04-20,46.5,47.17,46.04,47.1,3557181.0,0.0,1.0,46.2997940846,46.9669093972,45.8417746162,46.8972107825,3557181.0
2017-04-19,46.45,46.85,46.125,46.31,2543037.0,0.0,1.0,46.2500093598,46.6482871584,45.9264086484,46.1106121303,2543037.0
2017-04-18,46.31,46.34,45.98,46.27,2152718.0,0.0,1.0,46.1106121303,46.1404829652,45.7820329465,46.0707843504,2152718.0
2017-04-17,46.04,46.545,46.01,46.47,1439078.0,0.0,1.0,45.8417746162,46.344600337,45.8119037814,46.2699232497,1439078.0
2017-04-13,46.1,46.31,45.98,46.02,1681495.0,0.0,1.0,45.901516286,46.1106121303,45.7820329465,45.8218607263,1681495.0
2017-04-12,46.22,46.44,45.985,46.17,2485373.0,0.0,1.0,46.0209996256,46.2400524148,45.7870114189,45.9712149008,2485373.0
2017-04-11,46.76,46.83,46.18,46.27,3110690.0,0.0,1.0,46.5586746537,46.6283732684,45.9811718458,46.0707843504,3110690.0
2017-04-10,46.28,46.82,46.12,46.77,3256797.0,0.0,1.0,46.0807412954,46.6184163235,45.921430176,46.5686315987,3256797.0
2017-04-07,46.12,46.39,46.0,46.22,2632070.0,0.0,1.0,45.921430176,46.19026769,45.8019468364,46.0209996256,2632070.0
2017-04-06,45.8,46.3,45.74,46.1,2505093.0,0.0,1.0,45.6028079371,46.1006551853,45.5430662673,45.901516286,2505093.0
2017-04-05,46.21,46.44,45.67,45.9,3463916.0,0.0,1.0,46.0110426806,46.2400524148,45.4733676526,45.7023773867,3463916.0
2017-04-04,46.95,47.09,46.065,46.18,3574379.0,0.0,1.0,46.747856608,46.8872538375,45.8666669787,45.9811718458,3574379.0
2017-04-03,47.15,47.3501,46.59,46.98,3694862.0,0.0,1.0,46.9469955073,47.146233976,46.3894065893,46.7777274429,3694862.0
2017-03-31,47.26,47.64,47.15,47.17,4098425.0,0.0,1.0,47.0565219019,47.4348858106,46.9469955073,46.9669093972,4098425.0
2017-03-30,47.6,47.93,47.23,47.36,2115229.0,0.0,1.0,47.3950580307,47.7236372145,47.026651067,47.1560913516,2115229.0
2017-03-29,47.65,47.78,47.27,47.73,2668786.0,0.0,1.0,47.4448427555,47.5742830401,47.0664788469,47.5244983152,2668786.0
2017-03-28,47.67,48.045,47.24,47.7,2227664.0,0.0,1.0,47.4647566455,47.8381420816,47.036608012,47.4946274803,2227664.0
2017-03-27,47.46,47.8,46.95,47.71,4298105.0,0.0,1.0,47.2556608012,47.59419693,46.747856608,47.5045844253,4298105.0
2017-03-24,47.9,48.13,47.56,47.67,2437243.0,0.0,1.0,47.6937663796,47.9227761138,47.3552302508,47.4647566455,2437243.0
2017-03-23,47.9,48.37,47.57,47.89,3875277.0,0.0,1.0,47.6937663796,48.161742793,47.3651871958,47.6838094347,3875277.0
2017-03-22,48.45,48.52,47.71,48.09,2856913.0,0.0,1.0,48.2413983527,48.3110969674,47.5045844253,47.882948334,2856913.0
2017-03-21,48.88,49.13,48.4,48.48,3101329.0,0.0,1.0,48.6695469861,48.9184706103,48.1916136279,48.2712691876,3101329.0
2017-03-20,48.49,48.78,48.29,48.57,2169893.0,0.0,1.0,48.2812261325,48.5699775365,48.0820872332,48.3608816923,2169893.0
2017-03-17,48.68,48.75,48.28,48.42,3317671.0,0.0,1.0,48.4704080869,48.5401067016,48.0721302883,48.2115275178,3317671.0
2017-03-16,48.96,49.19,47.99,48.41,2736470.0,0.0,1.0,48.7492025459,48.97821228,47.7833788843,48.2015705728,2736470.0
2017-03-15,48.02,49.16,48.01,48.96,3305961.0,0.0,1.0,47.8132497192,48.9483414452,47.8032927742,48.7492025459,3305961.0
2017-03-14,48.37,48.53,47.91,47.94,5678996.0,0.0,1.0,48.161742793,48.3210539124,47.7037233246,47.7335941595,5678996.0
2017-03-13,48.54,48.96,48.17,48.55,2647937.0,0.0,1.0,48.3310108574,48.7492025459,47.9626038937,48.3409678023,2647937.0
2017-03-10,48.84,48.94,48.16,48.67,3617128.0,0.0,1.0,48.6297192063,48.7292886559,47.9526469487,48.4604511419,3617128.0
2017-03-09,48.68,48.9,48.1709,48.44,2298356.0,0.0,1.0,48.4704080869,48.6894608761,47.9635000187,48.2314414077,2298356.0
2017-03-08,48.44,48.77,48.05,48.75,2560851.0,0.0,1.0,48.2314414077,48.5600205915,47.8431205541,48.5401067016,2560851.0
2017-03-07,48.8,48.9,48.38,48.53,4045366.0,0.0,1.0,48.5898914264,48.6894608761,48.1716997379,48.3210539124,4045366.0
2017-03-06,49.07,49.21,48.89,48.98,2204717.0,0.0,1.0,48.8587289405,48.99812617,48.6795039311,48.7691164358,2204717.0
2017-03-03,49.3,49.44,49.06,49.34,2620625.0,0.0,1.0,49.0877386747,49.2271359042,48.8487719955,49.1275664545,2620625.0
2017-03-02,49.7,49.77,49.27,49.33,2375718.0,0.0,1.0,49.4860164732,49.555715088,49.0578678398,49.1176095095,2375718.0
2017-03-01,49.42,49.68,49.1,49.6,5008889.0,0.0,1.0,49.2072220142,49.4661025833,48.8885997754,49.3864470236,5008889.0
2017-02-28,49.49,49.77,49.03,49.03,4434711.0,0.0,1.0,49.276920629,49.555715088,48.8189011606,48.8189011606,4434711.0
2017-02-27,48.75,50.17,48.63,49.49,7966467.0,0.0,1.0,48.5401067016,49.9539928866,48.420623362,49.276920629,7966467.0
2017-02-24,46.78,48.825,46.53,48.67,8205275.0,0.19,1.0,46.5785885436,48.6147837888,46.3296649195,48.4604511419,8205275.0
2017-02-23,47.21,47.37,46.76,46.99,4076734.0,0.0,1.0,46.8239438888,46.9826355013,46.3776237289,46.6057429218,4076734.0
2017-02-22,46.43,47.31,46.41,47.25,3314302.0,0.0,1.0,46.0503222783,46.9231261466,46.0304858268,46.8636167919,3314302.0
2017-02-21,46.78,46.88,46.31,46.49,3299384.0,0.0,1.0,46.3974601805,46.4966424382,45.931303569,46.109831633,3299384.0
2017-02-17,46.77,47.24,46.53,46.64,3771694.0,0.0,1.0,46.3875419547,46.8536985662,46.1495045361,46.2586050196,3771694.0
2017-02-16,47.32,47.81,46.84,46.88,2478256.0,0.0,1.0,46.9330443724,47.4190374354,46.4569695351,46.4966424382,2478256.0
2017-02-15,47.48,47.6,47.12,47.27,3219744.0,0.0,1.0,47.0917359848,47.2107546941,46.7346798569,46.8834532435,3219744.0
2017-02-14,46.9,47.56,46.87,47.53,3489008.0,0.0,1.0,46.5164788898,47.171081791,46.4867242125,47.1413271137,3489008.0
2017-02-13,47.2,47.53,46.56,47.06,3372436.0,0.0,1.0,46.8140256631,47.1413271137,46.1792592134,46.6751705022,3372436.0
2017-02-10,46.38,47.2,45.93,46.99,7858977.0,0.0,1.0,46.0007311494,46.8140256631,45.5544109895,46.6057429218,7858977.0
2017-02-09,46.25,46.515,45.82,46.33,4018830.0,0.0,1.0,45.8717942143,46.1346271974,45.445310506,45.9511400205,4018830.0
2017-02-08,45.84,46.305,45.35,46.17,5961219.0,0.0,1.0,45.4651469575,45.9263444561,44.9791538945,45.7924484081,5961219.0
2017-02-07,44.44,45.94,44.3865,45.52,8683345.0,0.0,1.0,44.0765953489,45.5643292153,44.023532841,45.1477637327,8683345.0
2017-02-06,44.95,45.22,43.43,44.23,15092208.0,0.0,1.0,44.5824248634,44.8502169594,43.0748545455,43.8683126076,15092208.0
2017-02-03,47.68,47.83,46.81,46.89,6915167.0,0.0,1.0,47.2901005003,47.438873887,46.4272148578,46.506560664,6915167.0
2017-02-02,47.42,47.965,47.085,47.81,4524776.0,0.0,1.0,47.0322266301,47.5727699349,46.6999660666,47.4190374354,4524776.0
2017-02-01,47.3,47.58,46.91,47.45,3927995.0,0.0,1.0,46.9132079208,47.1909182426,46.5263971156,47.0619813075,3927995.0
2017-01-31,46.02,47.34,45.95,47.33,3931675.0,0.0,1.0,45.6436750215,46.9528808239,45.5742474411,46.9429625982,3931675.0
2017-01-30,46.1,46.3,45.52,46.28,3931935.0,0.0,1.0,45.7230208277,45.9213853432,45.1477637327,45.9015488917,3931935.0
2017-01-27,46.26,46.33,45.68,46.13,4259800.0,0.0,1.0,45.8817124401,45.9511400205,45.3064553451,45.752775505,4259800.0
2017-01-26,46.86,47.0,46.18,46.35,3665564.0,0.0,1.0,46.4768059867,46.6156611475,45.8023666339,45.9709764721,3665564.0
2017-01-25,47.36,47.54,46.75,46.92,5380066.0,0.0,1.0,46.9727172755,47.1512453395,46.3677055031,46.5363153413,5380066.0
2017-01-24,46.57,47.57,46.42,47.18,3769965.0,0.0,1.0,46.1891774392,47.1810000168,46.0404040525,46.7941892115,3769965.0
2017-01-23,45.91,46.57,45.75,46.42,3628894.0,0.0,1.0,45.534574538,46.1891774392,45.3758829255,46.0404040525,3628894.0
2017-01-20,46.29,46.72,45.88,46.08,3264115.0,0.0,1.0,45.9114671174,46.3379508258,45.5048198606,45.7031843761,3264115.0
2017-01-19,47.59,47.65,45.82,45.97,4075021.0,0.0,1.0,47.2008364683,47.260345823,45.445310506,45.5940838926,4075021.0
2017-01-18,47.71,47.7512,47.045,47.55,2855071.0,0.0,1.0,47.3198551776,47.3607182678,46.6602931635,47.1611635652,2855071.0
2017-01-17,46.75,47.72,46.6,47.71,3271098.0,0.0,1.0,46.3677055031,47.3297734034,46.2189321165,47.3198551776,3271098.0
2017-01-13,47.02,47.4,46.74,47.0,3650288.0,0.0,1.0,46.6354975991,47.0123901786,46.3577872774,46.6156611475,3650288.0
2017-01-12,46.65,47.32,46.55,47.12,3148460.0,0.0,1.0,46.2685232454,46.9330443724,46.1693409876,46.7346798569,3148460.0
2017-01-11,46.85,47.015,46.61,46.88,4427513.0,0.0,1.0,46.4668877609,46.6305384862,46.2288503423,46.4966424382,4427513.0
2017-01-10,47.09,47.2,46.73,46.97,4216444.0,0.0,1.0,46.7049251795,46.8140256631,46.3478690516,46.5859064702,4216444.0
2017-01-09,46.67,47.13,46.53,46.94,3543653.0,0.0,1.0,46.2883596969,46.7445980826,46.1495045361,46.5561517929,3543653.0
2017-01-06,46.64,47.025,46.19,46.86,3605157.0,0.0,1.0,46.2586050196,46.640456712,45.8122848597,46.4768059867,3605157.0
2017-01-05,46.25,46.76,46.11,46.68,3151097.0,0.0,1.0,45.8717942143,46.3776237289,45.7329390535,46.2982779227,3151097.0
2017-01-04,45.0,46.61,44.98,46.51,5471150.0,0.0,1.0,44.6320159923,46.2288503423,44.6121795408,46.1296680845,5471150.0
2017-01-03,45.0,45.55,44.745,44.92,3828130.0,0.0,1.0,44.6320159923,45.17751841,44.379101235,44.5526701861,3828130.0
2016-12-30,45.43,45.43,44.5,44.65,2071183.0,0.0,1.0,45.0584997007,45.0584997007,44.1361047035,44.2848780902,2071183.0
2016-12-29,45.31,45.4892,44.975,45.3,1812872.0,0.0,1.0,44.9394809914,45.1172155973,44.6072204279,44.9295627656,1812872.0
2016-12-28,45.75,45.84,45.3,45.37,1608861.0,0.0,1.0,45.3758829255,45.4651469575,44.9295627656,44.998990346,1608861.0
2016-12-27,45.55,45.62,45.26,45.49,1522360.0,0.0,1.0,45.17751841,45.2469459904,44.8898898625,45.1180090554,1522360.0
2016-12-23,45.56,45.6648,45.2,45.39,1813989.0,0.0,1.0,45.1874366358,45.2913796419,44.8303805079,45.0188267976,1813989.0
2016-12-22,46.15,46.36,45.507,45.54,2591883.0,0.0,1.0,45.7726119566,45.9808946979,45.1348700392,45.1676001842,2591883.0
2016-12-21,45.89,46.47,45.81,46.17,3425865.0,0.0,1.0,45.5147380864,46.0899951814,45.4353922802,45.7924484081,3425865.0
2016-12-20,45.78,46.0796,45.47,45.61,4515459.0,0.0,1.0,45.4056376029,45.7027876471,45.0981726038,45.2370277647,4515459.0
2016-12-19,46.16,46.39,45.485,45.7,3589163.0,0.0,1.0,45.7825301824,46.0106493752,45.1130499425,45.3262917967,3589163.0
2016-12-16,46.68,46.98,45.94,46.18,6821142.0,0.0,1.0,46.2982779227,46.595824696,45.5643292153,45.8023666339,6821142.0
2016-12-15,46.54,46.83,46.02,46.68,5863233.0,0.0,1.0,46.1594227618,46.4470513094,45.6436750215,46.2982779227,5863233.0
2016-12-14,47.36,47.62,46.56,46.64,5998565.0,0.0,1.0,46.9727172755,47.2305911457,46.1792592134,46.2586050196,5998565.0
2016-12-13,47.65,48.02,47.05,47.3,6197473.0,0.0,1.0,47.260345823,47.6273201767,46.6652522764,46.9132079208,6197473.0
2016-12-12,45.75,46.49,45.29,46.48,3654291.0,0.0,1.0,45.3758829255,46.109831633,44.9196445398,46.0999134072,3654291.0
2016-12-09,45.16,45.827,45.08,45.53,5157669.0,0.0,1.0,44.7907076047,45.452253264,44.7113617985,45.1576819585,5157669.0
2016-12-08,45.62,45.65,44.71,45.19,6360029.0,0.0,1.0,45.2469459904,45.2767006678,44.3443874448,44.8204622821,6360029.0
2016-12-07,45.51,45.92,44.24,45.65,5194950.0,0.0,1.0,45.1378455069,45.5444927637,43.8782308333,45.2767006678,5194950.0
2016-12-06,45.65,45.96,45.56,45.68,2865925.0,0.0,1.0,45.2767006678,45.5841656668,45.1874366358,45.3064553451,2865925.0
2016-12-05,45.95,46.1499,45.57,45.7,3112947.0,0.0,1.0,45.5742474411,45.7725127743,45.1973548616,45.3262917967,3112947.0
2016-12-02,45.44,46.08,45.37,45.68,3021265.0,0.0,1.0,45.0684179265,45.7031843761,44.998990346,45.3064553451,3021265.0
2016-12-01,46.87,46.99,45.26,45.44,6495841.0,0.0,1.0,46.4867242125,46.6057429218,44.8898898625,45.0684179265,6495841.0
2016-11-30,47.54,48.02,46.47,47.01,9197261.0,0.0,1.0,47.1512453395,47.6273201767,46.0899951814,46.6255793733,9197261.0
2016-11-29,47.63,48.05,47.31,47.47,2627684.0,0.0,1.0,47.2405093714,47.657074854,46.9231261466,47.081817759,2627684.0
2016-11-28,48.08,48.45,47.535,47.59,3545306.0,0.19,1.0,47.6868295314,48.0538038851,47.1462862266,47.2008364683,3545306.0
2016-11-25,48.21,48.6,48.07,48.46,1151165.0,0.0,1.0,47.625624239,48.0108968682,47.4873212439,47.8725938731,1151165.0
2016-11-23,48.09,48.35,47.97,48.17,2619571.0,0.0,1.0,47.5070788146,47.7639272341,47.3885333902,47.5861090975,2619571.0
2016-11-22,47.76,48.4,47.76,48.1,3347334.0,0.0,1.0,47.1810788976,47.8133211609,47.1810788976,47.5169576,3347334.0
2016-11-21,46.88,47.605,46.84,47.57,2827927.0,0.0,1.0,46.3117457856,47.0279577245,46.2722306441,46.9933819757,2827927.0
2016-11-18,47.56,47.75,46.505,46.74,2975272.0,0.0,1.0,46.9835031903,47.1712001122,45.9412913344,46.1734427905,2975272.0
2016-11-17,47.1,47.71,46.775,47.56,3926726.0,0.0,1.0,46.5290790636,47.1316849708,46.2080185393,46.9835031903,3926726.0
2016-11-16,46.99,47.21,46.66,46.93,3884053.0,0.0,1.0,46.4204124246,46.6377457026,46.0944125076,46.3611397124,3884053.0
2016-11-15,46.72,47.57,46.57,47.05,6101075.0,0.0,1.0,46.1536852198,46.9933819757,46.0055034393,46.4796851368,6101075.0
2016-11-14,47.6,47.78,45.95,46.51,6925718.0,0.0,1.0,47.0230183318,47.2008364683,45.3930187468,45.9462307271,6925718.0
2016-11-11,47.52,48.33,47.24,47.45,7718578.0,0.0,1.0,46.9439880489,47.7441696633,46.6673820587,46.8748365513,7718578.0
2016-11-10,49.99,50.31,47.425,47.66,8381968.0,0.0,1.0,49.3840480337,49.7001691654,46.8501395879,47.082291044,8381968.0
2016-11-09,49.24,50.255,49.0,49.6,5966549.0,0.0,1.0,48.6431391315,49.6458358459,48.4060482827,48.9987754045,5966549.0
2016-11-08,49.72,50.7,49.46,50.41,4206294.0,0.0,1.0,49.1173208289,50.0854417946,48.8604724095,49.798957019,4206294.0
2016-11-07,48.2,49.25,48.2,49.16,3923258.0,0.0,1.0,47.6157454536,48.6530179168,47.6157454536,48.5641088485,3923258.0
2016-11-04,47.65,48.0899,47.47,47.54,3917263.0,0.0,1.0,47.0724122586,47.5069800268,46.8945941221,46.9637456196,3917263.0
2016-11-03,47.78,48.06,47.4,47.61,4203850.0,0.0,1.0,47.2008364683,47.4774424585,46.8254426245,47.0328971171,4203850.0
2016-11-02,48.16,48.23,47.65,47.65,4623740.0,0.0,1.0,47.5762303122,47.6453818097,47.0724122586,47.0724122586,4623740.0
2016-11-01,48.56,49.44,47.63,48.16,6953789.0,0.0,1.0,47.9713817267,48.8407148387,47.0526546879,47.5762303122,6953789.0
2016-10-31,49.68,49.89,47.86,48.02,7580451.0,0.0,1.0,49.0778056875,49.2852601801,47.2798667512,47.4379273171,7580451.0
