Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,14.28,14.28,14.1,14.12,1779330.0,0.0,1.0,14.28,14.28,14.1,14.12,1779330.0
2017-08-03,14.28,14.395,14.175,14.25,931069.0,0.0,1.0,14.28,14.395,14.175,14.25,931069.0
2017-08-02,14.4,14.4,14.19,14.27,1526063.0,0.0,1.0,14.4,14.4,14.19,14.27,1526063.0
2017-08-01,14.38,14.455,14.27,14.43,972307.0,0.0,1.0,14.38,14.455,14.27,14.43,972307.0
2017-07-31,14.43,14.43,14.26,14.31,1051762.0,0.0,1.0,14.43,14.43,14.26,14.31,1051762.0
2017-07-28,14.26,14.485,14.25,14.39,1117659.0,0.0,1.0,14.26,14.485,14.25,14.39,1117659.0
2017-07-27,14.21,14.35,14.21,14.27,1157928.0,0.0,1.0,14.21,14.35,14.21,14.27,1157928.0
2017-07-26,14.12,14.34,14.12,14.23,1171177.0,0.0,1.0,14.12,14.34,14.12,14.23,1171177.0
2017-07-25,14.05,14.17,13.83,14.12,1271402.0,0.0,1.0,14.05,14.17,13.83,14.12,1271402.0
2017-07-24,13.95,14.04,13.92,13.98,1026682.0,0.0,1.0,13.95,14.04,13.92,13.98,1026682.0
2017-07-21,13.9,14.06,13.9,13.93,2521018.0,0.0,1.0,13.9,14.06,13.9,13.93,2521018.0
2017-07-20,13.91,14.08,13.88,13.96,1174793.0,0.0,1.0,13.91,14.08,13.88,13.96,1174793.0
2017-07-19,13.68,13.98,13.68,13.93,1339574.0,0.0,1.0,13.68,13.98,13.68,13.93,1339574.0
2017-07-18,13.65,13.68,13.52,13.63,1105934.0,0.0,1.0,13.65,13.68,13.52,13.63,1105934.0
2017-07-17,13.57,13.76,13.52,13.68,1289216.0,0.0,1.0,13.57,13.76,13.52,13.68,1289216.0
2017-07-14,13.3,13.62,13.235,13.57,1542016.0,0.0,1.0,13.3,13.62,13.235,13.57,1542016.0
2017-07-13,13.23,13.32,13.18,13.23,1252752.0,0.0,1.0,13.23,13.32,13.18,13.23,1252752.0
2017-07-12,13.32,13.43,13.18,13.2,2725035.0,0.0,1.0,13.32,13.43,13.18,13.2,2725035.0
2017-07-11,13.14,13.335,13.07,13.27,1618717.0,0.0,1.0,13.14,13.335,13.07,13.27,1618717.0
2017-07-10,13.28,13.41,13.14,13.15,1744773.0,0.0,1.0,13.28,13.41,13.14,13.15,1744773.0
2017-07-07,13.28,13.37,13.175,13.32,1692089.0,0.0,1.0,13.28,13.37,13.175,13.32,1692089.0
2017-07-06,13.67,13.68,13.225,13.24,2048195.0,0.0,1.0,13.67,13.68,13.225,13.24,2048195.0
2017-07-05,13.89,13.89,13.68,13.73,1874979.0,0.0,1.0,13.89,13.89,13.68,13.73,1874979.0
2017-07-03,13.74,13.92,13.65,13.89,1107965.0,0.0,1.0,13.74,13.92,13.65,13.89,1107965.0
2017-06-30,13.63,13.755,13.35,13.7,1754157.0,0.0,1.0,13.63,13.755,13.35,13.7,1754157.0
2017-06-29,13.85,13.92,13.39,13.6,1757814.0,0.0,1.0,13.85,13.92,13.39,13.6,1757814.0
2017-06-28,13.72,13.92,13.7,13.85,1760581.0,0.0,1.0,13.72,13.92,13.7,13.85,1760581.0
2017-06-27,13.61,13.79,13.58,13.66,1180933.0,0.0,1.0,13.61,13.79,13.58,13.66,1180933.0
2017-06-26,13.61,13.68,13.53,13.66,1030105.0,0.0,1.0,13.61,13.68,13.53,13.66,1030105.0
2017-06-23,13.44,13.62,13.375,13.59,1415768.0,0.0,1.0,13.44,13.62,13.375,13.59,1415768.0
2017-06-22,13.53,13.55,13.295,13.45,1379695.0,0.0,1.0,13.53,13.55,13.295,13.45,1379695.0
2017-06-21,13.54,13.61,13.44,13.53,1436338.0,0.0,1.0,13.54,13.61,13.44,13.53,1436338.0
2017-06-20,13.75,13.75,13.48,13.49,914539.0,0.0,1.0,13.75,13.75,13.48,13.49,914539.0
2017-06-19,13.75,13.85,13.63,13.78,827350.0,0.0,1.0,13.75,13.85,13.63,13.78,827350.0
