Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,56.83,57.5032,56.76,57.45,1694663.0,0.0,1.0,56.83,57.5032,56.76,57.45,1694663.0
2017-08-03,56.91,57.2,56.71,57.04,959518.0,0.0,1.0,56.91,57.2,56.71,57.04,959518.0
2017-08-02,57.58,57.58,56.73,57.1,1186811.0,0.0,1.0,57.58,57.58,56.73,57.1,1186811.0
2017-08-01,57.18,57.91,56.97,57.74,1877959.0,0.0,1.0,57.18,57.91,56.97,57.74,1877959.0
2017-07-31,57.21,57.32,56.74,57.06,3398729.0,0.0,1.0,57.21,57.32,56.74,57.06,3398729.0
2017-07-28,57.89,58.1913,57.11,57.2,1418678.0,0.212,1.0,57.89,58.1913,57.11,57.2,1418678.0
2017-07-27,57.83,58.4699,57.2,57.95,2026877.0,0.0,1.0,57.6164564899,58.2539935902,56.9887828329,57.736013377,2026877.0
2017-07-26,57.41,57.97,57.26,57.92,1545670.0,0.0,1.0,57.1980073852,57.7559395248,57.0485612764,57.7061241552,1545670.0
2017-07-25,57.03,57.49,56.65,57.43,1632552.0,0.0,1.0,56.8194105762,57.2777119766,56.4408137672,57.2179335331,1632552.0
2017-07-24,57.3,57.4,56.6774,57.17,1379914.0,0.0,1.0,57.0884135721,57.1880443113,56.4681125897,56.9588936111,1379914.0
2017-07-21,57.4,57.5832,56.82,57.31,859255.0,0.0,1.0,57.1880443113,57.3705678255,56.6101860238,57.098376646,859255.0
2017-07-20,57.24,57.825,57.0376,57.32,1013372.0,0.0,1.0,57.0286351285,57.611474953,56.8269825124,57.1083397199,1013372.0
2017-07-19,56.6,57.3,56.48,57.16,980824.0,0.0,1.0,56.3909983975,57.0884135721,56.2714415105,56.9489305372,980824.0
2017-07-18,56.67,56.94,56.46,56.58,1160374.0,0.0,1.0,56.460739915,56.7297429109,56.2515153626,56.3710722497,1160374.0
2017-07-17,56.2,56.6899,56.1,56.48,1388752.0,0.0,1.0,55.9924754407,56.4805664321,55.8928447015,56.2714415105,1388752.0
2017-07-14,55.39,56.37,55.39,56.25,1594003.0,0.0,1.0,55.185466453,56.1618476973,55.185466453,56.0422908103,1594003.0
2017-07-13,54.75,55.21,54.56,55.13,948533.0,0.0,1.0,54.547829722,55.0061311224,54.3585313175,54.926426531,948533.0
