Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,53.95,54.39,53.45,53.53,2804981.0,0.0,1.0,53.95,54.39,53.45,53.53,2804981.0
2017-08-03,54.5,54.77,53.79,53.85,2803609.0,0.745,1.0,54.5,54.77,53.79,53.85,2803609.0
2017-08-02,55.86,56.21,55.001,55.36,3010164.0,0.0,1.0,55.0977378881,55.4429618097,54.2504597491,54.6045608572,3010164.0
2017-08-01,56.57,56.84,56.05,56.73,3670376.0,0.0,1.0,55.7980492719,56.0643648686,55.2851451598,55.9558659218,3670376.0
2017-07-31,56.47,56.58,55.89,56.57,2841836.0,0.0,1.0,55.6994138657,55.8079128125,55.1273285099,55.7980492719,2841836.0
2017-07-28,56.61,57.25,56.45,56.46,2403800.0,0.0,1.0,55.8375034344,56.4687700339,55.6796867845,55.6895503251,2403800.0
2017-07-27,55.59,56.62,55.59,56.62,2237582.0,0.0,1.0,54.8314222914,55.847366975,54.8314222914,55.847366975,2237582.0
2017-07-26,55.99,56.41,55.5636,55.59,2474490.0,0.0,1.0,55.2259639161,55.640232622,54.8053825442,54.8314222914,2474490.0
2017-07-25,55.64,55.98,55.55,55.78,2912240.0,0.0,1.0,54.8807399945,55.2161003755,54.7919681289,55.0188295631,2912240.0
2017-07-24,54.52,55.06,54.43,54.88,2637262.0,0.0,1.0,53.7760234454,54.3086546387,53.6872515798,54.1311109076,2637262.0
2017-07-21,54.7,54.95,54.3,54.45,2554581.0,0.0,1.0,53.9535671765,54.2001556919,53.5590255518,53.706978661,2554581.0
2017-07-20,54.81,55.36,54.45,54.79,4916600.0,0.0,1.0,54.0620661233,54.6045608572,53.706978661,54.042339042,4916600.0
2017-07-19,53.66,54.41,53.4,54.39,4453585.0,0.0,1.0,52.9277589523,53.6675244986,52.6713068962,53.6477974173,4453585.0
2017-07-18,53.95,53.98,53.08,53.57,3650850.0,0.0,1.0,53.2138016302,53.243392252,52.3556735965,52.8389870867,3650850.0
2017-07-17,53.16,53.66,53.09,53.57,4586343.0,0.0,1.0,52.4345819214,52.9277589523,52.3655371371,52.8389870867,4586343.0
2017-07-14,52.68,53.39,52.47,53.16,2081902.0,0.0,1.0,51.9611319718,52.6614433556,51.7539976188,52.4345819214,2081902.0
2017-07-13,52.19,52.77,51.98,52.46,2813174.0,0.0,1.0,51.4778184815,52.0499038373,51.2706841286,51.7441340782,2813174.0
2017-07-12,51.49,52.4,51.28,52.05,3737489.0,0.0,1.0,50.7873706383,51.6849528345,50.5802362854,51.3397289129,3737489.0
2017-07-11,51.03,51.3,50.53,50.88,4107252.0,0.0,1.0,50.3336477699,50.5999633666,49.8404707391,50.1856946607,4107252.0
2017-07-10,51.48,51.5,50.74,51.0,7057316.0,0.0,1.0,50.7775070977,50.797234179,50.047605092,50.3040571481,7057316.0
2017-07-07,52.5,52.74,51.46,51.69,10667323.0,0.0,1.0,51.7835882407,52.0203132155,50.7577800165,50.9846414507,10667323.0
2017-07-06,51.27,52.69,51.08,52.6,17186960.0,0.0,1.0,50.5703727448,51.9709955124,50.382965473,51.8822236469,17186960.0
2017-07-05,52.01,52.57,50.5,50.75,31997180.0,0.0,1.0,51.3002747504,51.852633025,49.8108801172,50.0574686327,31997180.0
2017-07-03,52.21,52.45,51.5,52.03,4810202.0,0.0,1.0,51.4975455628,51.7342705376,50.797234179,51.3200018317,4810202.0
2017-06-30,52.01,52.41,51.59,52.16,42639866.0,0.0,1.0,51.3002747504,51.6948163751,50.8860060445,51.4482278597,42639866.0
2017-06-29,51.08,52.44,50.87,51.52,5415961.0,0.0,1.0,50.382965473,51.724406997,50.1758311201,50.8169612602,5415961.0
2017-06-28,50.73,51.45,50.42,50.9,3315662.0,0.0,1.0,50.0377415514,50.7479164759,49.7319717923,50.2054217419,3315662.0
2017-06-27,50.61,51.36,50.53,50.68,3299392.0,0.0,1.0,49.919379064,50.6591446103,49.8404707391,49.9884238483,3299392.0
2017-06-26,49.32,51.2,49.32,50.54,5206240.0,0.0,1.0,48.6469823244,50.5013279604,48.6469823244,49.8503342797,5206240.0
2017-06-23,47.92,49.24,47.66,49.19,2562855.0,0.0,1.0,47.266086638,48.5680739995,47.0096345819,48.5187562964,2562855.0
2017-06-22,47.74,48.625,47.37,47.79,3438682.0,0.0,1.0,47.0885429069,47.9614662515,46.723591904,47.1378606099,3438682.0
2017-06-21,48.07,48.63,47.15,47.41,4225857.0,0.0,1.0,47.4140397472,47.9663980218,46.5065940104,46.7630460665,4225857.0
2017-06-20,49.59,49.76,47.14,47.5,3463819.0,0.0,1.0,48.9132979211,49.0809781115,46.4967304698,46.851817932,3463819.0
2017-06-19,51.0,51.19,50.05,50.21,2127240.0,0.0,1.0,50.3040571481,50.4914644198,49.3670207894,49.5248374393,2127240.0
2017-06-16,49.27,50.99,49.19,50.97,3277993.0,0.0,1.0,48.5976646213,50.2941936075,48.5187562964,50.2744665262,3277993.0
2017-06-15,49.44,50.02,48.87,48.98,2667196.0,0.0,1.0,48.7653448118,49.3374301676,48.2031229966,48.3116219434,2667196.0
2017-06-14,50.32,51.0,49.5,49.79,3739248.0,0.0,1.0,49.6333363861,50.3040571481,48.8245260555,49.1105687334,3739248.0
2017-06-13,49.85,50.45,49.78,50.21,1674370.0,0.0,1.0,49.1697499771,49.7615624141,49.1007051928,49.5248374393,1674370.0
2017-06-12,49.94,50.45,49.63,49.99,1998226.0,0.0,1.0,49.2585218427,49.7615624141,48.9527520835,49.3078395457,1998226.0
2017-06-09,48.55,49.49,48.55,49.45,1670181.0,0.0,1.0,47.8874896969,48.8146625149,47.8874896969,48.7752083524,1670181.0
2017-06-08,48.52,49.0463,48.4,48.49,3029220.0,0.0,1.0,47.857899075,48.3770172177,47.7395365876,47.8283084532,3029220.0
2017-06-07,49.8,50.23,48.5,48.87,2101637.0,0.0,1.0,49.120432274,49.5445645206,47.8381719938,48.2031229966,2101637.0
2017-06-06,49.11,50.08,49.05,50.0,2343540.0,0.0,1.0,48.4398479714,49.3966114113,48.3806667277,49.3177030864,2343540.0
2017-06-05,48.73,49.69,48.73,49.32,1785065.0,0.0,1.0,48.065033428,49.0119333272,48.065033428,48.6469823244,1785065.0
2017-06-02,50.27,50.45,49.52,49.55,1560211.0,0.0,1.0,49.584018683,49.7615624141,48.8442531367,48.8738437586,1560211.0
2017-06-01,49.86,50.56,49.55,50.45,2157256.0,0.0,1.0,49.1796135177,49.8700613609,48.8738437586,49.7615624141,2157256.0
