Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,56.37,56.405,55.87,56.09,1952980.0,0.0,1.0,56.37,56.405,55.87,56.09,1952980.0
2017-08-03,56.58,56.67,55.78,56.15,2440777.0,0.0,1.0,56.58,56.67,55.78,56.15,2440777.0
2017-08-02,56.53,56.875,56.16,56.58,2503861.0,0.0,1.0,56.53,56.875,56.16,56.58,2503861.0
2017-08-01,57.9,57.96,56.66,56.82,2749447.0,0.0,1.0,57.9,57.96,56.66,56.82,2749447.0
2017-07-31,57.81,58.35,57.71,57.85,5038359.0,0.0,1.0,57.81,58.35,57.71,57.85,5038359.0
2017-07-28,59.49,60.13,57.71,57.76,4069135.0,0.5,1.0,59.49,60.13,57.71,57.76,4069135.0
2017-07-27,58.03,61.37,57.87,60.14,6295594.0,0.0,1.0,57.5319739101,60.8433093031,57.3733470649,59.6238654308,6295594.0
2017-07-26,57.52,58.25,57.46,58.11,2005148.0,0.0,1.0,57.0263508411,57.7500858222,56.9668657741,57.6112873326,2005148.0
2017-07-25,57.05,57.66,57.0,57.43,1791484.0,0.0,1.0,56.5603844834,57.1651493306,56.5108135942,56.9371232406,1791484.0
2017-07-24,57.14,57.23,56.835,56.94,1241529.0,0.0,1.0,56.6496120838,56.7388396842,56.3472296601,56.4513285273,1241529.0
2017-07-21,56.78,57.37,56.78,57.2,1937649.0,0.0,1.0,56.2927016821,56.8776381737,56.2927016821,56.7090971507,1937649.0
2017-07-20,56.86,57.34,56.82,57.19,1747999.0,0.0,1.0,56.3720151047,56.8478956402,56.3323583934,56.6991829729,1747999.0
2017-07-19,56.75,56.98,56.55,56.86,2151416.0,0.0,1.0,56.2629591486,56.4909852386,56.0646755922,56.3720151047,2151416.0
2017-07-18,56.76,57.05,56.63,56.78,1617177.0,0.0,1.0,56.2728733265,56.5603844834,56.1439890148,56.2927016821,1617177.0
2017-07-17,57.11,57.25,56.75,56.88,1586486.0,0.0,1.0,56.6198695503,56.7586680398,56.2629591486,56.3918434604,1586486.0
2017-07-14,57.35,57.44,57.09,57.1,1383348.0,0.0,1.0,56.8578098181,56.9470374185,56.6000411946,56.6099553725,1383348.0
2017-07-13,57.38,57.49,57.0,57.2,1743276.0,0.0,1.0,56.8875523515,56.9966083076,56.5108135942,56.7090971507,1743276.0
2017-07-12,56.83,57.369,56.83,57.24,1849958.0,0.0,1.0,56.3422725712,56.8766467559,56.3422725712,56.748753862,1849958.0
2017-07-11,57.67,57.68,56.57,56.6,2917685.0,0.0,1.0,57.1750635084,57.1849776862,56.0845039478,56.1142464813,2917685.0
2017-07-10,57.42,57.96,57.32,57.84,1950017.0,0.0,1.0,56.9272090628,57.4625746653,56.8280672846,57.3436045314,1950017.0
2017-07-07,57.16,57.7,56.89,57.42,1655417.0,0.0,1.0,56.6694404394,57.2048060419,56.4017576382,56.9272090628,1655417.0
2017-07-06,57.31,57.31,56.68,56.97,2176360.0,0.0,1.0,56.8181531068,56.8181531068,56.1935599039,56.4810710608,2176360.0
2017-07-05,56.77,57.57,56.35,57.49,2792229.0,0.0,1.0,56.2827875043,57.0759217302,55.8663920357,56.9966083076,2792229.0
2017-07-03,56.4,57.13,56.37,56.53,1459303.0,0.0,1.0,55.9159629248,56.6396979059,55.8862203913,56.0448472365,1459303.0
2017-06-30,57.31,57.33,56.63,56.94,3362010.0,0.0,1.0,56.8181531068,56.8379814624,56.1439890148,56.4513285273,3362010.0
2017-06-29,57.5,57.66,56.51,56.69,3229763.0,0.0,1.0,57.0065224854,57.1651493306,56.0250188809,56.2034740817,3229763.0
2017-06-28,57.5,58.0,56.56,57.65,5608784.0,0.0,1.0,57.0065224854,57.5022313766,56.07458977,57.1552351528,5608784.0
2017-06-27,59.19,59.35,58.5,58.62,3594484.0,0.0,1.0,58.6820185376,58.8406453828,57.9979402678,58.1169104016,3594484.0
2017-06-26,59.65,59.65,59.105,59.24,2480172.0,0.0,1.0,59.1380707175,59.1380707175,58.5977480261,58.7315894267,2480172.0
2017-06-23,59.26,59.47,59.1,59.24,2941089.0,0.0,1.0,58.7514177824,58.9596155166,58.5927909372,58.7315894267,2941089.0
2017-06-22,59.87,60.03,59.105,59.4,1660177.0,0.0,1.0,59.3561826296,59.5148094748,58.5977480261,58.8902162719,1660177.0
2017-06-21,59.96,60.2,59.73,59.93,1305733.0,0.0,1.0,59.44541023,59.6833504978,59.2173841401,59.4156676965,1305733.0
2017-06-20,60.32,60.59,59.91,60.01,2023927.0,0.0,1.0,59.8023206317,60.0700034329,59.3958393409,59.4949811191,2023927.0
2017-06-19,61.57,61.57,60.91,61.13,2052406.0,0.0,1.0,61.0415928596,61.0415928596,60.3872571232,60.6053690354,2052406.0
2017-06-16,60.76,61.115,60.21,61.1,3323116.0,0.0,1.0,60.2385444559,60.5904977686,59.6932646756,60.5756265019,3323116.0
2017-06-15,59.92,60.8,59.82,60.73,1771129.0,0.0,1.0,59.4057535187,60.2782011672,59.3066117405,60.2088019224,1771129.0
