Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,33.58,34.0,33.48,33.64,25790667.0,0.0,1.0,33.58,34.0,33.48,33.64,25790667.0
2017-08-03,32.95,33.81,32.86,33.43,27267488.0,0.0,1.0,32.95,33.81,32.86,33.43,27267488.0
2017-08-02,32.87,32.92,32.7,32.92,28854037.0,0.32,1.0,32.87,32.92,32.7,32.92,28854037.0
2017-08-01,33.04,33.3,32.72,33.08,26634264.0,0.0,1.0,32.7219253911,32.9794223827,32.4050060168,32.7615403129,26634264.0
2017-07-31,33.21,33.39,33.14,33.16,21982573.0,0.0,1.0,32.8902888087,33.0685559567,32.8209626955,32.8407701564,21982573.0
2017-07-28,33.06,33.17,32.81,33.15,16239229.0,0.0,1.0,32.741732852,32.8506738869,32.4941395909,32.830866426,16239229.0
2017-07-27,32.79,33.0,32.69,33.0,16661472.0,0.0,1.0,32.47433213,32.6823104693,32.3752948255,32.6823104693,16661472.0
2017-07-26,33.09,33.1,32.825,32.89,15723616.0,0.0,1.0,32.7714440433,32.7813477738,32.5089951865,32.5733694344,15723616.0
2017-07-25,33.38,33.48,33.01,33.1,19787519.0,0.0,1.0,33.0586522262,33.1576895307,32.6922141998,32.7813477738,19787519.0
2017-07-24,33.38,33.445,33.17,33.32,14761237.0,0.0,1.0,33.0586522262,33.1230264741,32.8506738869,32.9992298436,14761237.0
2017-07-21,33.47,33.58,33.39,33.48,12024404.0,0.0,1.0,33.1477858002,33.2567268351,33.0685559567,33.1576895307,12024404.0
2017-07-20,33.47,33.7,33.335,33.54,16954093.0,0.0,1.0,33.1477858002,33.3755716005,33.0140854392,33.2171119134,16954093.0
2017-07-19,33.37,33.69,33.31,33.62,18810217.0,0.0,1.0,33.0487484958,33.36566787,32.9893261131,33.2963417569,18810217.0
2017-07-18,33.23,33.39,33.04,33.36,14569448.0,0.0,1.0,32.9100962696,33.0685559567,32.7219253911,33.0388447653,14569448.0
2017-07-17,33.44,33.47,33.14,33.25,16825293.0,0.0,1.0,33.1180746089,33.1477858002,32.8209626955,32.9299037304,16825293.0
2017-07-14,33.27,33.55,33.24,33.43,12500655.0,0.0,1.0,32.9497111913,33.2270156438,32.92,33.1081708785,12500655.0
2017-07-13,33.22,33.34,32.99,33.28,13389024.0,0.0,1.0,32.9001925391,33.0190373045,32.6724067389,32.9596149218,13389024.0
2017-07-12,33.34,33.53,33.2,33.22,13831109.0,0.0,1.0,33.0190373045,33.2072081829,32.8803850782,32.9001925391,13831109.0
2017-07-11,33.4,33.47,33.05,33.17,12213595.0,0.0,1.0,33.0784596871,33.1477858002,32.7318291215,32.8506738869,12213595.0
2017-07-10,33.36,33.53,33.24,33.41,13526294.0,0.0,1.0,33.0388447653,33.2072081829,32.92,33.0883634176,13526294.0
2017-07-07,33.25,33.36,33.02,33.35,16996728.0,0.0,1.0,32.9299037304,33.0388447653,32.7021179302,33.0289410349,16996728.0
2017-07-06,33.64,33.67,33.14,33.22,13924394.0,0.0,1.0,33.3161492178,33.3458604091,32.8209626955,32.9001925391,13924394.0
2017-07-05,33.94,33.95,33.495,33.64,16197580.0,0.0,1.0,33.6132611312,33.6231648616,33.1725451264,33.3161492178,16197580.0
2017-07-03,33.48,33.97,33.47,33.82,8512300.0,0.0,1.0,33.1576895307,33.6429723225,33.1477858002,33.4944163658,8512300.0
2017-06-30,33.73,33.795,33.51,33.59,13511482.0,0.0,1.0,33.4052827918,33.4696570397,33.187400722,33.2666305656,13511482.0
2017-06-29,33.8,33.87,33.37,33.63,14919173.0,0.0,1.0,33.4746089049,33.5439350181,33.0487484958,33.3062454874,14919173.0
2017-06-28,33.86,33.99,33.65,33.75,14794903.0,0.0,1.0,33.5340312876,33.6627797834,33.3260529483,33.4250902527,14794903.0
2017-06-27,34.13,34.13,33.75,33.77,15265637.0,0.0,1.0,33.8014320096,33.8014320096,33.4250902527,33.4448977136,15265637.0
2017-06-26,34.16,34.21,33.965,34.04,14172264.0,0.0,1.0,33.831143201,33.8806618532,33.6380204573,33.7122984356,14172264.0
2017-06-23,34.08,34.22,33.97,34.17,30046310.0,0.0,1.0,33.7519133574,33.8905655836,33.6429723225,33.8410469314,30046310.0
2017-06-22,33.95,34.48,33.92,34.06,22156066.0,0.0,1.0,33.6231648616,34.1480625752,33.5934536703,33.7321058965,22156066.0
2017-06-21,33.58,34.095,33.58,33.88,25744254.0,0.0,1.0,33.2567268351,33.7667689531,33.2567268351,33.5538387485,25744254.0
2017-06-20,33.21,33.75,33.15,33.56,26066194.0,0.0,1.0,32.8902888087,33.4250902527,32.830866426,33.2369193742,26066194.0
2017-06-19,32.94,33.25,32.91,33.22,20799046.0,0.0,1.0,32.6228880866,32.9299037304,32.5931768953,32.9001925391,20799046.0
2017-06-16,32.98,33.13,32.81,32.97,31878571.0,0.0,1.0,32.6625030084,32.8110589651,32.4941395909,32.652599278,31878571.0
2017-06-15,32.62,33.03,32.56,32.81,18929889.0,0.0,1.0,32.3059687124,32.7120216606,32.2465463297,32.4941395909,18929889.0
