Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,66.0,66.0,63.03,64.29,1510742.0,0.0,1.0,66.0,66.0,63.03,64.29,1510742.0
2017-08-03,66.63,66.74,65.98,66.35,724271.0,0.0,1.0,66.63,66.74,65.98,66.35,724271.0
2017-08-02,66.55,66.85,66.25,66.72,467618.0,0.0,1.0,66.55,66.85,66.25,66.72,467618.0
2017-08-01,66.15,66.47,65.9,66.22,1027093.0,0.0,1.0,66.15,66.47,65.9,66.22,1027093.0
2017-07-31,66.16,66.41,65.75,65.83,606834.0,0.0,1.0,66.16,66.41,65.75,65.83,606834.0
2017-07-28,65.85,66.15,65.44,65.89,654121.0,0.0,1.0,65.85,66.15,65.44,65.89,654121.0
2017-07-27,66.36,66.41,65.57,65.79,809990.0,0.0,1.0,66.36,66.41,65.57,65.79,809990.0
2017-07-26,68.07,68.18,66.02,66.09,1516671.0,0.0,1.0,68.07,68.18,66.02,66.09,1516671.0
2017-07-25,69.52,69.61,68.17,68.23,706231.0,0.0,1.0,69.52,69.61,68.17,68.23,706231.0
2017-07-24,69.53,69.88,69.13,69.37,348629.0,0.0,1.0,69.53,69.88,69.13,69.37,348629.0
2017-07-21,69.36,69.79,69.285,69.52,388689.0,0.0,1.0,69.36,69.79,69.285,69.52,388689.0
2017-07-20,69.46,69.82,69.265,69.46,245598.0,0.0,1.0,69.46,69.82,69.265,69.46,245598.0
2017-07-19,69.67,69.92,69.29,69.39,411166.0,0.07,1.0,69.67,69.92,69.29,69.39,411166.0
2017-07-18,70.0,70.0,69.11,69.41,728816.0,0.0,1.0,69.9294558019,69.9294558019,69.040352721,69.3400503887,728816.0
2017-07-17,69.52,70.16,69.18,69.94,594171.0,0.0,1.0,69.4499395335,70.089294558,69.1102821768,69.8695162684,594171.0
2017-07-14,69.26,69.52,68.97,69.46,294190.0,0.0,1.0,69.1902015549,69.4499395335,68.9004938094,69.39,294190.0
2017-07-13,68.92,69.38,68.47,69.25,578404.0,0.0,1.0,68.8505441981,69.3100806219,68.4009976965,69.1802116326,578404.0
2017-07-12,69.09,69.49,68.73,68.99,342253.0,0.0,1.0,69.0203728765,69.4199697668,68.6607356752,68.9204736539,342253.0
2017-07-11,68.6,68.91,68.07,68.67,466557.0,0.0,1.0,68.5308666859,68.8405542758,68.0014008062,68.6007961417,466557.0
2017-07-10,68.12,68.7,67.73,68.46,377125.0,0.0,1.0,68.0513504175,68.6307659084,67.6617434495,68.3910077743,377125.0
2017-07-07,67.65,68.08,67.65,67.97,468970.0,0.0,1.0,67.5818240714,68.0113907285,67.5818240714,67.9015015836,468970.0
2017-07-06,67.85,68.07,67.375,67.53,476111.0,0.0,1.0,67.7816225166,68.0014008062,67.3071012093,67.4619450043,476111.0
2017-07-05,67.9,68.41,67.73,68.25,425083.0,0.0,1.0,67.8315721278,68.341058163,67.6617434495,68.1812194069,425083.0
2017-07-03,68.4,69.19,67.71,67.73,699191.0,0.0,1.0,68.3310682407,69.120272099,67.641763605,67.6617434495,699191.0
2017-06-30,67.96,68.52,67.96,68.14,348776.0,0.0,1.0,67.8915116614,68.4509473078,67.8915116614,68.071330262,348776.0
2017-06-29,68.29,68.29,67.25,67.73,654681.0,0.0,1.0,68.2211790959,68.2211790959,67.1822271811,67.6617434495,654681.0
2017-06-28,67.99,68.66,67.87,68.28,360184.0,0.0,1.0,67.9214814282,68.5908062194,67.8016023611,68.2111891736,360184.0
2017-06-27,67.97,68.24,67.52,67.55,504177.0,0.0,1.0,67.9015015836,68.1712294846,67.4519550821,67.4819248488,504177.0
2017-06-26,68.36,68.63,68.08,68.1,557728.0,0.0,1.0,68.2911085517,68.5608364526,68.0113907285,68.031370573,557728.0
2017-06-23,68.19,68.51,67.53,68.45,945581.0,0.0,1.0,68.1212798733,68.4409573855,67.4619450043,68.381017852,945581.0
2017-06-22,68.12,68.12,67.31,67.8,902581.0,0.0,1.0,68.0513504175,68.0513504175,67.2421667147,67.7316729053,902581.0
2017-06-21,68.09,68.43,67.72,68.13,710789.0,0.0,1.0,68.0213806507,68.3610380075,67.6517535272,68.0613403398,710789.0
2017-06-20,67.74,68.91,67.23,68.1,1055749.0,0.0,1.0,67.6717333717,68.8405542758,67.1622473366,68.031370573,1055749.0
2017-06-19,64.75,67.73,64.75,67.73,2241924.0,0.0,1.0,64.6847466168,67.6617434495,64.6847466168,67.6617434495,2241924.0
2017-06-16,63.96,64.35,63.5,63.57,961272.0,0.0,1.0,63.8955427584,64.2851497265,63.4360063346,63.5059357904,961272.0
2017-06-15,63.68,63.98,63.45,63.86,466541.0,0.0,1.0,63.6158249352,63.9155226029,63.3860567233,63.7956435358,466541.0
2017-06-14,64.34,64.38,63.73,64.02,345918.0,0.0,1.0,64.2751598042,64.3151194932,63.6657745465,63.955482292,345918.0
2017-06-13,63.79,64.46,63.77,64.13,322907.0,0.0,1.0,63.72571408,64.3950388713,63.7057342355,64.0653714368,322907.0
2017-06-12,63.61,63.9,63.095,63.7,528375.0,0.0,1.0,63.5458954794,63.8356032249,63.0314144832,63.6358047797,528375.0
2017-06-09,64.18,64.52,63.62,63.91,505389.0,0.0,1.0,64.1153210481,64.4549784048,63.5558854017,63.8455931471,505389.0
2017-06-08,64.79,64.79,63.89,64.22,358005.0,0.0,1.0,64.7247063058,64.7247063058,63.8256133026,64.1552807371,358005.0
2017-06-07,64.81,65.02,64.19,64.7,496573.0,0.0,1.0,64.7446861503,64.9544745177,64.1253109703,64.6347970055,496573.0
2017-06-06,64.76,65.35,64.7,64.75,662984.0,0.0,1.0,64.694736539,65.2841419522,64.6347970055,64.6847466168,662984.0
2017-06-05,64.8,65.07,64.58,64.88,468125.0,0.0,1.0,64.734696228,65.004424129,64.5149179384,64.8146156061,468125.0
2017-06-02,64.02,64.95,63.96,64.87,410830.0,0.0,1.0,63.955482292,64.8845450619,63.8955427584,64.8046256838,410830.0
2017-06-01,63.1,64.09,62.945,63.98,863020.0,0.0,1.0,63.0364094443,64.0254117478,62.8815656493,63.9155226029,863020.0
2017-05-31,63.0,63.15,62.72,63.06,418810.0,0.0,1.0,62.9365102217,63.0863590556,62.6567923985,62.9964497553,418810.0
2017-05-30,62.75,62.99,62.62,62.96,278364.0,0.0,1.0,62.6867621653,62.9265202995,62.5568931759,62.8965505327,278364.0
2017-05-26,62.77,63.0279,62.76,62.8,504467.0,0.0,1.0,62.7067420098,62.9643821048,62.6967520875,62.7367117766,504467.0
2017-05-25,62.38,62.85,62.28,62.8,331666.0,0.0,1.0,62.3171350418,62.7866613878,62.2172358192,62.7367117766,331666.0
2017-05-24,62.14,62.45,61.89,62.4,274090.0,0.0,1.0,62.0773769076,62.3870644976,61.8276288511,62.3371148863,274090.0
