Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,115.43,115.45,113.91,114.76,4567961.0,0.0,1.0,115.43,115.45,113.91,114.76,4567961.0
2017-08-03,114.79,115.52,114.17,114.49,4265502.0,0.0,1.0,114.79,115.52,114.17,114.49,4265502.0
2017-08-02,115.81,115.81,113.88,114.46,5701911.0,0.0,1.0,115.81,115.81,113.88,114.46,5701911.0
2017-08-01,117.01,117.38,115.67,115.88,5708359.0,0.0,1.0,117.01,117.38,115.67,115.88,5708359.0
2017-07-31,117.13,118.25,116.61,116.71,6421818.0,0.0,1.0,117.13,118.25,116.61,116.71,6421818.0
2017-07-28,118.21,118.92,109.31,118.51,15993948.0,0.0,1.0,118.21,118.92,109.31,118.51,15993948.0
2017-07-27,117.65,118.76,117.47,118.19,4439761.0,0.0,1.0,117.65,118.76,117.47,118.19,4439761.0
2017-07-26,117.93,118.59,117.5,117.65,4110878.0,0.0,1.0,117.93,118.59,117.5,117.65,4110878.0
2017-07-25,119.53,119.74,117.76,117.82,4991651.0,0.0,1.0,119.53,119.74,117.76,117.82,4991651.0
2017-07-24,119.43,119.995,118.84,118.89,3935522.0,0.0,1.0,119.43,119.995,118.84,118.89,3935522.0
2017-07-21,119.57,119.84,118.72,119.58,3543571.0,0.0,1.0,119.57,119.84,118.72,119.58,3543571.0
2017-07-20,118.66,121.16,117.55,119.86,6563842.0,0.0,1.0,118.66,121.16,117.55,119.86,6563842.0
2017-07-19,119.51,121.69,119.42,121.62,5003805.0,0.0,1.0,119.51,121.69,119.42,121.62,5003805.0
2017-07-18,119.0,120.0,118.66,119.64,3217821.0,0.0,1.0,119.0,120.0,118.66,119.64,3217821.0
2017-07-17,119.44,119.65,118.8,119.0,2841974.0,0.0,1.0,119.44,119.65,118.8,119.0,2841974.0
2017-07-14,118.02,119.49,118.0,119.13,3826690.0,0.0,1.0,118.02,119.49,118.0,119.13,3826690.0
2017-07-13,118.32,118.45,117.44,117.51,3770384.0,0.0,1.0,118.32,118.45,117.44,117.51,3770384.0
2017-07-12,118.15,118.591,117.57,118.23,2949178.0,0.0,1.0,118.15,118.591,117.57,118.23,2949178.0
2017-07-11,118.35,118.35,116.99,117.21,3465569.0,0.0,1.0,118.35,118.35,116.99,117.21,3465569.0
2017-07-10,117.98,118.97,117.86,118.16,2492354.0,0.0,1.0,117.98,118.97,117.86,118.16,2492354.0
2017-07-07,118.56,118.65,117.41,117.9,2713082.0,0.0,1.0,118.56,118.65,117.41,117.9,2713082.0
2017-07-06,118.21,118.625,117.87,118.35,3830996.0,0.0,1.0,118.21,118.625,117.87,118.35,3830996.0
2017-07-05,116.17,118.72,116.17,118.54,3667948.0,0.0,1.0,116.17,118.72,116.17,118.54,3667948.0
2017-07-03,117.86,117.93,116.66,116.9,1632717.0,0.0,1.0,117.86,117.93,116.66,116.9,1632717.0
2017-06-30,117.23,118.4,117.09,117.45,3222851.0,0.0,1.0,117.23,118.4,117.09,117.45,3222851.0
2017-06-29,118.4,118.44,116.73,117.08,3227315.0,0.0,1.0,118.4,118.44,116.73,117.08,3227315.0
2017-06-28,118.7,119.53,118.4,118.93,1847975.0,0.0,1.0,118.7,119.53,118.4,118.93,1847975.0
2017-06-27,119.6,120.2,117.84,118.14,3972350.0,0.0,1.0,119.6,120.2,117.84,118.14,3972350.0
2017-06-26,119.69,120.11,119.43,119.51,1789607.0,0.0,1.0,119.69,120.11,119.43,119.51,1789607.0
2017-06-23,119.85,120.15,119.45,119.56,3391441.0,0.0,1.0,119.85,120.15,119.45,119.56,3391441.0
2017-06-22,120.15,120.21,119.65,119.71,2209884.0,0.0,1.0,120.15,120.21,119.65,119.71,2209884.0
2017-06-21,121.1,121.84,120.14,120.19,3180589.0,1.04,1.0,121.1,121.84,120.14,120.19,3180589.0
2017-06-20,122.73,123.55,122.01,122.11,3051712.0,0.0,1.0,121.677131898,122.490097336,120.963308587,121.062450714,3051712.0
2017-06-19,122.06,122.98,121.72,122.9,2983422.0,0.0,1.0,121.01287965,121.924987214,120.67579642,121.845673513,2983422.0
2017-06-16,119.88,121.97,119.88,121.84,7117948.0,0.0,1.0,118.851581292,120.923651736,118.851581292,120.794766972,7117948.0
2017-06-15,119.23,120.86,119.02,120.51,3854671.0,0.0,1.0,118.207157469,119.823174132,117.998959004,119.476176689,3854671.0
2017-06-14,119.0,120.23,118.91,119.75,3780274.0,0.0,1.0,117.979130578,119.198578735,117.889902664,118.722696527,3780274.0
2017-06-13,118.87,119.01,118.04,118.69,4336009.0,0.0,1.0,117.850245814,117.989044791,117.027366163,117.671789986,4336009.0
2017-06-12,120.04,120.31,118.25,119.17,4786706.0,0.0,1.0,119.010208694,119.277892436,117.235564629,118.147672193,4786706.0
2017-06-09,120.97,121.5,119.79,120.12,4160020.0,0.0,1.0,119.932230471,120.457683742,118.762353378,119.089522395,4160020.0
2017-06-08,121.85,122.0,120.52,121.11,4088490.0,0.0,1.0,120.804681185,120.953394374,119.486090902,120.071029448,4088490.0
2017-06-07,121.96,122.87,121.57,122.3,3235817.0,0.0,1.0,120.913737524,121.815930875,120.52708323,121.250820754,3235817.0
2017-06-06,121.77,122.9,121.4475,122.0,3583073.0,0.0,1.0,120.725367483,121.845673513,120.405634125,120.953394374,3583073.0
2017-06-05,121.5,122.0,120.81,121.97,2625476.0,0.0,1.0,120.457683742,120.953394374,119.773603069,120.923651736,2625476.0
2017-06-02,121.35,121.82,120.5301,121.79,3133312.0,0.0,1.0,120.308970552,120.774938547,119.496104256,120.745195909,3133312.0
2017-06-01,120.0,120.93,119.28,120.9,4730045.0,0.0,1.0,118.970551844,119.89257362,118.256728533,119.862830982,4730045.0
2017-05-31,120.48,121.11,119.77,119.8,4718954.0,0.0,1.0,119.446434051,120.071029448,118.742524953,118.772267591,4718954.0
2017-05-30,119.25,120.19,118.99,119.95,2860317.0,0.0,1.0,118.226985895,119.158921884,117.969216366,118.92098078,2860317.0
2017-05-26,119.25,119.88,118.96,119.83,2243130.0,0.0,1.0,118.226985895,118.851581292,117.939473728,118.802010228,2243130.0
2017-05-25,117.79,119.78,117.64,119.48,3072665.0,0.0,1.0,116.779510847,118.752439165,116.630797657,118.455012786,3072665.0
2017-05-24,116.86,117.52,116.25,117.43,2665033.0,0.0,1.0,115.85748907,116.511827106,115.252722098,116.422599192,2665033.0
2017-05-23,116.18,117.59,116.1,116.46,3796007.0,0.0,1.0,115.18332261,116.581226594,115.104008909,115.460920564,3796007.0
2017-05-22,115.03,116.37,114.87,116.22,3687677.0,0.0,1.0,114.043188155,115.37169265,113.884560752,115.222979461,3687677.0
2017-05-19,113.99,115.27,113.5,114.74,4236108.0,0.0,1.0,113.012110039,114.281129258,112.526313619,113.755675988,4236108.0
2017-05-18,113.78,114.29,113.29,113.58,3350688.0,0.0,1.0,112.803911573,113.309536418,112.318115153,112.60562732,3350688.0
2017-05-17,113.34,114.725,113.1,113.75,4562775.0,0.0,1.0,112.367686216,113.740804669,112.129745113,112.774168935,4562775.0
2017-05-16,112.95,114.36,112.61,113.52,3851106.0,0.0,1.0,111.981031923,113.378935907,111.643948693,112.546142044,3851106.0
2017-05-15,111.89,112.47,111.65,112.36,2311686.0,0.0,1.0,110.930125382,111.505149715,110.692184278,111.396093376,2311686.0
2017-05-12,110.96,111.8,110.795,111.71,2407494.0,0.0,1.0,110.008103605,110.840897468,109.844519096,110.751669554,2407494.0
2017-05-11,110.73,111.41,110.09,111.19,3581644.0,0.0,1.0,109.780076714,110.454243174,109.145567104,110.236130496,3581644.0
2017-05-10,111.7,112.11,110.63,110.83,3623855.0,0.0,1.0,110.741755341,111.14823806,109.680934587,109.87921884,3623855.0
2017-05-09,112.94,112.94,110.94,111.93,4491563.0,0.0,1.0,111.97111771,111.97111771,109.988275179,110.969782232,4491563.0
2017-05-08,112.09,112.645,111.89,112.63,3688196.0,0.0,1.0,111.128409635,111.678648437,110.930125382,111.663777118,3688196.0
2017-05-05,111.51,112.3,111.33,112.25,2883181.0,0.0,1.0,110.553385301,111.3366081,110.374929473,111.287037037,2883181.0
2017-05-04,110.89,111.745,110.55,111.2,3496007.0,0.0,1.0,109.938704116,110.786369298,109.601620886,110.246044708,3496007.0
2017-05-03,110.4,110.87,109.95,110.61,2915524.0,0.0,1.0,109.452907696,109.918875691,109.006768127,109.661106162,2915524.0
2017-05-02,110.6,110.83,110.25,110.47,2926720.0,0.0,1.0,109.651191949,109.87921884,109.304194506,109.522307185,2926720.0
2017-05-01,111.0,111.08,110.53,110.55,2350162.0,0.0,1.0,110.047760455,110.127074157,109.581792461,109.601620886,2350162.0
2017-04-28,110.13,110.905,109.73,110.84,3694347.0,0.0,1.0,109.185223954,109.953575435,108.788655448,109.889133053,3694347.0
2017-04-27,111.2,111.44,110.0,110.19,5509617.0,0.0,1.0,110.246044708,110.483985812,109.05633919,109.24470923,5509617.0
2017-04-26,112.86,113.0,111.09,111.15,3778376.0,0.0,1.0,111.891804009,112.030602986,110.136988369,110.196473645,3778376.0
2017-04-25,112.38,113.4539,112.0,113.09,3827367.0,0.0,1.0,111.415921802,112.480609098,111.039181721,112.1198309,3827367.0
2017-04-24,110.48,112.745,110.34,112.39,4382882.0,0.0,1.0,109.532221397,111.777790563,109.39342242,111.425836014,4382882.0
2017-04-21,109.78,110.27,109.495,109.62,4695723.0,0.0,1.0,108.838226512,109.324022932,108.555671451,108.679599109,4695723.0
2017-04-20,109.15,110.73,108.56,109.98,9706833.0,0.0,1.0,108.213631114,109.780076714,107.628692568,109.036510765,9706833.0
2017-04-19,115.08,115.15,113.71,113.91,3688382.0,0.0,1.0,114.092759218,114.162158707,112.734512084,112.932796338,3688382.0
2017-04-18,114.69,115.63,114.58,115.21,5275043.0,0.0,1.0,113.706104925,114.638040914,113.597048585,114.221643983,5275043.0
2017-04-17,113.14,114.87,113.14,114.74,4105475.0,0.0,1.0,112.169401963,113.884560752,112.169401963,113.755675988,4105475.0
2017-04-13,113.48,113.78,112.94,113.06,3098316.0,0.0,1.0,112.506485193,112.803911573,111.97111771,112.090088262,3098316.0
2017-04-12,113.69,113.95,113.245,113.78,4141751.0,0.0,1.0,112.714683659,112.972453188,112.273501196,112.803911573,4141751.0
2017-04-11,113.48,113.6799,113.0,113.42,3587119.0,0.0,1.0,112.506485193,112.704670304,112.030602986,112.446999918,3587119.0
2017-04-10,113.6,113.97,112.83,113.05,4973466.0,0.0,1.0,112.625455745,112.992281613,111.862061371,112.080174049,4973466.0
2017-04-07,112.86,114.0194,112.83,113.6,5636935.0,0.0,1.0,111.891804009,113.041257824,111.862061371,112.625455745,5636935.0
2017-04-06,113.38,113.77,112.38,112.59,4358874.0,0.0,1.0,112.407343067,112.79399736,111.415921802,111.624120267,4358874.0
