Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,111.53,113.28,111.11,112.49,2088224.0,0.0,1.0,111.53,113.28,111.11,112.49,2088224.0
2017-08-03,111.5,113.43,109.9,110.27,4092780.0,0.0,1.0,111.5,113.43,109.9,110.27,4092780.0
2017-08-02,113.88,115.26,113.45,115.23,1984094.0,0.0,1.0,113.88,115.26,113.45,115.23,1984094.0
2017-08-01,113.95,114.41,113.03,114.4,1551588.0,0.0,1.0,113.95,114.41,113.03,114.4,1551588.0
2017-07-31,113.64,113.9,113.16,113.23,1248548.0,0.0,1.0,113.64,113.9,113.16,113.23,1248548.0
2017-07-28,112.77,113.35,112.09,113.2,956086.0,0.0,1.0,112.77,113.35,112.09,113.2,956086.0
2017-07-27,112.4,113.31,112.04,112.74,1015352.0,0.0,1.0,112.4,113.31,112.04,112.74,1015352.0
2017-07-26,113.62,113.88,111.89,112.19,1019334.0,0.0,1.0,113.62,113.88,111.89,112.19,1019334.0
2017-07-25,113.66,114.1,113.2,113.52,1002566.0,0.0,1.0,113.66,114.1,113.2,113.52,1002566.0
2017-07-24,111.58,112.38,111.43,112.13,1059865.0,0.0,1.0,111.58,112.38,111.43,112.13,1059865.0
2017-07-21,110.9,111.83,110.6,111.74,1357843.0,0.0,1.0,110.9,111.83,110.6,111.74,1357843.0
2017-07-20,111.6,111.96,110.825,111.06,1339552.0,0.0,1.0,111.6,111.96,110.825,111.06,1339552.0
2017-07-19,110.36,111.71,110.21,111.3,1451696.0,0.0,1.0,110.36,111.71,110.21,111.3,1451696.0
2017-07-18,110.45,111.23,110.02,110.6,1437038.0,0.0,1.0,110.45,111.23,110.02,110.6,1437038.0
2017-07-17,111.28,111.62,110.45,111.28,985432.0,0.0,1.0,111.28,111.62,110.45,111.28,985432.0
2017-07-14,110.55,111.83,109.91,111.41,1363908.0,0.0,1.0,110.55,111.83,109.91,111.41,1363908.0
2017-07-13,111.28,112.1409,111.04,111.93,1193479.0,0.0,1.0,111.28,112.1409,111.04,111.93,1193479.0
2017-07-12,110.56,111.28,110.17,111.21,1382200.0,0.0,1.0,110.56,111.28,110.17,111.21,1382200.0
2017-07-11,111.46,111.6,110.34,110.65,1064199.0,0.0,1.0,111.46,111.6,110.34,110.65,1064199.0
2017-07-10,111.08,111.82,111.01,111.34,1205245.0,0.0,1.0,111.08,111.82,111.01,111.34,1205245.0
2017-07-07,111.26,111.67,110.26,111.36,1935848.0,0.0,1.0,111.26,111.67,110.26,111.36,1935848.0
2017-07-06,110.39,112.72,110.0,110.8,3178459.0,0.0,1.0,110.39,112.72,110.0,110.8,3178459.0
2017-07-05,110.42,110.57,109.51,110.22,2026144.0,0.0,1.0,110.42,110.57,109.51,110.22,2026144.0
2017-07-03,109.04,111.38,109.04,110.18,1923259.0,0.0,1.0,109.04,111.38,109.04,110.18,1923259.0
2017-06-30,109.12,109.37,108.06,108.14,2152801.0,0.0,1.0,109.12,109.37,108.06,108.14,2152801.0
2017-06-29,109.0,109.75,107.29,108.38,2923584.0,0.0,1.0,109.0,109.75,107.29,108.38,2923584.0
2017-06-28,105.62,107.48,105.62,107.26,2270955.0,0.0,1.0,105.62,107.48,105.62,107.26,2270955.0
2017-06-27,104.01,106.04,103.7,104.6,1678031.0,0.0,1.0,104.01,106.04,103.7,104.6,1678031.0
2017-06-26,103.94,104.64,102.49,103.67,2149314.0,0.0,1.0,103.94,104.64,102.49,103.67,2149314.0
2017-06-23,103.61,103.94,102.96,103.36,2599220.0,0.0,1.0,103.61,103.94,102.96,103.36,2599220.0
2017-06-22,104.59,104.59,103.15,103.31,1925509.0,0.0,1.0,104.59,104.59,103.15,103.31,1925509.0
2017-06-21,107.62,107.63,104.59,104.89,2096034.0,0.0,1.0,107.62,107.63,104.59,104.89,2096034.0
2017-06-20,108.0,108.34,107.3268,107.43,1035164.0,0.0,1.0,108.0,108.34,107.3268,107.43,1035164.0
2017-06-19,108.47,108.88,108.13,108.48,1170315.0,0.0,1.0,108.47,108.88,108.13,108.48,1170315.0
2017-06-16,108.59,108.67,107.625,107.71,2290338.0,0.0,1.0,108.59,108.67,107.625,107.71,2290338.0
2017-06-15,107.28,108.47,106.94,108.28,1699013.0,0.0,1.0,107.28,108.47,106.94,108.28,1699013.0
2017-06-14,107.11,108.305,105.76,108.1,2215899.0,0.0,1.0,107.11,108.305,105.76,108.1,2215899.0
2017-06-13,108.79,109.05,107.8,108.05,5447749.0,0.0,1.0,108.79,109.05,107.8,108.05,5447749.0
2017-06-12,107.8,108.905,107.13,108.36,2088681.0,0.0,1.0,107.8,108.905,107.13,108.36,2088681.0
2017-06-09,106.13,107.92,106.02,107.75,2032756.0,0.0,1.0,106.13,107.92,106.02,107.75,2032756.0
2017-06-08,103.69,106.36,103.59,105.41,2339504.0,0.0,1.0,103.69,106.36,103.59,105.41,2339504.0
2017-06-07,103.25,103.86,102.03,103.55,1766112.0,0.0,1.0,103.25,103.86,102.03,103.55,1766112.0
2017-06-06,104.5,104.68,102.92,103.2,2070351.0,0.0,1.0,104.5,104.68,102.92,103.2,2070351.0
