Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,130.32,130.71,129.62,130.15,1143551.0,0.0,1.0,130.32,130.71,129.62,130.15,1143551.0
2017-08-03,130.66,130.82,129.94,130.32,699324.0,0.0,1.0,130.66,130.82,129.94,130.32,699324.0
2017-08-02,130.65,131.0,130.01,130.6,963497.0,0.0,1.0,130.65,131.0,130.01,130.6,963497.0
2017-08-01,131.12,132.27,129.94,130.71,1783263.0,0.0,1.0,131.12,132.27,129.94,130.71,1783263.0
2017-07-31,132.46,132.46,129.46,130.16,2097442.0,0.0,1.0,132.46,132.46,129.46,130.16,2097442.0
2017-07-28,132.71,133.36,130.9,132.26,1486865.0,0.0,1.0,132.71,133.36,130.9,132.26,1486865.0
2017-07-27,135.0,135.57,131.8,132.71,1812862.0,0.0,1.0,135.0,135.57,131.8,132.71,1812862.0
2017-07-26,135.34,135.8,134.38,135.03,1141231.0,0.0,1.0,135.34,135.8,134.38,135.03,1141231.0
2017-07-25,136.37,136.59,135.33,135.86,1009759.0,0.0,1.0,136.37,136.59,135.33,135.86,1009759.0
2017-07-24,134.81,135.57,134.4,135.22,888887.0,0.0,1.0,134.81,135.57,134.4,135.22,888887.0
2017-07-21,135.1,135.31,134.43,134.74,813853.0,0.0,1.0,135.1,135.31,134.43,134.74,813853.0
2017-07-20,135.57,135.9,134.64,135.21,925735.0,0.0,1.0,135.57,135.9,134.64,135.21,925735.0
2017-07-19,134.16,135.7,133.95,135.62,726512.0,0.0,1.0,134.16,135.7,133.95,135.62,726512.0
2017-07-18,134.27,134.49,133.46,134.16,848415.0,0.0,1.0,134.27,134.49,133.46,134.16,848415.0
2017-07-17,134.5,134.91,134.09,134.54,1190914.0,0.0,1.0,134.5,134.91,134.09,134.54,1190914.0
2017-07-14,134.06,134.68,133.55,134.31,1078850.0,0.0,1.0,134.06,134.68,133.55,134.31,1078850.0
2017-07-13,133.78,134.21,133.29,133.58,871139.0,0.0,1.0,133.78,134.21,133.29,133.58,871139.0
2017-07-12,134.39,134.48,133.65,133.82,1252696.0,0.0,1.0,134.39,134.48,133.65,133.82,1252696.0
2017-07-11,133.29,133.5,132.43,132.96,657014.0,0.0,1.0,133.29,133.5,132.43,132.96,657014.0
2017-07-10,132.65,134.09,132.49,133.34,737667.0,0.0,1.0,132.65,134.09,132.49,133.34,737667.0
2017-07-07,132.53,133.27,131.82,133.06,1187717.0,0.0,1.0,132.53,133.27,131.82,133.06,1187717.0
2017-07-06,132.45,133.3,132.33,132.43,1598871.0,0.0,1.0,132.45,133.3,132.33,132.43,1598871.0
2017-07-05,134.22,134.54,132.19,132.66,1072421.0,0.0,1.0,134.22,134.54,132.19,132.66,1072421.0
