Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,53.0,53.0,52.51,52.62,8677902.0,0.0,1.0,53.0,53.0,52.51,52.62,8677902.0
2017-08-03,53.16,53.3399,52.75,52.95,8643537.0,0.0,1.0,53.16,53.3399,52.75,52.95,8643537.0
2017-08-02,53.295,53.3885,52.78,53.17,23084022.0,0.0,1.0,53.295,53.3885,52.78,53.17,23084022.0
2017-08-01,53.3,53.43,52.91,53.41,9372128.0,0.0,1.0,53.3,53.43,52.91,53.41,9372128.0
2017-07-31,53.1,53.295,52.75,53.19,11302681.0,0.0,1.0,53.1,53.295,52.75,53.19,11302681.0
2017-07-28,52.27,52.9865,52.27,52.88,6644302.0,0.0,1.0,52.27,52.9865,52.27,52.88,6644302.0
2017-07-27,53.08,53.37,52.23,52.49,14069183.0,0.0,1.0,53.08,53.37,52.23,52.49,14069183.0
2017-07-26,53.29,53.35,52.74,53.14,7581480.0,0.0,1.0,53.29,53.35,52.74,53.14,7581480.0
2017-07-25,53.2,53.65,53.07,53.27,7112089.0,0.0,1.0,53.2,53.65,53.07,53.27,7112089.0
2017-07-24,53.75,53.88,53.09,53.22,8832174.0,0.0,1.0,53.75,53.88,53.09,53.22,8832174.0
2017-07-21,53.66,54.0,53.37,53.84,12113142.0,0.0,1.0,53.66,54.0,53.37,53.84,12113142.0
2017-07-20,55.11,55.43,53.46,53.97,35943882.0,0.0,1.0,55.11,55.43,53.46,53.97,35943882.0
2017-07-19,56.46,56.9399,56.01,56.78,8783691.0,0.0,1.0,56.46,56.9399,56.01,56.78,8783691.0
2017-07-18,56.34,56.38,56.0,56.29,7441014.0,0.0,1.0,56.34,56.38,56.0,56.29,7441014.0
2017-07-17,56.73,56.92,56.39,56.46,5123598.0,0.0,1.0,56.73,56.92,56.39,56.46,5123598.0
2017-07-14,56.5,56.93,56.15,56.81,4440059.0,0.0,1.0,56.5,56.93,56.15,56.81,4440059.0
2017-07-13,56.38,56.52,56.17,56.23,6219216.0,0.0,1.0,56.38,56.52,56.17,56.23,6219216.0
2017-07-12,55.79,56.31,55.72,56.2,6126846.0,0.0,1.0,55.79,56.31,55.72,56.2,6126846.0
2017-07-11,55.63,55.63,55.02,55.33,6124863.0,0.0,1.0,55.63,55.63,55.02,55.33,6124863.0
2017-07-10,55.37,55.885,55.19,55.64,5098110.0,0.0,1.0,55.37,55.885,55.19,55.64,5098110.0
2017-07-07,55.04,55.73,54.87,55.35,5355977.0,0.0,1.0,55.04,55.73,54.87,55.35,5355977.0
2017-07-06,55.02,55.23,54.735,54.79,5663022.0,0.0,1.0,55.02,55.23,54.735,54.79,5663022.0
2017-07-05,55.01,55.56,54.78,55.45,6823806.0,0.0,1.0,55.01,55.56,54.78,55.45,6823806.0
2017-07-03,55.53,56.02,54.92,54.95,4379566.0,0.0,1.0,55.53,56.02,54.92,54.95,4379566.0
2017-06-30,55.6,55.63,55.03,55.22,8781900.0,0.0,1.0,55.6,55.63,55.03,55.22,8781900.0
2017-06-29,55.93,55.93,54.55,55.08,8456872.0,0.0,1.0,55.93,55.93,54.55,55.08,8456872.0
2017-06-28,55.4,56.32,55.18,56.16,7542428.0,0.0,1.0,55.4,56.32,55.18,56.16,7542428.0
2017-06-27,56.29,56.33,55.41,55.43,6814393.0,0.0,1.0,56.29,56.33,55.41,55.43,6814393.0
2017-06-26,57.09,57.6892,56.21,56.56,7339073.0,0.0,1.0,57.09,57.6892,56.21,56.56,7339073.0
2017-06-23,56.64,57.4365,56.57,56.91,11847870.0,0.0,1.0,56.64,57.4365,56.57,56.91,11847870.0
2017-06-22,56.24,56.745,56.06,56.47,5560135.0,0.0,1.0,56.24,56.745,56.06,56.47,5560135.0
2017-06-21,56.79,56.84,56.12,56.33,8324937.0,0.0,1.0,56.79,56.84,56.12,56.33,8324937.0
2017-06-20,57.46,57.61,56.51,56.79,8181643.0,0.0,1.0,57.46,57.61,56.51,56.79,8181643.0
2017-06-19,56.96,57.66,56.91,57.61,7166237.0,0.0,1.0,56.96,57.66,56.91,57.61,7166237.0
2017-06-16,56.98,57.01,56.35,56.82,14555633.0,0.0,1.0,56.98,57.01,56.35,56.82,14555633.0
2017-06-15,56.42,57.17,56.4,56.93,5416623.0,0.0,1.0,56.42,57.17,56.4,56.93,5416623.0
2017-06-14,57.7,57.97,56.67,57.01,6740008.0,0.0,1.0,57.7,57.97,56.67,57.01,6740008.0
2017-06-13,57.95,58.065,57.5,57.54,7111499.0,0.0,1.0,57.95,58.065,57.5,57.54,7111499.0
2017-06-12,56.52,57.675,56.48,57.49,9985065.0,0.0,1.0,56.52,57.675,56.48,57.49,9985065.0
2017-06-09,58.37,58.49,56.74,57.05,13624828.0,0.0,1.0,58.37,58.49,56.74,57.05,13624828.0
2017-06-08,57.77,58.15,57.61,58.12,10322232.0,0.0,1.0,57.77,58.15,57.61,58.12,10322232.0
2017-06-07,58.3,58.49,57.13,57.53,10126509.0,0.0,1.0,58.3,58.49,57.13,57.53,10126509.0
2017-06-06,58.6,58.91,58.18,58.2,7871534.0,0.0,1.0,58.6,58.91,58.18,58.2,7871534.0
2017-06-05,58.5,59.05,58.48,58.86,7960848.0,0.0,1.0,58.5,59.05,58.48,58.86,7960848.0
2017-06-02,58.89,58.96,58.35,58.58,9538011.0,0.0,1.0,58.89,58.96,58.35,58.58,9538011.0
2017-06-01,57.45,58.65,57.35,58.62,11560120.0,0.0,1.0,57.45,58.65,57.35,58.62,11560120.0
2017-05-31,57.26,57.73,57.0,57.27,14082627.0,0.0,1.0,57.26,57.73,57.0,57.27,14082627.0
2017-05-30,57.28,57.74,57.17,57.34,11553716.0,0.0,1.0,57.28,57.74,57.17,57.34,11553716.0
2017-05-26,57.66,57.978,57.37,57.52,8261886.0,0.57,1.0,57.66,57.978,57.37,57.52,8261886.0
2017-05-25,58.65,58.95,58.261,58.45,9556506.0,0.0,1.0,58.0745050783,58.3715613703,57.6893220864,57.8764675504,9556506.0
2017-05-24,59.28,59.62,58.57,58.64,8625623.0,0.0,1.0,58.6983232914,59.034987089,57.9952900671,58.0646032019,8625623.0
2017-05-23,59.38,59.89,59.13,59.22,14223368.0,0.0,1.0,58.7973420554,59.3023377518,58.5497951455,58.6389120331,14223368.0
2017-05-22,58.39,59.54,58.38,59.28,20771548.0,0.0,1.0,57.817056292,58.9557720778,57.8071544156,58.6983232914,20771548.0
2017-05-19,56.49,57.79,56.2,57.67,16643755.0,0.0,1.0,55.9356997762,57.222943708,55.6485453606,57.1041211913,16643755.0
2017-05-18,55.58,56.31,55.02,56.12,13125299.0,0.0,1.0,55.0346290239,55.757466001,54.4801239456,55.5693303495,13125299.0
2017-05-17,55.64,56.075,55.3,55.36,14811304.0,0.0,1.0,55.0940402823,55.5247719057,54.7573764848,54.8167877432,14811304.0
2017-05-16,55.39,55.98,55.1,55.95,9599290.0,0.0,1.0,54.8464933724,55.4307040799,54.5593389568,55.4009984507,9599290.0
2017-05-15,55.08,55.49,55.075,55.4,10686064.0,0.0,1.0,54.539535204,54.9455121363,54.5345842658,54.8563952488,10686064.0
2017-05-12,54.5,55.35,54.4,55.32,9107629.0,0.0,1.0,53.9652263729,54.8068858668,53.8662076089,54.7771802376,9107629.0
2017-05-11,55.25,55.3,54.41,54.68,13514708.0,0.0,1.0,54.7078671028,54.7573764848,53.8761094853,54.143460148,13514708.0
2017-05-10,55.22,55.4273,54.8627,55.33,8517699.0,0.0,1.0,54.6781614736,54.8834273713,54.3243674299,54.787082114,8517699.0
2017-05-09,54.69,55.19,54.63,55.15,8332919.0,0.0,1.0,54.1533620244,54.6484558444,54.0939507661,54.6088483388,8332919.0
2017-05-08,54.99,55.0,54.56,54.62,7033362.0,0.0,1.0,54.4504183164,54.4603201928,54.0246376313,54.0840488897,7033362.0
2017-05-05,54.93,55.0,54.695,54.93,9108818.0,0.0,1.0,54.391007058,54.4603201928,54.1583129626,54.391007058,9108818.0
2017-05-04,54.73,55.0,54.5,54.91,11993428.0,0.0,1.0,54.19296953,54.4603201928,53.9652263729,54.3712033052,11993428.0
2017-05-03,53.41,54.77,53.25,54.49,18428284.0,0.0,1.0,52.8859218454,54.2325770356,52.727491823,53.9553244965,18428284.0
2017-05-02,53.65,53.725,52.9,53.29,10445444.0,0.0,1.0,53.123566879,53.197830952,52.3809261491,52.7670993286,10445444.0
2017-05-01,53.65,53.7,53.095,53.6,12987659.0,0.0,1.0,53.123566879,53.173076261,52.5740127389,53.074057497,12987659.0
2017-04-28,51.8,53.95,51.05,53.74,34374139.0,0.0,1.0,51.2917197452,53.4206231709,50.5490790153,53.2126837666,34374139.0
2017-04-27,53.24,53.34,52.91,53.21,6956210.0,0.0,1.0,52.7175899466,52.8166087106,52.3908280255,52.6878843174,6956210.0
2017-04-26,53.2,53.3,52.91,53.04,7373776.0,0.0,1.0,52.677982441,52.777001205,52.3908280255,52.5195524187,7373776.0
2017-04-25,53.17,53.49,52.96,53.0,11688660.0,0.0,1.0,52.6482768118,52.9651368566,52.4403374075,52.4799449131,11688660.0
2017-04-24,53.01,53.25,52.75,52.81,10704413.0,0.0,1.0,52.4898467895,52.727491823,52.2323980031,52.2918092615,10704413.0
2017-04-21,52.77,52.8,52.21,52.5,10951539.0,0.0,1.0,52.2522017559,52.2819073851,51.6976966776,51.9848510931,10951539.0
2017-04-20,53.22,53.4,51.4,52.66,24664581.0,0.0,1.0,52.6977861938,52.876019969,50.8956446893,52.1432811155,24664581.0
2017-04-19,53.0,53.1,52.3,52.61,15441526.0,0.0,1.0,52.4799449131,52.5789636771,51.7868135652,52.0937717335,15441526.0
2017-04-18,52.6,52.98,52.39,52.67,11262770.0,0.0,1.0,52.0838698571,52.4601411603,51.8759304527,52.1531829919,11262770.0
2017-04-17,52.99,53.13,52.75,52.89,10471714.0,0.0,1.0,52.4700430367,52.6086693062,52.2323980031,52.3710242727,10471714.0
2017-04-13,53.13,53.675,52.78,52.79,17014422.0,0.0,1.0,52.6086693062,53.14832157,52.2621036323,52.2720055087,17014422.0
2017-04-12,54.64,54.65,53.12,53.39,24822200.0,0.0,1.0,54.1038526425,54.1137545189,52.5987674299,52.8661180926,24822200.0
2017-04-11,56.32,56.36,54.72,55.35,17301754.0,0.0,1.0,55.7673678774,55.806975383,54.1830676536,54.8068858668,17301754.0
2017-04-10,56.43,56.81,56.27,56.52,6039764.0,0.0,1.0,55.8762885178,56.252559821,55.7178584954,55.9654054054,6039764.0
