Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,119.95,120.96,119.36,119.69,1529210.0,0.0,1.0,119.95,120.96,119.36,119.69,1529210.0
2017-08-03,117.5,120.47,117.0,119.92,2286854.0,0.0,1.0,117.5,120.47,117.0,119.92,2286854.0
2017-08-02,117.64,117.68,114.66,117.39,2631808.0,0.0,1.0,117.64,117.68,114.66,117.39,2631808.0
2017-08-01,117.98,120.0,116.2101,116.87,3280438.0,0.0,1.0,117.98,120.0,116.2101,116.87,3280438.0
2017-07-31,114.19,114.99,112.87,113.07,1714944.0,0.0,1.0,114.19,114.99,112.87,113.07,1714944.0
2017-07-28,112.61,113.739,112.19,113.39,899887.0,0.0,1.0,112.61,113.739,112.19,113.39,899887.0
2017-07-27,115.06,115.14,112.32,113.29,1132286.0,0.0,1.0,115.06,115.14,112.32,113.29,1132286.0
2017-07-26,115.28,115.44,114.25,114.45,811350.0,0.0,1.0,115.28,115.44,114.25,114.45,811350.0
2017-07-25,116.5,116.889,114.63,114.92,1137635.0,0.0,1.0,116.5,116.889,114.63,114.92,1137635.0
2017-07-24,114.65,116.28,114.53,115.74,1425845.0,0.0,1.0,114.65,116.28,114.53,115.74,1425845.0
2017-07-21,115.0,116.2,114.765,114.91,1467887.0,0.0,1.0,115.0,116.2,114.765,114.91,1467887.0
2017-07-20,113.73,116.36,113.73,115.26,1890537.0,0.0,1.0,113.73,116.36,113.73,115.26,1890537.0
2017-07-19,112.04,112.6,111.61,112.56,1166068.0,0.0,1.0,112.04,112.6,111.61,112.56,1166068.0
2017-07-18,111.27,112.29,110.8,111.85,872073.0,0.0,1.0,111.27,112.29,110.8,111.85,872073.0
2017-07-17,108.9,111.97,108.65,111.49,1496467.0,0.0,1.0,108.9,111.97,108.65,111.49,1496467.0
2017-07-14,109.3,109.87,108.49,108.89,881898.0,0.0,1.0,109.3,109.87,108.49,108.89,881898.0
2017-07-13,110.09,110.3063,108.85,109.55,795420.0,0.0,1.0,110.09,110.3063,108.85,109.55,795420.0
2017-07-12,109.73,110.38,109.6,110.02,1060512.0,0.0,1.0,109.73,110.38,109.6,110.02,1060512.0
2017-07-11,109.14,109.39,107.785,109.26,954150.0,0.0,1.0,109.14,109.39,107.785,109.26,954150.0
2017-07-10,109.3,109.68,108.89,109.19,730414.0,0.0,1.0,109.3,109.68,108.89,109.19,730414.0
2017-07-07,108.98,110.0,108.58,109.2,930150.0,0.0,1.0,108.98,110.0,108.58,109.2,930150.0
2017-07-06,109.77,109.77,108.13,108.57,992068.0,0.0,1.0,109.77,109.77,108.13,108.57,992068.0
2017-07-05,109.02,111.1,109.0,110.64,1135915.0,0.0,1.0,109.02,111.1,109.0,110.64,1135915.0
2017-07-03,109.71,111.22,108.82,108.84,723797.0,0.0,1.0,109.71,111.22,108.82,108.84,723797.0
2017-06-30,109.43,109.84,108.42,109.23,1137728.0,0.0,1.0,109.43,109.84,108.42,109.23,1137728.0
2017-06-29,110.65,110.82,107.87,109.27,1032262.0,0.0,1.0,110.65,110.82,107.87,109.27,1032262.0
2017-06-28,109.77,110.95,109.77,110.75,1224499.0,0.0,1.0,109.77,110.95,109.77,110.75,1224499.0
2017-06-27,111.33,111.52,108.81,108.89,1275637.0,0.0,1.0,111.33,111.52,108.81,108.89,1275637.0
2017-06-26,111.92,112.76,111.21,111.33,939018.0,0.0,1.0,111.92,112.76,111.21,111.33,939018.0
2017-06-23,112.17,112.36,110.84,111.86,1593160.0,0.0,1.0,112.17,112.36,110.84,111.86,1593160.0
2017-06-22,113.82,115.63,112.09,112.15,1717280.0,0.0,1.0,113.82,115.63,112.09,112.15,1717280.0
2017-06-21,112.0,114.34,112.0,113.91,1605224.0,0.0,1.0,112.0,114.34,112.0,113.91,1605224.0
2017-06-20,113.38,113.678,111.58,111.67,753330.0,0.0,1.0,113.38,113.678,111.58,111.67,753330.0
2017-06-19,112.49,113.45,112.305,113.3,1128812.0,0.0,1.0,112.49,113.45,112.305,113.3,1128812.0
2017-06-16,111.59,112.35,110.73,111.9,1480293.0,0.0,1.0,111.59,112.35,110.73,111.9,1480293.0
2017-06-15,110.49,112.13,109.56,112.07,1432260.0,0.0,1.0,110.49,112.13,109.56,112.07,1432260.0
2017-06-14,112.0,112.82,110.73,111.64,1351305.0,0.0,1.0,112.0,112.82,110.73,111.64,1351305.0
2017-06-13,111.19,112.61,110.64,110.83,1543952.0,0.0,1.0,111.19,112.61,110.64,110.83,1543952.0
2017-06-12,109.67,110.0,106.66,109.9,2041523.0,0.0,1.0,109.67,110.0,106.66,109.9,2041523.0
2017-06-09,112.88,113.53,108.86,109.82,1634347.0,0.0,1.0,112.88,113.53,108.86,109.82,1634347.0
2017-06-08,112.12,113.7,111.78,112.82,1043007.0,0.0,1.0,112.12,113.7,111.78,112.82,1043007.0
2017-06-07,111.47,112.62,110.39,112.15,1273343.0,0.0,1.0,111.47,112.62,110.39,112.15,1273343.0
2017-06-06,111.77,112.31,110.83,110.85,1522582.0,0.0,1.0,111.77,112.31,110.83,110.85,1522582.0
2017-06-05,113.11,113.254,112.05,112.06,917263.0,0.0,1.0,113.11,113.254,112.05,112.06,917263.0
2017-06-02,113.25,114.5,113.22,113.38,1086006.0,0.0,1.0,113.25,114.5,113.22,113.38,1086006.0
2017-06-01,110.61,112.95,110.29,112.75,1430636.0,0.0,1.0,110.61,112.95,110.29,112.75,1430636.0
2017-05-31,110.45,111.05,109.75,110.18,1774366.0,0.48,1.0,110.45,111.05,109.75,110.18,1774366.0
2017-05-30,110.97,111.135,110.065,110.43,1184033.0,0.0,1.0,110.488655341,110.652939635,109.587580878,109.95099765,1184033.0
2017-05-26,110.01,111.45,110.0,111.08,1090800.0,0.0,1.0,109.532819447,110.966573288,109.522862823,110.598178204,1090800.0
