Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,65.6,67.3799,65.42,66.73,1128034.0,0.0,1.0,65.6,67.3799,65.42,66.73,1128034.0
2017-08-03,65.85,66.59,65.68,66.13,678319.0,0.0,1.0,65.85,66.59,65.68,66.13,678319.0
2017-08-02,66.89,67.26,65.75,66.1,783710.0,0.0,1.0,66.89,67.26,65.75,66.1,783710.0
2017-08-01,66.51,67.67,66.13,67.3,1286617.0,0.0,1.0,66.51,67.67,66.13,67.3,1286617.0
2017-07-31,66.27,66.32,65.21,66.22,851791.0,0.0,1.0,66.27,66.32,65.21,66.22,851791.0
2017-07-28,66.94,67.31,66.08,66.16,847961.0,0.0,1.0,66.94,67.31,66.08,66.16,847961.0
2017-07-27,65.54,67.39,64.97,67.19,1115044.0,0.0,1.0,65.54,67.39,64.97,67.19,1115044.0
2017-07-26,64.81,65.83,64.71,65.67,723644.0,0.0,1.0,64.81,65.83,64.71,65.67,723644.0
2017-07-25,64.45,64.92,63.8486,64.89,613220.0,0.0,1.0,64.45,64.92,63.8486,64.89,613220.0
2017-07-24,64.31,64.52,63.48,64.31,594482.0,0.0,1.0,64.31,64.52,63.48,64.31,594482.0
2017-07-21,64.54,64.82,63.63,64.23,499782.0,0.0,1.0,64.54,64.82,63.63,64.23,499782.0
2017-07-20,64.61,64.88,64.22,64.5,418780.0,0.0,1.0,64.61,64.88,64.22,64.5,418780.0
2017-07-19,63.59,64.49,63.48,64.48,592208.0,0.0,1.0,63.59,64.49,63.48,64.48,592208.0
2017-07-18,63.93,64.14,63.39,63.58,715397.0,0.0,1.0,63.93,64.14,63.39,63.58,715397.0
2017-07-17,63.64,64.25,63.41,63.96,805254.0,0.0,1.0,63.64,64.25,63.41,63.96,805254.0
2017-07-14,62.56,63.73,62.56,63.55,857658.0,0.0,1.0,62.56,63.73,62.56,63.55,857658.0
2017-07-13,62.09,62.83,62.0,62.45,798692.0,0.0,1.0,62.09,62.83,62.0,62.45,798692.0
2017-07-12,61.74,63.08,61.74,62.16,770002.0,0.0,1.0,61.74,63.08,61.74,62.16,770002.0
2017-07-11,61.64,61.7,60.8,61.4,644345.0,0.0,1.0,61.64,61.7,60.8,61.4,644345.0
2017-07-10,62.49,62.66,61.44,61.44,691765.0,0.0,1.0,62.49,62.66,61.44,61.44,691765.0
2017-07-07,61.82,62.51,61.58,62.38,678546.0,0.0,1.0,61.82,62.51,61.58,62.38,678546.0
2017-07-06,62.4,62.73,61.49,61.71,978172.0,0.0,1.0,62.4,62.73,61.49,61.71,978172.0
2017-07-05,63.74,63.88,62.43,62.65,1107702.0,0.0,1.0,63.74,63.88,62.43,62.65,1107702.0
2017-07-03,62.86,63.95,62.51,63.81,495243.0,0.0,1.0,62.86,63.95,62.51,63.81,495243.0
2017-06-30,63.29,63.82,62.37,62.64,1455484.0,0.0,1.0,63.29,63.82,62.37,62.64,1455484.0
2017-06-29,62.87,63.82,62.63,62.98,1339576.0,0.0,1.0,62.87,63.82,62.63,62.98,1339576.0
2017-06-28,62.59,63.52,62.46,63.15,1096006.0,0.0,1.0,62.59,63.52,62.46,63.15,1096006.0
2017-06-27,62.29,62.68,61.81,62.31,1082187.0,0.0,1.0,62.29,62.68,61.81,62.31,1082187.0
2017-06-26,61.08,62.82,61.02,62.45,1483186.0,0.0,1.0,61.08,62.82,61.02,62.45,1483186.0
2017-06-23,60.29,61.42,60.29,61.07,1631454.0,0.0,1.0,60.29,61.42,60.29,61.07,1631454.0
2017-06-22,59.76,60.48,59.37,60.28,1409346.0,0.0,1.0,59.76,60.48,59.37,60.28,1409346.0
2017-06-21,59.78,60.42,59.3,59.97,1849855.0,0.0,1.0,59.78,60.42,59.3,59.97,1849855.0
2017-06-20,60.23,60.57,59.205,59.76,1952028.0,0.0,1.0,60.23,60.57,59.205,59.76,1952028.0
2017-06-19,61.39,61.39,59.86,60.23,2649729.0,0.0,1.0,61.39,61.39,59.86,60.23,2649729.0
2017-06-16,64.26,65.25,61.0,61.45,4343573.0,0.0,1.0,64.26,65.25,61.0,61.45,4343573.0
