Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,44.64,44.82,43.94,44.22,1139476.0,0.0,1.0,44.64,44.82,43.94,44.22,1139476.0
2017-08-03,44.43,44.92,44.24,44.49,1278027.0,0.0,1.0,44.43,44.92,44.24,44.49,1278027.0
2017-08-02,45.1,45.45,44.08,44.51,1265930.0,0.0,1.0,45.1,45.45,44.08,44.51,1265930.0
2017-08-01,45.28,45.61,44.855,45.12,1417209.0,0.0,1.0,45.28,45.61,44.855,45.12,1417209.0
2017-07-31,45.01,45.4,44.68,45.25,1072870.0,0.0,1.0,45.01,45.4,44.68,45.25,1072870.0
2017-07-28,43.8,45.175,43.73,44.82,1169376.0,0.0,1.0,43.8,45.175,43.73,44.82,1169376.0
2017-07-27,44.22,44.36,43.505,43.82,1702667.0,0.0,1.0,44.22,44.36,43.505,43.82,1702667.0
2017-07-26,46.77,47.35,44.19,44.24,2510081.0,0.0,1.0,46.77,47.35,44.19,44.24,2510081.0
2017-07-25,47.58,47.83,47.0,47.8,1418784.0,0.0,1.0,47.58,47.83,47.0,47.8,1418784.0
2017-07-24,48.48,48.65,46.83,47.17,1515033.0,0.0,1.0,48.48,48.65,46.83,47.17,1515033.0
2017-07-21,48.57,48.95,48.32,48.42,565001.0,0.0,1.0,48.57,48.95,48.32,48.42,565001.0
2017-07-20,48.44,48.815,48.25,48.66,571259.0,0.0,1.0,48.44,48.815,48.25,48.66,571259.0
2017-07-19,48.39,48.67,48.19,48.45,552654.0,0.0,1.0,48.39,48.67,48.19,48.45,552654.0
2017-07-18,48.4,48.85,47.881,48.33,865470.0,0.0,1.0,48.4,48.85,47.881,48.33,865470.0
2017-07-17,48.94,49.01,48.58,48.6,645785.0,0.0,1.0,48.94,49.01,48.58,48.6,645785.0
2017-07-14,48.94,49.22,48.76,49.05,596770.0,0.0,1.0,48.94,49.22,48.76,49.05,596770.0
2017-07-13,49.26,49.26,48.74,48.95,604363.0,0.0,1.0,49.26,49.26,48.74,48.95,604363.0
2017-07-12,48.82,49.29,48.76,49.16,580772.0,0.0,1.0,48.82,49.29,48.76,49.16,580772.0
2017-07-11,49.38,49.38,48.32,48.41,719880.0,0.0,1.0,49.38,49.38,48.32,48.41,719880.0
2017-07-10,48.98,49.57,48.58,49.39,871691.0,0.0,1.0,48.98,49.57,48.58,49.39,871691.0
2017-07-07,48.24,49.5,48.16,49.17,1004239.0,0.0,1.0,48.24,49.5,48.16,49.17,1004239.0
2017-07-06,48.33,48.59,47.955,47.97,1047871.0,0.0,1.0,48.33,48.59,47.955,47.97,1047871.0
2017-07-05,48.59,49.02,48.45,48.76,806073.0,0.0,1.0,48.59,49.02,48.45,48.76,806073.0
2017-07-03,48.2,49.05,48.06,48.71,355883.0,0.0,1.0,48.2,49.05,48.06,48.71,355883.0
2017-06-30,47.93,48.22,47.7,47.93,728940.0,0.0,1.0,47.93,48.22,47.7,47.93,728940.0
2017-06-29,48.37,48.4,47.13,47.77,735026.0,0.0,1.0,48.37,48.4,47.13,47.77,735026.0
2017-06-28,47.8,48.31,47.33,48.12,1137576.0,0.0,1.0,47.8,48.31,47.33,48.12,1137576.0
2017-06-27,47.68,47.87,47.31,47.53,584238.0,0.0,1.0,47.68,47.87,47.31,47.53,584238.0
2017-06-26,47.64,47.825,47.45,47.69,602286.0,0.0,1.0,47.64,47.825,47.45,47.69,602286.0
2017-06-23,47.55,47.68,47.24,47.46,1151254.0,0.0,1.0,47.55,47.68,47.24,47.46,1151254.0
2017-06-22,47.66,47.66,46.99,47.43,989205.0,0.0,1.0,47.66,47.66,46.99,47.43,989205.0
2017-06-21,48.53,48.6,47.45,47.63,804575.0,0.0,1.0,48.53,48.6,47.45,47.63,804575.0
2017-06-20,48.84,48.97,48.305,48.36,599508.0,0.0,1.0,48.84,48.97,48.305,48.36,599508.0
2017-06-19,47.85,49.0275,47.735,48.99,742428.0,0.0,1.0,47.85,49.0275,47.735,48.99,742428.0
2017-06-16,48.08,48.32,47.63,47.75,1933784.0,0.0,1.0,48.08,48.32,47.63,47.75,1933784.0
2017-06-15,47.49,48.16,47.21,48.09,790437.0,0.0,1.0,47.49,48.16,47.21,48.09,790437.0
2017-06-14,46.66,47.9799,46.45,47.86,1001769.0,0.0,1.0,46.66,47.9799,46.45,47.86,1001769.0
2017-06-13,47.01,47.57,46.69,46.85,792616.0,0.0,1.0,47.01,47.57,46.69,46.85,792616.0
2017-06-12,47.3,47.58,46.705,47.01,777452.0,0.0,1.0,47.3,47.58,46.705,47.01,777452.0
2017-06-09,46.72,47.4,46.5,47.25,545595.0,0.0,1.0,46.72,47.4,46.5,47.25,545595.0
2017-06-08,46.07,47.18,46.03,46.66,895258.0,0.0,1.0,46.07,47.18,46.03,46.66,895258.0
2017-06-07,46.43,46.625,45.91,46.04,681179.0,0.0,1.0,46.43,46.625,45.91,46.04,681179.0
2017-06-06,46.22,46.57,45.91,46.29,612163.0,0.0,1.0,46.22,46.57,45.91,46.29,612163.0
2017-06-05,47.41,47.54,46.49,46.51,774485.0,0.0,1.0,47.41,47.54,46.49,46.51,774485.0
2017-06-02,47.35,47.7,46.84,47.34,1085631.0,0.0,1.0,47.35,47.7,46.84,47.34,1085631.0
2017-06-01,46.49,47.55,46.38,47.47,1082803.0,0.0,1.0,46.49,47.55,46.38,47.47,1082803.0
2017-05-31,46.24,46.56,45.65,46.49,1212502.0,0.0,1.0,46.24,46.56,45.65,46.49,1212502.0
2017-05-30,45.71,46.17,45.39,46.04,711834.0,0.0,1.0,45.71,46.17,45.39,46.04,711834.0
2017-05-26,46.14,46.25,45.675,45.9,475959.0,0.0,1.0,46.14,46.25,45.675,45.9,475959.0
2017-05-25,46.06,46.355,45.995,46.14,811371.0,0.0,1.0,46.06,46.355,45.995,46.14,811371.0
2017-05-24,46.49,46.49,45.65,45.82,680430.0,0.0,1.0,46.49,46.49,45.65,45.82,680430.0
2017-05-23,46.46,46.77,46.02,46.23,546220.0,0.24,1.0,46.46,46.77,46.02,46.23,546220.0
2017-05-22,46.24,46.86,46.21,46.52,813303.0,0.0,1.0,46.0011878631,46.6179857973,45.9713428018,46.2797417689,813303.0
2017-05-19,46.07,46.4746,45.58,46.21,1121518.0,0.0,1.0,45.8320658489,46.2345762427,45.3445965139,45.9713428018,1121518.0
2017-05-18,45.57,46.33,45.16,46.07,1319999.0,0.0,1.0,45.3346481601,46.0907230471,44.9267656553,45.8320658489,1319999.0
2017-05-17,46.34,46.98,45.53,45.56,1723036.0,0.0,1.0,46.1006714009,46.7373660426,45.294854745,45.3246998063,1723036.0
2017-05-16,47.41,47.6,46.97,47.55,902215.0,0.0,1.0,47.165145255,47.3541639768,46.7274176888,47.3044222079,902215.0
2017-05-15,47.21,47.67,47.21,47.48,503172.0,0.0,1.0,46.9661781795,47.4238024532,46.9661781795,47.2347837314,503172.0
2017-05-12,47.4,47.47,46.98,47.26,818315.0,0.0,1.0,47.1551969012,47.2248353777,46.7373660426,47.0159199484,818315.0
2017-05-11,48.17,48.28,47.445,47.52,831006.0,0.0,1.0,47.921220142,48.0306520336,47.1999644932,47.2745771465,831006.0
2017-05-10,47.74,48.63,47.67,48.4,1198059.0,0.0,1.0,47.4934409296,48.3788444158,47.4238024532,48.1500322789,1198059.0
2017-05-09,47.27,48.09,47.055,47.93,896311.0,0.0,1.0,47.0258683021,47.8416333118,46.8119786959,47.6824596514,896311.0
2017-05-08,46.95,47.47,46.81,47.27,1836586.0,0.0,1.0,46.7075209813,47.2248353777,46.5682440284,47.0258683021,1836586.0
2017-05-05,46.84,47.07,46.32,46.91,801905.0,0.0,1.0,46.5980890897,46.8269012266,46.0807746934,46.6677275662,801905.0
2017-05-04,47.13,47.35,46.44,46.81,1234778.0,0.0,1.0,46.8865913493,47.1054551323,46.2001549387,46.5682440284,1234778.0
2017-05-03,47.08,47.114,46.34,46.84,1356488.0,0.0,1.0,46.8368495804,46.8706739832,46.1006714009,46.5980890897,1356488.0
2017-05-02,46.62,47.68,46.5,47.33,1077471.0,0.0,1.0,46.3792253066,47.433750807,46.2598450613,47.0855584248,1077471.0
2017-05-01,46.33,46.56,45.71,46.44,892880.0,0.0,1.0,46.0907230471,46.319535184,45.473925113,46.2001549387,892880.0
2017-04-28,46.67,46.74,45.99,46.05,1118320.0,0.0,1.0,46.4289670755,46.498605552,45.7524790187,45.8121691414,1118320.0
2017-04-27,47.23,47.32,46.48,46.63,1110406.0,0.0,1.0,46.986074887,47.075610071,46.2399483538,46.3891736604,1110406.0
2017-04-26,47.34,47.89,47.01,47.07,1207785.0,0.0,1.0,47.0955067786,47.6426662363,46.7672111039,46.8269012266,1207785.0
2017-04-25,47.96,48.02,47.3,47.3,1164766.0,0.0,1.0,47.7123047127,47.7719948354,47.0557133635,47.0557133635,1164766.0
2017-04-24,48.04,48.21,46.985,47.64,1481556.0,0.0,1.0,47.7918915429,47.9610135571,46.7423402195,47.3939573919,1481556.0
2017-04-21,45.02,47.25,44.09,47.18,3365155.0,0.0,1.0,44.7874887024,47.0059715946,43.8622918012,46.9363331181,3365155.0
2017-04-20,45.49,45.93,45.08,45.91,1684041.0,0.0,1.0,45.2550613299,45.6927888961,44.847178825,45.6728921885,1684041.0
2017-04-19,45.11,45.39,44.93,45.2,1746668.0,0.0,1.0,44.8770238864,45.1555777921,44.6979535184,44.9665590704,1746668.0
2017-04-18,44.44,45.15,44.24,44.91,1586396.0,0.0,1.0,44.2104841833,44.9168173015,44.0115171078,44.6780568108,1586396.0
2017-04-17,44.63,44.79,44.4,44.76,1215086.0,0.0,1.0,44.3995029051,44.5586765655,44.1706907682,44.5288315042,1215086.0
2017-04-13,44.75,45.4,44.48,44.49,2032877.0,0.0,1.0,44.5188831504,45.1655261459,44.2502775985,44.2602259522,2032877.0
2017-04-12,45.95,45.95,44.61,44.84,1244579.0,0.0,1.0,45.7126856036,45.7126856036,44.3796061975,44.6084183344,1244579.0
2017-04-11,45.14,45.94,44.691,45.94,956047.0,0.0,1.0,44.9068689477,45.7027372498,44.4601878631,45.7027372498,956047.0
2017-04-10,45.52,45.91,45.23,45.29,1184106.0,0.0,1.0,45.2849063912,45.6728921885,44.9964041317,45.0560942544,1184106.0
2017-04-07,45.58,45.76,45.21,45.24,880663.0,0.0,1.0,45.3445965139,45.5236668819,44.9765074241,45.0063524855,880663.0
2017-04-06,45.69,46.06,45.13,45.73,987956.0,0.0,1.0,45.4540284054,45.8221174952,44.8969205939,45.4938218205,987956.0
2017-04-05,46.24,46.85,45.57,45.68,1559445.0,0.0,1.0,46.0011878631,46.6080374435,45.3346481601,45.4440800516,1559445.0
2017-04-04,46.6,46.615,45.09,45.96,2249760.0,0.0,1.0,46.3593285991,46.3742511298,44.8571271788,45.7226339574,2249760.0
2017-04-03,48.83,48.83,46.74,46.86,1373918.0,0.0,1.0,48.5778114913,48.5778114913,46.498605552,46.6179857973,1373918.0
2017-03-31,48.57,48.94,48.57,48.83,705154.0,0.0,1.0,48.3191542931,48.6872433828,48.3191542931,48.5778114913,705154.0
2017-03-30,47.96,48.65,47.9359,48.62,659833.0,0.0,1.0,47.7123047127,48.3987411233,47.6883291801,48.368896062,659833.0
2017-03-29,47.45,48.11,47.22,48.0,793571.0,0.0,1.0,47.2049386701,47.8615300194,46.9761265332,47.7520981278,793571.0
2017-03-28,47.08,47.87,46.87,47.45,1541843.0,0.0,1.0,46.8368495804,47.6227695287,46.6279341511,47.2049386701,1541843.0
2017-03-27,47.06,47.55,46.83,47.15,1439216.0,0.0,1.0,46.8169528728,47.3044222079,46.588140736,46.9064880568,1439216.0
2017-03-24,48.78,49.05,48.06,48.19,835495.0,0.0,1.0,48.5280697224,48.7966752744,47.8117882505,47.9411168496,835495.0
2017-03-23,48.57,49.07,48.55,48.71,967800.0,0.0,1.0,48.3191542931,48.8165719819,48.2992575855,48.458431246,967800.0
2017-03-22,48.56,49.03,48.23,48.58,1138715.0,0.0,1.0,48.3092059393,48.7767785668,47.9809102647,48.3291026469,1138715.0
2017-03-21,49.41,49.53,48.6,48.73,1392371.0,0.0,1.0,49.1548160103,49.2741962556,48.3489993544,48.4783279535,1392371.0
2017-03-20,49.52,49.72,48.85,49.07,880019.0,0.0,1.0,49.2642479019,49.4632149774,48.5977081988,48.8165719819,880019.0
2017-03-17,49.45,49.62,49.03,49.54,876070.0,0.0,1.0,49.1946094254,49.3637314396,48.7767785668,49.2841446094,876070.0
2017-03-16,48.76,49.505,48.7,49.38,989081.0,0.0,1.0,48.5081730148,49.2493253712,48.4484828922,49.124970949,989081.0
2017-03-15,48.22,48.71,47.88,48.69,782508.0,0.0,1.0,47.9709619109,48.458431246,47.6327178825,48.4385345384,782508.0
2017-03-14,48.21,48.32,47.8,48.17,567304.0,0.0,1.0,47.9610135571,48.0704454487,47.5531310523,47.921220142,567304.0
2017-03-13,48.23,48.54,48.06,48.3,653588.0,0.0,1.0,47.9809102647,48.2893092318,47.8117882505,48.0505487411,653588.0
2017-03-10,48.42,48.42,47.77,48.21,1520944.0,0.0,1.0,48.1699289864,48.1699289864,47.523285991,47.9610135571,1520944.0
2017-03-09,48.41,48.66,47.365,47.54,889188.0,0.0,1.0,48.1599806327,48.4086894771,47.120377663,47.2944738541,889188.0
2017-03-08,47.81,48.5,47.75,48.48,1264804.0,0.0,1.0,47.5630794061,48.2495158167,47.5033892834,48.2296191091,1264804.0
2017-03-07,47.34,47.72,47.13,47.53,774957.0,0.0,1.0,47.0955067786,47.4735442221,46.8865913493,47.2845255003,774957.0
2017-03-06,47.23,47.51,46.97,47.31,919873.0,0.0,1.0,46.986074887,47.2646287928,46.7274176888,47.0656617172,919873.0
2017-03-03,47.56,47.68,47.1,47.49,1456046.0,0.0,1.0,47.3143705617,47.433750807,46.8567462879,47.2447320852,1456046.0
2017-03-02,48.16,48.42,47.25,47.51,3002947.0,0.0,1.0,47.9112717883,48.1699289864,47.0059715946,47.2646287928,3002947.0
2017-03-01,48.97,49.49,48.27,48.31,1525026.0,0.0,1.0,48.7170884442,49.2344028405,48.0207036798,48.0604970949,1525026.0
2017-02-28,47.93,48.28,47.6,48.24,1168664.0,0.0,1.0,47.6824596514,48.0306520336,47.3541639768,47.9908586185,1168664.0
2017-02-27,48.05,48.17,47.72,47.96,757655.0,0.0,1.0,47.8018398967,47.921220142,47.4735442221,47.7123047127,757655.0
2017-02-24,47.45,47.96,46.975,47.96,744374.0,0.0,1.0,47.2049386701,47.7123047127,46.7323918657,47.7123047127,744374.0
