Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,83.14,83.695,82.59,82.9,610633.0,0.0,1.0,83.14,83.695,82.59,82.9,610633.0
2017-08-03,82.81,82.81,82.06,82.38,606809.0,0.0,1.0,82.81,82.81,82.06,82.38,606809.0
2017-08-02,83.24,83.61,82.2935,82.8,593486.0,0.0,1.0,83.24,83.61,82.2935,82.8,593486.0
2017-08-01,83.82,84.03,82.99,83.44,657757.0,0.0,1.0,83.82,84.03,82.99,83.44,657757.0
2017-07-31,83.26,83.34,82.82,83.19,531049.0,0.0,1.0,83.26,83.34,82.82,83.19,531049.0
2017-07-28,82.62,83.25,82.46,82.89,483728.0,0.0,1.0,82.62,83.25,82.46,82.89,483728.0
2017-07-27,84.36,84.39,81.22,82.73,1745166.0,0.0,1.0,84.36,84.39,81.22,82.73,1745166.0
2017-07-26,85.36,85.97,85.02,85.37,878030.0,0.0,1.0,85.36,85.97,85.02,85.37,878030.0
2017-07-25,84.95,85.41,84.59,84.99,690808.0,0.0,1.0,84.95,85.41,84.59,84.99,690808.0
2017-07-24,82.63,84.03,82.63,83.85,538768.0,0.0,1.0,82.63,84.03,82.63,83.85,538768.0
2017-07-21,82.52,83.4,82.45,82.72,446037.0,0.0,1.0,82.52,83.4,82.45,82.72,446037.0
2017-07-20,82.77,83.22,82.64,82.73,468454.0,0.0,1.0,82.77,83.22,82.64,82.73,468454.0
2017-07-19,83.08,83.13,82.17,82.77,395798.0,0.0,1.0,83.08,83.13,82.17,82.77,395798.0
2017-07-18,82.25,82.77,81.88,82.66,796670.0,0.0,1.0,82.25,82.77,81.88,82.66,796670.0
2017-07-17,82.34,83.02,81.9669,82.77,407569.0,0.0,1.0,82.34,83.02,81.9669,82.77,407569.0
2017-07-14,81.54,82.75,81.1301,82.3,430056.0,0.0,1.0,81.54,82.75,81.1301,82.3,430056.0
2017-07-13,82.5,82.99,82.16,82.53,360698.0,0.0,1.0,82.5,82.99,82.16,82.53,360698.0
2017-07-12,81.6,82.37,81.12,82.24,462823.0,0.0,1.0,81.6,82.37,81.12,82.24,462823.0
2017-07-11,82.5,82.5,81.5,81.77,442619.0,0.0,1.0,82.5,82.5,81.5,81.77,442619.0
2017-07-10,81.31,82.61,80.84,82.4,575573.0,0.0,1.0,81.31,82.61,80.84,82.4,575573.0
2017-07-07,81.39,81.67,80.67,81.39,482573.0,0.0,1.0,81.39,81.67,80.67,81.39,482573.0
2017-07-06,81.48,82.44,80.96,81.01,758614.0,0.0,1.0,81.48,82.44,80.96,81.01,758614.0
2017-07-05,81.7,81.98,81.25,81.53,720330.0,0.0,1.0,81.7,81.98,81.25,81.53,720330.0
2017-07-03,80.88,82.0,80.39,81.6,343348.0,0.0,1.0,80.88,82.0,80.39,81.6,343348.0
2017-06-30,81.08,81.259,79.82,80.22,710036.0,0.0,1.0,81.08,81.259,79.82,80.22,710036.0
2017-06-29,81.91,82.59,79.82,80.5,874533.0,0.22,1.0,81.91,82.59,79.82,80.5,874533.0
2017-06-28,79.37,80.94,79.145,80.71,1051339.0,0.0,1.0,79.1536793855,80.7194003964,78.9292926165,80.4900272547,1051339.0
2017-06-27,77.98,79.32,77.95,78.64,660196.0,0.0,1.0,77.7674677899,79.1038156591,77.737549554,78.4256689792,660196.0
2017-06-26,76.86,77.8,76.395,77.49,568328.0,0.0,1.0,76.6505203171,77.5879583746,76.1867876611,77.2788032706,568328.0
2017-06-23,77.72,77.72,76.42,76.62,1833478.0,0.0,1.0,77.5081764123,77.5081764123,76.2117195243,76.4111744301,1833478.0
2017-06-22,77.32,77.45,76.59,77.19,429961.0,0.0,1.0,77.1092666006,77.2389122894,76.3812561943,76.9796209118,429961.0
