Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,64.85,65.1,63.36,63.79,1758337.0,0.0,1.0,64.85,65.1,63.36,63.79,1758337.0
2017-08-03,67.88,67.88,64.85,65.34,2380279.0,0.0,1.0,67.88,67.88,64.85,65.34,2380279.0
2017-08-02,67.37,67.5599,66.81,67.15,2289869.0,0.0,1.0,67.37,67.5599,66.81,67.15,2289869.0
2017-08-01,64.81,68.35,64.55,67.56,5332336.0,0.0,1.0,64.81,68.35,64.55,67.56,5332336.0
2017-07-31,61.19,65.17,60.0,64.37,4787390.0,0.0,1.0,61.19,65.17,60.0,64.37,4787390.0
2017-07-28,65.22,65.37,61.06,61.29,2473753.0,0.0,1.0,65.22,65.37,61.06,61.29,2473753.0
2017-07-27,65.01,65.7,64.74,65.64,970842.0,0.0,1.0,65.01,65.7,64.74,65.64,970842.0
2017-07-26,64.57,65.29,64.29,65.28,1188813.0,0.0,1.0,64.57,65.29,64.29,65.28,1188813.0
2017-07-25,64.5,64.69,64.08,64.56,602085.0,0.0,1.0,64.5,64.69,64.08,64.56,602085.0
2017-07-24,65.66,65.91,64.52,64.56,685223.0,0.0,1.0,65.66,65.91,64.52,64.56,685223.0
2017-07-21,65.01,65.63,64.76,65.61,715453.0,0.0,1.0,65.01,65.63,64.76,65.61,715453.0
2017-07-20,64.45,64.85,64.38,64.72,534728.0,0.0,1.0,64.45,64.85,64.38,64.72,534728.0
2017-07-19,64.46,64.52,63.86,64.3,1041264.0,0.0,1.0,64.46,64.52,63.86,64.3,1041264.0
2017-07-18,64.19,64.45,63.8,64.3,669045.0,0.0,1.0,64.19,64.45,63.8,64.3,669045.0
2017-07-17,63.31,64.2,63.18,64.05,972639.0,0.0,1.0,63.31,64.2,63.18,64.05,972639.0
2017-07-14,63.92,64.075,63.3,63.35,1136131.0,0.0,1.0,63.92,64.075,63.3,63.35,1136131.0
2017-07-13,63.83,63.93,63.43,63.47,685396.0,0.0,1.0,63.83,63.93,63.43,63.47,685396.0
2017-07-12,64.23,64.36,63.63,63.9,740714.0,0.0,1.0,64.23,64.36,63.63,63.9,740714.0
2017-07-11,63.93,64.16,63.3,63.78,813412.0,0.0,1.0,63.93,64.16,63.3,63.78,813412.0
2017-07-10,64.94,65.13,63.735,63.75,1368002.0,0.0,1.0,64.94,65.13,63.735,63.75,1368002.0
2017-07-07,65.97,66.1,64.67,65.02,1331501.0,0.0,1.0,65.97,66.1,64.67,65.02,1331501.0
2017-07-06,66.62,66.74,66.23,66.4,613422.0,0.0,1.0,66.62,66.74,66.23,66.4,613422.0
2017-07-05,67.12,67.31,66.51,66.82,679710.0,0.0,1.0,67.12,67.31,66.51,66.82,679710.0
2017-07-03,67.26,67.99,67.1,67.15,543576.0,0.0,1.0,67.26,67.99,67.1,67.15,543576.0
2017-06-30,67.68,67.91,66.81,67.01,850149.0,0.0,1.0,67.68,67.91,66.81,67.01,850149.0
2017-06-29,67.5,67.96,67.31,67.61,865753.0,0.0,1.0,67.5,67.96,67.31,67.61,865753.0
2017-06-28,69.11,69.24,67.98,68.01,575019.0,0.0,1.0,69.11,69.24,67.98,68.01,575019.0
2017-06-27,69.29,69.57,68.47,68.69,522968.0,0.0,1.0,69.29,69.57,68.47,68.69,522968.0
2017-06-26,69.47,70.05,69.28,69.68,521672.0,0.0,1.0,69.47,70.05,69.28,69.68,521672.0
2017-06-23,69.7,69.91,69.29,69.45,545811.0,0.0,1.0,69.7,69.91,69.29,69.45,545811.0
2017-06-22,70.21,70.43,69.69,69.71,479711.0,0.0,1.0,70.21,70.43,69.69,69.71,479711.0
2017-06-21,71.08,71.14,70.105,70.18,529238.0,0.0,1.0,71.08,71.14,70.105,70.18,529238.0
2017-06-20,70.81,71.28,70.5376,71.09,623397.0,0.0,1.0,70.81,71.28,70.5376,71.09,623397.0
2017-06-19,71.16,71.16,70.435,70.75,561387.0,0.0,1.0,71.16,71.16,70.435,70.75,561387.0
2017-06-16,70.14,71.25,70.08,71.22,1575187.0,0.0,1.0,70.14,71.25,70.08,71.22,1575187.0
2017-06-15,69.18,70.16,69.18,70.0,657203.0,0.0,1.0,69.18,70.16,69.18,70.0,657203.0
2017-06-14,69.82,70.11,69.14,69.47,697989.0,0.0,1.0,69.82,70.11,69.14,69.47,697989.0
2017-06-13,68.97,69.59,68.76,69.34,715708.0,0.0,1.0,68.97,69.59,68.76,69.34,715708.0
2017-06-12,68.84,69.28,68.28,69.11,1565946.0,0.0,1.0,68.84,69.28,68.28,69.11,1565946.0
2017-06-09,67.58,68.19,67.39,68.05,845829.0,0.0,1.0,67.58,68.19,67.39,68.05,845829.0
2017-06-08,68.1,68.11,67.1,67.88,1083992.0,0.61,1.0,68.1,68.11,67.1,67.88,1083992.0
2017-06-07,67.99,68.78,67.745,68.69,796010.0,0.0,1.0,67.3844532048,68.1674171412,67.1416352752,68.0782187181,796010.0
2017-06-06,68.22,68.32,67.81,67.84,1150155.0,0.0,1.0,67.6124047306,67.7115140896,67.2060563586,67.2357891663,1150155.0
2017-06-05,68.6,68.61,67.935,68.15,712817.0,0.0,1.0,67.9890202949,67.9989312308,67.3299430574,67.5430281793,712817.0
2017-06-02,68.93,68.93,68.218,68.63,707417.0,0.0,1.0,68.3160811797,68.3160811797,67.6104225434,68.0187531026,707417.0
2017-06-01,68.18,68.62,67.63,68.62,829179.0,0.0,1.0,67.572760987,68.0088421667,67.0276595123,68.0088421667,829179.0
2017-05-31,67.74,68.44,67.74,68.2,1067659.0,0.0,1.0,67.1366798073,67.8304453205,67.1366798073,67.5925828588,1067659.0
2017-05-30,67.66,68.02,67.51,67.67,1128142.0,0.0,1.0,67.05739232,67.4141860126,66.9087282815,67.0673032559,1128142.0
2017-05-26,67.96,68.21,67.71,67.86,774259.0,0.0,1.0,67.3547203971,67.6024937947,67.1069469996,67.2556110381,774259.0
2017-05-25,67.45,67.96,67.025,67.85,988699.0,0.0,1.0,66.8492626661,67.3547203971,66.4280478902,67.2457001022,988699.0
2017-05-24,66.1,67.79,66.05,67.4,1239665.0,0.0,1.0,65.5112863192,67.1862344868,65.4617316397,66.7997079866,1239665.0
2017-05-23,65.53,66.16,65.47,66.08,819211.0,0.0,1.0,64.9463629727,65.5707519346,64.8868973573,65.4914644474,819211.0
2017-05-22,65.31,65.68,65.07,65.42,756255.0,0.0,1.0,64.7283223828,65.0950270112,64.4904599212,64.8373426778,756255.0
2017-05-19,64.95,65.8,64.645,65.53,3317904.0,0.0,1.0,64.3715286903,65.2139582421,64.0692451453,64.9463629727,3317904.0
2017-05-18,65.19,65.48,64.52,64.99,1002638.0,0.0,1.0,64.609391152,64.8968082932,63.9453584465,64.4111724339,1002638.0
2017-05-17,65.17,65.53,64.86,65.05,728145.0,0.0,1.0,64.5895692802,64.9463629727,64.2823302672,64.4706380494,728145.0
2017-05-16,65.52,65.67,65.05,65.13,1149548.0,0.0,1.0,64.9364520368,65.0851160753,64.4706380494,64.5499255366,1149548.0
2017-05-15,65.3,65.91,65.13,65.65,881079.0,0.0,1.0,64.7184114469,65.322978537,64.5499255366,65.0652942035,881079.0
2017-05-12,65.5,65.645,64.94,65.11,758842.0,0.0,1.0,64.916630165,65.0603387356,64.3616177544,64.5301036648,758842.0
2017-05-11,65.09,65.49,64.82,65.49,1004593.0,0.0,1.0,64.510281793,64.9067192291,64.2426865236,64.9067192291,1004593.0
