Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,30.39,30.48,29.125,29.17,10692839.0,0.0,1.0,30.39,30.48,29.125,29.17,10692839.0
2017-08-03,30.3,31.62,30.2,30.27,14451478.0,0.0,1.0,30.3,31.62,30.2,30.27,14451478.0
2017-08-02,31.25,31.25,30.64,30.91,10601139.0,0.0,1.0,31.25,31.25,30.64,30.91,10601139.0
2017-08-01,31.16,31.235,30.905,31.19,6356818.0,0.0,1.0,31.16,31.235,30.905,31.19,6356818.0
2017-07-31,31.07,31.1,30.65,30.99,5438775.0,0.0,1.0,31.07,31.1,30.65,30.99,5438775.0
2017-07-28,30.86,31.08,30.79,31.03,3742288.0,0.0,1.0,30.86,31.08,30.79,31.03,3742288.0
2017-07-27,30.92,31.48,30.55,30.94,5907506.0,0.0,1.0,30.92,31.48,30.55,30.94,5907506.0
2017-07-26,31.55,31.63,31.08,31.27,6429671.0,0.0,1.0,31.55,31.63,31.08,31.27,6429671.0
2017-07-25,31.1,31.57,31.0,31.52,5209442.0,0.0,1.0,31.1,31.57,31.0,31.52,5209442.0
2017-07-24,31.21,31.23,30.94,31.08,7141810.0,0.0,1.0,31.21,31.23,30.94,31.08,7141810.0
2017-07-21,31.01,31.53,30.915,31.18,8069350.0,0.0,1.0,31.01,31.53,30.915,31.18,8069350.0
2017-07-20,30.92,31.19,30.36,31.17,7894952.0,0.0,1.0,30.92,31.19,30.36,31.17,7894952.0
2017-07-19,30.56,31.071,30.415,31.02,6564232.0,0.0,1.0,30.56,31.071,30.415,31.02,6564232.0
2017-07-18,30.5,30.6,30.23,30.57,4351541.0,0.0,1.0,30.5,30.6,30.23,30.57,4351541.0
2017-07-17,30.11,30.55,29.99,30.52,6484357.0,0.0,1.0,30.11,30.55,29.99,30.52,6484357.0
2017-07-14,30.42,30.42,29.92,30.08,6885523.0,0.0,1.0,30.42,30.42,29.92,30.08,6885523.0
2017-07-13,30.06,30.51,29.93,30.36,8042774.0,0.0,1.0,30.06,30.51,29.93,30.36,8042774.0
2017-07-12,29.24,30.07,29.21,29.92,8388488.0,0.0,1.0,29.24,30.07,29.21,29.92,8388488.0
2017-07-11,29.02,29.09,28.79,29.01,6517445.0,0.0,1.0,29.02,29.09,28.79,29.01,6517445.0
2017-07-10,28.45,29.03,28.34,29.0,7507020.0,0.0,1.0,28.45,29.03,28.34,29.0,7507020.0
2017-07-07,27.76,28.59,27.75,28.41,5607746.0,0.0,1.0,27.76,28.59,27.75,28.41,5607746.0
2017-07-06,27.63,27.76,27.33,27.72,6323162.0,0.0,1.0,27.63,27.76,27.33,27.72,6323162.0
2017-07-05,27.46,27.85,27.31,27.79,4573893.0,0.0,1.0,27.46,27.85,27.31,27.79,4573893.0
2017-07-03,28.45,28.9,27.47,27.47,3634174.0,0.0,1.0,28.45,28.9,27.47,27.47,3634174.0
2017-06-30,28.25,28.43,28.01,28.25,4932468.0,0.0,1.0,28.25,28.43,28.01,28.25,4932468.0
2017-06-29,28.81,28.94,27.71,28.06,6104007.0,0.0,1.0,28.81,28.94,27.71,28.06,6104007.0
2017-06-28,28.3,28.91,28.07,28.89,6815375.0,0.0,1.0,28.3,28.91,28.07,28.89,6815375.0
2017-06-27,28.71,28.74,28.05,28.11,6960191.0,0.0,1.0,28.71,28.74,28.05,28.11,6960191.0
2017-06-26,28.53,28.92,28.47,28.86,4617148.0,0.0,1.0,28.53,28.92,28.47,28.86,4617148.0
2017-06-23,28.82,28.84,28.29,28.53,19215002.0,0.0,1.0,28.82,28.84,28.29,28.53,19215002.0
2017-06-22,28.95,29.05,28.66,28.81,4513257.0,0.0,1.0,28.95,29.05,28.66,28.81,4513257.0
2017-06-21,28.72,28.99,28.66,28.95,3866285.0,0.0,1.0,28.72,28.99,28.66,28.95,3866285.0
2017-06-20,28.89,28.969,28.56,28.56,4941312.0,0.0,1.0,28.89,28.969,28.56,28.56,4941312.0
2017-06-19,28.59,28.9,28.55,28.88,5491975.0,0.0,1.0,28.59,28.9,28.55,28.88,5491975.0
2017-06-16,28.33,28.63,28.185,28.45,11774619.0,0.0,1.0,28.33,28.63,28.185,28.45,11774619.0
2017-06-15,28.86,28.88,28.33,28.41,8680051.0,0.0,1.0,28.86,28.88,28.33,28.41,8680051.0
2017-06-14,29.52,29.64,28.82,29.09,8157811.0,0.0,1.0,29.52,29.64,28.82,29.09,8157811.0
2017-06-13,29.64,29.71,29.175,29.31,8622785.0,0.0,1.0,29.64,29.71,29.175,29.31,8622785.0
2017-06-12,29.45,29.7,28.92,29.53,6958396.0,0.0,1.0,29.45,29.7,28.92,29.53,6958396.0
2017-06-09,30.18,30.35,29.43,29.71,16404904.0,0.0,1.0,30.18,30.35,29.43,29.71,16404904.0
2017-06-08,30.0,30.34,28.99,30.11,14262312.0,0.0,1.0,30.0,30.34,28.99,30.11,14262312.0
2017-06-07,30.28,30.37,30.0398,30.27,6807927.0,0.0,1.0,30.28,30.37,30.0398,30.27,6807927.0
2017-06-06,29.91,30.44,29.91,30.27,5582637.0,0.0,1.0,29.91,30.44,29.91,30.27,5582637.0
2017-06-05,29.87,30.34,29.87,30.07,6593385.0,0.075,1.0,29.87,30.34,29.87,30.07,6593385.0
2017-06-02,30.25,30.2988,29.795,30.08,6413131.0,0.0,1.0,30.1747387626,30.2234173495,29.7208707912,30.0051617184,6413131.0
2017-06-01,30.36,30.485,29.83,30.34,7092671.0,0.0,1.0,30.2844650854,30.4091540886,29.7557837121,30.2645148449,7092671.0
2017-05-31,30.18,30.39,29.605,30.31,17108550.0,0.0,1.0,30.1049129209,30.3143904462,29.5313435064,30.2345894842,17108550.0
2017-05-30,30.28,30.85,29.94,30.06,19180395.0,0.0,1.0,30.2046641234,30.7732459778,29.8655100348,29.9852114779,19180395.0
2017-05-26,29.9,29.95,29.5,29.61,7196796.0,0.0,1.0,29.8256095538,29.8754851551,29.4266047437,29.5363310665,7196796.0
2017-05-25,29.9,30.24,29.84,29.95,6848133.0,0.0,1.0,29.8256095538,30.1647636424,29.7657588323,29.8754851551,6848133.0
2017-05-24,29.93,30.07,29.73,29.87,7556122.0,0.0,1.0,29.8555349146,29.9951865981,29.6560325095,29.7956841931,7556122.0
2017-05-23,29.69,29.835,29.22,29.79,6329305.0,0.0,1.0,29.6161320285,29.7607712722,29.1473013767,29.715883231,6329305.0
2017-05-22,29.16,29.64,29.01,29.58,8235789.0,0.0,1.0,29.0874506552,29.5662564273,28.9378238514,29.5064057058,8235789.0
2017-05-19,29.61,29.74,28.89,29.02,14225247.0,0.0,1.0,29.5363310665,29.6660076298,28.8181224084,28.9477989716,14225247.0
2017-05-18,29.96,30.06,29.25,29.74,10483104.0,0.0,1.0,29.8854602753,29.9852114779,29.1772267374,29.6660076298,10483104.0
2017-05-17,31.03,31.16,29.9,30.12,13582908.0,0.0,1.0,30.9527981423,31.0824747056,29.8256095538,30.0450621994,13582908.0
2017-05-16,32.17,32.21,31.21,31.32,7881578.0,0.0,1.0,32.0899618511,32.1298623321,31.1323503069,31.2420766296,7881578.0
2017-05-15,32.43,32.65,31.83,32.0,15341374.0,0.0,1.0,32.3493149776,32.5687676232,31.7508077625,31.9203848068,15341374.0
2017-05-12,31.49,31.5,30.93,31.01,8377225.0,0.0,1.0,31.4116536739,31.4216287942,30.8530469398,30.9328479018,8377225.0
2017-05-11,31.0,32.1,30.91,31.46,21625102.0,0.0,1.0,30.9228727816,32.0201360093,30.8330966993,31.3817283132,21625102.0
2017-05-10,32.45,33.22,32.39,33.14,8958980.0,0.0,1.0,32.3692652181,33.1373494775,32.3094144966,33.0575485155,8958980.0
2017-05-09,32.51,32.54,32.23,32.37,4616445.0,0.0,1.0,32.4291159396,32.4590413004,32.1498125726,32.2894642561,4616445.0
2017-05-08,32.33,32.45,32.04,32.45,5363371.0,0.0,1.0,32.2495637751,32.3692652181,31.9602852878,32.3692652181,5363371.0
2017-05-05,32.34,32.41,32.03,32.3,4320769.0,0.0,1.0,32.2595388953,32.3293647371,31.9503101675,32.2196384143,4320769.0
2017-05-04,32.2,32.55,31.99,32.22,6600490.0,0.0,1.0,32.1198872118,32.4690164206,31.9104096865,32.1398374523,6600490.0
2017-05-03,31.96,32.07,31.79,31.92,3572942.0,0.0,1.0,31.8804843258,31.9902106485,31.7109072815,31.8405838448,3572942.0
2017-05-02,32.12,32.18,31.805,31.91,5525660.0,0.0,1.0,32.0400862498,32.0999369713,31.7258699619,31.8306087245,5525660.0
2017-05-01,31.66,32.21,31.6,32.12,5220479.0,0.0,1.0,31.5812307182,32.1298623321,31.5213799967,32.0400862498,5220479.0
2017-04-28,31.55,31.67,31.28,31.63,5017090.0,0.0,1.0,31.4715043954,31.5912058384,31.2021761486,31.5513053574,5017090.0
2017-04-27,31.3,31.54,31.1,31.48,3181850.0,0.0,1.0,31.2221263891,31.4615292752,31.0226239841,31.4016785537,3181850.0
2017-04-26,31.31,31.44,31.03,31.25,4173090.0,0.0,1.0,31.2321015094,31.3617780726,30.9527981423,31.1722507879,4173090.0
2017-04-25,31.06,31.25,30.99,31.25,5075218.0,0.0,1.0,30.9827235031,31.1722507879,30.9128976613,31.1722507879,5075218.0
2017-04-24,31.08,31.2,30.89,30.97,4631773.0,0.0,1.0,31.0026737436,31.1223751866,30.8131464588,30.8929474208,4631773.0
2017-04-21,30.58,30.83,30.565,30.7,4896326.0,0.0,1.0,30.503917731,30.7532957373,30.4889550506,30.623619174,4896326.0
2017-04-20,30.62,30.62,30.35,30.5,3766148.0,0.0,1.0,30.543818212,30.543818212,30.2744899652,30.424116769,3766148.0
2017-04-19,30.59,30.74,30.34,30.41,3566094.0,0.0,1.0,30.5138928512,30.663519655,30.2645148449,30.3343406867,3566094.0
2017-04-18,30.23,30.57,30.12,30.4,3528155.0,0.0,1.0,30.1547885221,30.4939426107,30.0450621994,30.3243655664,3528155.0
2017-04-17,30.06,30.37,30.06,30.25,4553709.0,0.0,1.0,29.9852114779,30.2944402057,29.9852114779,30.1747387626,4553709.0
2017-04-13,30.06,30.5,29.9,30.04,5023938.0,0.0,1.0,29.9852114779,30.424116769,29.8256095538,29.9652612374,5023938.0
2017-04-12,30.07,30.395,29.99,30.05,4874288.0,0.0,1.0,29.9951865981,30.3193780063,29.9153856361,29.9752363576,4874288.0
