Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,80.03,80.39,79.79,80.38,953946.0,0.0,1.0,80.03,80.39,79.79,80.38,953946.0
2017-08-03,80.74,80.74,79.5099,79.72,1644244.0,0.0,1.0,80.74,80.74,79.5099,79.72,1644244.0
2017-08-02,80.11,80.66,79.65,80.64,1679553.0,0.0,1.0,80.11,80.66,79.65,80.64,1679553.0
2017-08-01,80.7,80.865,79.17,79.85,1803434.0,0.0,1.0,80.7,80.865,79.17,79.85,1803434.0
2017-07-31,82.09,82.3,80.33,80.39,1371655.0,0.0,1.0,82.09,82.3,80.33,80.39,1371655.0
2017-07-28,80.25,82.06,80.15,81.89,2041961.0,0.0,1.0,80.25,82.06,80.15,81.89,2041961.0
2017-07-27,80.67,81.67,79.94,80.57,2314400.0,0.0,1.0,80.67,81.67,79.94,80.57,2314400.0
2017-07-26,84.65,85.2,79.25,80.65,3415220.0,0.0,1.0,84.65,85.2,79.25,80.65,3415220.0
2017-07-25,82.09,83.37,81.66,83.22,2223860.0,0.0,1.0,82.09,83.37,81.66,83.22,2223860.0
2017-07-24,81.99,82.18,81.3601,81.67,1570765.0,0.0,1.0,81.99,82.18,81.3601,81.67,1570765.0
2017-07-21,82.29,82.5,81.52,82.03,1354269.0,0.0,1.0,82.29,82.5,81.52,82.03,1354269.0
2017-07-20,83.09,83.36,82.255,82.59,1080432.0,0.0,1.0,83.09,83.36,82.255,82.59,1080432.0
2017-07-19,82.0,83.165,81.64,83.11,1377474.0,0.0,1.0,82.0,83.165,81.64,83.11,1377474.0
2017-07-18,81.35,81.81,81.05,81.8,894151.0,0.0,1.0,81.35,81.81,81.05,81.8,894151.0
2017-07-17,81.44,81.84,81.14,81.6,662602.0,0.0,1.0,81.44,81.84,81.14,81.6,662602.0
2017-07-14,81.22,81.7,80.95,81.49,779420.0,0.0,1.0,81.22,81.7,80.95,81.49,779420.0
2017-07-13,81.16,81.86,80.7702,81.22,1404011.0,0.0,1.0,81.16,81.86,80.7702,81.22,1404011.0
2017-07-12,79.84,81.38,79.51,81.19,1877122.0,0.0,1.0,79.84,81.38,79.51,81.19,1877122.0
2017-07-11,79.58,79.66,78.72,79.24,1427154.0,0.0,1.0,79.58,79.66,78.72,79.24,1427154.0
2017-07-10,79.0,79.58,78.88,79.43,1042144.0,0.0,1.0,79.0,79.58,78.88,79.43,1042144.0
2017-07-07,78.66,79.46,78.58,79.08,1691371.0,0.0,1.0,78.66,79.46,78.58,79.08,1691371.0
2017-07-06,78.2,78.75,77.91,78.24,2214729.0,0.0,1.0,78.2,78.75,77.91,78.24,2214729.0
2017-07-05,78.57,78.97,77.5,78.84,1398032.0,0.0,1.0,78.57,78.97,77.5,78.84,1398032.0
2017-07-03,78.98,79.18,78.09,78.15,1421114.0,0.0,1.0,78.98,79.18,78.09,78.15,1421114.0
2017-06-30,78.36,79.07,78.13,78.68,1772258.0,0.0,1.0,78.36,79.07,78.13,78.68,1772258.0
2017-06-29,78.96,79.16,77.58,78.09,1028412.0,0.0,1.0,78.96,79.16,77.58,78.09,1028412.0
2017-06-28,78.57,79.22,78.17,78.91,1259333.0,0.0,1.0,78.57,79.22,78.17,78.91,1259333.0
2017-06-27,78.58,78.97,77.95,77.95,1090598.0,0.0,1.0,78.58,78.97,77.95,77.95,1090598.0
2017-06-26,79.1,79.45,78.26,78.65,1214311.0,0.0,1.0,79.1,79.45,78.26,78.65,1214311.0
2017-06-23,78.9,79.24,78.59,78.77,1006722.0,0.0,1.0,78.9,79.24,78.59,78.77,1006722.0
2017-06-22,78.98,79.19,78.47,78.81,1826016.0,0.0,1.0,78.98,79.19,78.47,78.81,1826016.0
2017-06-21,79.48,79.92,78.82,78.97,1261029.0,0.0,1.0,79.48,79.92,78.82,78.97,1261029.0
2017-06-20,79.82,80.12,79.28,79.3,1078404.0,0.0,1.0,79.82,80.12,79.28,79.3,1078404.0
2017-06-19,79.09,80.1,78.73,80.03,1534213.0,0.0,1.0,79.09,80.1,78.73,80.03,1534213.0
2017-06-16,78.94,79.14,78.19,78.71,1610218.0,0.0,1.0,78.94,79.14,78.19,78.71,1610218.0
2017-06-15,78.17,79.09,78.0001,78.84,1134942.0,0.0,1.0,78.17,79.09,78.0001,78.84,1134942.0
2017-06-14,79.0,79.34,78.22,78.71,853485.0,0.0,1.0,79.0,79.34,78.22,78.71,853485.0
2017-06-13,78.6,78.9739,77.93,78.77,1497324.0,0.0,1.0,78.6,78.9739,77.93,78.77,1497324.0
2017-06-12,79.22,79.415,77.65,78.34,1953181.0,0.0,1.0,79.22,79.415,77.65,78.34,1953181.0
2017-06-09,80.05,80.7,79.0,79.59,1343217.0,0.0,1.0,80.05,80.7,79.0,79.59,1343217.0
2017-06-08,79.91,80.28,79.1,79.95,1899393.0,0.0,1.0,79.91,80.28,79.1,79.95,1899393.0
2017-06-07,79.64,79.92,79.24,79.73,1716347.0,0.0,1.0,79.64,79.92,79.24,79.73,1716347.0
2017-06-06,79.35,79.63,79.03,79.43,1313247.0,0.0,1.0,79.35,79.63,79.03,79.43,1313247.0
2017-06-05,79.69,80.33,79.51,79.88,1370862.0,0.0,1.0,79.69,80.33,79.51,79.88,1370862.0
2017-06-02,79.94,79.95,79.41,79.47,1034939.0,0.0,1.0,79.94,79.95,79.41,79.47,1034939.0
2017-06-01,79.17,79.95,78.8,79.82,1692775.0,0.0,1.0,79.17,79.95,78.8,79.82,1692775.0
