Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,93.18,93.36,92.37,93.0,1540156.0,0.0,1.0,93.18,93.36,92.37,93.0,1540156.0
2017-08-03,92.5,93.32,92.46,92.85,1897396.0,0.0,1.0,92.5,93.32,92.46,92.85,1897396.0
2017-08-02,94.81,95.46,91.27,92.44,3405818.0,0.0,1.0,94.81,95.46,91.27,92.44,3405818.0
2017-08-01,95.69,96.14,94.75,95.86,924023.0,0.0,1.0,95.69,96.14,94.75,95.86,924023.0
2017-07-31,96.56,96.94,95.1,95.51,1261690.0,0.0,1.0,96.56,96.94,95.1,95.51,1261690.0
2017-07-28,95.23,96.49,94.63,96.34,1140554.0,0.0,1.0,95.23,96.49,94.63,96.34,1140554.0
2017-07-27,95.3,95.45,94.29,95.19,840212.0,0.0,1.0,95.3,95.45,94.29,95.19,840212.0
2017-07-26,94.99,95.5,94.34,95.09,809304.0,0.0,1.0,94.99,95.5,94.34,95.09,809304.0
2017-07-25,94.0,95.44,93.585,95.04,948126.0,0.0,1.0,94.0,95.44,93.585,95.04,948126.0
2017-07-24,93.75,93.79,93.22,93.44,716064.0,0.0,1.0,93.75,93.79,93.22,93.44,716064.0
2017-07-21,92.57,93.75,92.23,93.71,743229.0,0.0,1.0,92.57,93.75,92.23,93.71,743229.0
2017-07-20,92.31,92.765,91.7,92.63,959161.0,0.0,1.0,92.31,92.765,91.7,92.63,959161.0
2017-07-19,91.5,92.2525,91.49,91.86,1021905.0,0.0,1.0,91.5,92.2525,91.49,91.86,1021905.0
2017-07-18,92.0,92.4,91.42,91.79,490269.0,0.0,1.0,92.0,92.4,91.42,91.79,490269.0
2017-07-17,91.9,92.3905,91.48,92.16,1910956.0,0.0,1.0,91.9,92.3905,91.48,92.16,1910956.0
2017-07-14,93.99,94.08,91.4,91.9,1087240.0,0.0,1.0,93.99,94.08,91.4,91.9,1087240.0
2017-07-13,93.44,94.84,93.16,94.04,1497340.0,0.0,1.0,93.44,94.84,93.16,94.04,1497340.0
2017-07-12,91.46,92.58,91.46,92.46,1017325.0,0.0,1.0,91.46,92.58,91.46,92.46,1017325.0
2017-07-11,91.33,91.49,90.24,90.84,1171136.0,0.0,1.0,91.33,91.49,90.24,90.84,1171136.0
2017-07-10,93.48,93.715,91.08,91.33,1861222.0,0.0,1.0,93.48,93.715,91.08,91.33,1861222.0
2017-07-07,93.05,94.5,92.63,93.84,1040279.0,0.0,1.0,93.05,94.5,92.63,93.84,1040279.0
2017-07-06,92.73,93.36,91.27,93.05,1380442.0,0.0,1.0,92.73,93.36,91.27,93.05,1380442.0
2017-07-05,93.21,93.81,92.77,93.07,1531960.0,0.0,1.0,93.21,93.81,92.77,93.07,1531960.0
2017-07-03,94.39,94.9,93.6,93.68,585334.0,0.0,1.0,94.39,94.9,93.6,93.68,585334.0
2017-06-30,93.13,94.575,92.97,93.87,1831596.0,0.0,1.0,93.13,94.575,92.97,93.87,1831596.0
2017-06-29,94.02,94.02,91.76,92.52,1507197.0,0.0,1.0,94.02,94.02,91.76,92.52,1507197.0
2017-06-28,94.1,94.73,93.76,93.89,1247968.0,0.0,1.0,94.1,94.73,93.76,93.89,1247968.0
2017-06-27,93.33,94.58,93.33,93.69,1845506.0,0.0,1.0,93.33,94.58,93.33,93.69,1845506.0
2017-06-26,91.69,92.495,91.55,92.31,674236.0,0.0,1.0,91.69,92.495,91.55,92.31,674236.0
2017-06-23,91.41,91.84,90.6,91.79,987706.0,0.0,1.0,91.41,91.84,90.6,91.79,987706.0
2017-06-22,91.35,91.65,90.61,91.43,799250.0,0.0,1.0,91.35,91.65,90.61,91.43,799250.0
2017-06-21,92.63,92.9,90.3,91.31,1189742.0,0.0,1.0,92.63,92.9,90.3,91.31,1189742.0
2017-06-20,93.84,93.88,92.2,92.28,855662.0,0.0,1.0,93.84,93.88,92.2,92.28,855662.0
2017-06-19,92.35,94.18,91.9,93.9,1387609.0,0.0,1.0,92.35,94.18,91.9,93.9,1387609.0
2017-06-16,90.12,92.08,90.01,92.08,1832620.0,0.5,1.0,90.12,92.08,90.01,92.08,1832620.0
2017-06-15,91.16,91.36,90.15,91.02,1700841.0,0.0,1.0,90.667669043,90.8665888961,89.6631237848,90.5284251458,1700841.0
2017-06-14,91.7,91.74,90.42,91.5,1017436.0,0.0,1.0,91.2047526464,91.244536617,89.9316655865,91.0058327933,1017436.0
2017-06-13,92.84,92.95,91.73,91.84,1245844.0,0.0,1.0,92.338595809,92.4480017282,91.2345906243,91.3439965435,1245844.0
2017-06-12,94.43,94.61,93.04,93.14,2417599.0,0.0,1.0,93.9200086412,94.099036509,92.5375156621,92.6369755887,2417599.0
2017-06-09,93.89,94.75,93.16,94.69,2075790.0,0.0,1.0,93.3829250378,94.2382804061,92.656867574,94.1786044502,2075790.0
2017-06-08,92.92,94.45,92.76,93.66,2630732.0,0.0,1.0,92.4181637503,93.9399006265,92.2590278678,93.1541672067,2630732.0
2017-06-07,92.0,92.83,91.66,92.27,2041440.0,0.0,1.0,91.503132426,92.3286498164,91.1649686757,91.7716742277,2041440.0
2017-06-06,90.94,91.79,90.24,91.6,2234153.0,0.0,1.0,90.4488572046,91.2942665803,89.7526377187,91.1052927198,2234153.0
2017-06-05,90.0,91.35,89.21,91.04,2316034.0,0.0,1.0,89.513933895,90.8566429034,88.7282004753,90.5483171311,2316034.0
2017-06-02,89.99,90.63,89.235,89.99,2957366.0,0.0,1.0,89.5039879024,90.1405314323,88.7530654569,89.5039879024,2957366.0
2017-06-01,87.16,89.83,87.01,89.24,2274065.0,0.0,1.0,86.689271981,89.3448520199,86.5400820912,88.7580384532,2274065.0
2017-05-31,85.74,87.06,84.35,86.96,1871558.0,0.0,1.0,85.276941024,86.5898120544,83.8944480449,86.4903521279,1871558.0
2017-05-30,86.18,86.89,85.63,85.93,2180300.0,0.0,1.0,85.7145647008,86.4207301793,85.1675351048,85.4659148844,2180300.0
2017-05-26,85.7,86.23,85.15,86.18,1753305.0,0.0,1.0,85.2371570534,85.7642946641,84.6901274573,85.7145647008,1753305.0
2017-05-25,85.67,86.17,84.45,85.82,2896834.0,0.0,1.0,85.2073190754,85.7046187081,83.9939079715,85.3565089652,2896834.0
2017-05-24,85.61,88.32,84.15,85.03,9113202.0,0.0,1.0,85.1476431195,87.843007129,83.6955281918,84.5707755455,9113202.0
2017-05-23,93.82,94.34,92.77,93.14,2478286.0,0.0,1.0,93.3133030892,93.8304947073,92.2689738604,92.6369755887,2478286.0
2017-05-22,93.41,94.4,93.225,93.67,1160677.0,0.0,1.0,92.9055173904,93.8901706632,92.7215165262,93.1641131994,1160677.0
2017-05-19,92.27,93.22,91.57,92.92,1480651.0,0.0,1.0,91.7716742277,92.7165435299,91.0754547418,92.4181637503,1480651.0
2017-05-18,91.17,92.38,90.58,91.97,1238991.0,0.0,1.0,90.6776150356,91.8810801469,90.090801469,91.473294448,1238991.0
2017-05-17,91.93,92.1,90.63,91.06,950068.0,0.0,1.0,91.4335104774,91.6025923526,90.1405314323,90.5682091164,950068.0
2017-05-16,92.32,92.5,91.26,92.45,1195190.0,0.0,1.0,91.821404191,92.0004320588,90.7671289695,91.9507020955,1195190.0
2017-05-15,92.51,93.0,91.71,92.25,1050860.0,0.0,1.0,92.0103780514,92.4977316915,91.214698639,91.7517822424,1050860.0
2017-05-12,93.5,93.68,91.36,92.5,1370943.0,0.0,1.0,92.9950313243,93.1740591921,90.8665888961,92.0004320588,1370943.0
