Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,79.09,79.32,78.98,79.07,213521.0,0.0,1.0,79.09,79.32,78.98,79.07,213521.0
2017-08-03,78.85,79.06,78.675,78.84,336697.0,0.0,1.0,78.85,79.06,78.675,78.84,336697.0
2017-08-02,78.98,79.35,78.68,78.93,440399.0,0.0,1.0,78.98,79.35,78.68,78.93,440399.0
2017-08-01,79.3,79.3,78.27,79.12,527575.0,0.0,1.0,79.3,79.3,78.27,79.12,527575.0
2017-07-31,79.17,79.32,78.8,78.97,374245.0,0.0,1.0,79.17,79.32,78.8,78.97,374245.0
2017-07-28,78.92,79.2,78.2,78.89,499065.0,0.0,1.0,78.92,79.2,78.2,78.89,499065.0
2017-07-27,79.37,79.37,77.94,78.8,540499.0,0.0,1.0,79.37,79.37,77.94,78.8,540499.0
2017-07-26,78.83,78.83,77.91,77.96,248541.0,0.0,1.0,78.83,78.83,77.91,77.96,248541.0
2017-07-25,79.32,79.355,78.72,78.79,405307.0,0.0,1.0,79.32,79.355,78.72,78.79,405307.0
2017-07-24,78.33,78.63,78.25,78.49,216925.0,0.0,1.0,78.33,78.63,78.25,78.49,216925.0
2017-07-21,78.18,78.55,78.06,78.32,333457.0,0.0,1.0,78.18,78.55,78.06,78.32,333457.0
2017-07-20,78.33,78.74,78.165,78.24,213622.0,0.0,1.0,78.33,78.74,78.165,78.24,213622.0
2017-07-19,78.19,78.4,77.98,78.21,329593.0,0.0,1.0,78.19,78.4,77.98,78.21,329593.0
2017-07-18,77.96,78.4,77.96,78.09,551442.0,0.0,1.0,77.96,78.4,77.96,78.09,551442.0
2017-07-17,78.14,78.45,77.67,78.37,291706.0,0.0,1.0,78.14,78.45,77.67,78.37,291706.0
2017-07-14,77.59,78.53,77.36,78.15,238734.0,0.0,1.0,77.59,78.53,77.36,78.15,238734.0
2017-07-13,77.77,78.4,77.67,78.23,254641.0,0.0,1.0,77.77,78.4,77.67,78.23,254641.0
2017-07-12,77.44,77.89,77.27,77.8,241315.0,0.0,1.0,77.44,77.89,77.27,77.8,241315.0
2017-07-11,77.86,77.98,77.32,77.45,291518.0,0.0,1.0,77.86,77.98,77.32,77.45,291518.0
2017-07-10,77.43,78.06,77.33,77.86,414896.0,0.0,1.0,77.43,78.06,77.33,77.86,414896.0
2017-07-07,77.04,77.86,76.88,77.64,346400.0,0.0,1.0,77.04,77.86,76.88,77.64,346400.0
2017-07-06,76.75,77.34,76.43,76.73,622539.0,0.0,1.0,76.75,77.34,76.43,76.73,622539.0
2017-07-05,77.49,77.49,76.671,76.8,457097.0,0.0,1.0,77.49,77.49,76.671,76.8,457097.0
2017-07-03,77.06,78.24,76.85,77.25,284529.0,0.0,1.0,77.06,78.24,76.85,77.25,284529.0
2017-06-30,76.57,76.88,76.03,76.5,666612.0,0.15,1.0,76.57,76.88,76.03,76.5,666612.0
2017-06-29,77.91,77.91,75.83,76.32,518523.0,0.0,1.0,77.7575342466,77.7575342466,75.6816046967,76.1706457926,518523.0
2017-06-28,76.08,76.96,76.04,76.81,852030.0,0.0,1.0,75.9311154599,76.8093933464,75.8911937378,76.6596868885,852030.0
2017-06-27,76.17,76.37,75.67,75.67,479066.0,0.0,1.0,76.0209393346,76.2205479452,75.5219178082,75.5219178082,479066.0
