Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,55.7,57.19,55.53,56.99,1752548.0,0.0,1.0,55.7,57.19,55.53,56.99,1752548.0
2017-08-03,55.33,56.12,54.99,55.51,1911138.0,0.0,1.0,55.33,56.12,54.99,55.51,1911138.0
2017-08-02,55.88,56.19,55.49,55.68,1421259.0,0.0,1.0,55.88,56.19,55.49,55.68,1421259.0
2017-08-01,56.4,56.4,55.1694,56.19,2422782.0,0.0,1.0,56.4,56.4,55.1694,56.19,2422782.0
2017-07-31,56.77,56.99,56.04,56.12,1802802.0,0.0,1.0,56.77,56.99,56.04,56.12,1802802.0
2017-07-28,57.26,57.75,56.23,56.62,3377273.0,0.0,1.0,57.26,57.75,56.23,56.62,3377273.0
2017-07-27,54.0,58.345,53.66,57.53,9372459.0,0.0,1.0,54.0,58.345,53.66,57.53,9372459.0
2017-07-26,53.54,54.01,52.83,53.4,3385805.0,0.0,1.0,53.54,54.01,52.83,53.4,3385805.0
2017-07-25,51.76,53.8,51.76,53.53,2687908.0,0.0,1.0,51.76,53.8,51.76,53.53,2687908.0
2017-07-24,52.57,52.57,51.355,51.52,2049005.0,0.0,1.0,52.57,52.57,51.355,51.52,2049005.0
2017-07-21,51.92,52.76,51.84,52.61,2413977.0,0.0,1.0,51.92,52.76,51.84,52.61,2413977.0
2017-07-20,51.7,52.69,51.29,52.03,2204910.0,0.0,1.0,51.7,52.69,51.29,52.03,2204910.0
2017-07-19,52.03,52.83,51.52,51.84,1771867.0,0.0,1.0,52.03,52.83,51.52,51.84,1771867.0
2017-07-18,52.29,52.45,51.38,51.81,1586779.0,0.0,1.0,52.29,52.45,51.38,51.81,1586779.0
2017-07-17,51.54,53.18,51.43,52.28,3041433.0,0.0,1.0,51.54,53.18,51.43,52.28,3041433.0
2017-07-14,50.6,52.2,50.47,51.52,3076849.0,0.0,1.0,50.6,52.2,50.47,51.52,3076849.0
2017-07-13,50.29,50.87,49.99,50.35,4136625.0,0.0,1.0,50.29,50.87,49.99,50.35,4136625.0
2017-07-12,50.31,50.73,49.87,49.99,2487428.0,0.0,1.0,50.31,50.73,49.87,49.99,2487428.0
2017-07-11,50.52,50.61,49.88,50.05,2386606.0,0.0,1.0,50.52,50.61,49.88,50.05,2386606.0
2017-07-10,51.0,51.38,50.58,50.66,2536991.0,0.0,1.0,51.0,51.38,50.58,50.66,2536991.0
2017-07-07,51.52,51.8075,50.92,51.06,3382613.0,0.0,1.0,51.52,51.8075,50.92,51.06,3382613.0
2017-07-06,52.97,53.14,51.43,51.5,3083490.0,0.0,1.0,52.97,53.14,51.43,51.5,3083490.0
2017-07-05,54.83,55.2,52.97,53.0,2824917.0,0.0,1.0,54.83,55.2,52.97,53.0,2824917.0
2017-07-03,54.68,55.39,54.45,54.96,1098266.0,0.0,1.0,54.68,55.39,54.45,54.96,1098266.0
2017-06-30,53.46,54.41,53.03,54.21,1541404.0,0.0,1.0,53.46,54.41,53.03,54.21,1541404.0
2017-06-29,53.13,53.84,52.92,53.08,1351647.0,0.0,1.0,53.13,53.84,52.92,53.08,1351647.0
2017-06-28,53.97,54.3,53.1,53.13,1385838.0,0.0,1.0,53.97,54.3,53.1,53.13,1385838.0
2017-06-27,52.85,54.2,52.785,53.76,1840715.0,0.0,1.0,52.85,54.2,52.785,53.76,1840715.0
2017-06-26,52.65,53.08,52.09,52.85,1891590.0,0.0,1.0,52.65,53.08,52.09,52.85,1891590.0
2017-06-23,52.53,52.87,52.11,52.65,2716815.0,0.0,1.0,52.53,52.87,52.11,52.65,2716815.0
2017-06-22,52.86,53.12,52.48,52.53,2227675.0,0.0,1.0,52.86,53.12,52.48,52.53,2227675.0
2017-06-21,53.66,53.9899,52.78,52.82,1789977.0,0.0,1.0,53.66,53.9899,52.78,52.82,1789977.0
2017-06-20,55.69,55.85,53.59,53.64,2515715.0,0.0,1.0,55.69,55.85,53.59,53.64,2515715.0
2017-06-19,55.71,56.079,54.97,55.63,2050815.0,0.0,1.0,55.71,56.079,54.97,55.63,2050815.0
2017-06-16,55.58,55.68,54.52,55.47,3242475.0,0.0,1.0,55.58,55.68,54.52,55.47,3242475.0
2017-06-15,56.05,56.36,55.17,55.83,1572547.0,0.0,1.0,56.05,56.36,55.17,55.83,1572547.0
2017-06-14,57.26,57.7491,55.77,56.12,2287874.0,0.0,1.0,57.26,57.7491,55.77,56.12,2287874.0
2017-06-13,57.56,58.24,56.59,57.15,2377037.0,0.0,1.0,57.56,58.24,56.59,57.15,2377037.0
2017-06-12,57.08,59.29,57.06,57.72,3654848.0,0.0,1.0,57.08,59.29,57.06,57.72,3654848.0
2017-06-09,54.69,57.47,54.27,57.02,3529502.0,0.0,1.0,54.69,57.47,54.27,57.02,3529502.0
2017-06-08,54.75,56.64,54.29,54.44,3950596.0,0.0,1.0,54.75,56.64,54.29,54.44,3950596.0
2017-06-07,55.03,55.8,54.2891,54.49,2852947.0,0.0,1.0,55.03,55.8,54.2891,54.49,2852947.0
2017-06-06,55.59,55.82,54.76,55.02,2267285.0,0.0,1.0,55.59,55.82,54.76,55.02,2267285.0
2017-06-05,55.72,56.19,55.05,55.9,2829208.0,0.0,1.0,55.72,56.19,55.05,55.9,2829208.0
2017-06-02,55.79,56.14,54.72,55.61,2669057.0,0.0,1.0,55.79,56.14,54.72,55.61,2669057.0
2017-06-01,55.37,56.18,54.98,56.11,2704425.0,0.0,1.0,55.37,56.18,54.98,56.11,2704425.0
2017-05-31,54.92,55.17,53.93,55.15,2204574.0,0.0,1.0,54.92,55.17,53.93,55.15,2204574.0
2017-05-30,54.67,55.3,54.54,54.82,2636278.0,0.0,1.0,54.67,55.3,54.54,54.82,2636278.0
2017-05-26,54.58,55.13,54.01,54.88,2648025.0,0.0,1.0,54.58,55.13,54.01,54.88,2648025.0
2017-05-25,53.2,54.81,53.18,54.38,2723624.0,0.0,1.0,53.2,54.81,53.18,54.38,2723624.0
2017-05-24,54.5,54.55,52.85,53.12,3062337.0,0.0,1.0,54.5,54.55,52.85,53.12,3062337.0
2017-05-23,56.35,56.405,54.09,54.29,4363947.0,0.0,1.0,56.35,56.405,54.09,54.29,4363947.0
2017-05-22,57.61,57.719,56.23,56.3,2278697.0,0.0,1.0,57.61,57.719,56.23,56.3,2278697.0
2017-05-19,58.07,58.43,57.42,57.57,2364515.0,0.0,1.0,58.07,58.43,57.42,57.57,2364515.0
2017-05-18,57.57,58.38,57.47,57.97,1952392.0,0.27,1.0,57.57,58.38,57.47,57.97,1952392.0
2017-05-17,58.34,59.11,57.715,57.73,2053801.0,0.0,1.0,58.0695364011,58.8359666896,57.4474338942,57.4623643544,2053801.0
2017-05-16,59.52,59.6,58.45,58.69,1617882.0,0.0,1.0,59.2440659341,59.3236950549,58.1790264423,58.4179138049,1617882.0
2017-05-15,60.28,60.64,59.21,59.25,2031214.0,0.0,1.0,60.0005425824,60.3588736264,58.9355030907,58.9753176511,2031214.0
2017-05-12,60.06,60.19,59.45,60.07,1654077.0,0.0,1.0,59.7815625,59.9109598214,59.1743904533,59.7915161401,1654077.0
2017-05-11,60.71,60.92,59.8,60.26,1690860.0,0.0,1.0,60.4285491071,60.6375755495,59.5227678571,59.9806353022,1690860.0
2017-05-10,61.93,61.93,60.87,60.95,1509620.0,0.0,1.0,61.6428932005,61.6428932005,60.5878073489,60.6674364698,1509620.0
2017-05-09,61.83,61.95,61.36,61.84,1273056.0,0.0,1.0,61.5433567995,61.6628004808,61.0755357143,61.5533104396,1273056.0
2017-05-08,62.34,62.35,61.4,61.66,1477111.0,0.0,1.0,62.0509924451,62.0609460852,61.1153502747,61.3741449176,1477111.0
2017-05-05,61.9,61.98,61.29,61.95,1361748.0,0.0,1.0,61.6130322802,61.6926614011,61.0058602335,61.6628004808,1361748.0
2017-05-04,62.0,62.18,61.06,61.54,2679779.0,0.0,1.0,61.7125686813,61.8917342033,60.776926511,61.2547012363,2679779.0
2017-05-03,62.48,63.14,62.08,62.6,2336423.0,0.0,1.0,62.1903434066,62.8472836538,61.7921978022,62.3097870879,2336423.0
2017-05-02,61.35,62.65,61.22,62.64,2442370.0,0.0,1.0,61.0655820742,62.3595552885,60.9361847527,62.3496016484,2442370.0
2017-05-01,62.14,62.14,61.13,61.4,1881341.0,0.0,1.0,61.8519196429,61.8519196429,60.8466019918,61.1153502747,1881341.0
2017-04-28,62.23,62.3,61.365,61.91,3230281.0,0.0,1.0,61.9415024038,62.0111778846,61.0805125343,61.6229859203,3230281.0
2017-04-27,64.23,64.49,61.12,62.17,6486490.0,0.0,1.0,63.9322304258,64.1910250687,60.8366483516,61.8817805632,6486490.0
2017-04-26,65.27,65.77,65.13,65.3,2446703.0,0.0,1.0,64.9674089973,65.4650910027,64.8280580357,64.9972699176,2446703.0
2017-04-25,65.5,65.57,64.61,64.96,2031448.0,0.0,1.0,65.1963427198,65.2660182005,64.31046875,64.6588461538,2031448.0
2017-04-24,66.16,67.0,65.52,65.56,2398284.0,0.0,1.0,65.853282967,66.6893887363,65.21625,65.2560645604,2398284.0
2017-04-21,65.19,65.7,64.97,65.6,2076725.0,0.0,1.0,64.8877798764,65.395415522,64.668799794,65.2958791209,2076725.0
2017-04-20,64.46,65.28,64.46,64.91,1997600.0,0.0,1.0,64.1611641484,64.9773626374,64.1611641484,64.6090779533,1997600.0
2017-04-19,63.81,64.43,63.76,64.05,1644418.0,0.0,1.0,63.5141775412,64.131303228,63.4644093407,63.7530649038,1644418.0
2017-04-18,63.53,64.4,63.23,63.71,2174171.0,0.0,1.0,63.2354756181,64.1014423077,62.9368664148,63.4146411401,2174171.0
2017-04-17,63.86,63.97,63.06,63.55,2322051.0,0.0,1.0,63.5639457418,63.673435783,62.767654533,63.2553828984,2322051.0
2017-04-13,64.35,65.29,63.51,63.54,3469869.0,0.0,1.0,64.0516741071,64.9873162775,63.2155683379,63.2454292582,3469869.0
2017-04-12,67.11,67.4,64.57,64.61,9102440.0,0.0,1.0,66.7988787775,67.0875343407,64.2706541896,64.31046875,9102440.0
2017-04-11,70.17,71.4195,69.44,70.47,1694723.0,0.0,1.0,69.8446926511,71.0883999828,69.1180769231,70.1433018544,1694723.0
2017-04-10,70.0,71.5299,69.94,70.41,3230941.0,0.0,1.0,69.6754807692,71.1982881696,69.6157589286,70.0835800137,3230941.0
2017-04-07,69.52,70.11,69.21,69.94,1515657.0,0.0,1.0,69.197706044,69.7849708104,68.8891432005,69.6157589286,1515657.0
2017-04-06,68.47,69.905,68.275,69.53,2452823.0,0.0,1.0,68.1525738324,69.5809211882,67.9584778503,69.2076596841,2452823.0
2017-04-05,69.19,69.97,68.2,68.25,2063252.0,0.0,1.0,68.8692359203,69.6456198489,67.8838255495,67.93359375,2063252.0
2017-04-04,67.99,69.23,67.54,68.99,2920957.0,0.0,1.0,67.6747991071,68.9090504808,67.2268853022,68.6701631181,2920957.0
2017-04-03,68.93,69.25,68.09,68.18,2117331.0,0.0,1.0,68.6104412775,68.928957761,67.7743355082,67.8639182692,2117331.0
2017-03-31,68.54,69.27,68.5,68.97,1159330.0,0.0,1.0,68.2222493132,68.9488650412,68.1824347527,68.6502558379,1159330.0
2017-03-30,68.38,68.82,68.2,68.65,1074156.0,0.0,1.0,68.0629910714,68.5009512363,67.8838255495,68.3317393544,1074156.0
2017-03-29,68.02,68.71,67.77,68.47,1592763.0,0.0,1.0,67.7046600275,68.3914611951,67.4558190247,68.1525738324,1592763.0
2017-03-28,68.33,68.55,67.7,67.97,2083218.0,0.0,1.0,68.0132228709,68.2322029533,67.386143544,67.6548918269,2083218.0
2017-03-27,68.52,68.99,68.18,68.42,1724486.0,0.0,1.0,68.202342033,68.6701631181,67.8639182692,68.1028056319,1724486.0
2017-03-24,69.3,69.7453,68.9,69.02,1504531.0,0.0,1.0,68.9787259615,69.4219615556,68.5805803571,68.7000240385,1504531.0
2017-03-23,69.15,69.64,68.75,69.3,1374203.0,0.0,1.0,68.8294213599,69.3171497253,68.4312757555,68.9787259615,1374203.0
2017-03-22,68.1,68.905,67.73,68.78,1700960.0,0.0,1.0,67.7842891484,68.5855571772,67.4160044643,68.4611366758,1700960.0
2017-03-21,70.98,71.165,68.08,68.17,3916847.0,0.0,1.0,70.6509375,70.835079842,67.7643818681,67.8539646291,3916847.0
2017-03-20,71.29,71.615,70.48,70.92,1994933.0,0.0,1.0,70.9595003434,71.282993647,70.1532554945,70.5912156593,1994933.0
2017-03-17,72.42,72.86,71.19,71.37,2148520.0,0.0,1.0,72.0842616758,72.5222218407,70.8599639423,71.0391294643,2148520.0
2017-03-16,72.25,73.13,71.83,71.91,1822224.0,0.0,1.0,71.915049794,72.7909701236,71.4969969093,71.5766260302,1822224.0
2017-03-15,72.18,72.525,71.42,72.26,1509378.0,0.0,1.0,71.8453743132,72.188774897,71.0888976648,71.9250034341,1509378.0
2017-03-14,70.81,72.26,70.81,71.74,1312211.0,0.0,1.0,70.4817256181,71.9250034341,70.4817256181,71.4074141484,1312211.0
2017-03-13,72.51,72.76,70.22,71.7,2330170.0,0.0,1.0,72.1738444368,72.4226854396,69.8944608516,71.3675995879,2330170.0
2017-03-10,72.02,72.63,71.89,72.51,1066792.0,0.0,1.0,71.6861160714,72.2932881181,71.55671875,72.1738444368,1066792.0
2017-03-09,72.59,72.78,71.95,71.97,1597799.0,0.0,1.0,72.2534735577,72.4425927198,71.6164405907,71.6363478709,1597799.0
2017-03-08,71.55,73.08,71.4,72.7,1448153.0,0.0,1.0,71.2182949863,72.7412019231,71.0689903846,72.3629635989,1448153.0
2017-03-07,71.58,71.87,71.26,71.43,1067721.0,0.0,1.0,71.2481559066,71.5368114698,70.9296394231,71.0988513049,1067721.0
2017-03-06,72.39,72.39,71.08,71.78,1522315.0,0.0,1.0,72.0544007555,72.0544007555,70.7504739011,71.4472287088,1522315.0
2017-03-03,72.4,72.525,71.64,72.39,1502010.0,0.0,1.0,72.0643543956,72.188774897,71.3078777473,72.0544007555,1502010.0
2017-03-02,72.01,72.995,71.78,72.59,2209373.0,0.0,1.0,71.6761624313,72.6565959821,71.4472287088,72.2534735577,2209373.0
2017-03-01,71.67,72.2839,71.03,71.92,2517611.0,0.0,1.0,71.3377386676,71.9487926339,70.7007057005,71.5865796703,2517611.0
2017-02-28,71.36,71.74,70.12,70.91,2128432.0,0.0,1.0,71.0291758242,71.4074141484,69.7949244505,70.5812620192,2128432.0
2017-02-27,71.23,72.26,70.53,71.32,2696996.0,0.0,1.0,70.8997785027,71.9250034341,70.2030236951,70.9893612637,2696996.0
2017-02-24,71.37,71.895,70.72,71.17,2849376.0,0.0,1.0,71.0391294643,71.5616955701,70.3921428571,70.8400566621,2849376.0
2017-02-23,72.5,72.86,70.91,71.0,1637397.0,0.24,1.0,72.1638907967,72.5222218407,70.5812620192,70.6708447802,1637397.0
2017-02-22,73.0,73.43,72.23,72.3,1561999.0,0.0,1.0,72.4167836743,72.8433482904,71.6529354081,71.7223761596,1561999.0
2017-02-21,72.9,73.0,71.61,72.92,2529768.0,0.0,1.0,72.3175826008,72.4167836743,71.0378887523,72.3374228155,2529768.0
