Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,108.8,108.8,107.73,108.09,587468.0,0.0,1.0,108.8,108.8,107.73,108.09,587468.0
2017-08-03,108.5,109.31,107.76,108.38,840840.0,0.0,1.0,108.5,109.31,107.76,108.38,840840.0
2017-08-02,110.87,111.05,108.42,108.64,1043603.0,0.0,1.0,110.87,111.05,108.42,108.64,1043603.0
2017-08-01,110.88,112.67,110.88,111.18,1142395.0,0.0,1.0,110.88,112.67,110.88,111.18,1142395.0
2017-07-31,111.77,111.77,109.26,110.83,981069.0,0.0,1.0,111.77,111.77,109.26,110.83,981069.0
2017-07-28,110.35,112.11,109.7,111.5,1413262.0,0.0,1.0,110.35,112.11,109.7,111.5,1413262.0
2017-07-27,111.93,112.43,109.72,110.36,1496122.0,0.0,1.0,111.93,112.43,109.72,110.36,1496122.0
2017-07-26,118.84,118.84,111.17,112.88,3511053.0,0.0,1.0,118.84,118.84,111.17,112.88,3511053.0
2017-07-25,123.4,124.22,120.71,122.9,1195775.0,0.0,1.0,123.4,124.22,120.71,122.9,1195775.0
2017-07-24,124.39,124.99,123.91,124.33,663512.0,0.0,1.0,124.39,124.99,123.91,124.33,663512.0
2017-07-21,124.82,125.1,124.0,124.42,443517.0,0.0,1.0,124.82,125.1,124.0,124.42,443517.0
2017-07-20,123.73,126.1,123.635,125.0,865037.0,0.0,1.0,123.73,126.1,123.635,125.0,865037.0
2017-07-19,123.37,124.31,122.98,123.68,550749.0,0.0,1.0,123.37,124.31,122.98,123.68,550749.0
2017-07-18,124.45,124.64,122.6,123.46,524611.0,0.0,1.0,124.45,124.64,122.6,123.46,524611.0
2017-07-17,124.12,124.542,123.05,124.1,710873.0,0.0,1.0,124.12,124.542,123.05,124.1,710873.0
2017-07-14,122.95,124.25,121.02,124.16,409390.0,0.0,1.0,122.95,124.25,121.02,124.16,409390.0
2017-07-13,123.1,123.515,122.05,123.07,588393.0,0.0,1.0,123.1,123.515,122.05,123.07,588393.0
2017-07-12,122.85,123.44,122.19,122.81,715579.0,0.0,1.0,122.85,123.44,122.19,122.81,715579.0
2017-07-11,121.87,122.53,121.13,122.14,559845.0,0.0,1.0,121.87,122.53,121.13,122.14,559845.0
2017-07-10,121.79,122.12,120.57,121.75,472324.0,0.0,1.0,121.79,122.12,120.57,121.75,472324.0
2017-07-07,120.26,122.23,119.55,122.04,675520.0,0.0,1.0,120.26,122.23,119.55,122.04,675520.0
2017-07-06,121.64,121.7875,119.35,119.74,511945.0,0.0,1.0,121.64,121.7875,119.35,119.74,511945.0
2017-07-05,121.71,122.51,121.28,122.32,509153.0,0.0,1.0,121.71,122.51,121.28,122.32,509153.0
2017-07-03,122.34,122.435,121.45,121.54,314311.0,0.0,1.0,122.34,122.435,121.45,121.54,314311.0
2017-06-30,122.32,122.6,120.98,122.08,698703.0,0.0,1.0,122.32,122.6,120.98,122.08,698703.0
2017-06-29,120.63,122.53,119.81,121.88,1123663.0,0.0,1.0,120.63,122.53,119.81,121.88,1123663.0
2017-06-28,118.7,121.49,118.65,120.42,970253.0,0.0,1.0,118.7,121.49,118.65,120.42,970253.0
2017-06-27,115.87,118.8,115.87,118.04,900027.0,0.0,1.0,115.87,118.8,115.87,118.04,900027.0
2017-06-26,115.6,116.93,115.08,115.88,379971.0,0.0,1.0,115.6,116.93,115.08,115.88,379971.0
2017-06-23,115.64,115.79,114.36,115.43,1087706.0,0.0,1.0,115.64,115.79,114.36,115.43,1087706.0
2017-06-22,113.23,116.54,112.93,115.21,841696.0,0.0,1.0,113.23,116.54,112.93,115.21,841696.0
2017-06-21,114.53,115.38,112.49,113.22,726720.0,0.0,1.0,114.53,115.38,112.49,113.22,726720.0
2017-06-20,115.22,115.63,114.0,114.13,576008.0,0.0,1.0,115.22,115.63,114.0,114.13,576008.0
2017-06-19,114.97,115.96,113.96,115.52,989364.0,0.0,1.0,114.97,115.96,113.96,115.52,989364.0
2017-06-16,116.15,116.35,114.65,115.07,880246.0,0.0,1.0,116.15,116.35,114.65,115.07,880246.0
2017-06-15,116.89,117.1799,114.93,116.03,473539.0,0.0,1.0,116.89,117.1799,114.93,116.03,473539.0
2017-06-14,116.52,117.0,115.55,116.89,440576.0,0.0,1.0,116.52,117.0,115.55,116.89,440576.0
2017-06-13,116.2,116.81,115.47,115.84,635352.0,0.0,1.0,116.2,116.81,115.47,115.84,635352.0
2017-06-12,113.46,116.27,113.46,115.59,997855.0,0.0,1.0,113.46,116.27,113.46,115.59,997855.0
2017-06-09,112.08,113.68,111.85,113.43,573377.0,0.0,1.0,112.08,113.68,111.85,113.43,573377.0
2017-06-08,112.91,113.26,110.5,112.33,1020132.0,0.0,1.0,112.91,113.26,110.5,112.33,1020132.0
