Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,102.69,103.42,102.0,102.48,4142602.0,0.0,1.0,102.69,103.42,102.0,102.48,4142602.0
2017-08-03,102.57,103.03,102.27,102.55,4750201.0,0.0,1.0,102.57,103.03,102.27,102.55,4750201.0
2017-08-02,101.83,102.75,101.72,102.33,4470808.0,0.0,1.0,101.83,102.75,101.72,102.33,4470808.0
2017-08-01,102.96,102.99,101.73,101.98,4379702.0,0.0,1.0,102.96,102.99,101.73,101.98,4379702.0
2017-07-31,103.46,103.97,102.91,102.96,4266542.0,0.0,1.0,103.46,103.97,102.91,102.96,4266542.0
2017-07-28,101.41,103.39,101.41,103.3,4471044.0,0.0,1.0,101.41,103.39,101.41,103.3,4471044.0
2017-07-27,103.97,103.99,101.06,101.4,6443808.0,0.0,1.0,103.97,103.99,101.06,101.4,6443808.0
2017-07-26,105.09,105.273,103.87,104.42,3263590.0,0.0,1.0,105.09,105.273,103.87,104.42,3263590.0
2017-07-25,104.29,105.3398,103.7,104.96,3923400.0,0.0,1.0,104.29,105.3398,103.7,104.96,3923400.0
2017-07-24,104.76,105.42,103.65,103.66,5340782.0,0.0,1.0,104.76,105.42,103.65,103.66,5340782.0
2017-07-21,105.09,105.75,104.7,104.85,5562563.0,0.0,1.0,105.09,105.75,104.7,104.85,5562563.0
2017-07-20,108.77,109.05,104.27,106.14,6779183.0,0.0,1.0,108.77,109.05,104.27,106.14,6779183.0
2017-07-19,108.21,108.97,106.865,107.84,4192417.0,0.0,1.0,108.21,108.97,106.865,107.84,4192417.0
2017-07-18,108.99,109.57,108.52,109.25,2349578.0,0.0,1.0,108.99,109.57,108.52,109.25,2349578.0
2017-07-17,109.39,109.44,108.66,109.05,2431401.0,0.0,1.0,109.39,109.44,108.66,109.05,2431401.0
2017-07-14,109.14,109.72,108.73,109.53,2106666.0,0.0,1.0,109.14,109.72,108.73,109.53,2106666.0
2017-07-13,109.24,109.56,108.39,108.85,2155141.0,0.0,1.0,109.24,109.56,108.39,108.85,2155141.0
2017-07-12,109.7,110.22,108.85,109.21,2490166.0,0.0,1.0,109.7,110.22,108.85,109.21,2490166.0
2017-07-11,108.71,109.04,107.7,108.59,2356879.0,0.0,1.0,108.71,109.04,107.7,108.59,2356879.0
