Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,121.22,121.66,120.65,121.49,1803647.0,0.0,1.0,121.22,121.66,120.65,121.49,1803647.0
2017-08-03,120.38,121.11,119.86,121.1,2031171.0,0.0,1.0,120.38,121.11,119.86,121.1,2031171.0
2017-08-02,118.8,120.39,118.66,120.35,2339443.0,0.0,1.0,118.8,120.39,118.66,120.35,2339443.0
2017-08-01,119.0,119.25,118.36,118.88,1553276.0,0.0,1.0,119.0,119.25,118.36,118.88,1553276.0
2017-07-31,119.16,119.34,118.44,118.57,2172327.0,0.0,1.0,119.16,119.34,118.44,118.57,2172327.0
2017-07-28,118.79,119.45,118.29,118.87,2150812.0,0.0,1.0,118.79,119.45,118.29,118.87,2150812.0
2017-07-27,119.37,119.42,117.85,118.69,4257311.0,0.0,1.0,119.37,119.42,117.85,118.69,4257311.0
2017-07-26,120.42,120.57,119.29,119.54,2993911.0,0.0,1.0,120.42,120.57,119.29,119.54,2993911.0
2017-07-25,121.9,122.0,119.99,120.42,4801441.0,0.0,1.0,121.9,122.0,119.99,120.42,4801441.0
2017-07-24,123.49,123.75,122.84,123.13,3678457.0,0.0,1.0,123.49,123.75,122.84,123.13,3678457.0
2017-07-21,122.29,123.5,121.86,123.49,2472453.0,0.0,1.0,122.29,123.5,121.86,123.49,2472453.0
2017-07-20,122.86,123.29,122.31,122.45,1831404.0,0.0,1.0,122.86,123.29,122.31,122.45,1831404.0
2017-07-19,123.05,123.23,122.55,123.08,1710969.0,0.0,1.0,123.05,123.23,122.55,123.08,1710969.0
2017-07-18,122.82,122.95,121.93,122.63,1881837.0,0.0,1.0,122.82,122.95,121.93,122.63,1881837.0
2017-07-17,123.73,123.73,122.99,123.11,1842384.0,0.0,1.0,123.73,123.73,122.99,123.11,1842384.0
2017-07-14,123.44,123.64,122.79,123.41,1779510.0,0.0,1.0,123.44,123.64,122.79,123.41,1779510.0
2017-07-13,123.67,123.73,122.835,123.07,2687868.0,0.0,1.0,123.67,123.73,122.835,123.07,2687868.0
2017-07-12,124.02,124.7899,123.66,123.71,2376885.0,0.0,1.0,124.02,124.7899,123.66,123.71,2376885.0
2017-07-11,123.16,123.68,122.36,123.54,1953382.0,0.0,1.0,123.16,123.68,122.36,123.54,1953382.0
2017-07-10,122.73,123.74,122.345,123.06,2053102.0,0.0,1.0,122.73,123.74,122.345,123.06,2053102.0
2017-07-07,122.28,122.9,122.04,122.61,1762923.0,0.0,1.0,122.28,122.9,122.04,122.61,1762923.0
2017-07-06,122.56,123.0,121.88,121.89,3058197.0,0.0,1.0,122.56,123.0,121.88,121.89,3058197.0
2017-07-05,122.37,123.01,122.17,122.79,1737984.0,0.0,1.0,122.37,123.01,122.17,122.79,1737984.0
2017-07-03,122.61,123.15,122.06,122.08,1156229.0,0.0,1.0,122.61,123.15,122.06,122.08,1156229.0
2017-06-30,122.01,122.635,121.62,122.11,2410162.0,0.0,1.0,122.01,122.635,121.62,122.11,2410162.0
2017-06-29,122.42,122.46,120.6218,121.65,2358596.0,0.0,1.0,122.42,122.46,120.6218,121.65,2358596.0
2017-06-28,122.07,122.6,121.69,122.5,1801211.0,0.0,1.0,122.07,122.6,121.69,122.5,1801211.0
2017-06-27,121.92,122.14,121.514,121.59,1703682.0,0.0,1.0,121.92,122.14,121.514,121.59,1703682.0
2017-06-26,122.41,123.09,121.81,121.87,1644762.0,0.0,1.0,122.41,123.09,121.81,121.87,1644762.0
2017-06-23,122.01,122.44,121.49,122.22,3851062.0,0.0,1.0,122.01,122.44,121.49,122.22,3851062.0
2017-06-22,121.83,122.96,121.82,122.17,3016560.0,0.0,1.0,121.83,122.96,121.82,122.17,3016560.0
2017-06-21,121.97,122.2,121.49,121.75,2732377.0,0.0,1.0,121.97,122.2,121.49,121.75,2732377.0
2017-06-20,121.56,122.52,121.47,121.51,2683438.0,0.0,1.0,121.56,122.52,121.47,121.51,2683438.0
2017-06-19,121.23,122.26,121.0,121.85,3393892.0,0.0,1.0,121.23,122.26,121.0,121.85,3393892.0
2017-06-16,121.11,121.72,120.26,120.43,4540870.0,0.0,1.0,121.11,121.72,120.26,120.43,4540870.0
2017-06-15,119.83,120.92,119.79,120.75,1947559.0,0.0,1.0,119.83,120.92,119.79,120.75,1947559.0
2017-06-14,120.06,120.41,119.6,120.01,1769808.0,0.0,1.0,120.06,120.41,119.6,120.01,1769808.0
2017-06-13,119.93,120.16,119.59,120.06,2357026.0,0.0,1.0,119.93,120.16,119.59,120.06,2357026.0
2017-06-12,120.25,120.55,119.35,119.88,3064407.0,0.0,1.0,120.25,120.55,119.35,119.88,3064407.0
2017-06-09,120.17,120.82,119.815,120.64,2129820.0,0.0,1.0,120.17,120.82,119.815,120.64,2129820.0
2017-06-08,119.3,120.51,119.08,119.94,3548655.0,0.0,1.0,119.3,120.51,119.08,119.94,3548655.0
2017-06-07,120.63,120.675,119.37,119.78,1796229.0,0.0,1.0,120.63,120.675,119.37,119.78,1796229.0
2017-06-06,120.37,120.83,119.66,120.12,2987400.0,0.0,1.0,120.37,120.83,119.66,120.12,2987400.0
2017-06-05,122.27,122.35,120.93,120.98,3202705.0,0.0,1.0,122.27,122.35,120.93,120.98,3202705.0
2017-06-02,122.07,122.8527,121.71,122.12,2398087.0,0.0,1.0,122.07,122.8527,121.71,122.12,2398087.0
2017-06-01,121.2,122.15,121.08,121.79,3214218.0,0.0,1.0,121.2,122.15,121.08,121.79,3214218.0
2017-05-31,121.56,121.58,121.0,121.28,4118106.0,0.0,1.0,121.56,121.58,121.0,121.28,4118106.0
2017-05-30,121.8,121.9328,121.14,121.27,2665922.0,0.0,1.0,121.8,121.9328,121.14,121.27,2665922.0
2017-05-26,122.31,122.44,121.58,121.85,2126166.0,0.0,1.0,122.31,122.44,121.58,121.85,2126166.0
2017-05-25,122.43,122.605,122.04,122.25,2736743.0,0.0,1.0,122.43,122.605,122.04,122.25,2736743.0
2017-05-24,122.1,122.84,121.8508,122.08,2419665.0,0.0,1.0,122.1,122.84,121.8508,122.08,2419665.0
2017-05-23,121.66,122.48,121.63,122.07,3404266.0,0.0,1.0,121.66,122.48,121.63,122.07,3404266.0
2017-05-22,121.56,122.05,121.45,121.66,2183153.0,0.0,1.0,121.56,122.05,121.45,121.66,2183153.0
2017-05-19,119.75,121.35,119.4,121.16,3209092.0,0.0,1.0,119.75,121.35,119.4,121.16,3209092.0
2017-05-18,119.5,119.98,117.96,119.37,2585875.0,0.0,1.0,119.5,119.98,117.96,119.37,2585875.0
2017-05-17,119.77,120.3,119.42,119.58,3357783.0,0.66,1.0,119.77,120.3,119.42,119.58,3357783.0
2017-05-16,121.09,121.48,120.79,121.4,2022270.0,0.0,1.0,120.425334331,120.813193613,120.126981038,120.733632735,2022270.0
2017-05-15,120.8,121.29,120.67,120.92,2174452.0,0.0,1.0,120.136926148,120.624236527,120.007639721,120.256267465,2174452.0
2017-05-12,121.01,121.19,120.65,120.83,2460933.0,0.0,1.0,120.345773453,120.524785429,119.987749501,120.166761477,2460933.0
2017-05-11,120.34,121.38,119.77,121.28,2751404.0,0.0,1.0,119.679451098,120.713742515,119.11257984,120.614291417,2751404.0
2017-05-10,121.17,121.33,120.12,121.02,2132947.0,0.0,1.0,120.50489521,120.664016966,119.460658683,120.355718563,2132947.0
