Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,100.96,101.34,100.61,100.89,4618021.0,0.0,1.0,100.96,101.34,100.61,100.89,4618021.0
2017-08-03,100.94,101.095,100.33,100.59,5696416.0,0.0,1.0,100.94,101.095,100.33,100.59,5696416.0
2017-08-02,101.03,101.28,100.24,101.28,5955622.0,0.0,1.0,101.03,101.28,100.24,101.28,5955622.0
2017-08-01,100.36,101.065,99.96,100.87,6018133.0,0.0,1.0,100.36,101.065,99.96,100.87,6018133.0
2017-07-31,99.5,100.0,99.14,99.56,7576614.0,0.0,1.0,99.5,100.0,99.14,99.56,7576614.0
2017-07-28,99.12,99.59,98.51,99.15,6558846.0,0.0,1.0,99.12,99.59,98.51,99.15,6558846.0
2017-07-27,100.97,101.18,98.55,99.57,10543859.0,0.0,1.0,100.97,101.18,98.55,99.57,10543859.0
2017-07-26,100.01,100.985,99.86,100.85,7205420.0,0.0,1.0,100.01,100.985,99.86,100.85,7205420.0
2017-07-25,100.65,100.85,99.8,99.99,6774854.0,0.0,1.0,100.65,100.85,99.8,99.99,6774854.0
2017-07-24,99.55,100.42,99.14,100.37,9185661.0,0.0,1.0,99.55,100.42,99.14,100.37,9185661.0
2017-07-21,99.6,100.49,99.09,99.6,17400234.0,0.0,1.0,99.6,100.49,99.09,99.6,17400234.0
2017-07-20,99.11,99.138,97.93,98.11,8569805.0,0.0,1.0,99.11,99.138,97.93,98.11,8569805.0
2017-07-19,97.64,98.33,97.55,98.25,6390351.0,0.0,1.0,97.64,98.33,97.55,98.25,6390351.0
2017-07-18,96.85,97.75,96.61,97.58,7434969.0,0.0,1.0,96.85,97.75,96.61,97.58,7434969.0
2017-07-17,97.11,97.29,96.59,96.83,5913849.0,0.0,1.0,97.11,97.29,96.59,96.83,5913849.0
2017-07-14,96.14,97.37,96.12,96.93,6195768.0,0.0,1.0,96.14,97.37,96.12,96.93,6195768.0
2017-07-13,96.42,96.65,95.77,95.94,6721737.0,0.0,1.0,96.42,96.65,95.77,95.94,6721737.0
2017-07-12,95.98,96.45,95.63,96.18,5974765.0,0.0,1.0,95.98,96.45,95.63,96.18,5974765.0
2017-07-11,95.08,95.63,94.93,95.41,5554106.0,0.0,1.0,95.08,95.63,94.93,95.41,5554106.0
2017-07-10,94.15,95.37,94.15,95.09,8851817.0,0.0,1.0,94.15,95.37,94.15,95.09,8851817.0
2017-07-07,93.5,94.41,93.5,93.92,6175766.0,0.0,1.0,93.5,94.41,93.5,93.92,6175766.0
2017-07-06,93.45,93.97,93.19,93.25,8215653.0,0.0,1.0,93.45,93.97,93.19,93.25,8215653.0
2017-07-05,93.75,94.4,93.72,94.01,9339609.0,0.0,1.0,93.75,94.4,93.72,94.01,9339609.0
2017-07-03,94.38,94.41,93.35,93.35,6197656.0,0.0,1.0,94.38,94.41,93.35,93.35,6197656.0
2017-06-30,94.38,94.62,93.78,93.78,9036606.0,0.0,1.0,94.38,94.62,93.78,93.78,9036606.0
2017-06-29,95.79,95.79,94.01,94.42,8872547.0,0.0,1.0,95.79,95.79,94.01,94.42,8872547.0
2017-06-28,95.15,96.4001,94.66,96.23,5571267.0,0.0,1.0,95.15,96.4001,94.66,96.23,5571267.0
2017-06-27,95.15,95.34,94.63,94.9,6283594.0,0.0,1.0,95.15,95.34,94.63,94.9,6283594.0
2017-06-26,95.8,96.265,95.0989,95.22,6970841.0,0.0,1.0,95.8,96.265,95.0989,95.22,6970841.0
2017-06-23,94.16,95.65,93.89,95.58,11637316.0,0.0,1.0,94.16,95.65,93.89,95.58,11637316.0
2017-06-22,94.49,94.51,93.871,93.95,5846460.0,0.0,1.0,94.49,94.51,93.871,93.95,5846460.0
2017-06-21,94.61,94.77,94.07,94.54,5611354.0,0.0,1.0,94.61,94.77,94.07,94.54,5611354.0
2017-06-20,94.79,94.955,94.33,94.38,5626703.0,0.0,1.0,94.79,94.955,94.33,94.38,5626703.0
2017-06-19,94.75,94.85,94.25,94.79,5984143.0,0.0,1.0,94.75,94.85,94.25,94.79,5984143.0
2017-06-16,94.31,94.44,93.74,94.17,14705134.0,0.0,1.0,94.31,94.44,93.74,94.17,14705134.0
2017-06-15,94.44,94.53,93.53,94.17,12793864.0,0.0,1.0,94.44,94.53,93.53,94.17,12793864.0
2017-06-14,95.32,96.0,94.95,95.32,6346461.0,0.0,1.0,95.32,96.0,94.95,95.32,6346461.0
2017-06-13,94.0,95.34,93.97,95.08,8700111.0,0.0,1.0,94.0,95.34,93.97,95.08,8700111.0
2017-06-12,93.69,94.04,92.8,93.5,15609884.0,0.0,1.0,93.69,94.04,92.8,93.5,15609884.0
2017-06-09,96.09,96.249,93.71,94.56,16887075.0,0.0,1.0,96.09,96.249,93.71,94.56,16887075.0
2017-06-08,95.87,96.12,95.29,96.09,7720313.0,0.0,1.0,95.87,96.12,95.29,96.09,7720313.0
2017-06-07,96.03,96.22,95.76,96.09,6720304.0,0.0,1.0,96.03,96.22,95.76,96.09,6720304.0
2017-06-06,96.27,96.6,95.56,95.79,7030305.0,0.0,1.0,96.27,96.6,95.56,95.79,7030305.0
