Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,68.5,68.93,68.3001,68.53,3201836.0,0.0,1.0,68.5,68.93,68.3001,68.53,3201836.0
2017-08-03,68.22,68.64,68.0617,68.5,3342376.0,0.0,1.0,68.22,68.64,68.0617,68.5,3342376.0
2017-08-02,68.61,69.17,68.301,68.5,3724920.0,0.0,1.0,68.61,69.17,68.301,68.5,3724920.0
2017-08-01,69.35,69.75,68.73,68.82,5330081.0,0.0,1.0,69.35,69.75,68.73,68.82,5330081.0
2017-07-31,67.08,69.44,66.88,68.97,7354847.0,0.0,1.0,67.08,69.44,66.88,68.97,7354847.0
2017-07-28,67.47,67.58,65.95,66.69,7105643.0,0.0,1.0,67.47,67.58,65.95,66.69,7105643.0
2017-07-27,68.0,68.829,66.61,67.59,4377800.0,0.0,1.0,68.0,68.829,66.61,67.59,4377800.0
2017-07-26,68.51,68.53,67.8,67.99,3356842.0,0.0,1.0,68.51,68.53,67.8,67.99,3356842.0
2017-07-25,67.98,68.72,67.945,68.44,3131122.0,0.0,1.0,67.98,68.72,67.945,68.44,3131122.0
2017-07-24,67.63,68.09,67.54,67.68,2318781.0,0.0,1.0,67.63,68.09,67.54,67.68,2318781.0
2017-07-21,67.52,67.87,67.01,67.78,2725709.0,0.0,1.0,67.52,67.87,67.01,67.78,2725709.0
2017-07-20,68.39,68.43,67.3,67.52,2914831.0,0.0,1.0,68.39,68.43,67.3,67.52,2914831.0
2017-07-19,67.6,68.69,67.54,68.03,3481850.0,0.0,1.0,67.6,68.69,67.54,68.03,3481850.0
2017-07-18,67.72,67.76,67.2,67.51,2816047.0,0.0,1.0,67.72,67.76,67.2,67.51,2816047.0
2017-07-17,67.82,68.0,67.32,67.43,2868806.0,0.0,1.0,67.82,68.0,67.32,67.43,2868806.0
2017-07-14,67.84,68.33,67.41,68.04,2194732.0,0.0,1.0,67.84,68.33,67.41,68.04,2194732.0
2017-07-13,67.87,68.38,67.04,67.78,2883729.0,0.0,1.0,67.87,68.38,67.04,67.78,2883729.0
2017-07-12,68.48,68.55,67.44,68.03,4206132.0,0.0,1.0,68.48,68.55,67.44,68.03,4206132.0
2017-07-11,68.03,68.45,67.73,67.93,2188193.0,0.0,1.0,68.03,68.45,67.73,67.93,2188193.0
2017-07-10,68.05,68.49,67.941,68.09,3718199.0,0.0,1.0,68.05,68.49,67.941,68.09,3718199.0
2017-07-07,66.44,68.42,66.25,68.18,5083561.0,0.0,1.0,66.44,68.42,66.25,68.18,5083561.0
2017-07-06,66.99,67.18,66.18,66.46,3332080.0,0.0,1.0,66.99,67.18,66.18,66.46,3332080.0
2017-07-05,68.0,68.25,66.96,67.07,3938059.0,0.0,1.0,68.0,68.25,66.96,67.07,3938059.0
2017-07-03,67.81,68.44,67.66,68.02,2159962.0,0.0,1.0,67.81,68.44,67.66,68.02,2159962.0
2017-06-30,67.55,67.77,66.87,67.46,2972006.0,0.0,1.0,67.55,67.77,66.87,67.46,2972006.0
2017-06-29,67.79,68.39,66.77,67.09,3282872.0,0.0,1.0,67.79,68.39,66.77,67.09,3282872.0
2017-06-28,67.14,68.14,66.97,67.47,3336357.0,0.0,1.0,67.14,68.14,66.97,67.47,3336357.0
2017-06-27,66.1,67.84,65.965,66.81,5447333.0,0.0,1.0,66.1,67.84,65.965,66.81,5447333.0
2017-06-26,66.18,66.48,65.76,66.04,3376758.0,0.0,1.0,66.18,66.48,65.76,66.04,3376758.0
2017-06-23,64.72,66.08,64.58,65.98,4915246.0,0.0,1.0,64.72,66.08,64.58,65.98,4915246.0
2017-06-22,65.66,65.66,64.77,64.82,3801388.0,0.0,1.0,65.66,65.66,64.77,64.82,3801388.0
2017-06-21,65.3,65.65,63.77,64.68,5566133.0,0.0,1.0,65.3,65.65,63.77,64.68,5566133.0
2017-06-20,65.95,66.37,65.15,65.65,3634080.0,0.0,1.0,65.95,66.37,65.15,65.65,3634080.0
2017-06-19,65.76,66.95,65.745,66.61,4078202.0,0.0,1.0,65.76,66.95,65.745,66.61,4078202.0
2017-06-16,65.0,66.04,64.64,65.8,6522493.0,0.0,1.0,65.0,66.04,64.64,65.8,6522493.0
2017-06-15,64.46,65.0,64.15,64.69,3974119.0,0.0,1.0,64.46,65.0,64.15,64.69,3974119.0
2017-06-14,66.42,66.53,64.12,64.75,6430433.0,0.0,1.0,66.42,66.53,64.12,64.75,6430433.0
2017-06-13,65.83,66.98,65.54,66.53,4336426.0,0.0,1.0,65.83,66.98,65.54,66.53,4336426.0
2017-06-12,65.55,66.83,65.55,65.92,6725913.0,0.0,1.0,65.55,66.83,65.55,65.92,6725913.0
2017-06-09,63.01,65.76,62.885,65.26,6201156.0,0.0,1.0,63.01,65.76,62.885,65.26,6201156.0
2017-06-08,62.17,64.15,62.17,63.18,5021336.0,0.0,1.0,62.17,64.15,62.17,63.18,5021336.0
2017-06-07,61.82,62.48,61.59,62.3,4378186.0,0.0,1.0,61.82,62.48,61.59,62.3,4378186.0
2017-06-06,62.14,62.56,61.86,62.29,2579818.0,0.0,1.0,62.14,62.56,61.86,62.29,2579818.0
2017-06-05,61.91,62.67,61.79,62.4,3897147.0,0.0,1.0,61.91,62.67,61.79,62.4,3897147.0
2017-06-02,62.43,62.72,62.0,62.1,2788894.0,0.0,1.0,62.43,62.72,62.0,62.1,2788894.0
2017-06-01,61.37,62.44,61.07,62.12,3541383.0,0.0,1.0,61.37,62.44,61.07,62.12,3541383.0
2017-05-31,61.83,62.17,60.91,61.47,4655909.0,0.0,1.0,61.83,62.17,60.91,61.47,4655909.0
2017-05-30,61.61,62.79,60.69,62.09,6566649.0,0.0,1.0,61.61,62.79,60.69,62.09,6566649.0
2017-05-26,63.19,63.5,62.13,62.45,3718744.0,0.0,1.0,63.19,63.5,62.13,62.45,3718744.0
2017-05-25,63.63,64.19,63.05,63.19,3786245.0,0.0,1.0,63.63,64.19,63.05,63.19,3786245.0
2017-05-24,64.17,64.61,63.51,63.81,3001282.0,0.0,1.0,64.17,64.61,63.51,63.81,3001282.0
2017-05-23,63.71,64.36,63.29,64.12,2945595.0,0.0,1.0,63.71,64.36,63.29,64.12,2945595.0
2017-05-22,64.26,64.29,63.56,63.84,2742340.0,0.0,1.0,64.26,64.29,63.56,63.84,2742340.0
2017-05-19,63.69,64.163,63.17,63.87,3396116.0,0.0,1.0,63.69,64.163,63.17,63.87,3396116.0
2017-05-18,63.49,64.07,63.03,63.54,3385934.0,0.0,1.0,63.49,64.07,63.03,63.54,3385934.0
2017-05-17,64.27,64.79,63.48,63.8,4529820.0,0.0,1.0,64.27,64.79,63.48,63.8,4529820.0
2017-05-16,65.12,65.35,63.96,64.54,6322456.0,0.0,1.0,65.12,65.35,63.96,64.54,6322456.0
2017-05-15,66.15,66.15,65.16,65.55,3289050.0,0.7,1.0,66.15,66.15,65.16,65.55,3289050.0
2017-05-12,66.28,66.76,66.16,66.42,3549592.0,0.0,1.0,65.5796830189,66.0546113208,65.4609509434,65.7182037736,3549592.0
2017-05-11,66.87,66.93,66.115,66.35,2847543.0,0.0,1.0,66.1634490566,66.2228150943,65.4164264151,65.6489433962,2847543.0
2017-05-10,66.75,67.03,65.91,66.68,3410253.0,0.0,1.0,66.0447169811,66.3217584906,65.2135924528,65.9754566038,3410253.0
2017-05-09,66.31,67.16,66.17,66.63,3836294.0,0.0,1.0,65.6093660377,66.4503849057,65.470845283,65.9259849057,3836294.0
2017-05-08,65.38,66.2661,65.32,66.11,3472896.0,0.0,1.0,64.6891924528,65.5659298868,64.6298264151,65.4114792453,3472896.0
2017-05-05,64.59,65.52,64.308,65.34,4668899.0,0.0,1.0,63.9075396226,64.8277132075,63.6285192453,64.6496150943,4668899.0
2017-05-04,64.53,64.94,63.96,64.37,3068340.0,0.0,1.0,63.8481735849,64.2538415094,63.2841962264,63.6898641509,3068340.0
2017-05-03,64.28,65.155,64.07,64.9,2993619.0,0.0,1.0,63.6008150943,64.4665698113,63.3930339623,64.2142641509,2993619.0
2017-05-02,64.79,64.83,64.16,64.49,4476255.0,0.0,1.0,64.1054264151,64.1450037736,63.4820830189,63.8085962264,4476255.0
2017-05-01,64.82,64.87,63.96,64.36,5432870.0,0.0,1.0,64.135109434,64.1845811321,63.2841962264,63.6799698113,5432870.0
2017-04-28,65.62,65.64,64.41,64.61,4079246.0,0.0,1.0,64.9266566038,64.946445283,63.7294415094,63.9273283019,4079246.0
2017-04-27,64.68,65.49,63.85,65.32,4222844.0,0.0,1.0,63.9965886792,64.7980301887,63.1753584906,64.6298264151,4222844.0
2017-04-26,65.41,65.75,64.81,64.9,6540483.0,0.0,1.0,64.7188754717,65.0552830189,64.1252150943,64.2142641509,6540483.0
2017-04-25,67.15,67.69,65.01,65.83,7379746.0,0.0,1.0,66.440490566,66.9747849057,64.3231018868,65.1344377358,7379746.0
2017-04-24,65.7,67.21,65.7,66.82,7074976.0,0.0,1.0,65.0058113208,66.4998566038,65.0058113208,66.1139773585,7074976.0
2017-04-21,64.59,65.63,64.2,65.23,5113234.0,0.0,1.0,63.9075396226,64.9365509434,63.5216603774,64.5407773585,5113234.0
2017-04-20,63.68,64.71,63.56,64.1,2777836.0,0.0,1.0,63.007154717,64.0262716981,62.8884226415,63.4227169811,2777836.0
2017-04-19,64.22,64.37,63.26,63.49,4988347.0,0.0,1.0,63.5414490566,63.6898641509,62.5915924528,62.8191622642,4988347.0
2017-04-18,64.93,65.1,63.58,64.15,4606085.0,0.0,1.0,64.2439471698,64.4121509434,62.9082113208,63.4721886792,4606085.0
2017-04-17,64.74,65.195,64.65,65.19,2909848.0,0.0,1.0,64.055954717,64.5061471698,63.9669056604,64.5012,2909848.0
2017-04-13,65.17,65.63,64.58,64.68,3105204.0,0.0,1.0,64.4814113208,64.9365509434,63.897645283,63.9965886792,3105204.0
2017-04-12,65.9,66.25,65.07,65.13,4156219.0,0.0,1.0,65.2036981132,65.55,64.3824679245,64.4418339623,4156219.0
2017-04-11,65.27,65.66,64.78,65.63,3926549.0,0.0,1.0,64.580354717,64.9662339623,64.0955320755,64.9365509434,3926549.0
2017-04-10,65.6,66.245,65.3,65.35,3409388.0,0.0,1.0,64.9068679245,65.5450528302,64.6100377358,64.659509434,3409388.0
2017-04-07,65.07,66.1,65.0,65.57,3854605.0,0.0,1.0,64.3824679245,65.4015849057,64.3132075472,64.8771849057,3854605.0
2017-04-06,65.11,65.59,64.71,65.07,3378058.0,0.0,1.0,64.422045283,64.8969735849,64.0262716981,64.3824679245,3378058.0
2017-04-05,66.12,66.7,65.0,65.09,3236739.0,0.0,1.0,65.4213735849,65.995245283,64.3132075472,64.4022566038,3236739.0
2017-04-04,65.75,66.3,65.37,65.81,3101537.0,0.0,1.0,65.0552830189,65.5994716981,64.6792981132,65.1146490566,3101537.0
2017-04-03,66.59,66.59,65.66,66.23,3319449.0,0.0,1.0,65.8864075472,65.8864075472,64.9662339623,65.5302113208,3319449.0
2017-03-31,66.23,66.67,66.06,66.29,3622057.0,0.0,1.0,65.5302113208,65.9655622642,65.3620075472,65.5895773585,3622057.0
2017-03-30,67.28,67.31,66.2,66.23,7512752.0,0.0,1.0,66.5691169811,66.5988,65.5005283019,65.5302113208,7512752.0
2017-03-29,66.2,67.4,66.11,67.14,3326870.0,0.0,1.0,65.5005283019,66.6878490566,65.4114792453,66.4305962264,3326870.0
2017-03-28,66.52,66.64,65.651,66.29,3443381.0,0.0,1.0,65.8171471698,65.9358792453,64.9573290566,65.5895773585,3443381.0
2017-03-27,65.56,66.53,65.45,66.23,2799341.0,0.0,1.0,64.867290566,65.8270415094,64.7584528302,65.5302113208,2799341.0
