Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,66.39,66.61,65.77,65.81,1117516.0,0.0,1.0,66.39,66.61,65.77,65.81,1117516.0
2017-08-03,66.04,66.69,65.75,66.45,1584168.0,0.0,1.0,66.04,66.69,65.75,66.45,1584168.0
2017-08-02,65.86,66.03,65.37,66.02,1922228.0,0.0,1.0,65.86,66.03,65.37,66.02,1922228.0
2017-08-01,67.62,67.8,65.61,66.0,1789419.0,0.0,1.0,67.62,67.8,65.61,66.0,1789419.0
2017-07-31,67.11,67.52,66.57,67.35,2136216.0,0.0,1.0,67.11,67.52,66.57,67.35,2136216.0
2017-07-28,67.39,67.52,66.5601,67.12,1326824.0,0.0,1.0,67.39,67.52,66.5601,67.12,1326824.0
2017-07-27,67.75,67.99,66.9,67.41,1196887.0,0.0,1.0,67.75,67.99,66.9,67.41,1196887.0
2017-07-26,67.9,68.35,67.56,68.08,779463.0,0.0,1.0,67.9,68.35,67.56,68.08,779463.0
2017-07-25,67.97,67.99,67.03,67.9,1546280.0,0.0,1.0,67.97,67.99,67.03,67.9,1546280.0
2017-07-24,68.65,68.92,67.73,68.05,1904410.0,0.0,1.0,68.65,68.92,67.73,68.05,1904410.0
2017-07-21,68.35,68.66,68.05,68.65,1323790.0,0.0,1.0,68.35,68.66,68.05,68.65,1323790.0
2017-07-20,68.73,68.88,68.36,68.4,1336720.0,0.0,1.0,68.73,68.88,68.36,68.4,1336720.0
2017-07-19,68.67,68.91,68.25,68.53,1303446.0,0.0,1.0,68.67,68.91,68.25,68.53,1303446.0
2017-07-18,68.84,69.05,68.34,68.66,1355885.0,0.0,1.0,68.84,69.05,68.34,68.66,1355885.0
2017-07-17,68.01,68.8,67.94,68.8,1149577.0,0.0,1.0,68.01,68.8,67.94,68.8,1149577.0
2017-07-14,67.88,68.48,67.74,68.05,1025938.0,0.0,1.0,67.88,68.48,67.74,68.05,1025938.0
2017-07-13,67.79,67.97,67.46,67.52,763385.0,0.0,1.0,67.79,67.97,67.46,67.52,763385.0
2017-07-12,67.32,68.35,67.32,67.8,1179514.0,0.0,1.0,67.32,68.35,67.32,67.8,1179514.0
2017-07-11,67.06,67.21,66.42,66.92,1094562.0,0.0,1.0,67.06,67.21,66.42,66.92,1094562.0
2017-07-10,67.5,67.66,66.92,66.94,1058659.0,0.0,1.0,67.5,67.66,66.92,66.94,1058659.0
2017-07-07,67.61,67.69,66.7745,67.47,1403028.0,0.0,1.0,67.61,67.69,66.7745,67.47,1403028.0
2017-07-06,68.89,68.91,67.53,67.61,1667965.0,0.0,1.0,68.89,68.91,67.53,67.61,1667965.0
2017-07-05,69.89,70.0,68.69,69.18,1912292.0,0.0,1.0,69.89,70.0,68.69,69.18,1912292.0
2017-07-03,69.67,70.18,69.11,69.98,1032817.0,0.0,1.0,69.67,70.18,69.11,69.98,1032817.0
