Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,81.38,81.45,80.93,81.06,3777286.0,0.0,1.0,81.38,81.45,80.93,81.06,3777286.0
2017-08-03,81.4,81.72,80.68,81.05,4666526.0,0.0,1.0,81.4,81.72,80.68,81.05,4666526.0
2017-08-02,80.9,81.3599,80.5802,81.03,4216433.0,0.0,1.0,80.9,81.3599,80.5802,81.03,4216433.0
2017-08-01,80.43,81.455,80.43,81.13,4892591.0,0.0,1.0,80.43,81.455,80.43,81.13,4892591.0
2017-07-31,79.92,80.9601,79.805,80.67,4853532.0,0.0,1.0,79.92,80.9601,79.805,80.67,4853532.0
2017-07-28,78.6,79.86,78.6,79.62,5250468.0,0.0,1.0,78.6,79.86,78.6,79.62,5250468.0
2017-07-27,78.39,78.98,78.13,78.78,6556373.0,0.0,1.0,78.39,78.98,78.13,78.78,6556373.0
2017-07-26,80.07,80.5,78.48,78.68,8336191.0,0.0,1.0,80.07,80.5,78.48,78.68,8336191.0
2017-07-25,79.79,80.49,79.58,80.06,5364915.0,0.0,1.0,79.79,80.49,79.58,80.06,5364915.0
2017-07-24,78.82,79.96,78.75,79.6,4427989.0,0.0,1.0,78.82,79.96,78.75,79.6,4427989.0
2017-07-21,79.37,80.05,78.85,78.9,4855318.0,0.0,1.0,79.37,80.05,78.85,78.9,4855318.0
2017-07-20,79.64,79.98,79.15,79.8,6628113.0,0.0,1.0,79.64,79.98,79.15,79.8,6628113.0
2017-07-19,78.76,79.7701,78.72,79.56,4077375.0,0.0,1.0,78.76,79.7701,78.72,79.56,4077375.0
2017-07-18,79.02,79.15,78.36,78.67,4367546.0,0.0,1.0,79.02,79.15,78.36,78.67,4367546.0
2017-07-17,79.14,79.25,78.65,79.18,4739575.0,0.0,1.0,79.14,79.25,78.65,79.18,4739575.0
2017-07-14,78.04,79.07,77.7,78.91,7932458.0,0.0,1.0,78.04,79.07,77.7,78.91,7932458.0
2017-07-13,77.66,78.4784,77.6,78.01,5415711.0,0.0,1.0,77.66,78.4784,77.6,78.01,5415711.0
2017-07-12,77.79,77.97,77.45,77.52,4266555.0,0.0,1.0,77.79,77.97,77.45,77.52,4266555.0
2017-07-11,76.97,77.52,76.79,77.29,4875106.0,0.0,1.0,76.97,77.52,76.79,77.29,4875106.0
2017-07-10,77.48,77.59,76.85,77.16,4756923.0,0.0,1.0,77.48,77.59,76.85,77.16,4756923.0
2017-07-07,77.73,78.135,76.92,77.47,6001927.0,0.0,1.0,77.73,78.135,76.92,77.47,6001927.0
2017-07-06,78.45,78.47,77.63,77.72,6011562.0,0.0,1.0,78.45,78.47,77.63,77.72,6011562.0
2017-07-05,78.13,78.96,78.13,78.64,6480982.0,0.0,1.0,78.13,78.96,78.13,78.64,6480982.0
2017-07-03,78.52,78.8,78.01,78.13,2419188.0,0.0,1.0,78.52,78.8,78.01,78.13,2419188.0
