Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,84.79,84.82,79.66,81.17,10704292.0,0.0,1.0,84.79,84.82,79.66,81.17,10704292.0
2017-08-03,84.5,85.01,83.81,84.51,3511134.0,0.0,1.0,84.5,85.01,83.81,84.51,3511134.0
2017-08-02,86.49,86.55,84.05,84.37,3757481.0,0.0,1.0,86.49,86.55,84.05,84.37,3757481.0
2017-08-01,85.29,86.35,84.87,85.67,4010041.0,0.0,1.0,85.29,86.35,84.87,85.67,4010041.0
2017-07-31,86.12,86.73,84.4,85.12,5093550.0,0.0,1.0,86.12,86.73,84.4,85.12,5093550.0
2017-07-28,88.0,88.0,84.1,84.97,11204406.0,0.0,1.0,88.0,88.0,84.1,84.97,11204406.0
2017-07-27,93.01,94.25,91.22,91.9,5241728.0,0.0,1.0,93.01,94.25,91.22,91.9,5241728.0
2017-07-26,94.26,94.4911,92.53,92.96,2503806.0,0.0,1.0,94.26,94.4911,92.53,92.96,2503806.0
2017-07-25,91.04,95.05,90.75,93.75,5024732.0,0.0,1.0,91.04,95.05,90.75,93.75,5024732.0
2017-07-24,94.94,95.69,94.48,94.62,2254893.0,0.0,1.0,94.94,95.69,94.48,94.62,2254893.0
2017-07-21,94.7,95.77,94.5,94.82,2183634.0,0.0,1.0,94.7,95.77,94.5,94.82,2183634.0
2017-07-20,95.0,95.56,94.23,95.01,3358890.0,0.0,1.0,95.0,95.56,94.23,95.01,3358890.0
2017-07-19,94.42,94.61,93.45,94.48,2853119.0,0.0,1.0,94.42,94.61,93.45,94.48,2853119.0
2017-07-18,94.16,94.82,93.6,94.27,2211923.0,0.0,1.0,94.16,94.82,93.6,94.27,2211923.0
2017-07-17,94.15,94.94,93.85,94.57,2556959.0,0.0,1.0,94.15,94.94,93.85,94.57,2556959.0
2017-07-14,93.36,95.49,93.2,94.44,3471195.0,0.0,1.0,93.36,95.49,93.2,94.44,3471195.0
2017-07-13,93.51,94.62,92.61,92.8,4140669.0,0.0,1.0,93.51,94.62,92.61,92.8,4140669.0
2017-07-12,92.9,95.51,92.61,94.13,5555154.0,0.0,1.0,92.9,95.51,92.61,94.13,5555154.0
2017-07-11,89.38,92.16,89.27,91.75,5130831.0,0.0,1.0,89.38,92.16,89.27,91.75,5130831.0
2017-07-10,86.87,89.5098,86.31,89.27,4909453.0,0.0,1.0,86.87,89.5098,86.31,89.27,4909453.0
2017-07-07,86.54,88.52,86.08,86.94,3436767.0,0.0,1.0,86.54,88.52,86.08,86.94,3436767.0
2017-07-06,86.17,86.58,84.74,86.12,4143838.0,0.0,1.0,86.17,86.58,84.74,86.12,4143838.0
2017-07-05,85.95,86.75,84.46,86.41,5119810.0,0.0,1.0,85.95,86.75,84.46,86.41,5119810.0
2017-07-03,89.0,89.25,85.26,85.29,4562275.0,0.0,1.0,89.0,89.25,85.26,85.29,4562275.0
2017-06-30,92.32,92.4,88.281,88.6,6614896.0,0.0,1.0,92.32,92.4,88.281,88.6,6614896.0
2017-06-29,93.2,93.2332,90.8,91.65,5673341.0,0.0,1.0,93.2,93.2332,90.8,91.65,5673341.0
2017-06-28,91.43,93.7,90.8601,93.67,3692206.0,0.5,1.0,91.43,93.7,90.8601,93.67,3692206.0
2017-06-27,91.25,92.8999,89.81,91.85,5356362.0,0.0,1.0,90.765503876,92.4066436551,89.333149623,91.362318148,5356362.0
2017-06-26,94.0,94.9099,92.54,92.66,3717886.0,0.0,1.0,93.5009026229,94.4059714665,92.0486545609,92.1680174153,3717886.0
2017-06-23,90.93,95.0,90.61,93.34,8322237.0,0.0,1.0,90.4472029309,94.4955930764,90.1289019858,92.8444069236,8322237.0
2017-06-22,91.27,91.3,89.76,90.25,2285343.0,0.0,1.0,90.785397685,90.8152383986,89.2834151004,89.7708134225,2285343.0
2017-06-21,88.06,91.85,87.8725,91.03,4349411.0,0.0,1.0,87.5924413295,91.362318148,87.4059368695,90.5466719762,4349411.0
2017-06-20,88.69,89.59,88.17,88.23,4471560.0,0.0,1.0,88.2190963152,89.1143177233,87.7018572794,87.7615387066,4471560.0
2017-06-19,88.14,88.92,87.66,88.64,2520157.0,0.0,1.0,87.6720165658,88.4478751195,87.1945651481,88.1693617925,2520157.0
2017-06-16,87.76,88.48,86.79,87.12,4295000.0,0.0,1.0,87.2940341935,88.01021132,86.3291844536,86.6574323033,4295000.0
2017-06-15,86.32,87.72,85.6001,87.31,2720203.0,0.0,1.0,85.8616799405,87.2542465753,85.1456022831,86.8464234894,2720203.0
2017-06-14,90.25,90.47,86.93,87.8,4226133.0,0.0,1.0,89.7708134225,89.9896453223,86.4684411171,87.3338218116,4226133.0
