Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,63.91,64.15,63.52,64.09,1128982.0,0.0,1.0,63.91,64.15,63.52,64.09,1128982.0
2017-08-03,63.57,64.17,63.49,64.11,1102775.0,0.0,1.0,63.57,64.17,63.49,64.11,1102775.0
2017-08-02,62.88,63.67,62.73,63.64,1374749.0,0.0,1.0,62.88,63.67,62.73,63.64,1374749.0
2017-08-01,62.97,63.34,62.82,63.11,1270449.0,0.0,1.0,62.97,63.34,62.82,63.11,1270449.0
2017-07-31,62.4,63.03,62.32,62.97,1351330.0,0.0,1.0,62.4,63.03,62.32,62.97,1351330.0
2017-07-28,62.43,62.63,62.19,62.36,1259991.0,0.0,1.0,62.43,62.63,62.19,62.36,1259991.0
2017-07-27,62.56,62.67,62.07,62.5,1308926.0,0.0,1.0,62.56,62.67,62.07,62.5,1308926.0
2017-07-26,62.04,62.73,61.9,62.62,1745324.0,0.0,1.0,62.04,62.73,61.9,62.62,1745324.0
2017-07-25,62.51,62.59,62.05,62.18,993737.0,0.0,1.0,62.51,62.59,62.05,62.18,993737.0
2017-07-24,63.39,63.5,62.395,62.5,1357911.0,0.0,1.0,63.39,63.5,62.395,62.5,1357911.0
2017-07-21,62.75,63.38,62.655,63.37,1040874.0,0.0,1.0,62.75,63.38,62.655,63.37,1040874.0
2017-07-20,62.88,62.99,62.51,62.79,1491362.0,0.0,1.0,62.88,62.99,62.51,62.79,1491362.0
2017-07-19,62.14,62.77,61.95,62.7,2174249.0,0.0,1.0,62.14,62.77,61.95,62.7,2174249.0
2017-07-18,61.7,62.25,61.58,62.11,2388478.0,0.0,1.0,61.7,62.25,61.58,62.11,2388478.0
2017-07-17,61.23,61.61,61.02,61.6,1176871.0,0.0,1.0,61.23,61.61,61.02,61.6,1176871.0
2017-07-14,61.2,61.43,61.01,61.23,1039385.0,0.0,1.0,61.2,61.43,61.01,61.23,1039385.0
2017-07-13,61.2,61.3,60.79,60.83,1877986.0,0.0,1.0,61.2,61.3,60.79,60.83,1877986.0
2017-07-12,61.2,61.475,61.1635,61.37,1682474.0,0.0,1.0,61.2,61.475,61.1635,61.37,1682474.0
2017-07-11,60.93,60.95,60.47,60.84,1308724.0,0.0,1.0,60.93,60.95,60.47,60.84,1308724.0
2017-07-10,61.02,61.17,60.82,60.82,1814725.0,0.0,1.0,61.02,61.17,60.82,60.82,1814725.0
2017-07-07,60.75,61.16,60.63,60.92,1442955.0,0.0,1.0,60.75,61.16,60.63,60.92,1442955.0
2017-07-06,60.66,60.9,60.53,60.72,1395131.0,0.0,1.0,60.66,60.9,60.53,60.72,1395131.0
2017-07-05,61.13,61.13,60.56,60.83,1152096.0,0.0,1.0,61.13,61.13,60.56,60.83,1152096.0
