Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,81.06,81.4,80.21,80.48,7141805.0,0.0,1.0,81.06,81.4,80.21,80.48,7141805.0
2017-08-03,81.34,81.76,80.67,80.87,9946675.0,0.0,1.0,81.34,81.76,80.67,80.87,9946675.0
2017-08-02,80.34,81.11,80.3,80.53,8673035.0,0.0,1.0,80.34,81.11,80.3,80.53,8673035.0
2017-08-01,80.25,80.73,80.0,80.5,5726547.0,0.0,1.0,80.25,80.73,80.0,80.5,5726547.0
2017-07-31,79.82,80.34,79.695,79.99,6263189.0,0.0,1.0,79.82,80.34,79.695,79.99,6263189.0
2017-07-28,79.8,79.955,79.535,79.81,4975216.0,0.0,1.0,79.8,79.955,79.535,79.81,4975216.0
2017-07-27,78.72,79.855,78.48,79.78,8052464.0,0.0,1.0,78.72,79.855,78.48,79.78,8052464.0
2017-07-26,78.55,79.17,77.94,78.9,6716055.0,0.0,1.0,78.55,79.17,77.94,78.9,6716055.0
2017-07-25,77.61,78.86,77.39,78.52,11503953.0,0.0,1.0,77.61,78.86,77.39,78.52,11503953.0
2017-07-24,76.03,77.155,76.03,76.89,7387735.0,0.0,1.0,76.03,77.155,76.03,76.89,7387735.0
2017-07-21,75.84,76.23,75.55,76.15,7153326.0,0.0,1.0,75.84,76.23,75.55,76.15,7153326.0
2017-07-20,75.98,76.25,75.7,76.02,4964678.0,0.0,1.0,75.98,76.25,75.7,76.02,4964678.0
2017-07-19,76.08,76.22,75.6,75.87,5313563.0,0.0,1.0,76.08,76.22,75.6,75.87,5313563.0
2017-07-18,76.25,76.5429,76.0,76.2,4314853.0,0.0,1.0,76.25,76.5429,76.0,76.2,4314853.0
2017-07-17,76.29,76.87,76.19,76.37,8835390.0,0.0,1.0,76.29,76.87,76.19,76.37,8835390.0
2017-07-14,76.27,76.555,75.91,76.34,9151448.0,0.0,1.0,76.27,76.555,75.91,76.34,9151448.0
2017-07-13,74.67,75.25,74.51,75.05,8160487.0,0.0,1.0,74.67,75.25,74.51,75.05,8160487.0
2017-07-12,73.66,74.21,73.66,73.94,5700157.0,0.0,1.0,73.66,74.21,73.66,73.94,5700157.0
2017-07-11,73.38,74.05,73.33,73.47,7531631.0,0.0,1.0,73.38,74.05,73.33,73.47,7531631.0
2017-07-10,75.15,75.31,73.13,73.23,15066660.0,0.0,1.0,75.15,75.31,73.13,73.23,15066660.0
2017-07-07,75.65,75.82,75.05,75.33,5307064.0,0.0,1.0,75.65,75.82,75.05,75.33,5307064.0
2017-07-06,75.35,75.97,75.24,75.47,6161845.0,0.0,1.0,75.35,75.97,75.24,75.47,6161845.0
2017-07-05,75.55,75.95,75.165,75.32,6037661.0,0.0,1.0,75.55,75.95,75.165,75.32,6037661.0
2017-07-03,75.84,76.34,75.08,75.36,4848564.0,0.0,1.0,75.84,76.34,75.08,75.36,4848564.0
2017-06-30,76.08,76.27,75.67,75.68,6962105.0,0.0,1.0,76.08,76.27,75.67,75.68,6962105.0
2017-06-29,76.25,76.32,75.485,75.93,7063528.0,0.0,1.0,76.25,76.32,75.485,75.93,7063528.0
2017-06-28,76.25,76.8,76.14,76.51,6988850.0,0.0,1.0,76.25,76.8,76.14,76.51,6988850.0
2017-06-27,75.52,76.37,75.45,76.01,6454384.0,0.0,1.0,75.52,76.37,75.45,76.01,6454384.0
2017-06-26,74.95,75.93,74.92,75.5,8587480.0,0.0,1.0,74.95,75.93,74.92,75.5,8587480.0
2017-06-23,75.6,75.78,74.55,74.84,13080330.0,0.0,1.0,75.6,75.78,74.55,74.84,13080330.0
2017-06-22,76.03,76.06,75.3,75.52,8111282.0,0.0,1.0,76.03,76.06,75.3,75.52,8111282.0
2017-06-21,75.6,76.605,75.58,76.24,9011423.0,0.0,1.0,75.6,76.605,75.58,76.24,9011423.0
2017-06-20,75.88,75.92,75.32,75.54,10019248.0,0.0,1.0,75.88,75.92,75.32,75.54,10019248.0
2017-06-19,75.38,76.01,74.52,75.5,16092987.0,0.0,1.0,75.38,76.01,74.52,75.5,16092987.0
