Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-04,32.29,32.3,31.935,32.22,2524646.0,0.0,1.0,32.29,32.3,31.935,32.22,2524646.0
2017-08-03,32.57,32.68,32.0,32.1,2286623.0,0.0,1.0,32.57,32.68,32.0,32.1,2286623.0
2017-08-02,32.56,32.99,32.29,32.55,3812603.0,0.0,1.0,32.56,32.99,32.29,32.55,3812603.0
2017-08-01,30.95,32.54,30.8809,32.46,5765391.0,0.0,1.0,30.95,32.54,30.8809,32.46,5765391.0
2017-07-31,30.51,30.68,30.37,30.67,6408928.0,0.0,1.0,30.51,30.68,30.37,30.67,6408928.0
2017-07-28,30.48,30.51,30.17,30.43,2539927.0,0.0,1.0,30.48,30.51,30.17,30.43,2539927.0
2017-07-27,30.58,30.91,30.29,30.58,2751554.0,0.0,1.0,30.58,30.91,30.29,30.58,2751554.0
2017-07-26,31.07,31.07,30.39,30.49,2326249.0,0.0,1.0,31.07,31.07,30.39,30.49,2326249.0
2017-07-25,30.59,31.16,30.55,31.03,5446689.0,0.0,1.0,30.59,31.16,30.55,31.03,5446689.0
2017-07-24,29.73,30.61,29.58,30.56,4150931.0,0.0,1.0,29.73,30.61,29.58,30.56,4150931.0
2017-07-21,29.3,29.46,29.16,29.45,2150981.0,0.0,1.0,29.3,29.46,29.16,29.45,2150981.0
2017-07-20,29.46,29.595,29.3,29.41,4500940.0,0.0,1.0,29.46,29.595,29.3,29.41,4500940.0
2017-07-19,29.38,29.5,29.2,29.38,1523961.0,0.0,1.0,29.38,29.5,29.2,29.38,1523961.0
2017-07-18,29.35,29.39,29.045,29.3,1600332.0,0.0,1.0,29.35,29.39,29.045,29.3,1600332.0
2017-07-17,29.37,29.45,29.245,29.35,1374993.0,0.0,1.0,29.37,29.45,29.245,29.35,1374993.0
2017-07-14,29.25,29.54,29.24,29.42,1815457.0,0.0,1.0,29.25,29.54,29.24,29.42,1815457.0
2017-07-13,29.01,29.38,28.93,29.24,2869675.0,0.0,1.0,29.01,29.38,28.93,29.24,2869675.0
2017-07-12,29.11,29.22,28.9,29.04,1952360.0,0.0,1.0,29.11,29.22,28.9,29.04,1952360.0
2017-07-11,28.86,29.21,28.82,28.9,3838100.0,0.0,1.0,28.86,29.21,28.82,28.9,3838100.0
