datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,AAPL,1.475,0.061,-0.017,2.121,0.574,0.041,0.01,84.772,1.158,1.736,0.79,1.23164266688,1.33358061417
2001-12-21,AAPL,1.45,0.066,0.189,2.31,0.536,0.046,0.01,-295.447,1.377,1.884,0.798,1.35487145126,1.55036004637
2002-02-11,AAPL,1.375,0.038,-0.364,1.946,0.544,0.028,0.01,42.44,1.54,2.226,0.806,1.61165185012,1.54455345444
2002-05-14,AAPL,1.495,0.04,-0.787,1.159,0.561,0.027,0.01,44.437,1.572,2.269,0.811,1.65229799366,0.987120628775
2002-08-09,AAPL,1.429,0.032,0.087,1.246,0.548,0.022,0.01,30.587,0.936,1.324,0.815,0.967765322328,0.940022716422
2002-12-19,AAPL,1.443,-0.045,1.006,2.252,0.538,-0.031,-0.01,78.457,0.888,1.245,0.815,0.916151171804,0.912925287396
2003-02-10,AAPL,1.472,-0.008,0.36,2.612,0.523,-0.005,0.0,272.256,0.886,1.257,0.819,0.925828825027,1.19744829216
2003-05-13,AAPL,1.475,0.014,0.798,3.41,0.537,0.009,0.0,-975.138,1.173,1.649,0.82,1.20454523786,1.26841774913
2003-08-12,AAPL,1.545,0.019,0.097,3.507,0.534,0.012,0.0,-357.063,1.203,1.701,0.831,1.27099845666,1.29293447063
2003-12-19,AAPL,1.715,0.044,-0.111,3.396,0.614,0.026,0.01,104.991,1.167,1.715,0.833,1.27099845666,1.46242243741
2004-02-10,AAPL,2.006,0.063,0.328,3.724,0.61,0.031,0.01,60.689,1.26,1.962,0.853,1.48261647381,1.71939638934
2004-05-06,AAPL,1.909,0.046,-0.566,3.158,0.5,0.024,0.01,58.73,1.408,2.25,0.878,1.71488015117,2.05101730645
2004-08-05,AAPL,2.014,0.061,-0.038,3.12,0.501,0.03,0.01,56.902,1.593,2.531,0.917,2.02521023119,4.2071984446
2004-12-03,AAPL,2.35,0.106,-0.151,2.969,0.586,0.045,0.02,91.308,3.044,4.965,0.945,4.04396869357,4.96141021914
2005-02-01,AAPL,3.49,0.295,-0.494,2.475,0.617,0.085,0.05,62.358,3.245,5.471,1.048,5.00205636267,4.6723709762
2005-05-04,AAPL,3.243,0.29,-0.221,2.254,0.583,0.089,0.05,40.704,2.758,4.793,1.129,4.79366422993,5.57303790285
2005-08-03,AAPL,3.52,0.32,0.84,3.094,0.538,0.091,0.06,35.475,2.846,5.258,1.195,5.57690896414,8.75117922137
