datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,ABT,4.099119,0.529048,0.172557,0.664747,1.585,0.129,0.34,47.351,5.526,9.479,5.523,14.5010184204,14.7542703592
2001-11-01,ABT,4.181185,0.6314,-0.070594,0.594153,1.62,0.151,0.41,49.525,5.385,9.654,5.588,15.007522298,16.0955676646
2002-02-21,ABT,4.445062,0.613555,0.063225,0.657378,1.572,0.138,0.4,57.379,5.463,9.82,5.832,15.9736315459,15.438988564
2002-05-02,ABT,4.189289,0.85428,0.287605,0.944983,1.41,0.204,0.55,32.064,4.982,8.922,6.064,15.1575975209,11.5182733637
2002-08-13,ABT,4.314889,0.592265,-0.462846,0.482137,1.331,0.137,0.38,22.939,3.604,6.244,6.333,11.1712244105,11.9591193312
2002-11-05,ABT,4.341236,0.720051,0.260511,0.742648,1.243,0.166,0.46,24.42,3.927,6.437,6.751,12.3530667915,10.4677468028
2003-02-19,ABT,4.839249,0.627107,-0.038198,0.70445,1.275,0.13,0.4,20.034,3.165,5.248,6.824,10.2426339684,12.3999652987
2003-05-15,ABT,4.580463,0.800981,0.316034,1.020484,1.188,0.175,0.51,25.017,3.793,6.029,7.278,12.6344578346,11.4619951551
2003-08-12,ABT,4.723635,0.246643,0.058423,1.078907,1.177,0.052,0.16,25.819,3.345,5.199,7.615,11.4526154536,12.0810554499
2003-11-10,ABT,4.845881,0.761217,0.60303,1.681937,1.204,0.157,0.49,26.551,3.406,5.451,7.592,12.0435366441,12.7470142518
2004-02-25,ABT,5.530582,0.944392,-0.686813,0.995124,1.044,0.171,0.6,24.704,3.456,5.203,8.359,12.728254849,13.0002661906
2004-04-29,ABT,5.216053,0.822909,0.12886,1.123984,1.076,0.158,0.53,24.953,3.409,5.125,8.648,13.0753038021,13.1987334608
2004-08-06,ABT,4.703049,0.634258,0.107589,1.231573,1.159,0.135,0.41,19.098,2.976,4.709,8.219,13.191914172,14.9634096259
