datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-11-29,ACN,,,,1.880083,20.48,,,6.958,0.551,26.072,0.822,17.0633154152,21.0763396659
2002-01-14,ACN,3.40851,0.081676,-0.750566,1.129517,14.372,0.024,0.2,,,24.361,0.859,19.8581001613,17.9312115329
2002-04-15,ACN,3.410102,0.010611,0.001914,1.131431,18.865,0.003,0.03,,,29.559,0.639,17.8675127353,11.2269130824
2002-07-15,ACN,3.433807,0.114461,-0.017935,1.21772,9.982,0.033,0.28,,,12.644,1.194,11.505595322,13.9341119816
2002-11-08,ACN,3.084605,0.038147,0.20348,1.396421,11.491,0.012,0.07,29.408,0.55,16.419,0.935,13.9420743313,13.8544884846
2003-01-14,ACN,3.327447,0.126871,0.156667,1.488299,8.695,0.038,0.27,24.099,0.527,12.0,1.244,13.5359944965,11.1950636835
2003-04-14,ACN,3.189023,0.118721,0.210933,1.690164,8.814,0.037,0.25,15.84,0.484,10.579,1.276,11.8639010587,15.0090291917
2003-07-15,ACN,3.418429,0.132141,0.277618,2.113122,7.757,0.039,0.28,21.218,0.678,12.137,1.559,16.3626286413,19.4281332773
2003-11-18,ACN,3.462341,0.120505,0.369967,2.415441,7.133,0.035,0.25,24.422,0.908,15.321,1.68,19.2051874856,20.6304480825
2004-01-13,ACN,3.574488,0.17434,-0.00251,2.334008,5.446,0.049,0.34,21.208,0.848,11.128,2.002,18.0426844288,20.0173471553
2004-04-08,ACN,3.682304,0.123089,0.523964,2.853615,5.455,0.033,0.23,23.429,0.912,11.063,2.141,20.0969706524,21.6894405931
2004-07-09,ACN,4.050241,0.210409,0.661032,3.514647,3.682,0.052,0.38,23.959,1.019,8.127,3.318,21.4903818505,20.0093848056
2004-11-05,ACN,3.806549,0.18299,-0.961689,2.552958,4.427,0.048,0.31,20.717,0.947,9.724,2.494,19.8979119098,21.1878125618
2005-01-10,ACN,4.071372,0.196273,-0.279436,2.273522,4.079,0.048,0.33,21.852,0.998,8.876,2.974,21.4664948014,19.8182884127
2005-04-08,ACN,4.216384,0.209786,0.786681,3.060203,3.951,0.05,0.35,17.044,0.844,7.221,3.189,18.870768798,19.2768486329
2005-07-11,ACN,4.49761,0.30528,-0.287172,2.773031,4.127,0.068,0.52,15.386,0.829,7.769,3.016,19.2848109826,21.079460907
2005-10-31,ACN,4.309054,0.229135,-0.289041,2.48399,4.279,0.053,0.39,16.03,0.882,8.884,2.899,21.2003293755,23.9158409679
2006-01-06,ACN,4.543016,0.21494,-0.797993,1.685997,5.97,0.047,0.37,18.487,1.009,15.214,1.988,25.1003519593,24.2220410881
