datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-16,ADBE,0.344093,0.061305,0.033472,0.209734,0.46,0.178,0.13,32.643,6.94,13.79,1.434,19.6088826394,14.5734350179
2001-10-11,ADBE,0.292118,0.040294,0.083085,0.292819,0.445,0.138,0.09,30.19,5.729,11.291,1.407,15.8670823736,17.3916288765
2002-02-21,ADBE,0.26454,0.034289,-0.074157,0.218662,0.508,0.13,0.07,39.007,6.523,13.001,1.304,16.8640064778,18.9208106086
2002-04-11,ADBE,0.267896,0.049808,0.002038,0.2207,0.436,0.186,0.1,46.609,7.406,12.553,1.457,18.1092074167,12.732772065
2002-07-15,ADBE,0.317359,0.054301,0.010552,0.231252,0.429,0.171,0.12,35.581,5.568,7.864,1.697,13.1960536777,11.2654397048
2002-10-15,ADBE,0.284879,0.047201,-0.089898,0.141354,0.453,0.166,0.1,29.394,4.808,7.177,1.597,11.5096903887,14.1029343726
2003-02-26,ADBE,0.294654,0.040089,0.04233,0.183684,0.56,0.136,0.09,32.694,5.372,9.28,1.441,13.5045071715,16.1684512179
2003-04-11,ADBE,0.296895,0.054225,-0.041587,0.142097,0.56,0.183,0.12,38.327,6.287,10.761,1.509,16.1484963259,17.2927759628
2003-07-08,ADBE,0.320146,0.064246,-0.000266,0.141831,0.536,0.201,0.14,39.597,6.809,10.097,1.738,17.4325155666,20.9323284802
2003-10-10,ADBE,0.319122,0.064524,0.00263,0.144461,0.49,0.202,0.14,43.963,7.968,11.354,1.851,20.9223440641,18.9364528033
2004-02-05,ADBE,0.358586,0.083349,0.045456,0.189917,0.413,0.232,0.17,33.79,6.951,8.176,2.292,18.846564578,20.7108082066
2004-04-07,ADBE,0.423281,0.123035,0.009842,0.199759,0.389,0.291,0.26,29.818,7.032,8.208,2.554,20.910623047,22.6453678566
2004-07-08,ADBE,0.410085,0.109401,0.018905,0.218664,0.373,0.267,0.23,27.363,6.887,8.244,2.645,21.6859877532,25.8249925271
2004-10-07,ADBE,0.403713,0.104461,-0.019964,0.1987,0.404,0.259,0.22,28.988,7.634,9.938,2.57,25.515112609,28.9445625634
2005-02-02,ADBE,0.429502,0.113501,0.177427,0.376127,0.376,0.264,0.24,33.773,9.127,10.686,2.968,31.1391502949,33.4
2005-04-12,ADBE,0.472882,0.151894,-0.041701,0.21736,0.307,0.321,0.31,34.13,9.531,10.068,3.341,33.45,26.92
2005-07-07,ADBE,0.496029,0.149778,0.035942,0.253302,0.295,0.302,0.31,26.025,7.504,7.232,3.826,27.51,29.94
2005-10-05,ADBE,0.487039,0.144916,0.200866,0.454168,0.253,0.298,0.29,25.832,7.674,6.955,4.23,29.28,39.26
2006-02-08,ADBE,0.510371,0.156251,-0.03335,0.420818,0.309,0.306,0.32,38.605,11.836,12.483,3.784,38.8,37.28
2006-04-12,ADBE,0.655478,0.105072,0.214368,0.635186,0.143,0.16,0.18,39.809,10.3,4.36,8.483,36.97,29.26
2006-07-11,ADBE,0.635456,0.123097,-0.209793,0.425393,0.154,0.194,0.21,32.332,7.479,3.589,8.011,29.55,37.77
2006-10-11,ADBE,0.602191,0.094396,0.219361,0.644754,0.144,0.157,0.16,45.223,9.009,4.407,8.379,37.12,38.97
2007-02-05,ADBE,0.682175,0.183244,0.127746,0.7725,0.157,0.269,0.31,44.721,8.784,4.391,8.689,38.44,38.44
2007-02-06,ADBE,0.682175,0.183244,0.127746,0.7725,0.157,0.269,0.31,44.744,8.788,4.393,8.689,38.46,42.61
2007-04-09,ADBE,0.649407,0.143851,-0.24647,0.52603,0.156,0.222,0.24,46.104,9.773,4.915,8.688,42.7,40.72
2007-07-10,ADBE,0.745577,0.152505,0.375587,0.901617,0.181,0.205,0.26,41.375,8.864,4.571,8.837,40.36,44.0
2007-10-02,ADBE,0.851686,0.205243,-0.342334,0.559283,0.197,0.241,0.35,37.058,8.665,5.362,8.109,44.23,34.33
2008-01-24,ADBE,0.911211,0.222208,0.387139,0.946422,0.229,0.244,0.39,27.229,6.241,4.238,8.081,34.64,37.01
2008-04-04,ADBE,0.890445,0.219379,0.086311,1.032733,0.4,0.246,0.39,24.597,5.785,5.155,6.797,36.97,39.81
2008-07-03,ADBE,0.886886,0.21491,0.12972,1.162453,0.351,0.242,0.4,24.863,6.052,5.302,7.575,40.39,38.12
2008-10-02,ADBE,0.887257,0.191608,-0.02819,1.134263,0.29,0.216,0.36,22.049,5.23,4.278,8.232,35.22,19.32
2009-01-23,ADBE,0.915301,0.245917,-0.247813,0.88645,0.32,0.269,0.47,11.841,2.884,2.341,8.327,19.7,23.28
2009-04-03,ADBE,0.78639,0.156435,0.262475,1.148925,0.277,0.199,0.3,15.643,3.64,2.744,8.795,24.16,28.52
2009-06-26,ADBE,0.704673,0.126071,0.077855,1.22678,0.263,0.179,0.24,20.416,4.463,3.062,9.16,28.0,33.04
2009-10-01,ADBE,0.697507,0.136045,-0.094636,1.132144,0.27,0.195,0.26,25.366,5.43,3.59,8.927,32.18,35.82
2010-01-22,ADBE,0.757283,-0.032043,-0.132657,0.999487,0.489,-0.042,-0.05,46.621,6.117,3.684,9.518,34.38,34.94
2010-04-09,ADBE,0.8587,0.127154,0.589955,1.589442,0.536,0.148,0.24,52.27,6.187,3.611,9.866,35.47,26.66
2010-07-02,ADBE,0.943035,0.148611,-0.451836,1.137606,0.546,0.158,0.28,36.968,4.311,2.711,9.843,26.73,28.69
2010-10-08,ADBE,0.990319,0.230065,-0.323457,0.814149,0.563,0.232,0.44,28.98,3.868,2.7,9.803,26.99,33.52
2011-01-27,ADBE,1.007946,0.26885,-0.064258,0.749891,0.568,0.267,0.52,22.054,4.496,3.29,10.24,33.85,34.48
2011-04-08,ADBE,1.027706,0.234591,0.150265,0.900156,0.532,0.228,0.47,19.529,4.34,3.175,10.762,34.15,30.79
2011-06-29,ADBE,1.023179,0.229436,-0.072681,0.827475,0.547,0.224,0.46,15.976,3.799,2.854,10.786,31.15,25.33
2011-10-07,ADBE,1.013212,0.195101,-0.058263,0.769212,0.526,0.193,0.39,13.373,3.048,2.23,11.251,25.28,31.34
2012-01-26,ADBE,1.152161,0.173719,0.220288,0.9895,0.555,0.151,0.35,18.487,3.652,2.662,11.766,31.18,34.48
2012-03-30,ADBE,1.04522,0.185209,-0.188237,0.801263,0.526,0.177,0.37,21.727,4.021,2.844,12.118,34.31,31.07
2012-06-27,ADBE,1.124449,0.223876,0.149975,0.951238,0.535,0.199,0.45,19.856,3.563,2.532,12.299,31.41,32.53
2012-09-27,ADBE,1.08058,0.201357,0.211142,1.16238,0.496,0.186,0.41,20.707,3.688,2.522,13.032,32.8,37.98
2013-01-22,ADBE,1.153428,0.222333,0.262672,1.425052,0.497,0.193,0.45,22.73,4.298,2.84,13.468,37.95,42.66
2013-03-28,ADBE,1.007873,0.065117,-0.11867,1.306382,0.494,0.065,0.13,30.647,5.002,3.21,13.649,43.515,45.93
2013-06-28,ADBE,1.010549,0.076546,-0.059972,1.24641,0.484,0.076,0.15,40.476,5.381,3.303,13.761,45.56,51.52
2013-10-03,ADBE,0.995119,0.083002,-0.427325,0.819085,0.497,0.083,0.16,56.9,6.104,3.721,13.558,50.88,61.37
2014-01-21,ADBE,1.041699,0.06532,0.015471,0.834556,0.544,0.063,0.13,104.207,7.452,4.494,13.466,60.85,64.53
2014-03-28,ADBE,1.00012,0.047046,-0.10064,0.733916,0.55,0.047,0.09,118.761,7.978,4.885,13.303,64.88,72.38
2014-06-25,ADBE,1.068208,0.088527,0.083104,0.81702,0.563,0.083,0.18,126.913,8.777,5.429,13.329,72.44,69.03
2014-09-25,ADBE,1.005409,0.044686,0.086309,0.903329,0.559,0.044,0.09,137.51,8.206,5.017,13.504,67.71,71.73
2015-01-20,ADBE,1.073328,0.088136,0.214071,1.1174,0.592,0.082,0.18,132.732,8.59,5.258,13.603,71.49,75.45
2015-03-25,ADBE,1.109181,0.084888,-0.404516,0.712884,0.671,0.077,0.17,119.465,8.596,5.552,13.211,73.13,83.55
2015-06-24,ADBE,1.162158,0.147493,0.243263,0.956147,0.689,0.127,0.3,113.645,9.541,6.279,13.239,83.4,84.66
2015-09-23,ADBE,1.217768,0.174465,-0.126855,0.829292,0.682,0.143,0.35,86.159,9.347,6.234,13.72,85.5,89.17
2016-01-19,ADBE,1.306404,0.222705,0.047268,0.87656,0.675,0.17,0.44,70.592,9.267,6.347,14.049,89.18,93.22
2016-03-30,ADBE,1.383335,0.254307,-0.045864,0.830696,0.68,0.184,0.51,58.713,9.253,6.625,14.187,93.78,92.46
2016-06-29,ADBE,1.398709,0.244074,0.055683,0.886379,0.685,0.174,0.49,52.519,8.864,6.489,14.498,94.39,107.26
2016-09-27,ADBE,1.463967,0.270788,-0.118707,0.767672,0.699,0.185,0.54,54.993,9.824,7.495,14.597,109.7,109.79
2017-01-20,ADBE,1.608419,0.399613,0.243643,1.011315,0.711,0.248,0.81,46.8,9.343,7.367,14.978,110.71,128.69
2017-03-29,ADBE,1.681646,0.398446,0.057581,1.068896,0.719,0.237,0.81,48.825,10.419,8.447,15.343,129.58,142.54
2017-06-28,ADBE,1.77219,0.37439,0.248054,1.31695,0.713,0.211,0.76,49.165,10.873,9.092,15.786,143.81,147.71
