datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-09-28,ADM,,,0.095503,0.676086,1.265,,,20.736,0.396,1.255,9.528,9.2287005712,10.9080435116
2001-11-13,ADM,5.504132,0.131618,,0.527913,1.267,0.024,0.2,,,1.536,9.714,10.9963081928,10.0413082464
2002-02-13,ADM,5.554224,0.150025,,0.878513,1.352,0.027,0.23,,,1.402,9.785,10.2185078037,10.4185528353
2002-05-13,ADM,5.326399,0.117184,0.032862,0.911375,1.359,0.022,0.18,,,1.419,9.936,10.4778333635,9.0190642333
2002-09-20,ADM,7.068806,0.112266,-0.067188,0.844187,1.282,0.016,0.17,15.391,0.335,1.165,10.282,9.04885470146,10.4192162365
2002-11-12,ADM,6.943895,0.108075,0.2575,1.101687,1.508,0.016,0.17,18.359,0.36,1.329,10.392,10.3075019809,8.84002045514
2003-02-13,ADM,7.807382,0.131245,-0.038363,1.063324,1.611,0.017,0.2,16.417,0.283,1.125,10.591,8.96029284228,8.60167882711
2003-05-13,ADM,7.90853,0.116805,0.18729,1.250614,1.56,0.015,0.18,15.808,0.249,1.08,10.623,8.68482335004,10.6746495705
2003-09-03,ADM,8.048226,0.09502,-0.167583,0.764959,1.431,0.012,0.15,19.667,0.289,1.255,10.942,10.4468832212,10.0065349459
2003-09-11,ADM,8.048226,0.09502,-0.167583,0.764959,1.431,0.012,0.15,19.338,0.284,1.234,10.942,10.2722623534,10.8264938033
2003-11-12,ADM,7.967902,0.150181,0.001023,0.765982,1.451,0.019,0.23,18.931,0.294,1.294,11.187,10.9631536129,12.8808174131
2004-02-13,ADM,9.188504,0.220821,-0.228857,0.537125,1.621,0.024,0.34,18.79,0.331,1.44,11.758,12.9420817052,12.9573977782
2004-05-14,ADM,9.309019,0.226769,0.26789,0.805015,1.678,0.024,0.35,16.015,0.321,1.407,12.155,13.1297035997,12.8899802692
2004-09-08,ADM,9.685969,-0.103061,-0.264808,0.540207,1.516,-0.011,-0.16,21.934,0.3,1.41,11.886,12.8822524633,15.0769493436
2004-11-05,ADM,8.972411,0.266297,-0.032983,0.507224,1.391,0.03,0.41,21.259,0.349,1.643,12.116,15.3319669389,18.5907300044
2005-02-08,ADM,9.063526,0.313509,-0.172905,0.334319,1.271,0.035,0.48,22.126,0.42,1.825,13.024,18.4045900294,14.5150162952
2005-05-06,ADM,8.484171,0.269095,0.327564,0.661883,1.214,0.032,0.41,16.548,0.341,1.44,13.066,14.6317590536,18.1932814547
2005-09-09,ADM,9.423702,0.195484,-0.139463,0.52242,1.205,0.021,0.3,14.451,0.42,1.79,12.89,18.2089788502,18.6642033215
2005-11-08,ADM,8.626949,0.186338,0.632417,1.154837,1.295,0.022,0.29,16.092,0.436,1.794,13.269,18.6485059259,23.6211257862
2006-02-08,ADM,9.298985,0.367677,-0.330971,0.823866,1.267,0.04,0.56,19.654,0.559,2.258,13.571,24.1173348307,34.1527625046
2006-05-09,ADM,9.122841,0.347796,0.094362,0.918228,1.239,0.038,0.53,26.97,0.811,3.225,14.03,35.7331772433,31.4359847673
2006-09-11,ADM,9.547336,0.410259,0.194625,1.112853,1.169,0.043,0.63,19.156,0.687,2.563,15.005,30.4354962397,27.1719979474
2006-11-07,ADM,9.446922,0.402745,-0.154362,0.958491,1.135,0.043,0.61,14.418,0.589,2.142,15.671,26.6241113728,27.6065363594
2007-02-06,ADM,10.976039,0.441268,-0.135711,0.82278,1.325,0.04,0.68,13.869,0.568,2.063,16.408,27.1048888859,28.2565934305
2007-05-09,ADM,11.38115,0.362891,0.073746,0.896526,1.374,0.032,0.56,14.426,0.564,2.184,16.459,28.5521812046,26.601319254
2007-08-27,ADM,12.213889,0.955096,-0.233673,0.663,1.232,0.078,1.47,9.743,0.479,1.872,17.528,26.3198663598,29.3273915717
2007-11-08,ADM,12.828,0.441,0.458,1.121,1.487,0.034,0.68,10.887,0.505,2.027,18.354,29.9626709614,33.3244058608
2008-02-08,ADM,16.496,0.473,-0.016,1.105,1.717,0.029,0.74,11.94,0.504,2.162,19.166,33.4050749624,36.0535029075
2008-05-09,ADM,18.708,0.516,0.101,1.206,1.774,0.028,0.8,11.523,0.456,2.088,20.438,34.5323946161,21.1510717979
2008-08-29,ADM,21.784,0.372,-0.396,0.81,1.747,0.017,0.58,9.103,0.235,1.216,20.947,20.7676933272,18.4184805706
2008-11-10,ADM,21.16,1.05,1.722,2.532,1.565,0.05,1.63,6.271,0.193,1.117,21.014,19.2260224557,22.6349700613
2009-02-09,ADM,16.673,0.585,-0.284,2.248,1.476,0.035,0.91,7.386,0.238,1.361,21.33,23.7991010822,22.2246830423
2009-05-11,ADM,14.842,0.008,-0.06,2.188,1.381,0.001,0.02,8.182,0.221,1.228,20.882,21.1616559335,23.1007061112
2009-08-26,ADM,16.532,0.064,-1.133,1.055,1.34,0.004,0.1,10.494,0.259,1.327,20.994,23.2339473865,27.0063409945
2009-11-06,ADM,14.921,0.496,1.335,2.39,1.237,0.033,0.77,18.045,0.33,1.461,22.185,26.9730306756,25.6015507114
2010-02-08,ADM,15.913,0.567,-1.073,1.317,1.266,0.036,0.88,16.923,0.309,1.298,23.009,24.9993580779,21.8060541493
2010-05-10,ADM,15.145,0.421,0.342,1.659,1.189,0.028,0.66,11.054,0.274,1.159,22.969,22.3692791408,25.9344679963
2010-08-30,ADM,15.703,0.446,-0.613,1.046,1.156,0.028,0.69,10.12,0.317,1.335,22.754,25.9514574938,26.6310373954
2010-11-08,ADM,16.799,0.345,-0.184,0.862,1.342,0.021,0.54,11.201,0.314,1.295,24.042,26.4951214151,30.8130125536
2011-02-09,ADM,20.93,0.732,-0.336,0.526,1.679,0.035,1.15,11.808,0.335,1.443,24.889,30.7532477744,29.2503235172
2011-05-10,ADM,20.077,0.578,0.332,0.858,1.624,0.029,0.91,10.144,0.29,1.278,26.144,28.6500530258,24.6419958639
2011-08-25,ADM,22.87,0.381,-0.243,0.615,1.24,0.017,0.57,9.178,0.232,0.992,29.343,23.9659228152,25.1793872616
2011-11-07,ADM,21.902,0.46,0.705,1.32,1.252,0.021,0.68,9.127,0.229,1.066,27.354,25.47408577,25.7639899007
2012-02-06,ADM,23.306,0.08,-0.456,0.864,1.285,0.003,0.12,13.065,0.222,1.078,27.275,25.8075837922,28.9160731686
2012-05-09,ADM,21.155,0.399,-0.046,0.818,1.256,0.019,0.6,16.294,0.241,1.159,28.023,28.6355048419,23.4116176662
2012-08-27,ADM,22.675,0.284,0.473,1.291,1.287,0.013,0.44,14.228,0.195,0.958,27.322,23.4471167074,23.8287314002
2012-11-05,ADM,21.808,0.182,-0.056,1.235,1.427,0.008,0.28,18.537,0.197,0.95,27.941,23.6068623928,28.7657404162
2013-02-28,ADM,24.921,0.51,0.479,1.714,1.359,0.02,0.77,15.26,0.232,1.097,28.986,28.6398903019,30.4557276657
2013-05-07,ADM,21.727,0.269,-0.266,1.448,1.278,0.012,0.41,18.178,0.248,1.193,28.708,30.8692351842,34.2504369355
2013-08-07,ADM,22.541,0.223,0.4,1.848,1.116,0.01,0.34,21.023,0.274,1.309,28.764,34.1329242197,37.1632882884
2013-11-01,ADM,21.393,0.476,1.404,3.252,1.118,0.022,0.72,18.208,0.297,1.375,29.601,37.1632882884,37.0907373925
2014-02-26,ADM,24.143,0.374,-0.131,3.121,1.167,0.015,0.57,19.815,0.296,1.317,30.551,37.0907373925,39.7079347574
2014-05-02,ADM,20.696,0.267,-2.038,1.083,1.066,0.013,0.4,21.27,0.321,1.421,30.397,39.9926123655,43.3484096923
2014-08-05,ADM,21.494,0.533,0.547,1.63,0.975,0.025,0.81,18.998,0.357,1.55,30.822,44.8349046785,45.9606481132
2014-11-05,ADM,18.117,0.747,2.909,4.539,1.064,0.041,1.15,16.86,0.384,1.599,31.171,46.6750142627,44.7952003213
2015-02-20,ADM,20.894,0.701,-3.44,1.099,1.243,0.034,1.08,13.586,0.376,1.556,30.34,45.1420865523,47.2046533315
2015-05-06,ADM,17.506,0.493,-0.209,0.89,1.224,0.028,0.78,12.523,0.397,1.652,29.492,46.8202658863,44.9586147896
2015-08-04,ADM,17.186,0.386,-0.023,0.867,1.186,0.022,0.62,12.668,0.4,1.588,29.74,45.6278101041,43.8772997819
2015-11-03,ADM,16.565,0.252,-0.147,0.72,1.286,0.015,0.41,14.055,0.357,1.44,29.212,40.9097987378,32.6824317216
2016-02-19,ADM,16.445,0.718,0.19,0.91,1.242,0.044,1.18,10.487,0.286,1.082,29.858,31.4773273071,38.8140029827
2016-05-03,ADM,14.384,0.23,-0.204,0.706,1.215,0.016,0.39,14.486,0.356,1.283,30.106,37.695666086,42.9909044858
2016-08-02,ADM,15.629,0.284,-0.372,0.334,1.269,0.018,0.48,17.033,0.401,1.431,29.897,42.2232097628,42.6300191632
2016-11-01,ADM,15.832,0.341,0.367,0.701,1.27,0.022,0.58,17.101,0.432,1.532,29.959,45.7414137222,43.765750829
2017-02-17,ADM,16.501,0.424,-0.106,0.619,1.315,0.026,0.73,19.954,0.409,1.485,29.674,44.3512790147,45.3833964946
2017-05-02,ADM,14.988,0.339,-0.152,0.476,1.314,0.023,0.59,17.063,0.376,1.383,29.738,41.3541686405,42.18
2017-08-01,ADM,14.943,0.276,-0.039,0.433,1.171,0.018,0.48,17.651,0.391,1.398,30.504,43.3,42.59
