datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-15,AEP,14.528,0.232,-0.063,0.212,5.164,0.016,0.72,22.412,0.393,1.747,25.304,21.530417295,21.9788716752
2001-11-14,AEP,18.385,0.421,0.167,0.379,5.304,0.023,1.31,20.115,0.276,1.673,26.022,21.4995662453,23.1124864618
2002-03-29,AEP,14.179,0.052,0.049,0.333,4.746,0.004,0.16,15.302,0.243,1.806,25.556,22.9018714843,23.2211719603
2002-05-15,AEP,13.414,0.181,-0.027,0.306,5.127,0.013,0.56,16.345,0.239,1.769,25.422,22.789362812,17.0827664713
2002-08-13,AEP,14.912,0.062,0.368,0.585,5.102,0.004,0.19,15.143,0.178,1.293,25.718,16.5651068813,13.7364214382
2002-11-14,AEP,3.911,0.425,-0.006,0.566,4.252,0.109,1.25,12.636,0.196,1.05,25.563,14.190954814,12.2324733202
2003-03-20,AEP,3.737,-0.837,0.654,1.213,3.918,-0.224,-2.54,-14.905,0.531,1.095,20.716,12.3953557879,14.0955826023
2003-05-14,AEP,4.08,0.44,0.551,1.764,3.374,0.108,1.24,112.222,0.379,1.197,23.699,14.0735668544,15.2782288063
2003-08-12,AEP,3.669,0.175,-0.588,1.176,3.203,0.048,0.44,54.347,0.717,1.311,21.299,15.5680748106,15.3201266879
2003-11-12,AEP,4.109,0.257,0.532,1.708,3.258,0.063,0.65,310.363,0.697,1.284,21.413,15.5233413381,19.3389428136
2004-03-11,AEP,2.687,-0.762,-0.512,1.182,3.659,-0.284,-1.99,120.372,0.91,1.682,19.985,19.1221641036,17.5875990249
2004-05-07,AEP,3.341,0.278,0.071,1.253,3.482,0.083,0.7,-224.987,0.847,1.45,20.433,17.0625099464,18.4589006826
2004-08-06,AEP,3.368,0.1,-0.189,1.066,3.427,0.03,0.25,-99.693,0.938,1.566,20.412,18.6666282301,20.2241250231
2004-11-05,AEP,3.752,0.53,0.424,1.461,3.197,0.141,1.34,93.126,1.034,1.641,20.917,20.0432920621,19.8788604145
2005-03-01,AEP,3.596,0.177,-0.862,0.595,3.064,0.049,0.45,12.254,0.949,1.567,21.503,20.0633648076,21.1941981845
2005-05-04,AEP,2.983,0.355,0.941,1.261,3.238,0.119,0.9,11.732,0.995,1.649,21.038,21.1287288837,23.3824025087
2005-08-04,AEP,2.773,0.221,-0.654,0.607,3.042,0.08,0.58,11.603,1.136,1.776,21.828,23.2561736006,22.4504857548
2005-11-08,AEP,3.3,0.387,0.242,0.849,2.995,0.117,0.99,12.729,1.147,1.615,23.098,22.5900428284,22.5996406179
2006-03-01,AEP,3.055,-0.149,-0.448,0.401,2.973,-0.049,-0.39,17.674,1.188,1.583,23.125,22.6244073474,20.6183022624
2006-05-05,AEP,3.108,0.381,-0.125,0.276,2.805,0.123,0.97,15.728,1.08,1.408,23.817,20.766902639,23.1517866408
2006-08-04,AEP,2.936,0.175,-0.027,0.249,2.832,0.06,0.44,18.364,1.176,1.547,23.924,23.1705685121,25.890672389
2006-11-06,AEP,3.594,0.265,0.01,0.259,2.814,0.074,0.67,24.364,1.29,1.719,24.175,26.1752547675,28.956949952
2007-02-28,AEP,2.984,0.181,0.042,0.301,3.03,0.061,0.46,17.775,1.411,1.892,23.835,28.9118757581,32.6015204818
2007-05-04,AEP,3.169,0.271,-0.042,0.259,2.97,0.086,0.68,22.531,1.585,2.107,24.011,32.4534195592,29.8650358525
2007-08-03,AEP,3.146,0.18,-0.087,0.172,3.053,0.057,0.45,19.6,1.364,1.821,24.22,28.580099499,30.9328012399
2007-11-02,AEP,3.789,0.407,0.024,0.196,2.976,0.107,1.02,18.264,1.45,1.915,24.821,31.0374807704,28.1820719236
2008-02-28,AEP,3.276,0.231,-0.018,0.178,2.999,0.071,0.58,15.454,1.258,1.67,25.204,28.0021863581,29.7344177293
2008-05-01,AEP,3.467,0.573,-0.023,0.155,2.933,0.165,1.43,12.954,1.317,1.718,26.17,29.8943160097,26.5633852771
2008-08-01,AEP,3.546,0.281,0.063,0.218,3.01,0.079,0.7,10.453,1.108,1.467,26.477,26.0724670176,22.5621949741
2008-10-31,AEP,4.191,0.374,0.12,0.338,2.937,0.089,0.93,9.025,0.909,1.206,27.137,22.1748319881,20.0704770256
2009-02-27,AEP,3.236,0.152,0.073,0.411,3.217,0.047,0.37,8.254,0.789,1.065,26.486,19.5681918863,18.4031694103
2009-05-01,AEP,3.458,0.361,0.299,0.71,3.185,0.104,0.89,11.006,0.89,1.174,26.891,18.7938356298,21.9790198589
2009-08-04,AEP,3.202,0.316,-0.352,0.358,2.63,0.099,0.67,12.253,1.046,1.156,26.99,21.8869092019,22.099755674
2009-10-30,AEP,3.547,0.444,0.519,0.877,2.608,0.125,0.93,11.357,1.074,1.105,27.391,21.6976808469,24.8075266172
2010-02-26,AEP,3.282,0.239,-0.387,0.49,2.675,0.073,0.49,11.844,1.192,1.223,27.493,24.7633326862,24.9253771
2010-04-30,AEP,3.569,0.345,0.328,0.818,2.72,0.096,0.72,12.249,1.208,1.233,27.849,25.2641972378,26.9370570074
2010-07-30,AEP,3.36,0.136,0.02,0.838,2.759,0.04,0.28,14.858,1.254,1.3,27.699,26.8475155437,28.2630487872
2010-11-01,AEP,4.064,0.556,0.252,1.09,2.649,0.137,1.16,14.065,1.254,1.311,28.475,28.1422665274,27.1788023343
2011-02-25,AEP,3.434,0.177,-0.796,0.294,2.7,0.051,0.37,14.007,1.176,1.245,28.354,27.310400067,28.285771498
2011-05-03,AEP,3.73,0.354,0.331,0.625,2.665,0.095,0.73,14.592,1.22,1.292,28.638,28.6031542652,29.1299393864
2011-07-29,AEP,3.609,0.352,-0.208,0.417,2.637,0.098,0.73,12.379,1.198,1.275,28.923,28.8947676475,31.5432272467
2011-10-28,AEP,4.333,0.929,0.129,0.546,2.489,0.214,1.92,10.523,1.26,1.299,30.369,31.3207561226,31.1069753053
2012-02-28,AEP,3.444,0.311,-0.325,0.221,2.561,0.089,0.63,9.454,1.214,1.251,30.355,30.8872817837,31.416173595
2012-04-27,AEP,3.625,0.389,0.065,0.286,2.561,0.107,0.8,9.481,1.249,1.262,30.705,31.4894047689,34.5547168162
2012-07-27,AEP,3.551,0.362,0.011,0.297,2.56,0.102,0.75,10.352,1.376,1.371,30.974,34.9418614385,36.5705977017
2012-10-26,AEP,4.156,0.487,0.146,0.443,2.518,0.117,1.0,13.795,1.443,1.393,31.56,36.6039118422,38.8753597748
2013-02-26,AEP,3.613,0.021,-0.164,0.279,2.568,0.006,0.05,17.872,1.506,1.477,31.39,39.428533677,43.1986265799
2013-04-26,AEP,3.826,0.363,-0.1,0.179,2.537,0.095,0.75,19.923,1.622,1.593,31.742,43.0113984899,39.3671425467
2013-07-26,AEP,3.582,0.338,-0.062,0.117,2.539,0.094,0.69,18.71,1.49,1.456,31.95,39.9343181433,40.5818181964
2013-10-25,AEP,4.176,0.433,0.03,0.147,2.487,0.104,0.89,19.947,1.516,1.462,32.37,41.0682440994,44.4186712434
2014-02-25,AEP,3.773,0.346,-0.029,0.118,2.507,0.092,0.71,16.499,1.59,1.518,33.001,44.409799929,46.4235882997
2014-04-25,AEP,4.648,0.56,0.174,0.292,2.474,0.12,1.15,15.536,1.61,1.587,33.649,47.3550763126,48.3617632243
2014-07-25,AEP,4.044,0.39,-0.102,0.19,2.475,0.096,0.8,15.042,1.563,1.568,33.957,47.654379537,50.5800559041
2014-10-23,AEP,4.302,0.493,0.004,0.194,2.434,0.115,1.01,15.118,1.613,1.603,34.501,50.0011711441,53.7938687193
2015-02-20,AEP,4.026,0.191,-0.031,0.163,2.545,0.047,0.39,17.587,1.688,1.709,34.376,54.0793694778,51.7032663911
2015-04-23,AEP,4.708,0.629,0.027,0.19,2.482,0.134,1.29,16.37,1.632,1.617,35.215,52.4032037345,51.3370986313
2015-07-23,AEP,3.942,0.43,0.005,0.195,2.495,0.109,0.88,15.364,1.577,1.536,35.565,50.7605907315,55.3217418363
2015-10-22,AEP,4.432,0.519,-0.017,0.178,2.452,0.117,1.06,16.417,1.698,1.641,36.073,55.5376224034,60.0519509869
2016-02-24,AEP,3.6142,0.4691,-0.0011,0.1764,2.447,0.13,0.95,15.115,1.881,1.729,36.447,60.2911636661,61.1714663255
