datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2014-02-25,AGN,,,,0.329,1.384,,,-52.232,4.517,4.112,66.986,223.385259296,200.932079435
2014-05-05,AGN,2.6551,0.0965,0.0087,0.3377,1.327,0.036,0.56,,,3.768,55.378,206.453391888,214.320075966
2014-08-05,AGN,2.6672,0.0487,3.9559,4.2936,1.664,0.018,0.28,,,5.861,55.567,213.22746771,243.730373247
2014-11-05,AGN,3.6831,-1.0428,-3.9542,0.3394,0.835,-0.283,-3.95,,,2.255,110.255,246.303590542,285.145703979
2015-02-18,AGN,4.0569,-0.7329,-0.0894,0.25,0.854,-0.181,-3.03,-46.376,5.789,2.669,128.954,282.263436493,291.079613576
2015-05-11,AGN,4.2342,-0.512,1.8649,2.1149,0.953,-0.126,-1.85,-52.346,8.088,1.658,246.649,299.946597228,334.639167797
2015-08-06,AGN,5.755,-0.2431,-0.597,1.5179,0.92,-0.054,-0.8,-47.932,7.093,1.745,183.569,317.571218322,307.590891431
2015-11-06,AGN,4.0889,5.3012,0.546,2.0639,0.843,1.279,13.29,32.556,6.554,1.534,196.834,299.77760763,294.578692327
2016-02-26,AGN,4.1975,-0.6309,-0.9679,1.096,0.774,-0.167,-2.2,31.941,7.806,1.536,194.148,296.298410008,212.439806766
2016-05-10,AGN,3.7959,0.2557,1.1648,2.2608,0.757,0.049,0.47,20.207,4.99,1.149,196.175,223.662704237,252.341233202
2016-08-08,AGN,3.6848,-0.5017,-1.7713,0.4895,0.73,-0.155,-1.44,23.715,6.236,1.283,193.741,246.834160396,187.697741395
2016-11-04,AGN,3.6222,15.22,7.0652,7.5547,0.6,4.183,38.58,5.2,4.78,0.815,228.485,193.841010338,245.561768123
2017-02-24,AGN,3.8643,-0.0006,-5.8307,1.724,0.693,-0.018,0.74,5.597,5.645,1.08,213.784,244.607473918,241.198102109
2017-05-09,AGN,3.5729,-2.5652,-0.6311,1.0929,0.687,-0.737,-7.86,6.746,5.433,1.065,224.376,237.768792453,242.65
