datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,AJG,0.209092,0.023056,-0.018852,0.279428,2.641,0.11,0.27,23.007,2.895,7.084,3.967,15.4783788955,18.6250387363
2001-11-13,AJG,0.233297,0.041903,0.022184,0.314154,2.398,0.18,0.49,25.539,3.4,8.471,4.052,18.9789587123,18.3445722688
2002-03-22,AJG,0.253956,0.033073,-0.026904,0.306843,2.961,0.13,0.39,22.451,3.09,7.567,4.342,18.2391117928,19.5170918977
2002-05-14,AJG,0.249162,0.033675,0.004667,0.350026,4.37,0.135,0.39,23.439,3.265,7.631,4.7,19.9966547271,15.912010298
2002-08-14,AJG,0.277091,0.034461,0.007392,0.337538,4.072,0.124,0.39,18.023,2.545,5.343,5.465,16.3544773214,14.8243533527
2002-11-14,AJG,0.268187,0.02331,0.018055,0.421909,3.819,0.087,0.26,18.757,2.228,4.788,5.545,14.9595812054,14.1541153047
2003-03-25,AJG,0.306782,0.038293,0.023892,0.408859,3.664,0.125,0.44,17.284,2.036,4.246,5.947,14.3013770085,14.5191513334
2003-05-15,AJG,0.2543,0.0119,0.0125,0.4157,3.575,0.047,0.13,21.59,2.107,4.278,6.049,14.7644650887,15.2776217845
2003-07-24,AJG,0.299,0.0362,-0.0161,0.434,3.619,0.121,0.4,22.17,2.156,4.248,6.32,15.4154131873,15.5430852529
2003-10-23,AJG,0.345,0.0489,0.0292,0.5787,3.563,0.142,0.54,18.355,2.061,4.205,6.557,15.9302178595,18.7732358733
2004-02-09,AJG,0.3655,0.0492,0.0154,0.6312,3.687,0.135,0.55,19.914,2.304,4.703,6.879,18.7964772672,18.9433247458
2004-04-30,AJG,0.3415,0.0389,0.0179,0.6661,3.434,0.114,0.43,16.895,2.166,4.516,7.137,18.8730558441,17.884704722
2004-07-28,AJG,0.3789,0.0461,0.0468,0.7368,3.619,0.122,0.51,15.55,1.99,4.086,7.584,18.2919801761,16.8791339197
2004-10-28,AJG,0.373,0.0544,0.039,0.7856,3.153,0.146,0.59,13.836,1.789,3.512,8.04,16.7958682837,17.6868837834
2005-01-28,AJG,0.3869,0.0491,-0.0727,0.7135,3.255,0.127,0.53,14.369,1.83,3.559,8.261,17.6209550401,16.847852989
2005-05-02,AJG,0.3489,-0.074,-0.0123,0.7184,3.728,-0.212,-0.8,34.395,1.748,3.809,7.325,16.884163017,16.7128578325
2005-07-28,AJG,0.3711,0.0518,0.0308,0.7732,3.636,0.14,0.55,32.197,1.769,3.523,7.853,16.9207748344,17.9623847749
2005-10-27,AJG,0.3899,0.0505,0.0708,0.8978,3.316,0.13,0.53,35.669,1.844,3.519,8.241,17.9068119103,17.67628278
2006-02-08,AJG,0.3761,0.0025,0.0039,0.8361,3.407,0.007,0.03,88.482,1.837,3.543,8.035,17.7385890288,16.5763551271
2006-04-25,AJG,0.3275,0.0171,-0.1338,0.6976,3.025,0.052,0.18,21.125,1.758,3.306,8.055,16.7715933524,17.5579803194
