datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-10,AMD,0.985264,0.017352,-0.663276,1.057163,0.534,0.018,0.05,7.687,1.23,1.474,11.512,16.21,13.65
2001-11-14,AMD,0.76587,-0.186929,0.004923,0.903534,0.581,-0.244,-0.54,35.71,1.156,1.31,10.523,14.0,15.46
2002-03-07,AMD,0.951873,-0.015842,0.029865,0.869997,0.589,-0.017,-0.04,-86.239,1.342,1.47,10.452,15.31,11.04
2002-05-13,AMD,0.902073,-0.009163,-0.128901,1.276723,0.7,-0.01,-0.03,-20.181,1.089,1.119,10.298,11.5,8.83
2002-08-13,AMD,0.600299,-0.184938,0.207804,1.099943,0.681,-0.308,-0.54,-7.332,0.904,0.828,10.277,8.5,4.2
2002-10-16,AMD,0.600299,-0.184938,0.207804,1.099943,0.708,-0.308,-0.54,-3.01,0.371,0.34,10.277,3.49,6.37
2002-11-13,AMD,0.508227,-0.254171,0.027198,0.865824,0.768,-0.5,-0.74,-4.685,0.734,0.671,9.455,6.33,5.79
2003-03-14,AMD,0.68643,-0.85474,-0.104641,1.037705,1.277,-1.245,-2.5,-1.531,0.74,0.808,7.173,5.77,7.43
2003-05-13,AMD,0.714555,-0.146356,0.000644,0.800009,1.286,-0.205,-0.42,-1.801,1.033,1.098,6.846,7.5,7.39
2003-08-12,AMD,0.645261,-0.140096,0.273784,0.738801,1.319,-0.217,-0.4,-1.84,1.005,1.124,6.593,7.4,16.62
2003-11-12,AMD,0.953759,-0.031231,0.322809,1.075939,1.919,-0.033,-0.09,-5.376,2.101,2.761,6.572,18.08,14.7
2004-03-09,AMD,1.205593,0.043193,0.081107,0.968183,1.91,0.036,0.13,-18.624,1.453,2.097,6.985,14.53,14.35
2004-05-06,AMD,1.236433,0.045091,-0.01076,0.957423,1.858,0.036,0.13,-61.185,1.257,2.073,6.975,14.37,11.86
2004-08-05,AMD,1.261837,0.03218,-0.259173,0.69825,1.782,0.026,0.09,46.975,0.9,1.663,7.125,11.81,17.1
2004-11-04,AMD,1.239459,0.043848,0.078338,0.776588,1.832,0.035,0.12,37.933,1.261,2.424,7.238,16.98,17.45
2005-03-01,AMD,1.263706,-0.029963,0.141789,0.918377,1.606,-0.024,-0.09,77.606,1.414,2.35,8.02,17.96,14.74
2005-05-06,AMD,1.226628,-0.017423,-0.256393,1.084809,1.665,-0.014,-0.04,205.456,1.179,2.005,7.466,14.9,20.65
2005-08-04,AMD,1.259918,0.011319,0.049237,1.220064,1.73,0.009,0.03,1031.603,1.609,2.82,7.199,20.15,24.2
2005-11-03,AMD,1.522755,0.076,0.094894,1.342167,1.744,0.05,0.19,247.907,1.877,3.328,7.454,24.5,40.54
2006-02-27,AMD,1.838276,0.095587,-0.173048,1.794766,1.174,0.052,0.23,118.04,3.34,5.828,8.126,40.62,33.95
2006-05-05,AMD,1.332158,0.184524,0.195559,2.632663,0.748,0.139,0.4,45.363,2.8,3.733,9.622,34.43,20.01
2006-08-11,AMD,1.216367,0.088847,-0.139969,2.530062,0.7,0.073,0.18,21.599,1.626,2.096,9.464,19.78,21.25
2006-11-09,AMD,1.327622,0.134455,0.695869,2.356903,0.71,0.101,0.28,22.765,2.006,2.418,9.747,20.89,15.07
2007-03-01,AMD,1.772853,-0.573826,-0.004459,1.541,1.34,-0.324,-1.19,-49.442,1.453,1.494,10.309,14.79,13.18
2007-05-09,AMD,1.233,-0.611,-0.389,1.167,1.531,-0.496,-1.11,-7.768,1.346,1.524,8.929,13.57,12.77
2007-08-07,AMD,1.378,-0.6,0.313,1.594,2.094,-0.435,-1.09,-4.231,1.223,1.671,7.572,12.63,13.43
2007-11-07,AMD,1.632,-0.396,-0.208,1.528,2.308,-0.243,-0.71,-3.308,1.199,1.89,6.89,13.01,6.97
2008-02-26,AMD,1.77,-1.772,0.336,1.889,3.141,-1.001,-3.14,-1.278,0.718,1.584,4.706,7.13,7.12
2008-05-07,AMD,1.505,-0.358,-0.028,1.404,3.501,-0.238,-0.59,-1.341,0.667,1.712,4.04,6.91,4.6
2008-08-06,AMD,1.349,-1.189,-0.094,1.567,6.467,-0.881,-1.96,-0.785,0.466,2.268,2.117,4.8,3.55
2008-11-06,AMD,1.776,-0.127,-0.202,1.341,6.96,-0.072,-0.21,-0.56,0.301,1.657,1.914,3.17,2.02
2009-02-24,AMD,1.227,-1.424,-0.175,1.096,-30.904,-1.161,-2.34,-0.417,0.222,-5.141,-0.414,2.12,4.32
2009-05-06,AMD,1.177,-0.408,1.469,2.719,-7.36,-0.353,-0.66,-0.911,0.52,-2.297,-2.0,4.31,3.76
2009-08-05,AMD,1.184,-0.31,-0.423,2.514,-5.902,-0.279,-0.49,-1.09,0.467,-1.615,-2.324,3.75,4.64
2009-11-04,AMD,1.396,-0.106,-0.132,2.511,-5.66,-0.092,-0.18,-1.368,0.631,-1.91,-2.372,4.69,7.95
2010-02-19,AMD,1.646,1.2,-0.19,2.676,-19.696,0.716,1.78,17.533,0.986,-12.453,-0.606,7.93,9.29
2010-05-04,AMD,1.574,0.257,-1.015,1.932,5.573,0.163,0.36,5.982,1.008,7.343,1.126,8.68,7.51
2010-08-04,AMD,1.653,-0.043,0.442,1.896,5.589,-0.026,-0.06,4.013,0.809,6.746,1.061,7.52,7.535
2010-11-03,AMD,1.618,-0.118,-0.464,1.726,6.484,-0.073,-0.17,4.088,0.802,8.483,0.861,7.64,9.44
2011-02-18,AMD,1.649,0.375,-0.014,1.789,3.9,0.227,0.53,13.355,0.969,6.21,1.419,9.18,8.94
2011-05-10,AMD,1.613,0.51,-0.004,1.745,2.343,0.316,0.71,8.49,0.941,3.945,2.164,8.94,6.18
2011-08-10,AMD,1.574,0.061,-0.048,1.861,2.183,0.039,0.08,4.884,0.627,2.465,2.267,5.85,5.75
2011-11-09,AMD,1.69,0.097,0.071,1.807,2.002,0.057,0.13,3.595,0.575,2.15,2.392,5.38,7.29
2012-02-24,AMD,1.691,-0.177,0.244,1.765,2.116,-0.105,-0.24,10.612,0.793,3.277,2.169,7.46,7.03
2012-05-09,AMD,1.585,-0.59,0.324,1.544,3.741,-0.372,-0.8,-7.9,0.736,4.573,1.433,6.86,4.05
2012-08-02,AMD,1.413,0.037,-0.178,1.579,3.513,0.026,0.05,-4.438,0.44,2.515,1.512,3.97,2.05
2012-11-01,AMD,1.269,-0.157,-0.239,1.3,3.663,-0.124,-0.21,-1.718,0.256,1.541,1.328,2.14,2.7
2013-02-21,AMD,1.155,-0.473,-0.227,1.002,6.435,-0.41,-0.64,-1.569,0.342,3.451,0.72,2.6,3.6
2013-05-06,AMD,1.088,-0.146,-0.108,1.003,8.149,-0.134,-0.19,-3.49,0.524,6.215,0.554,3.61,3.77
