datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-27,AMGN,0.9867,0.3219,-0.1964,0.2825,0.191,0.326,0.31,53.228,16.808,12.693,4.802,53.5729100855,51.3091419349
2001-10-26,AMGN,1.0031,0.3299,0.0015,0.284,0.185,0.329,0.31,53.238,16.175,12.168,4.873,52.366154301,51.9433493545
2002-02-26,AMGN,1.1243,0.163,0.4051,0.6891,0.235,0.145,0.15,54.856,15.295,11.773,4.982,51.6350540811,47.4246214897
2002-04-29,AMGN,1.0085,0.3409,2.2921,2.9812,0.831,0.338,0.33,46.641,13.075,10.89,4.743,45.6981679585,42.2628777689
2002-08-13,AMGN,1.2491,0.4124,-0.0762,2.905,0.872,0.33,0.4,46.811,13.304,11.953,4.699,40.2017036551,42.5975983515
2002-11-05,AMGN,1.4993,-2.6016,-1.7463,1.1587,0.344,-1.735,-2.1,-38.246,13.205,3.649,14.226,44.1126494095,49.0629906571
2003-03-10,AMGN,1.7661,0.4564,0.693,1.8517,0.337,0.258,0.46,-51.159,12.893,3.894,14.093,48.5344844741,55.0791527071
2003-05-02,AMGN,1.7612,0.4933,0.4885,2.3402,0.336,0.28,0.38,-65.823,13.001,4.409,14.338,55.7309769995,61.0336557025
2003-07-30,AMGN,2.0411,0.6072,-1.2697,1.0705,0.34,0.297,0.47,-86.044,12.718,4.745,14.71,61.3419509759,52.9827448478
2003-10-30,AMGN,2.2074,0.6121,-0.0208,1.0497,0.33,0.277,0.47,36.241,10.109,4.04,15.09,53.6768496349,53.766695686
2004-03-11,AMGN,2.3463,0.5469,-0.2131,0.8366,0.35,0.233,0.42,34.105,9.222,3.974,15.084,53.0267870297,49.6883896403
2004-05-03,AMGN,2.343,0.6902,-0.0751,0.7615,0.327,0.295,0.54,29.995,8.244,3.765,15.297,51.036080407,48.5344844741
2004-08-06,AMGN,2.5849,0.7481,0.9554,1.7169,0.343,0.289,0.59,26.224,7.184,3.509,15.306,47.3893877442,52.894660484
2004-11-09,AMGN,2.713,0.236,-0.7313,0.986,0.354,0.087,0.19,34.207,7.608,3.836,15.572,52.6920664472,54.3920946692
2005-03-09,AMGN,2.909,0.689,0.54,1.526,0.483,0.237,0.54,32.407,7.259,3.886,15.577,53.8459716134,51.2210575711
2005-05-04,AMGN,2.833,0.854,-0.343,1.183,0.44,0.301,0.68,28.872,6.609,3.832,15.244,51.9345409182,72.1322855459
2005-08-08,AMGN,3.172,1.029,0.438,1.621,0.432,0.324,0.83,35.327,8.532,5.066,15.881,70.8198285248,70.2913223417
2005-11-09,AMGN,3.154,0.967,0.53,2.151,0.419,0.307,0.78,27.979,8.205,4.823,16.65,70.6612766699,64.8124749111
2006-03-10,AMGN,3.271,0.824,-0.311,1.84,0.433,0.252,0.67,23.696,7.004,4.257,16.627,64.7331989836,59.8092830452
2006-05-10,AMGN,3.217,1.001,-0.093,3.847,0.801,0.311,0.83,20.844,6.215,4.58,14.468,59.4921793354,59.0341406434
2006-08-09,AMGN,3.604,0.014,0.2,1.947,0.858,0.004,0.01,28.067,5.946,4.677,14.355,59.2631599894,65.8518704044
2006-11-09,AMGN,3.612,1.102,-0.656,1.291,0.839,0.305,0.94,29.165,6.259,4.84,15.185,64.7684327292,56.5942037651
2007-02-28,AMGN,3.835,0.833,-0.008,1.283,0.782,0.217,0.72,25.431,5.258,3.956,16.334,56.6030122015,55.1936623801
2007-05-09,AMGN,3.687,1.111,-0.216,1.067,0.652,0.301,0.95,23.913,4.965,3.712,16.894,55.581233581,45.8038691951
2007-08-09,AMGN,3.728,1.019,0.66,1.727,1.002,0.273,0.9,13.632,3.728,3.365,14.587,44.9142171204,49.3536690577
2007-11-09,AMGN,3.611,0.201,-0.338,1.389,0.979,0.056,0.19,18.659,3.973,3.492,15.566,47.8121926906,41.0473135479
2008-02-28,AMGN,3.745,0.835,0.635,2.024,0.938,0.223,0.76,15.641,3.352,2.771,16.439,40.1048108549,37.0394749934
2008-05-12,AMGN,3.613,1.136,2.3,4.324,0.893,0.314,1.04,14.654,3.182,2.45,17.527,37.8322342679,54.6475393243
2008-08-08,AMGN,3.764,0.941,-0.932,3.392,0.946,0.25,0.87,21.684,4.582,3.642,17.192,56.1978241279,49.8205161861
2008-11-07,AMGN,3.875,1.158,-0.87,2.522,0.866,0.299,1.09,15.325,4.159,3.145,18.745,51.8552649907,45.1256195936
2009-02-27,AMGN,3.751,0.961,-0.748,1.774,0.788,0.256,0.91,12.057,3.372,2.482,19.323,43.0996792253,41.575819731
2009-05-11,AMGN,3.308,1.019,1.003,2.777,0.872,0.308,0.99,11.893,3.301,2.43,19.348,42.2100271506,53.2822316849
2009-08-10,AMGN,3.713,1.269,0.191,2.968,0.818,0.342,1.25,14.111,4.246,2.911,21.086,53.9428644136,47.6095986538
2009-11-06,AMGN,3.812,1.386,0.609,3.577,0.791,0.364,1.36,11.943,3.796,2.422,22.498,48.1733385823,49.864558368
2010-03-01,AMGN,3.809,0.931,-0.693,2.884,0.748,0.244,0.93,12.1,3.806,2.458,22.577,50.1200030231,48.2261892006
2010-05-07,AMGN,3.592,1.167,-0.618,2.266,0.807,0.325,1.19,10.976,3.495,2.335,22.748,47.9707445455,49.2743931303
2010-08-09,AMGN,3.804,1.202,-0.554,1.712,0.761,0.316,1.25,11.385,3.553,2.302,24.161,49.0277569115,48.8163544383
2010-11-08,AMGN,3.816,1.236,1.239,2.951,0.809,0.324,1.29,11.516,3.478,2.17,25.126,48.7018447654,44.8789833748
2011-02-25,AMGN,3.841,1.022,0.336,3.287,0.816,0.266,1.09,10.532,3.237,2.035,25.418,46.0328885411,50.8158694974
2011-05-10,AMGN,3.706,1.125,-2.021,1.266,0.71,0.304,1.21,11.822,3.574,2.17,26.778,51.3531841168,45.9095704317
2011-08-08,AMGN,3.959,1.17,4.732,5.998,0.832,0.296,1.26,10.124,3.008,1.8,27.631,43.9364806818,49.3309375536
2011-11-04,AMGN,3.944,0.454,-2.107,3.891,0.943,0.115,0.5,12.824,3.13,2.053,25.968,48.8615408408,60.9761504582
2012-02-29,AMGN,3.973,0.934,3.055,6.946,1.568,0.235,1.09,14.615,3.454,2.829,22.282,60.85088764,62.2824627058
2012-05-08,AMGN,4.048,1.184,-2.739,4.207,1.609,0.292,1.5,14.694,3.453,2.913,23.861,63.2577232193,73.3577606113
2012-08-08,AMGN,4.477,1.266,1.642,5.849,1.715,0.283,1.63,16.341,3.814,3.26,24.793,73.1778960518,77.9911698437
2012-11-06,AMGN,4.319,1.107,-0.026,5.823,1.786,0.256,1.44,14.915,3.983,3.366,25.813,78.8401762091,81.5974515925
2013-02-27,AMGN,4.421,0.788,-2.566,3.257,1.849,0.178,1.04,15.68,3.946,3.574,24.98,83.0201857435,96.2990378189
2013-05-03,AMGN,4.238,1.434,-0.727,2.53,1.649,0.338,1.91,17.379,4.575,4.097,25.953,97.1107258922,98.4037534945
2013-08-06,AMGN,4.679,1.258,3.276,5.806,1.555,0.269,1.67,17.281,4.489,3.849,27.386,96.37943724,108.865641513
2013-10-29,AMGN,4.748,1.368,2.475,8.281,1.627,0.288,1.81,18.397,4.931,4.105,28.817,108.80952046,114.994965726
2014-02-24,AMGN,5.011,1.021,-4.476,3.805,1.993,0.204,1.35,18.692,5.085,4.298,29.228,116.796259496,103.899367498
2014-04-30,AMGN,4.521,1.073,-0.118,3.687,1.946,0.237,1.42,17.923,4.462,3.72,30.041,103.760092207,120.109347321
2014-08-05,AMGN,5.18,1.547,0.665,4.352,1.852,0.299,2.04,19.393,4.992,3.984,32.124,119.390465102,147.463349215
2014-10-29,AMGN,5.031,1.244,-0.675,3.677,1.795,0.247,1.63,24.74,6.121,4.772,33.279,149.04877488,147.446741512
2015-02-19,AMGN,5.331,1.294,0.054,3.731,1.677,0.243,1.7,22.959,5.902,4.594,33.829,147.702298195,158.92786216
2015-04-27,AMGN,5.033,1.623,-0.867,2.864,1.601,0.322,2.13,21.63,6.001,4.658,34.83,153.693682672,166.275281908
2015-08-05,AMGN,5.37,1.653,0.931,3.795,1.591,0.308,2.18,23.011,6.443,4.868,36.163,167.835301716,151.170926138
2015-11-02,AMGN,5.723,1.863,-0.569,3.226,1.57,0.326,2.46,19.032,5.706,4.378,36.945,155.117922755,140.013868722
2016-02-16,AMGN,5.536,1.8,0.918,4.144,1.549,0.325,2.39,15.949,5.109,3.941,37.344,142.364847861,153.152262429
2016-05-02,AMGN,5.527,1.9,-1.248,2.896,1.619,0.344,2.52,16.552,5.391,4.164,38.09,153.819824407,166.797861371
2016-07-29,AMGN,5.688,1.87,-0.266,2.63,1.505,0.329,2.49,17.32,5.728,4.272,40.124,167.528235005,157.263807662
2016-10-28,AMGN,5.811,2.017,0.855,3.485,1.54,0.347,2.7,14.235,4.787,3.51,41.195,142.190693133,166.463320506
2017-02-14,AMGN,5.965,1.935,-0.244,3.241,1.598,0.324,2.62,16.027,5.383,4.143,40.591,166.850536867,163.435089995
2017-04-27,AMGN,5.464,2.071,0.117,3.358,1.541,0.379,2.81,15.161,5.219,3.906,41.57,161.55857994,180.89
2017-07-26,AMGN,5.81,2.151,-0.729,2.629,1.509,0.37,2.93,15.701,5.568,4.046,43.218,175.89,173.85
