datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2005-11-14,AMP,1.873,0.125,,3.678,10.926,0.067,0.5,,,1.271,31.451,31.0700516796,34.5672110574
2006-03-08,AMP,,,-0.2,3.541,11.114,,,18.925,1.452,1.413,31.109,34.3217165459,38.3604972193
2006-05-08,AMP,1.949,0.145,-0.824,2.734,12.053,0.074,0.57,,,1.636,29.096,38.9940314425,35.3659700099
2006-08-08,AMP,2.053,0.141,0.451,3.103,12.276,0.069,0.57,,,1.485,29.375,35.0715851077,40.060215748
2006-11-06,AMP,1.977,0.174,1.208,4.368,11.834,0.088,0.71,,,1.628,31.71,41.5832056381,49.0022278059
2007-02-27,AMP,2.161,0.171,-0.592,3.953,12.145,0.079,0.7,22.037,1.708,1.755,32.586,46.4378790733,48.6515625086
2007-05-09,AMP,2.063,0.165,-0.304,3.588,12.602,0.08,0.69,22.018,1.737,1.854,32.119,48.7957152864,44.1676513394
2007-08-06,AMP,2.182,0.196,0.89,4.58,13.228,0.09,0.83,19.203,1.617,1.784,32.013,46.2632261439,48.2049564474
2007-11-07,AMP,2.202,0.198,0.669,5.178,13.16,0.09,0.84,17.878,1.516,1.682,32.957,45.2992978604,43.6304437301
2008-02-29,AMP,2.207,0.255,-0.179,5.168,12.986,0.116,1.1,14.119,1.328,1.472,33.751,40.8702491767,39.9306371154
2008-05-06,AMP,2.086,0.191,0.068,5.046,12.837,0.092,0.84,13.197,1.278,1.462,33.192,40.4002188171,34.6518910896
2008-08-04,AMP,1.979,0.21,-0.531,4.367,13.256,0.106,0.94,10.55,1.063,1.232,32.769,33.6236690877,19.0685661542
2008-11-05,AMP,1.641,-0.07,0.67,5.88,13.761,-0.043,-0.32,8.039,0.595,0.701,30.657,17.8168358951,13.1643105756
2009-03-02,AMP,1.35,-0.369,2.185,8.111,14.487,-0.273,-1.65,-86.319,0.471,0.531,28.288,12.3797374861,21.802233844
