datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,ANDV,1.2996,0.0295,0.0004,0.0019,1.256,0.02,0.42,5.182,0.086,0.636,11.609,4.71325932669,5.83849691369
2001-11-14,ANDV,1.412,0.0328,-0.0007,0.0012,2.377,0.023,0.4,5.663,0.105,0.748,9.082,5.77905039966,5.83849691369
2002-02-22,ANDV,1.2789,0.004,0.0507,0.0519,2.517,0.003,0.0,6.753,0.106,0.731,9.165,5.67289591032,3.39694365888
2002-05-15,ANDV,1.2432,-0.0556,-0.0517,0.0002,2.163,-0.045,-0.57,71.307,0.105,0.579,9.834,3.60925263755,1.15071466444
2002-08-14,ANDV,1.7457,-0.0179,0.0428,0.043,3.255,-0.01,-0.14,-5.352,0.035,0.211,7.207,1.29083859037,1.17194556231
2002-11-14,ANDV,2.1732,-0.0158,-0.0116,0.0314,3.308,-0.007,-0.12,-2.613,0.035,0.244,7.084,1.46493195289,2.90863300791
2003-03-21,ANDV,1.9572,-0.0277,0.0784,0.1098,3.235,-0.014,-0.21,-3.733,0.061,0.492,6.891,2.87041739175,2.90014064876
2003-05-09,ANDV,2.2861,0.0204,-0.0962,0.0136,3.035,0.009,0.16,-10.716,0.054,0.484,7.028,2.88740211004,2.99355659938
2003-08-12,ANDV,2.1164,-0.007,0.0544,0.068,3.007,-0.003,-0.06,-16.015,0.056,0.535,6.974,3.1676499619,5.00624571727
2003-11-12,ANDV,2.33,0.0706,-0.0584,0.0096,2.782,0.03,0.55,13.854,0.09,0.803,7.52,5.12513874533,7.47327604953
2004-03-11,ANDV,2.1132,-0.0079,0.0676,0.0772,2.793,-0.004,-0.06,14.399,0.124,1.135,7.472,7.15905876108,9.12079372408
2004-05-06,ANDV,2.4299,0.0504,0.0395,0.1167,2.762,0.021,0.39,13.183,0.156,1.37,7.855,9.06559338962,11.9190260631
2004-08-04,ANDV,3.155,0.2131,0.3066,0.4233,2.461,0.068,1.63,5.351,0.174,1.405,9.51,11.2099140743,12.4455523302
2004-11-05,ANDV,3.2885,0.0646,-0.2146,0.2087,2.143,0.02,0.49,6.047,0.176,1.473,10.02,12.3691210979,15.7108644223
2005-03-04,ANDV,3.3888,-0.0002,-0.0239,0.1848,2.071,0.0,0.0,7.578,0.203,1.872,10.039,15.8764654257,17.7277997198
2005-05-10,ANDV,3.1712,0.0277,-0.0957,0.0891,2.161,0.009,0.2,8.938,0.21,1.963,10.4,17.018687731,21.3399945389
2005-08-05,ANDV,4.0332,0.1839,0.0071,0.0962,1.812,0.046,1.34,13.405,0.267,2.318,11.682,22.7130659007,26.2311610711
2005-11-03,ANDV,5.017,0.226,0.5606,0.657,1.863,0.045,1.65,10.075,0.282,2.407,13.326,27.2310512336,25.6597188857
2006-03-07,ANDV,4.36,0.069,-0.217,0.44,1.701,0.016,0.5,8.03,0.246,2.158,13.734,25.1900734485,31.0222158774
2006-05-05,ANDV,3.877,0.043,-0.134,0.306,1.718,0.011,0.32,9.329,0.282,2.605,13.642,30.3177477217,31.4967444387
2006-08-04,ANDV,4.929,0.326,0.314,0.62,1.549,0.066,2.4,7.306,0.267,2.208,16.154,30.3935459503,27.177515643
2006-11-03,ANDV,5.278,0.274,0.266,0.886,1.452,0.052,2.01,6.097,0.235,1.79,17.805,27.6229082726,39.1253917964
2007-02-26,ANDV,4.02,0.158,0.1,0.986,1.36,0.039,1.17,7.734,0.342,2.476,18.561,38.9495569763,49.3536955009
2007-05-04,ANDV,3.876,0.116,-0.157,0.829,1.309,0.03,0.86,9.142,0.441,3.037,19.46,50.2166874797,40.2845394477
2007-08-07,ANDV,5.604,0.443,-0.66,0.169,1.673,0.079,3.26,6.651,0.351,2.142,22.675,41.4284001964,52.164936968
2007-11-01,ANDV,5.902,0.047,-0.066,0.103,1.561,0.008,0.35,10.272,0.404,2.514,22.973,49.3726951743,33.1086172896
2008-02-29,ANDV,6.533,-0.04,-0.08,0.023,1.663,-0.006,-0.3,9.029,0.233,1.674,22.441,32.1562250558,21.6452780397
2008-05-07,ANDV,6.531,-0.082,0.018,0.041,1.969,-0.013,-0.6,9.237,0.138,1.146,21.784,21.3682184808,13.5038543138
2008-08-06,ANDV,8.754,0.004,-0.017,0.024,2.247,0.0,0.03,-33.774,0.087,0.808,21.751,15.1211865111,8.47220205269
2008-10-23,ANDV,8.754,0.004,-0.017,0.024,2.247,0.0,0.03,-19.422,0.05,0.464,21.751,8.74324257243,8.55089123584
2008-11-04,ANDV,8.698,0.259,0.16,0.184,1.694,0.03,1.89,10.448,0.048,0.456,23.552,9.30281009707,13.131881633
2009-03-02,ANDV,4.326,0.097,-0.164,0.02,1.31,0.022,0.7,6.645,0.065,0.574,23.421,11.8774132656,14.875681633
2009-05-11,ANDV,3.28,0.051,0.136,0.156,1.372,0.016,0.37,5.491,0.09,0.692,23.633,14.5109071432,11.6967007386
2009-07-30,ANDV,4.181,-0.045,0.123,0.279,1.593,-0.011,-0.33,5.204,0.092,0.587,23.254,12.0815195081,12.5902406252
2009-11-09,ANDV,4.742,0.033,0.255,0.534,1.546,0.007,0.24,14.371,0.118,0.604,23.43,12.5632036017,10.7850381491
2010-03-01,ANDV,4.669,-0.179,-0.121,0.413,1.614,-0.038,-1.29,-11.888,0.099,0.539,22.241,10.7126553427,12.1331679177
2010-04-30,ANDV,4.607,-0.155,-0.123,0.29,1.819,-0.034,-1.11,-5.368,0.102,0.631,21.082,11.897923797,11.4002920032
2010-07-29,ANDV,5.143,0.067,-0.099,0.191,1.631,0.013,0.48,-7.794,0.095,0.58,22.384,11.5631533175,12.296029232
2010-11-05,ANDV,5.32,0.056,0.148,0.339,1.614,0.011,0.4,-9.614,0.103,0.633,22.761,12.8208045782,21.5157891934
2011-03-01,ANDV,5.513,0.003,0.309,0.648,1.716,0.001,0.02,-113.503,0.16,1.024,22.721,20.8010089805,22.5381963333
2011-05-09,ANDV,6.526,0.107,0.076,0.724,1.811,0.016,0.76,15.913,0.165,1.114,23.51,23.3344072034,19.4347835102
2011-08-08,ANDV,7.963,0.218,-0.117,0.607,1.658,0.027,1.54,6.891,0.104,0.745,24.923,16.6389976142,25.0806424071
2011-11-04,ANDV,8.101,0.345,0.528,1.135,1.527,0.043,2.42,5.966,0.143,1.058,26.639,26.0578102931,25.9944753375
2012-02-24,ANDV,7.713,-0.124,-0.235,0.9,1.612,-0.016,-0.85,7.143,0.129,1.063,26.446,25.0625467055,20.7195783233
2012-05-03,ANDV,7.82,0.056,-0.19,0.71,1.567,0.007,0.4,6.336,0.099,0.839,26.803,20.2219465295,25.1620730642
2012-08-02,ANDV,8.105,0.387,0.612,1.322,1.455,0.048,2.77,6.693,0.14,1.081,29.456,28.7631176811,34.2247689696
2012-11-01,ANDV,8.776,0.273,0.045,1.367,1.431,0.031,1.96,8.583,0.157,1.157,31.454,32.8351296517,48.5284074549
2013-02-22,ANDV,8.273,0.027,0.272,1.639,1.403,0.003,0.2,10.099,0.228,1.765,30.627,49.7306878197,49.2648282532
2013-05-03,ANDV,8.156,0.093,0.333,1.972,1.489,0.011,0.68,9.659,0.226,1.784,30.825,50.7092229209,50.7189139995
2013-08-05,ANDV,8.897,0.227,-1.544,0.428,1.88,0.026,1.67,12.221,0.222,1.706,32.71,51.4434699138,43.744520868
2013-11-07,ANDV,11.241,0.099,1.064,1.492,1.999,0.009,0.74,14.382,0.175,1.453,32.801,44.5283076036,46.6223501849
2014-02-24,ANDV,10.116,-0.007,-0.254,1.238,1.837,-0.001,-0.04,16.389,0.18,1.57,32.443,47.4466229633,53.1027565946
2014-05-02,ANDV,9.933,0.078,-0.44,0.798,1.915,0.008,0.59,18.197,0.18,1.701,32.353,51.9859793792,57.5304128462
2014-08-01,ANDV,11.104,0.224,0.441,1.239,1.962,0.02,1.73,19.919,0.185,1.804,33.65,57.2125652614,63.9627802328
2014-10-31,ANDV,11.151,0.396,0.291,1.53,1.81,0.036,3.1,13.047,0.213,1.959,35.989,67.0716906964,86.4296910208
2015-02-24,ANDV,8.445,0.145,-0.53,1.0,2.157,0.017,1.17,13.449,0.279,2.546,35.49,85.0531518162,84.1341900049
2015-05-08,ANDV,6.463,0.145,-0.541,0.459,2.027,0.022,1.17,12.511,0.306,2.507,36.27,85.7066146323,93.390400917
2015-08-06,ANDV,8.232,0.582,0.519,0.978,1.924,0.071,4.64,9.831,0.364,2.577,38.634,96.3885640121,100.751291494
2015-10-29,ANDV,7.743,0.759,-0.019,0.959,1.628,0.098,6.19,8.045,0.425,2.443,43.837,104.301702697,75.8759529082
2016-02-25,ANDV,6.273,0.054,-0.017,0.942,1.648,0.009,0.55,6.053,0.325,1.788,43.478,75.2032085506,74.2843269027
2016-05-05,ANDV,5.101,0.069,-0.503,0.439,1.599,0.014,0.58,6.381,0.342,1.789,43.662,75.309605373,75.0858261194
2016-08-04,ANDV,6.285,0.418,0.682,1.121,1.699,0.067,3.5,6.782,0.347,1.592,46.343,72.2529497547,81.5695605553
2016-11-02,ANDV,6.544,0.169,0.266,1.387,1.784,0.026,1.43,13.159,0.386,1.699,46.531,78.4017154117,85.5267825575
2017-02-21,ANDV,6.652,0.078,1.908,3.295,2.245,0.012,0.68,14.198,0.424,1.907,46.829,87.9354315585,81.3036048064
2017-05-09,ANDV,6.638,0.05,-0.997,2.298,2.139,0.008,0.43,13.72,0.376,1.788,46.849,82.9127903872,97.93
