datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,APC,2.264,0.401,-0.293,0.3,1.399,0.177,0.8,8.055,1.341,1.792,15.572,24.7786155527,26.1426540859
2001-11-14,APC,1.743,-0.27,-0.232,0.068,1.474,-0.155,-0.54,11.217,1.221,1.89,14.522,24.4909782503,20.9502040198
2002-02-05,APC,1.743,-1.353,-0.232,0.068,1.633,-0.776,-2.71,9.789,1.066,1.938,12.356,21.403710134,24.8962715185
2002-03-25,APC,1.379,0.108,-0.031,0.037,1.63,0.078,0.21,-73.965,1.662,2.181,12.752,24.9586012397,23.596251618
2002-05-13,APC,1.373,0.088,-0.011,0.026,1.728,0.064,0.17,40.984,1.983,2.137,12.643,24.0281075439,18.2956444176
2002-08-14,APC,1.738,0.239,0.019,0.045,1.658,0.138,0.48,62.58,1.657,1.567,13.284,18.5275170741,19.9206852854
2002-11-14,APC,0.951,0.189,-0.014,0.031,1.631,0.199,0.38,18.089,2.075,1.689,13.416,20.2780069946,19.6300647099
2003-03-14,APC,1.117,0.309,0.003,0.034,1.62,0.277,0.62,13.098,2.799,1.551,14.044,19.473060079,20.9758186891
2003-05-14,APC,1.257,0.418,0.048,0.082,1.604,0.333,0.84,10.19,2.325,1.58,14.962,21.1642242462,18.716431871
2003-08-11,APC,1.277,0.301,0.046,0.128,1.587,0.236,0.6,8.714,2.304,1.358,15.614,19.1075751745,19.4213485527
2003-11-12,APC,1.34,0.274,0.016,0.144,1.49,0.204,0.55,8.354,2.179,1.33,16.356,19.5340013865,23.4726629204
2004-03-04,APC,1.278,0.294,-0.082,0.062,1.389,0.23,0.59,10.045,2.524,1.503,16.994,23.2150691995,24.8991597038
2004-05-10,APC,1.46,0.392,0.08,0.142,1.353,0.268,0.78,10.588,2.493,1.497,17.694,24.0200992885,26.4780987186
2004-08-05,APC,1.443,0.405,0.167,0.309,1.361,0.281,0.8,10.558,2.61,1.575,18.157,26.1646678022,30.5869771873
2004-11-05,APC,1.562,0.399,-0.155,0.154,1.28,0.255,0.8,11.304,2.933,1.783,18.89,31.0058521354,35.3009761149
2005-03-15,APC,1.602,0.405,0.72,0.874,1.175,0.253,0.83,11.228,2.963,1.936,19.027,34.7065296259,33.9611851821
2005-05-06,APC,1.53,0.491,0.123,0.997,1.149,0.32,1.03,10.251,2.838,1.825,20.131,33.7874239007,40.127795491
2005-08-04,APC,1.59,0.507,-0.082,0.915,1.071,0.318,1.07,11.461,3.283,2.052,21.303,40.0086267094,40.3712654075
2005-11-08,APC,1.756,0.598,0.097,1.012,1.082,0.339,1.26,10.44,3.218,1.972,22.498,40.7202832861,46.8030193884
2006-03-03,APC,2.224,0.87,-0.273,0.739,1.044,0.393,1.88,9.521,3.307,2.125,23.817,46.876630743,48.7876397011
2006-05-09,APC,1.954,0.661,0.081,0.82,0.979,0.338,1.44,9.304,3.259,2.122,25.124,49.3038622468,42.2454399717
2006-08-01,APC,1.809,0.815,0.0,0.671,0.914,0.45,1.77,7.337,2.79,1.747,26.937,43.4184113046,44.2279682149
2006-11-09,APC,3.498,1.461,1.108,1.803,3.369,0.418,3.18,5.82,2.337,1.61,29.939,44.6259181277,37.0668744017
2007-02-28,APC,3.179,1.917,-1.417,0.491,2.946,0.603,4.16,3.846,1.832,1.251,32.42,37.3542863843,42.8362289488
2007-05-08,APC,2.683,0.105,3.138,3.62,2.698,0.039,0.23,4.932,1.897,1.402,32.633,42.427379909,48.0978946665
2007-08-03,APC,3.313,0.652,-2.002,1.647,2.23,0.197,1.4,5.622,1.833,1.471,33.966,46.4409515175,55.5518569523
2007-11-09,APC,3.03,0.504,-0.404,1.243,1.943,0.166,1.08,8.462,2.201,1.662,34.689,53.7240637741,61.1700899552
2008-02-29,APC,2.889,0.153,0.025,1.268,1.963,0.053,0.32,7.897,1.877,1.823,35.191,59.5264356297,69.7030342981
2008-05-07,APC,2.978,0.287,0.045,1.308,1.902,0.096,0.61,22.533,2.94,2.155,35.592,71.7137886754,53.2095510942
2008-08-07,APC,2.786,0.023,-0.66,0.652,1.963,0.008,0.05,26.544,2.19,1.537,35.579,51.1403427902,31.0684024829
2008-11-04,APC,6.149,2.165,1.328,1.98,1.703,0.352,4.65,6.15,1.091,0.887,39.079,32.9908360806,32.7960628582
2009-02-25,APC,3.81,0.786,0.379,2.36,1.603,0.206,1.72,5.014,1.04,0.87,40.948,33.4166305614,45.4983884304
2009-05-07,APC,1.595,-0.338,-0.195,2.165,1.589,-0.212,-0.73,8.509,1.564,1.215,40.13,45.9320655684,46.8867502981
2009-08-04,APC,1.745,-0.226,1.362,3.527,1.501,-0.13,-0.48,10.363,1.86,1.262,41.084,47.6329334717,58.5060493792
2009-11-03,APC,2.74,0.2,0.059,3.586,1.478,0.073,0.4,73.668,3.143,1.569,40.367,59.8400327172,65.5608971907
