datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,APH,0.274146,0.022536,-0.004838,0.017135,14.447,0.082,0.07,15.958,1.365,27.763,0.194,5.0666901917,5.7104717329
2001-11-14,APH,0.252581,0.016633,0.005614,0.022749,8.513,0.066,0.05,20.477,1.693,18.717,0.326,5.71282559593,5.41388498997
2002-03-28,APH,0.260372,0.016036,0.005226,0.027975,8.879,0.062,0.05,23.649,1.794,19.047,0.307,5.50803951153,5.61514027981
2002-05-15,APH,0.255976,0.017193,-0.001178,0.026797,7.513,0.067,0.05,28.234,1.96,17.018,0.355,5.6869331025,4.52647862422
2002-08-14,APH,0.270865,0.020003,-0.007559,0.019238,5.55,0.074,0.06,23.44,1.575,10.334,0.467,4.53354021334,4.75362640749
2002-11-14,APH,0.268115,0.020666,0.005966,0.025204,4.75,0.077,0.06,24.024,1.682,9.924,0.526,4.91251216264,4.81247298347
2003-03-28,APH,0.267046,0.022482,-0.004545,0.020659,5.461,0.084,0.07,21.72,1.643,10.45,0.49,4.82424229867,5.17026016542
2003-04-22,APH,0.277774,0.023313,0.011483,0.032142,4.852,0.084,0.07,22.084,1.762,9.921,0.565,5.27853786522,6.32600691762
2003-08-05,APH,0.304893,0.019479,-0.009814,0.022328,4.243,0.064,0.06,25.992,1.998,10.204,0.642,6.16712116248,7.11572796725
2003-11-14,APH,0.314798,0.028212,-0.005347,0.016981,3.134,0.09,0.08,28.033,2.25,9.477,0.8,7.04981980215,7.77245575516
2004-02-09,APH,0.342039,0.032986,0.006552,0.023533,2.653,0.096,0.1,27.957,2.345,8.989,0.923,7.80423290619,7.7206707683
2004-05-07,APH,0.355261,0.035658,0.004871,0.028404,2.362,0.1,0.1,24.371,2.153,7.942,1.014,7.5700235338,7.03805048696
2004-08-09,APH,0.387119,0.040367,-0.009777,0.018627,2.033,0.104,0.12,19.093,1.872,6.552,1.134,7.01451185657,8.14436611534
2004-11-05,APH,0.384103,0.041646,0.003896,0.022523,1.913,0.108,0.12,20.574,2.111,7.179,1.227,8.24558222602,9.67454610412
2005-03-15,APH,0.403963,0.04564,0.007649,0.030172,1.713,0.113,0.13,22.286,2.378,7.557,1.369,9.75463730634,9.30471319972
2005-05-10,APH,0.409395,0.046376,-0.003915,0.026257,1.643,0.113,0.13,19.889,2.184,6.568,1.497,9.24346698626,10.2754421937
2005-08-09,APH,0.443642,0.052056,-0.000795,0.025462,1.493,0.117,0.15,21.059,2.383,6.72,1.647,10.3768058125,9.20711803788
2005-11-09,APH,0.446995,0.052089,0.012599,0.038061,1.324,0.117,0.15,17.743,2.043,5.491,1.785,9.23778484149,11.9871337741
2006-03-16,APH,0.508115,0.055818,0.000608,0.038669,1.804,0.11,0.16,22.665,2.586,6.785,1.935,12.1430255631,14.4695924138
2006-05-08,APH,0.568991,0.057274,-0.001365,0.037304,1.646,0.101,0.16,24.863,2.745,7.114,2.122,14.240478724,13.3673729763
2006-08-04,APH,0.606598,0.053341,0.008616,0.04592,1.535,0.088,0.15,23.274,2.387,6.284,2.26,13.4500918685,15.5213809347
2006-11-03,APH,0.636418,0.066699,0.016843,0.062763,1.456,0.105,0.19,24.828,2.495,6.701,2.415,15.6656228964,16.0677395276
2007-02-21,APH,0.659423,0.078377,0.011372,0.074135,1.431,0.119,0.22,23.649,2.447,6.696,2.524,16.0677395276,17.0218101892
2007-05-04,APH,0.651084,0.077704,0.010954,0.085089,1.304,0.119,0.22,23.547,2.546,6.674,2.735,17.2016847129,16.9721740025
2007-08-03,APH,0.688836,0.083996,0.025579,0.110668,1.201,0.122,0.23,20.282,2.361,5.872,2.966,16.4844134215,20.617466585
2007-11-02,APH,0.733851,0.091501,0.053919,0.164587,1.194,0.125,0.26,23.339,2.831,6.818,3.181,20.5653544222,18.1408814015
2008-02-26,APH,0.77727,0.099993,0.019054,0.183641,1.115,0.129,0.28,19.201,2.379,5.361,3.54,18.1503593959,22.3775771644
2008-05-09,APH,0.770714,0.097468,-0.003486,0.180155,1.254,0.126,0.28,21.77,2.733,6.629,3.467,21.9508860744,22.9395402938
2008-08-08,APH,0.846817,0.109995,0.008607,0.188762,1.16,0.13,0.32,22.398,2.856,6.592,3.862,23.9686658352,13.909686111
2008-11-06,APH,0.863658,0.112955,0.041979,0.230741,1.062,0.131,0.32,10.583,1.365,3.04,4.141,12.0073040747,12.2530316773
2009-02-23,APH,0.755282,0.098733,-0.015754,0.214987,1.219,0.131,0.29,10.21,1.322,3.171,3.882,11.8684925197,16.2799584633
2009-05-06,APH,0.660012,0.07441,-0.064468,0.150519,1.1,0.113,0.21,14.66,1.858,4.147,4.089,16.1041900177,15.8455195615
2009-08-06,APH,0.685184,0.07487,0.070246,0.220765,0.974,0.109,0.22,15.714,1.914,3.758,4.405,15.7267019283,19.6268333251
2009-10-26,APH,0.716573,0.080915,0.086804,0.307569,0.921,0.113,0.23,21.611,2.523,4.371,4.743,19.7076608848,19.8618011454
2010-02-23,APH,0.758296,0.087639,0.077044,0.384613,0.834,0.116,0.26,22.472,2.533,4.091,5.061,19.6097236883,20.986673106
2010-05-06,APH,0.770954,0.098353,0.047106,0.431719,0.834,0.128,0.28,22.018,2.567,4.068,5.338,20.6298378118,21.5321681879
2010-08-06,APH,0.884798,0.129671,0.004958,0.436677,0.807,0.147,0.38,19.713,2.497,4.003,5.628,21.4179391789,25.2097503458
2010-11-05,APH,0.948463,0.137268,0.043851,0.587773,0.838,0.145,0.4,20.386,2.746,4.303,6.173,25.1764230083,27.0741763837
