datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,ARE,0.030399,0.007324,-0.00213,0.003666,1.619,0.211,0.4,26.368,5.496,1.954,20.976,22.9326089729,23.1472913319
2001-11-14,ARE,0.03273,0.007451,-0.000946,0.00272,1.824,0.2,0.41,25.935,5.413,2.036,20.382,23.6011597894,25.911715841
2002-03-29,ARE,0.033666,0.008196,-0.000344,0.002376,1.892,0.216,0.45,28.226,5.878,2.258,20.548,26.1034392991,26.4351218447
2002-05-15,ARE,0.034927,0.009603,0.002636,0.005012,1.405,0.22,0.47,27.137,5.752,1.863,24.782,26.4292460674,24.8613380999
2002-08-14,ARE,0.03599,0.01022,-0.00207,0.002942,1.559,0.222,0.48,27.354,5.878,1.982,24.313,25.2710425014,25.4192715078
2002-11-14,ARE,0.038064,0.010755,0.000651,0.003593,1.218,0.224,0.47,25.591,5.651,1.657,26.548,25.5334479046,25.7419390271
2003-03-31,ARE,0.035691,0.009454,0.000197,0.00379,1.386,0.203,0.87,25.41,5.524,1.645,25.748,25.8897042834,26.8748059922
2003-05-15,ARE,0.040613,0.012149,-0.000116,0.003674,1.484,0.244,0.64,24.691,5.53,1.705,25.81,26.936374849,28.5984377421
2003-08-14,ARE,0.040058,0.012549,0.000324,0.003998,1.516,0.258,0.66,24.508,5.714,1.803,25.826,28.7417102466,35.5616994833
2003-11-14,ARE,0.040782,0.021594,-0.000773,0.003225,1.416,0.475,1.14,22.996,6.855,2.149,26.165,35.4293592938,38.8711286432
2004-03-15,ARE,0.039105,0.013351,0.00176,0.004985,1.509,0.285,0.7,23.031,7.279,2.305,26.7,38.3811029547,34.1016664934
2004-05-10,ARE,0.042775,0.01534,-0.000629,0.004356,1.53,0.307,0.8,18.762,6.219,1.978,26.643,33.5491526805,38.7735462758
2004-08-09,ARE,0.043523,0.013887,-0.001326,0.00303,1.282,0.223,0.72,21.778,6.99,1.921,31.354,38.8904514404,44.1737025906
2004-11-09,ARE,0.04651,0.015464,0.0023,0.00533,1.481,0.244,0.8,29.062,7.665,2.146,31.733,44.2392908647,44.3350741448
2005-03-16,ARE,0.050476,0.015504,-0.002172,0.003158,2.018,0.228,0.05,28.69,7.157,2.114,31.956,44.2027306399,48.2325903644
2005-05-10,ARE,0.056089,0.014989,0.000612,0.00377,1.815,0.196,0.56,34.889,7.733,2.135,36.569,48.0052988783,50.5689014957
2005-08-09,ARE,0.058217,0.016273,-0.00138,0.00239,1.92,0.21,0.59,34.424,7.511,2.215,34.214,50.3664909493,54.4134300246
2005-11-09,ARE,0.063752,0.015991,0.002161,0.004551,1.652,0.188,0.57,38.907,7.95,2.214,38.908,54.9576323501,65.5941843773
2006-03-16,ARE,0.066076,0.01618,-0.00064,0.003911,1.823,0.184,0.54,46.382,8.996,2.646,37.241,66.1430896859,65.3505085987
2006-05-10,ARE,0.068591,0.016755,-0.000481,0.00343,1.99,0.186,0.57,43.281,8.282,2.552,37.317,64.4865410075,65.4564451434
2006-08-09,ARE,0.070484,0.017162,0.000217,0.003647,1.248,0.186,0.57,49.617,9.226,2.181,49.756,64.9618296043,66.2583813467
2006-11-09,ARE,0.085208,0.018964,0.004174,0.007821,1.401,0.175,0.57,51.833,9.456,2.029,51.404,65.8442225906,74.3838827289
