datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-06-27,ATVI,0.12679,0.000875,0.073202,0.12555,0.985,0.007,0.0,57.32,1.895,6.483,0.576,2.78042503201,2.55875278974
2001-08-14,ATVI,0.110577,2.9e-05,-0.019564,0.105986,0.309,0.0,0.0,44.666,1.777,3.993,0.796,2.63264353716,2.96857982185
2001-11-13,ATVI,0.139604,0.002215,0.016166,0.122152,0.372,0.016,0.01,57.846,2.13,4.632,0.74,3.00057375373,2.966294541
2002-02-13,ATVI,0.371341,0.03911,0.072539,0.194691,0.541,0.105,0.09,34.098,1.924,3.734,0.921,3.03142504518,3.31365722993
2002-06-28,ATVI,0.164911,0.010884,0.084316,0.279007,0.295,0.066,0.02,37.055,2.461,4.501,0.98,3.32051307248,2.96972246228
2002-08-14,ATVI,0.191258,0.020704,0.271323,0.55033,0.152,0.108,0.04,24.994,2.102,2.457,1.544,3.12055099826,2.34241286944
2002-11-01,ATVI,0.169172,0.009086,-0.210959,0.339371,0.163,0.054,0.02,17.74,1.578,1.864,1.421,2.41097129488,1.64197428945
2003-01-31,ATVI,0.378685,0.044347,0.019613,0.358984,0.265,0.117,0.08,11.323,1.065,1.254,1.437,1.66254181709,2.23671863021
2003-06-19,ATVI,0.125001,-0.007957,-0.07343,0.285554,0.179,-0.064,-0.01,16.822,1.288,1.863,1.187,2.17158812603,2.00361998369
2003-08-04,ATVI,0.158725,0.004163,0.005279,0.290833,0.157,0.026,0.01,20.642,1.232,1.623,1.345,1.99333621987,2.75947662424
2003-11-14,ATVI,0.117523,-0.010093,0.022613,0.313446,0.149,-0.086,-0.02,45.386,1.773,2.082,1.412,2.67206463179,3.51533326479
2004-02-12,ATVI,0.508511,0.076981,0.111978,0.425424,0.383,0.151,0.16,28.737,1.993,2.277,1.682,3.45191672125,4.19834657831
2004-06-10,ATVI,0.162897,0.006664,0.041128,0.466552,0.163,0.041,0.01,28.656,2.35,2.674,1.728,4.14949870018,3.79213790753
2004-08-03,ATVI,0.211276,0.011957,-0.126817,0.339735,0.155,0.057,0.03,23.5,2.009,2.354,1.743,3.73300626558,3.95410718765
2004-11-05,ATVI,0.310626,0.025543,0.050056,0.389791,0.244,0.082,0.05,17.666,1.793,2.411,1.803,3.95410718765,6.18568393595
2005-02-08,ATVI,0.680094,0.097262,0.012739,0.40253,0.318,0.143,0.2,24.837,2.573,3.442,2.053,6.34508227511,5.52580909102
2005-06-09,ATVI,0.203861,0.003573,0.21251,0.313608,0.188,0.018,0.0,24.693,2.43,3.106,2.112,5.80347071408,7.1026528763
2005-08-04,ATVI,0.241093,-0.003585,-0.071267,0.242341,0.138,-0.015,-0.01,34.243,2.929,3.777,2.068,7.07865742739,7.68311421175
2005-11-03,ATVI,0.22254,-0.013242,-0.039256,0.203085,0.158,-0.06,-0.03,56.623,3.53,4.246,2.058,7.94363622845,6.1976816604
2006-02-08,ATVI,0.816242,0.067945,0.063984,0.267069,0.32,0.083,0.13,68.262,2.516,3.087,2.199,6.17025829022,5.60807920156
2006-06-09,ATVI,0.188125,-0.009219,0.087262,0.354331,0.158,-0.049,-0.02,81.111,2.315,2.773,2.217,5.58979695477,5.71777268227
2006-08-08,ATVI,0.188069,-0.017826,-0.109308,0.245023,0.164,-0.095,-0.03,127.727,2.497,2.861,2.218,5.75890773754,8.94458923998
2007-06-07,ATVI,0.824259,0.14282,0.178189,0.36791,0.343,0.173,0.26,57.174,3.766,3.712,2.493,8.43725689167,8.47839194694
2007-06-14,ATVI,0.312512,-0.014422,0.016499,0.384409,0.271,-0.046,-0.02,63.804,3.618,3.878,2.494,8.83032519756,8.98572429524
2007-08-07,ATVI,0.495455,0.027826,-0.040428,0.343981,0.258,0.056,0.05,41.679,3.02,3.762,2.577,8.80290182738,10.2974755021
2007-11-07,ATVI,0.317746,0.000698,0.048548,0.392529,0.282,0.002,0.0,39.913,3.212,4.095,2.662,9.82670764739,12.1988291679
2008-02-11,ATVI,1.482484,0.272196,0.25613,0.648659,0.4,0.184,0.47,27.749,3.046,4.257,3.205,12.3542282655,15.4165046022
2008-05-30,ATVI,0.602451,0.044163,0.747591,1.39625,0.299,0.073,0.07,29.04,3.456,5.142,3.318,15.4256457256,15.5719036998
2008-08-08,ATVI,0.654203,0.059015,-0.203896,1.192354,0.307,0.09,0.1,57.145,7.03,10.219,3.548,14.9000311305,11.2070172797
2008-11-10,ATVI,0.711,-0.108,2.236305,2.842,0.167,-0.152,-0.08,60.678,4.702,1.378,9.264,11.1978761563,9.09541777596
2009-02-27,ATVI,1.639,-0.071,0.116,2.958,0.275,-0.043,-0.07,-122.536,4.333,1.137,12.185,9.1685467631,10.0552357322
2009-05-08,ATVI,0.981,0.189,0.03,2.988,0.192,0.193,0.14,220.194,3.813,1.327,8.752,10.795666727,11.6823556962
2009-08-07,ATVI,1.038,0.195,-0.26,2.728,0.172,0.188,0.15,77.285,3.626,1.374,8.946,11.3898397476,9.93640112811
2009-11-06,ATVI,0.703,0.015,-0.368,2.36,0.191,0.021,0.01,43.501,3.272,1.264,8.884,10.283763817,9.85135076806
2010-03-01,ATVI,1.557,-0.286,0.408,2.768,0.278,-0.184,-0.22,121.009,3.196,1.271,8.503,10.1386432176,9.72160579087
2010-05-07,ATVI,1.308,0.381,-0.073,2.695,0.184,0.291,0.3,43.068,2.852,1.209,8.708,9.78647827946,10.8893105856
2010-08-06,ATVI,0.967,0.219,-0.481,2.214,0.141,0.226,0.18,40.9,2.967,1.239,8.813,10.1849807094,10.7781006051
2010-11-05,ATVI,0.745,0.051,-0.091,2.123,0.17,0.068,0.04,37.337,2.978,1.268,8.866,10.4722731589,9.99036324362
2011-02-25,ATVI,1.428,-0.233,0.689,2.812,0.314,-0.163,-0.19,31.423,2.954,1.287,8.517,10.2961906899,10.7626547745
2011-05-09,ATVI,1.449,0.503,-0.154,2.658,0.209,0.347,0.42,24.43,2.875,1.289,8.727,10.8473260096,10.8755497547
2011-08-05,ATVI,1.146,0.335,-0.324,2.334,0.144,0.292,0.29,19.912,2.74,1.248,9.172,10.7532468595,13.1052256127
2011-11-09,ATVI,0.754,0.148,0.135,2.469,0.146,0.196,0.13,19.785,3.119,1.409,9.273,12.2491053465,11.2048267801
2012-02-28,ATVI,1.407,0.099,0.696,3.165,0.265,0.07,0.09,12.481,2.848,1.291,9.212,11.3459455053,11.8335339952
2012-05-09,ATVI,1.172,0.384,-0.116,3.049,0.19,0.328,0.34,14.27,3.078,1.315,9.363,11.8335339952,11.2800299857
2012-08-02,ATVI,1.075,0.185,-0.263,2.786,0.161,0.172,0.16,16.026,2.967,1.238,9.526,11.2323141229,10.8219577021
2012-11-07,ATVI,0.841,0.226,0.123,2.909,0.163,0.269,0.2,13.853,2.755,1.138,9.813,10.6215510779,13.6276504396
2013-02-22,ATVI,1.768,0.354,1.05,3.959,0.255,0.2,0.31,14.064,3.328,1.428,10.205,13.8471434089,13.5322187139
2013-02-27,ATVI,1.768,0.354,1.05,3.959,0.255,0.2,0.31,13.822,3.27,1.403,10.205,13.6085640945,14.4460123535
2013-05-08,ATVI,1.324,0.456,0.34,4.299,0.19,0.344,0.4,13.967,3.405,1.478,10.364,14.7554316275,17.3854954563
2013-08-01,ATVI,1.05,0.324,0.042,4.341,0.124,0.309,0.28,14.977,4.088,1.707,10.675,17.593386531,15.9834393711
2013-11-06,ATVI,0.691,0.056,0.103,4.444,0.323,0.081,0.05,9.66,2.379,0.947,10.819,15.9834393711,18.7101967229
2014-03-03,ATVI,1.518,0.173,-0.034,4.41,1.116,0.114,0.23,13.768,3.034,2.1,6.467,18.8745757122,18.9547816916
2014-05-06,ATVI,1.111,0.293,-0.131,4.279,0.954,0.264,0.4,16.32,3.159,1.994,9.766,18.8474168108,22.0683632362
2014-08-05,ATVI,0.97,0.204,-0.08,4.199,0.863,0.21,0.28,22.098,3.74,2.237,10.015,21.8243521434,19.8137007384
2014-11-04,ATVI,0.753,-0.023,-0.394,3.805,0.982,-0.031,-0.03,22.171,3.296,2.052,9.738,19.4720852084,22.89312073
2015-02-26,ATVI,1.575,0.361,1.043,4.848,1.039,0.229,0.49,20.216,3.829,2.334,10.018,22.790636071,22.3927547092
2015-05-06,ATVI,1.278,0.394,-0.383,4.465,0.903,0.308,0.54,17.999,3.682,2.328,10.011,22.8759096985,25.1635006683
2015-08-04,ATVI,1.044,0.212,-0.049,4.416,0.797,0.203,0.29,19.824,4.025,2.399,10.73,25.3114052569,36.8381028593
2015-11-06,ATVI,0.99,0.127,-0.051,4.365,0.79,0.128,0.17,23.393,5.237,3.203,10.944,34.5110706658,31.4445155295
2016-02-29,ATVI,1.352,0.159,-2.542,1.823,0.89,0.118,0.22,26.096,4.991,2.885,11.037,31.2275887996,37.6430523372
2016-05-09,ATVI,1.455,0.336,1.049,2.872,1.073,0.231,0.45,32.884,5.665,3.285,11.358,36.9273671594,40.1380103875
2016-08-04,ATVI,1.57,0.127,-0.601,2.271,0.941,0.081,0.17,40.419,5.641,3.539,11.575,40.5853136237,43.1100918897
2016-11-04,ATVI,1.568,0.199,1.758,4.029,1.084,0.127,0.27,37.749,5.213,3.515,11.884,41.4500998801,45.4161885737
2017-02-28,ATVI,2.014,0.253,-0.784,3.245,0.914,0.126,0.34,35.125,5.135,3.721,12.273,44.8595445465,52.84
2017-05-04,ATVI,1.726,0.426,0.003,3.248,0.793,0.247,0.57,39.82,5.818,4.241,12.598,53.1,61.45
2017-08-03,ATVI,1.631,0.243,0.03,3.278,0.73,0.149,0.32,43.08,6.96,4.971,12.885,63.97,62.01
