datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2008-05-14,AWK,0.506815,-0.732484,-0.004279,0.009202,2.22,-1.445,-4.58,,,0.895,23.809,13.4283400839,13.0942076781
2008-08-12,AWK,0.589369,0.045498,-0.003288,0.005914,2.053,0.077,0.28,,,0.814,25.654,13.1572515282,12.3974042396
2008-11-06,AWK,0.672193,0.088158,0.000775,0.006689,2.071,0.131,0.55,,,0.728,26.023,12.0473748592,12.2480808875
2009-02-27,AWK,0.568551,0.036407,0.002853,0.009542,2.226,0.064,0.22,-5.277,1.27,0.724,25.639,12.2811838088,11.6919518093
2009-05-06,AWK,0.55017,-0.413079,-0.001026,0.008516,2.525,-0.751,-2.58,-11.959,1.221,0.794,22.876,12.0229810225,13.5409120138
2009-08-06,AWK,0.61274,0.051989,0.000496,0.009012,2.357,0.085,0.32,-14.613,1.438,0.88,24.066,13.4055028936,13.5336109577
2009-11-09,AWK,0.679956,0.091636,-0.001181,0.007831,2.346,0.135,0.52,-15.359,1.484,0.898,22.837,14.1839992144,16.0169848
2010-03-01,AWK,0.597837,0.036371,0.014425,0.022256,2.361,0.061,0.23,-15.797,1.509,0.92,22.904,15.1679263066,15.7867316493
2010-05-04,AWK,0.588053,0.030808,-0.009623,0.012633,2.385,0.052,0.18,18.232,1.551,0.961,22.888,15.829904115,15.8180576012
2010-08-04,AWK,0.671223,0.072751,0.007977,0.02061,2.409,0.108,0.42,16.288,1.487,0.934,23.112,15.832731124,17.8615216035
2010-11-03,AWK,0.786946,0.124114,0.002891,0.023501,2.384,0.158,0.71,15.961,1.594,1.02,23.626,18.0336267551,21.1926760237
2011-02-28,AWK,0.664455,0.040154,-0.010389,0.013112,2.41,0.06,0.23,18.147,1.793,1.177,23.59,21.479168173,22.8729137647
2011-05-04,AWK,0.610936,0.047332,0.000416,0.013528,2.407,0.077,0.27,18.087,1.882,1.24,23.657,22.7103101123,21.7289360785
2011-08-03,AWK,0.674248,0.084566,-6.2e-05,0.013466,2.449,0.125,0.48,16.759,1.814,1.194,23.696,22.2399277012,23.8288059263
2011-11-02,AWK,0.76645,0.137422,0.002155,0.015621,2.413,0.179,0.78,17.071,1.945,1.241,24.259,24.0686932342,27.8910967269
2012-02-28,AWK,0.623716,0.040293,-0.001414,0.014207,2.487,0.065,0.23,19.143,2.223,1.399,24.114,27.7512298701,28.7513526685
2012-05-02,AWK,0.618554,0.041754,-0.004705,0.009502,2.313,0.068,0.24,19.886,2.253,1.422,24.165,28.6178970136,30.6702232636
2012-08-02,AWK,0.745607,0.107026,0.003417,0.012919,2.334,0.144,0.61,19.589,2.322,1.48,24.507,30.6702232636,31.5162983882
2012-11-07,AWK,0.831815,0.153812,0.005612,0.018531,2.282,0.185,0.87,18.841,2.291,1.453,25.182,30.924045801,34.282909303
2013-03-01,AWK,0.680913,0.055478,0.005902,0.024433,2.312,0.081,0.31,19.605,2.44,1.58,25.116,34.3871919168,36.2121376592
2013-05-07,AWK,0.636137,0.057643,-0.003252,0.021181,2.276,0.091,0.32,19.948,2.577,1.655,25.422,36.4815344116,37.3110418581
2013-08-07,AWK,0.724265,0.101263,-0.000815,0.020366,2.276,0.14,0.57,20.532,2.631,1.653,25.727,37.4079079096,38.613198504
2013-11-06,AWK,0.829196,0.150665,0.012088,0.032454,2.287,0.182,0.85,21.239,2.701,1.673,26.033,38.8184929019,40.1975027537
2014-02-27,AWK,0.71226,0.059693,-0.00549,0.026964,2.187,0.084,0.34,21.306,2.711,1.664,26.524,40.3349457765,42.3141253058
2014-05-07,AWK,0.681946,0.068123,0.003791,0.030755,2.182,0.1,0.38,22.119,2.85,1.75,26.891,42.9921775519,43.2654831843
2014-08-06,AWK,0.759159,0.109299,0.001378,0.032133,2.166,0.144,0.61,21.441,2.788,1.706,27.245,43.0890788537,49.4395549742
2014-11-05,AWK,0.846169,0.152185,0.041995,0.074128,2.194,0.18,0.85,24.352,3.161,1.927,27.485,49.7406141101,51.5780856064
2015-02-25,AWK,0.731378,0.093501,-0.051048,0.02308,2.282,0.128,0.52,23.141,3.251,1.992,27.438,51.8255081572,50.8738829615
2015-05-06,AWK,0.698078,0.080043,0.001214,0.024294,2.257,0.115,0.45,21.95,3.146,1.912,27.822,50.4932328833,49.0645649269
2015-08-05,AWK,0.782121,0.123075,0.120458,0.144752,2.311,0.157,0.69,20.725,3.042,1.841,28.143,49.4189254388,55.6529335974
2015-11-04,AWK,0.896206,0.173894,-0.069528,0.075224,2.311,0.194,0.97,22.116,3.348,2.014,28.764,55.8939388529,65.0101224831
2016-02-25,AWK,0.782595,0.098988,-0.030144,0.045,2.415,0.126,0.56,25.449,3.835,2.399,28.461,66.3358649718,72.0677516145
2016-05-04,AWK,0.743,0.082,0.021,0.066,2.427,0.11,0.46,27.682,4.13,2.603,28.551,72.5746531544,80.4125602846
2016-08-03,AWK,0.827,0.137,-0.014,0.052,2.436,0.166,0.77,29.357,4.445,2.802,28.949,79.5307361801,71.9096017658
2016-11-02,AWK,0.93,0.148,-0.006,0.046,2.431,0.159,0.83,27.691,3.931,2.463,29.427,71.3583440384,73.4178710875
2017-02-21,AWK,0.802,0.101,0.029,0.075,2.542,0.126,0.57,28.324,4.014,2.54,29.315,73.9848428599,78.6897138834
2017-05-03,AWK,0.756,0.093,0.003,0.078,2.52,0.123,0.52,28.905,4.177,2.619,29.702,77.7,81.38
2017-08-02,AWK,0.844,0.131,-0.014,0.064,2.523,0.155,0.74,30.907,4.388,2.715,30.247,82.0,81.08
