datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,AXP,5.268,0.178,0.417,8.481,11.898,0.034,0.13,24.477,2.263,4.433,8.903,24.0469749016,19.6839158475
2001-11-14,AXP,5.724,0.298,1.379,9.86,10.863,0.052,0.23,26.377,1.958,3.648,9.229,20.4612424606,25.1335604898
2002-04-01,AXP,5.871,0.297,-2.638,7.222,11.511,0.051,0.22,41.108,2.387,4.477,9.071,24.6571345012,26.4374631957
2002-05-14,AXP,5.759,0.618,0.281,7.503,10.707,0.107,0.47,42.537,2.616,4.735,9.43,27.3485234196,21.8570870239
2002-08-13,AXP,5.945,0.683,1.4,8.903,9.94,0.115,0.51,24.413,1.987,3.483,10.03,21.4558861914,21.6564866076
2002-11-13,AXP,5.907,0.687,-0.91,7.993,9.361,0.116,0.52,20.247,1.97,3.31,10.573,21.7400701144,21.7735035171
2003-03-27,AXP,6.196,0.683,2.295,10.288,10.345,0.11,0.52,16.941,1.901,3.264,10.597,21.3137942298,25.0750520351
2003-05-15,AXP,6.023,0.692,-1.883,8.405,9.908,0.115,0.53,19.367,2.209,3.779,10.847,25.4344611142,27.858382811
2003-08-14,AXP,6.356,0.762,-1.716,6.689,9.975,0.12,0.6,20.76,2.395,4.045,11.295,28.326450449,28.5521259173
2003-11-14,AXP,6.419,0.77,-0.661,6.028,10.052,0.12,0.6,20.058,2.333,3.93,11.581,28.2595836435,32.1880084624
2004-03-12,AXP,7.068,0.763,-0.302,5.726,10.421,0.108,0.6,22.511,2.6,4.388,12.018,32.5557758922,30.3491713131
2004-05-10,AXP,6.91,0.794,-0.909,4.817,10.32,0.115,0.62,19.96,2.305,3.919,12.32,30.1987210009,31.3270983425
2004-07-30,AXP,7.258,0.876,1.254,6.071,10.821,0.121,0.69,19.89,2.304,4.203,12.002,31.5109820574,34.6453635618
2004-11-08,AXP,7.202,0.879,1.55,7.621,10.318,0.122,0.71,20.753,2.417,4.339,12.652,34.4113297428,33.7928117926
2005-03-10,AXP,7.745,0.896,1.856,9.907,11.025,0.116,0.72,19.573,2.316,4.209,12.878,34.0268456116,33.4919111682
2005-05-03,AXP,7.573,0.946,-0.628,9.279,10.751,0.125,0.76,18.358,2.217,4.093,13.021,33.4584777655,35.054922745
