datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-11-16,AZO,1.640663,0.026477,9.8e-05,0.007286,2.963,0.016,0.26,39.8,1.45,8.065,7.886,64.8,73.5
2001-12-18,AZO,1.176052,0.084077,-1e-06,0.007285,2.85,0.071,0.78,,,8.669,8.43,73.9,68.52
2002-03-26,AZO,1.081311,0.063771,-2.8e-05,0.007228,2.837,0.059,0.6,30.033,1.418,8.012,8.345,67.74,81.71
2002-06-07,AZO,1.22481,0.102314,1.4e-05,0.007242,3.445,0.084,0.98,30.382,1.641,10.846,7.454,82.95,84.02
2002-10-31,AZO,1.843337,0.177986,-0.000773,0.006498,4.047,0.097,1.75,19.742,1.587,12.266,6.836,85.77,71.3
2002-12-20,AZO,1.218635,0.104911,3.2e-05,0.00653,3.792,0.086,1.06,15.307,1.28,9.116,7.629,70.56,71.2
2003-03-19,AZO,1.120696,0.079275,2.9e-05,0.006559,3.834,0.071,0.81,14.111,1.212,8.765,7.596,71.18,81.04
2003-06-11,AZO,1.288445,0.125977,7.9e-05,0.006638,5.063,0.098,1.33,14.857,1.326,12.055,6.355,81.05,81.05
2003-06-12,AZO,1.288445,0.125977,7.9e-05,0.006638,5.063,0.098,1.33,14.975,1.336,12.15,6.355,81.69,101.65
2003-10-30,AZO,1.829347,0.207441,0.000104,0.006742,8.847,0.113,2.26,17.754,1.684,24.587,4.148,103.53,82.84
2003-12-23,AZO,1.28204,0.121745,-7.8e-05,0.006664,6.861,0.095,1.37,13.57,1.314,15.324,5.333,83.11,83.02
2004-03-15,AZO,1.159236,0.091654,4.7e-05,0.006711,14.828,0.079,1.06,12.71,1.25,29.717,2.7,82.5,87.53
2004-06-07,AZO,1.360022,0.143411,4.7e-05,0.006758,13.563,0.105,1.71,13.062,1.309,28.332,3.101,88.65,81.51
2004-10-27,AZO,1.835727,0.209393,-0.016266,0.076852,21.828,0.114,2.53,11.568,1.162,38.214,2.087,82.09,89.25
2004-12-20,AZO,1.286203,0.122523,-0.012971,0.063881,13.493,0.095,1.54,12.478,1.254,25.504,3.48,88.81,98.06
2005-03-11,AZO,1.204055,0.094093,0.016258,0.080139,9.551,0.078,1.18,13.745,1.376,20.343,4.828,98.3,91.76
2005-06-06,AZO,1.338387,0.147789,-0.002761,0.077378,12.953,0.11,1.88,12.331,1.249,23.684,3.805,91.61,78.96
2005-10-26,AZO,1.882237,0.206615,-0.002568,0.07481,9.857,0.11,2.68,10.667,1.067,15.577,5.08,79.5,92.83
2005-12-16,AZO,1.338076,0.114374,0.006568,0.081378,7.325,0.085,1.49,12.563,1.227,13.565,6.806,92.16,97.52
2006-03-15,AZO,1.253815,0.097022,-6e-06,0.081372,5.865,0.077,1.26,13.237,1.288,11.681,8.35,97.59,89.7
2006-06-07,AZO,1.417433,0.144428,0.002596,0.083968,6.815,0.102,1.9,11.949,1.141,11.821,7.49,90.46,113.27
2006-10-25,AZO,1.93903,0.213452,0.00759,0.091558,8.64,0.11,2.91,13.686,1.31,16.594,6.445,109.27,117.5
2006-12-15,AZO,1.393069,0.123889,-0.018199,0.073359,7.574,0.089,1.74,14.286,1.377,15.373,7.566,116.99,125.67
2007-03-08,AZO,1.300357,0.103016,0.012703,0.086062,7.548,0.079,1.46,15.112,1.461,16.258,7.713,126.31,131.44
2007-06-08,AZO,1.473671,0.151591,-0.003489,0.082573,9.281,0.103,2.19,14.968,1.451,19.289,6.644,131.68,118.67
2007-10-22,AZO,2.002707,0.217175,0.004081,0.086654,10.916,0.108,3.23,13.095,1.264,19.346,6.033,120.16,120.58
2007-12-14,AZO,1.455655,0.132516,-0.006841,0.079813,27.495,0.091,2.04,12.553,1.217,44.348,2.637,120.07,113.72
2008-01-04,AZO,1.455655,0.132516,-0.006841,0.079813,27.495,0.091,2.04,11.561,1.121,40.843,2.637,110.58,112.83
2008-03-10,AZO,1.339244,0.106704,0.013652,0.093465,16.498,0.08,1.69,11.462,1.111,24.691,4.466,110.23,118.14
2008-06-12,AZO,1.517293,0.158638,-0.011811,0.081654,10.028,0.105,2.51,12.175,1.186,16.427,7.208,118.3,102.7
2008-10-27,AZO,2.210514,0.243746,0.160807,0.242461,21.888,0.11,3.9,9.296,0.914,25.967,3.683,102.88,135.77
2008-12-19,AZO,1.478292,0.131371,-0.156705,0.085756,84.224,0.089,2.25,11.81,1.156,126.065,1.029,131.62,162.31
2009-03-19,AZO,1.447877,0.115864,0.022217,0.107973,-28.95,0.08,2.05,13.54,1.322,-46.96,-3.314,160.82,155.54
2009-06-18,AZO,1.65816,0.173689,-0.013686,0.094287,-118.382,0.105,3.18,12.725,1.245,-187.453,-0.826,157.4,137.62
2009-10-26,AZO,2.232494,0.236126,-0.001581,0.092706,-13.281,0.106,4.44,10.433,1.006,-15.829,-8.194,137.46,157.99
2009-12-17,AZO,1.589244,0.1433,-0.013103,0.079603,-12.129,0.09,2.86,11.701,1.13,-16.174,-9.657,158.15,172.0
2010-03-18,AZO,1.506225,0.123333,0.025558,0.105161,-13.865,0.082,2.49,12.413,1.202,-19.913,-8.53,172.21,194.23
2010-06-16,AZO,1.82199,0.202745,-0.009399,0.095762,-12.804,0.111,4.19,13.021,1.285,-19.886,-9.549,195.41,234.72
2010-10-25,AZO,2.445159,0.268933,0.002518,0.09828,-8.542,0.11,5.71,14.211,1.425,-14.203,-15.77,235.12,262.55
2010-12-16,AZO,1.791662,0.172076,-0.000267,0.098013,-7.902,0.096,3.85,15.363,1.558,-14.422,-18.294,269.11,261.31
2011-03-17,AZO,1.660946,0.148056,0.009868,0.107881,-6.552,0.089,3.41,13.964,1.432,-10.648,-23.927,261.95,289.87
2011-06-15,AZO,1.978369,0.227373,-0.007514,0.100367,-6.257,0.115,5.42,14.739,1.528,-10.749,-26.67,289.55,327.5
2011-10-24,AZO,2.641996,0.301469,-0.002761,0.097606,-5.68,0.114,7.28,15.514,1.631,-10.501,-30.444,330.19,324.32
2011-12-15,AZO,1.924341,0.191125,-0.00093,0.096676,-5.404,0.099,4.79,14.842,1.57,-9.564,-33.792,327.32,383.74
2012-03-08,AZO,1.804069,0.16693,0.006531,0.103207,-5.675,0.093,4.25,16.72,1.776,-11.446,-32.981,380.5,386.65
2012-06-13,AZO,2.111866,0.248586,-0.000107,0.1031,-5.34,0.118,6.43,15.784,1.69,-10.117,-36.664,382.91,369.0
2012-10-22,AZO,2.763586,0.323732,-7e-06,0.103093,-5.048,0.117,8.59,14.521,1.57,-8.727,-41.213,365.8,357.56
2012-12-13,AZO,1.99104,0.203452,-0.003229,0.099864,-5.02,0.102,5.52,13.848,1.506,-8.203,-43.191,359.32,376.55
2013-03-07,AZO,1.855198,0.176247,0.015684,0.115548,-5.298,0.095,4.86,14.459,1.578,-8.88,-42.752,381.52,415.0
2013-06-12,AZO,2.205878,0.265583,0.018137,0.133685,-5.427,0.12,7.39,15.249,1.676,-9.643,-42.657,416.0,429.47
2013-10-28,AZO,3.095414,0.371199,0.008506,0.142191,-5.085,0.12,10.52,14.391,1.599,-8.669,-48.01,429.84,461.76
2013-12-18,AZO,2.093578,0.218087,-0.016339,0.125852,-5.08,0.104,6.39,15.384,1.715,-9.216,-50.459,470.56,530.39
2014-03-25,AZO,1.990494,0.19283,0.013903,0.139755,-5.247,0.097,5.73,16.773,1.872,-10.275,-50.83,528.9,524.34
2014-06-18,AZO,2.341545,0.285157,0.005594,0.145349,-5.077,0.122,8.62,16.097,1.804,-9.501,-54.674,526.98,536.05
2014-10-27,AZO,3.049696,0.37367,-0.020864,0.124485,-5.635,0.123,11.45,16.161,1.825,-10.66,-49.779,539.57,602.46
