datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,BCR,0.2959,0.035,0.0197,0.1498,0.701,0.118,0.34,27.31,2.656,4.611,6.449,25.8133333392,27.9207038395
2001-11-15,BCR,0.2978,0.0357,0.0439,0.1937,0.608,0.12,0.35,27.215,2.635,4.214,7.059,26.3215849544,24.3803777378
2002-03-12,BCR,0.3028,0.0393,0.0766,0.0308,0.561,0.13,0.38,20.518,2.487,3.725,7.508,24.7430756649,24.3908433762
2002-05-01,BCR,0.3019,0.0347,0.0319,0.3028,0.527,0.115,0.33,20.091,2.426,3.556,7.786,24.53734826,24.7040654015
2002-08-14,BCR,0.3175,0.0439,-0.0039,0.3004,0.515,0.138,0.42,18.697,2.354,3.485,7.878,24.837841929,25.6110271574
2002-11-14,BCR,0.3227,0.0298,0.0348,0.3352,0.513,0.092,0.29,19.666,2.333,3.427,8.196,25.1632819273,25.9970510826
2003-02-24,BCR,0.3317,0.0466,0.0486,0.0231,0.609,0.14,0.45,19.083,2.322,3.36,8.515,25.7543400248,28.2362789481
2003-05-08,BCR,0.3359,0.0469,0.0271,0.4096,0.575,0.14,0.46,19.203,2.455,3.394,9.149,27.8258154682,31.0275965333
2003-08-01,BCR,0.3542,0.0495,-0.0072,0.4031,0.559,0.14,0.48,20.388,2.62,3.513,9.699,30.7651110317,36.3359763577
2003-11-03,BCR,0.3618,0.0515,-0.0111,0.392,0.583,0.142,0.49,21.224,2.984,4.084,9.757,36.1317141546,42.9927079014
2004-03-12,BCR,0.3812,0.0206,0.0349,0.4174,0.618,0.054,0.2,28.984,3.408,4.67,10.113,42.7878940272,48.5909537958
2004-04-30,BCR,0.3938,0.0719,0.041,0.4584,0.559,0.183,0.69,28.651,3.718,4.837,11.021,48.4723613994,50.466083941
2004-08-02,BCR,0.4163,0.0587,-0.0128,0.4456,0.555,0.141,0.56,28.463,3.715,4.827,11.438,50.3198054368,53.6893251635
2004-11-08,BCR,0.4219,0.1024,0.0351,0.4807,0.499,0.243,0.98,24.165,3.799,4.821,12.154,53.6526771599,62.1945938215
2005-02-28,BCR,0.4241,0.0698,0.0601,0.5408,0.477,0.165,0.67,23.001,4.205,5.121,13.028,61.0380827793,65.436501448
2005-05-02,BCR,0.4286,0.0813,0.0148,0.5556,0.423,0.19,0.78,24.144,4.458,5.187,13.853,65.9329987191,62.0629446587
2005-07-29,BCR,0.4474,0.0853,0.0107,0.5663,0.381,0.191,0.81,20.757,4.084,4.683,14.275,61.5286340174,57.5842174358
2005-11-01,BCR,0.4433,0.0904,0.0261,0.5924,0.37,0.204,0.86,19.841,3.719,4.195,14.721,57.0765015078,59.068317576
2006-02-23,BCR,0.452,0.0801,0.1618,0.7542,0.475,0.177,0.77,20.592,3.919,4.519,14.742,61.7322191516,68.5757440191
2006-05-03,BCR,0.4675,0.0811,-0.1578,0.5964,0.401,0.173,0.78,22.598,4.206,4.762,15.402,68.121722744,65.8927902528
2006-08-01,BCR,0.4982,0.0814,-0.1764,0.42,0.394,0.163,0.79,22.027,3.941,4.42,16.035,65.7906596775,76.9322398666
2006-10-27,BCR,0.4989,0.0876,0.0346,0.4546,0.349,0.176,0.85,25.515,4.396,4.895,16.677,76.0859108255,76.1478578121
2007-02-27,BCR,0.5209,0.022,-0.0384,0.4162,0.341,0.042,0.21,30.343,4.158,4.862,16.406,74.4803184741,74.3219488164
