datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,BEN,0.609473,0.119703,-0.113542,0.875113,0.508,0.196,0.15,20.77,4.8,2.859,5.013,11.1264128663,9.10712685032
2001-12-26,BEN,0.603883,0.083869,-0.306136,0.568977,0.575,0.139,0.1,18.975,3.906,2.312,5.075,9.12527370143,10.1928243784
2002-02-13,BEN,0.618207,0.118519,0.219351,0.788328,0.488,0.192,0.15,23.352,4.399,2.59,5.218,10.5305071432,11.2351137738
2002-05-15,BEN,0.625968,0.119996,0.301498,1.089826,0.541,0.192,0.15,25.663,4.617,2.692,5.364,11.2715407291,8.85444384854
2002-08-12,BEN,0.66605,0.12569,-0.166288,0.923538,0.494,0.189,0.16,19.548,3.484,2.029,5.535,8.78406705022,9.35328833393
2002-12-18,BEN,0.608307,0.068518,0.029836,0.980604,0.505,0.113,0.09,21.007,3.609,2.13,5.515,9.20959256344,8.23772312738
2003-02-13,BEN,0.605451,0.10976,0.070509,1.051113,0.496,0.181,0.14,19.101,3.232,1.858,5.643,8.23772312738,9.18493916876
2003-05-12,BEN,0.613135,0.109603,-0.226227,0.824886,0.512,0.179,0.14,21.678,3.596,2.052,5.745,9.28203709711,11.6054922022
2003-08-14,BEN,0.683907,0.131388,0.588529,1.413415,0.6,0.192,0.17,26.603,4.442,2.557,5.792,11.6843695846,13.4575646512
2003-12-22,BEN,0.721955,0.152079,-0.35972,1.053695,0.617,0.211,0.2,25.053,4.8,2.923,5.782,13.3522216793,15.4184037883
2004-02-17,BEN,0.806169,0.172296,0.299081,1.352776,0.599,0.214,0.23,26.156,5.234,3.216,6.146,15.6399856392,13.167063748
2004-05-14,BEN,0.874641,0.172791,1.196804,2.54958,0.622,0.198,0.23,19.632,3.998,2.57,6.401,13.0402541453,12.8719901708
2004-08-13,BEN,0.862753,0.173896,-0.069164,2.480416,0.631,0.202,0.23,18.031,3.705,2.467,6.557,12.8402336162,18.2852039323
2004-12-14,BEN,0.894645,0.187681,0.436772,2.917188,0.596,0.21,0.25,24.294,4.993,3.362,6.772,18.1023253889,17.767229148
2005-02-09,BEN,0.986022,0.239989,0.188022,3.10521,0.565,0.243,0.32,22.032,4.715,3.195,7.108,18.0857334053,19.288551164
2005-05-10,BEN,1.051181,0.221274,0.091883,3.197093,0.701,0.211,0.29,21.065,4.568,3.425,6.726,18.9162487289,22.04371749
2005-08-08,BEN,1.109734,0.261873,-0.244647,2.952446,0.592,0.236,0.35,22.175,4.997,3.81,7.023,22.0026013793,26.7138000797
2005-12-14,BEN,1.163161,0.334495,0.199713,3.152159,0.551,0.288,0.44,23.387,5.739,4.351,7.467,26.7494770266,26.626638554
2006-02-07,BEN,1.163161,0.334495,0.199713,3.152159,0.551,0.288,0.44,22.693,5.569,4.222,7.467,25.9891380231,26.1595045443
2006-02-09,BEN,1.181452,0.317969,0.474194,3.626353,0.401,0.269,0.42,21.451,5.407,3.871,8.11,25.8792241385,25.6834353485
2006-05-10,BEN,1.25477,0.196516,0.124084,3.750437,0.387,0.157,0.25,21.952,5.178,3.727,8.389,25.8072440888,25.2285289899
2006-08-09,BEN,1.317275,0.371414,-0.337241,3.413196,0.406,0.282,0.48,19.059,4.731,3.688,8.323,25.3717946345,30.90065208
2006-12-20,BEN,1.297229,0.381669,0.199939,3.613135,0.407,0.294,0.5,22.346,5.608,4.237,8.789,30.8151463927,34.2434540309
2007-02-09,BEN,1.427815,0.4268,0.392914,4.006049,0.343,0.299,0.56,22.465,5.837,4.344,9.353,33.6689550441,37.2262419308
2007-05-09,BEN,1.509006,0.440866,-0.026881,3.979168,0.352,0.292,0.58,20.99,6.128,4.839,9.389,37.6880785256,34.8067874298
2007-08-08,BEN,1.639811,0.468364,-0.403122,3.576046,0.339,0.286,0.63,17.965,5.254,4.401,9.504,34.7375725327,34.2256804737
2007-11-29,BEN,1.629137,0.436908,0.008137,3.584183,0.35,0.268,0.59,16.933,4.838,4.094,9.975,33.9623633661,27.6352705272
2008-02-08,BEN,1.685591,0.518316,-0.70191,2.882273,0.374,0.307,0.72,12.484,3.601,3.319,9.811,27.1216037888,27.2674242585
2008-05-08,BEN,1.503692,0.366096,0.781434,3.663707,0.417,0.243,0.52,12.875,3.568,3.299,9.849,27.1199726224,28.0218388104
2008-08-05,BEN,1.521649,0.403312,-0.619593,3.044114,0.299,0.265,0.57,14.424,3.924,3.476,10.182,29.6054030771,16.3187673233
2008-11-25,BEN,1.321454,0.300489,-0.516562,2.527552,0.286,0.227,0.43,8.527,2.245,1.914,10.134,16.2628811339,15.8379713615
2009-02-09,BEN,0.96933,0.1209,0.309245,2.836797,0.269,0.125,0.17,10.93,2.448,1.849,10.073,15.6697209575,17.1041725783
2009-05-08,BEN,0.912272,0.110806,-0.392461,2.444336,0.247,0.121,0.16,16.141,3.196,2.142,10.137,18.3399743824,26.0248655038
2009-08-07,BEN,1.073558,0.297716,-0.073671,2.370665,0.247,0.277,0.43,26.191,5.083,2.96,10.628,26.6431607463,32.0199517634
2009-11-24,BEN,1.238927,0.367356,0.733786,3.104451,0.232,0.297,0.53,28.534,6.101,3.353,11.097,31.5813998041,28.579606685
2010-02-08,BEN,1.377411,0.355603,-0.254143,2.850308,0.288,0.258,0.52,19.424,4.776,3.08,10.421,28.0838379976,32.852652595
2010-05-06,BEN,1.413113,0.356685,0.173312,3.02362,0.285,0.252,0.52,17.692,4.775,3.3,10.827,31.3214963235,30.2088306628
2010-08-05,BEN,1.534071,0.360495,0.967002,3.990622,0.397,0.235,0.53,16.067,4.159,3.116,10.998,30.1121670914,34.7905293906
2010-11-16,BEN,1.528404,0.372906,0.133094,4.123716,0.383,0.244,0.55,17.71,4.374,3.313,11.499,33.5489539301,36.6758038607
2011-02-08,BEN,1.700313,0.501157,0.197314,4.32103,0.521,0.295,0.75,17.749,4.573,3.474,12.149,37.2465190247,38.0462870111
2011-05-03,BEN,1.749563,0.5031,0.347413,4.668443,0.52,0.288,0.75,16.426,4.383,3.392,12.641,37.9254209203,37.3474940374
2011-08-02,BEN,1.853033,0.503347,0.051546,4.719989,0.501,0.272,0.76,14.346,3.949,3.106,13.129,36.1334937172,31.0703347769
2011-11-15,BEN,1.83713,0.415976,0.478624,5.198613,0.546,0.226,0.63,11.845,3.191,2.673,13.071,31.0377600836,32.188255139
2012-02-01,BEN,1.701876,0.480785,-0.286755,4.911858,0.537,0.283,0.74,12.704,3.386,2.922,12.771,33.9690756636,38.2867074217
2012-05-02,BEN,1.799349,0.503219,0.167283,5.079141,0.493,0.28,0.78,13.764,3.643,3.015,13.461,37.0128147504,34.2028351447
2012-07-30,BEN,1.783584,0.455267,0.305911,5.385052,0.491,0.255,0.71,13.223,3.445,2.804,13.718,35.1721339217,38.9332365624
2012-11-15,BEN,1.816191,0.492129,0.666361,6.0514,0.54,0.271,0.77,14.037,3.818,2.947,14.447,39.012660976,42.8864295532
2013-02-01,BEN,1.9018,0.5161,-0.8087,5.2427,0.531,0.271,0.81,15.104,4.069,3.32,14.034,43.7919072082,48.6194516899
2013-04-30,BEN,2.0136,0.5728,0.3131,5.5558,0.494,0.284,0.9,16.148,4.375,3.491,14.769,48.5503899688,45.922290719
2013-07-29,BEN,2.0848,0.5523,0.6763,6.2321,0.49,0.265,0.87,14.316,3.907,3.123,15.396,45.3749226833,49.05720462
2013-11-12,BEN,1.9848,0.509,0.091,6.3231,0.455,0.256,0.8,15.464,4.164,3.301,15.968,49.8420442468,49.889698806
2014-01-30,BEN,2.1095,0.6038,0.3766,6.6997,0.416,0.286,0.96,14.878,4.064,2.963,17.815,50.0128832475,50.1165160773
2014-04-28,BEN,2.0959,0.561,0.2112,6.9109,0.413,0.268,0.89,14.513,3.904,2.973,17.31,48.8818852094,54.3420582004
2014-07-30,BEN,2.1305,0.5789,0.7867,7.6976,0.406,0.272,0.92,15.564,4.214,3.104,18.064,53.3618074133,54.3557073058
2014-11-12,BEN,2.1555,0.6406,-0.1016,7.596,0.338,0.297,1.02,14.871,4.176,3.061,18.613,54.3366317813,50.3497542152
2015-01-30,BEN,2.0643,0.5664,0.2892,7.8852,0.352,0.274,0.91,13.653,3.794,2.773,18.584,49.2786863193,49.9892767832
2015-04-29,BEN,2.0098,0.6065,0.2371,8.1223,0.339,0.302,0.98,13.45,3.849,2.722,19.111,49.8933648937,44.750792821
2015-07-29,BEN,2.0008,0.5042,0.3041,8.4264,0.321,0.252,0.82,12.318,3.469,2.362,19.689,44.7411731321,39.4473823096
2015-11-12,BEN,1.8738,0.3582,-0.0583,8.3681,0.319,0.191,0.59,11.942,3.058,2.053,19.686,39.0320450326,31.2922546925
2016-02-03,BEN,1.758,0.4478,-0.0991,8.269,0.312,0.255,0.74,10.129,2.54,1.648,19.879,31.7969684779,39.1783802829
2016-04-27,BEN,1.6139,0.3604,-0.228,8.041,0.293,0.223,0.61,13.883,3.201,1.97,20.123,38.6615922901,34.178431463
2016-07-28,BEN,1.6343,0.4464,0.2011,8.2421,0.304,0.273,0.77,12.51,2.933,1.712,20.451,34.3451555189,36.6908118062
2016-11-14,BEN,1.6118,0.4721,0.2412,8.4833,0.294,0.293,0.82,12.755,3.328,1.845,20.984,38.1694850386,40.3939885117
2017-01-27,BEN,1.5608,0.4402,-0.0285,8.4548,0.261,0.282,0.77,13.259,3.55,1.905,21.165,39.9481387488,42.0923807411
2017-04-28,BEN,1.6006,0.4207,0.3213,8.7761,0.252,0.263,0.74,13.599,3.777,1.985,21.723,42.9186975815,45.9
2017-07-28,BEN,1.6139,0.4106,0.0101,8.7862,0.237,0.254,0.73,14.294,3.902,2.01,22.234,44.69,43.8
